round,seed,coop,exploit,exploit_,defect
1,1024,29294,11693,17540,19473
2,1024,26975,12878,16586,21561
3,1024,27901,12613,16501,20985
4,1024,28532,12270,16830,20368
5,1024,29143,12161,17468,19228
6,1024,29101,12167,17630,19102
7,1024,29180,12225,17196,19399
8,1024,29170,12427,17338,19065
9,1024,28887,12590,17028,19495
10,1024,29194,12578,17209,19019
11,1024,29035,12641,17199,19125
12,1024,27361,12871,16992,20776
13,1024,28866,12848,16592,19694
14,1024,26651,12377,17414,21558
15,1024,28270,11784,17548,20398
16,1024,26292,12442,17465,21801
17,1024,26454,12367,17367,21812
18,1024,24015,12047,17977,23961
19,1024,24372,11801,17871,23956
20,1024,26246,12414,17022,22318
21,1024,26177,12746,17296,21781
22,1024,26173,12726,17214,21887
23,1024,26036,12845,17096,22023
24,1024,24723,12830,17283,23164
25,1024,26252,12383,17338,22027
26,1024,25953,12580,17398,22069
27,1024,26980,12234,17955,20831
28,1024,27058,12008,17914,21020
29,1024,25945,12798,17552,21705
30,1024,26395,12503,17704,21398
31,1024,28267,13329,17168,19236
32,1024,29495,13519,16294,18692
33,1024,31114,13490,15851,17545
34,1024,30845,13353,15791,18011
35,1024,31209,13397,15883,17511
36,1024,31175,13207,15981,17637
37,1024,31419,13276,16155,17150
38,1024,32979,13158,15787,16076
39,1024,35187,11783,16514,14516
40,1024,34918,11798,16538,14746
41,1024,35403,11906,16584,14107
42,1024,38040,12207,15471,12282
43,1024,39454,11801,15418,11327
44,1024,39409,11766,15289,11536
45,1024,39900,11578,15536,10986
46,1024,39588,11530,15379,11503
47,1024,37996,12292,15302,12410
48,1024,37845,12421,15491,12243
49,1024,35648,12001,16320,14031
50,1024,37098,11556,16276,13070
51,1024,37493,11285,16473,12749
52,1024,40003,11392,15590,11015
53,1024,40042,11446,15412,11100
54,1024,39488,11549,15242,11721
55,1024,36595,12614,15315,13476
56,1024,34627,12220,16179,14974
57,1024,33072,12164,16569,16195
58,1024,33202,12114,16552,16132
59,1024,34281,12355,16303,15061
60,1024,36229,12589,15421,13761
61,1024,35952,12472,15617,13959
62,1024,35648,12410,15292,14650
63,1024,37719,13301,14326,12654
64,1024,40122,12773,14088,11017
65,1024,40387,12682,14006,10925
66,1024,40528,12490,13945,11037
67,1024,38031,13553,13692,12724
68,1024,38727,13612,13562,12099
69,1024,36292,14996,12819,13893
70,1024,35447,15037,13197,14319
71,1024,35844,14933,13055,14168
72,1024,34093,14475,13798,15634
73,1024,36125,14778,13456,13641
74,1024,34205,13924,14520,15351
75,1024,34549,13881,14727,14843
76,1024,32855,13553,14946,16646
77,1024,32788,13955,15215,16042
78,1024,33299,13846,14945,15910
79,1024,34376,14239,14579,14806
80,1024,34363,14309,14717,14611
81,1024,34396,14262,14764,14578
82,1024,34135,14344,14884,14637
83,1024,34380,14254,14736,14630
84,1024,34163,14263,14940,14634
85,1024,34312,14367,14786,14535
86,1024,34856,14434,14852,13858
87,1024,34629,14435,14795,14141
88,1024,33999,14572,14734,14695
89,1024,31915,14039,15446,16600
90,1024,31982,14069,15388,16561
91,1024,33941,14809,14401,14849
92,1024,36077,13477,14870,13576
93,1024,35311,13477,15063,14149
94,1024,38039,13680,13867,12414
95,1024,38001,13714,13687,12598
96,1024,38224,13820,13864,12092
97,1024,37140,13687,14212,12961
98,1024,37757,13786,13788,12669
99,1024,35576,14620,13761,14043
100,1024,34636,14597,13782,14985
101,1024,33837,14761,13937,15465
102,1024,34950,14588,13622,14840
103,1024,34535,14871,13860,14734
104,1024,32971,14893,14232,15904
105,1024,33238,14870,13958,15934
106,1024,33096,14860,13995,16049
107,1024,33414,14938,13959,15689
108,1024,33382,15016,13979,15623
109,1024,32454,14576,14488,16482
110,1024,35029,14607,13639,14725
111,1024,34570,14499,13741,15190
112,1024,32086,14888,14029,16997
113,1024,32596,14726,14140,16538
114,1024,32392,14705,14118,16785
115,1024,32980,14916,14190,15914
116,1024,33386,14766,14150,15698
117,1024,34601,14389,14288,14722
118,1024,32844,15346,13600,16210
119,1024,32649,15482,13587,16282
120,1024,30883,15847,13403,17867
121,1024,30893,15745,13423,17939
122,1024,32284,16233,12707,16776
123,1024,32770,16317,12517,16396
124,1024,32172,16571,12238,17019
125,1024,31161,16157,12719,17963
126,1024,29717,15714,13399,19170
127,1024,28986,15768,13572,19674
128,1024,28743,15810,13382,20065
129,1024,28320,15664,13339,20677
130,1024,27577,15398,13520,21505
