round,seed,coop,exploit,exploit_,defect
1,1024,29294,11693,17540,19473
2,1024,26975,12878,16586,21561
3,1024,27498,12744,16296,21462
4,1024,28176,12352,16661,20811
5,1024,28811,12272,17318,19599
6,1024,30843,12978,16503,17676
7,1024,31229,12967,16333,17471
8,1024,30793,12970,16354,17883
9,1024,30590,13180,16091,18139
10,1024,29307,13486,16012,19195
11,1024,29335,13871,16147,18647
12,1024,31651,12977,16345,17027
13,1024,33873,13025,16083,15019
14,1024,33941,13065,15944,15050
15,1024,35974,12197,16131,13698
16,1024,33761,13090,16146,15003
17,1024,31815,12227,17161,16797
18,1024,30655,12384,17296,17665
19,1024,30961,12121,17219,17699
20,1024,32516,12386,16286,16812
21,1024,32371,12443,16518,16668
22,1024,32728,12319,16704,16249
23,1024,33408,12277,16788,15527
24,1024,30970,12232,17338,17460
25,1024,30494,12341,16918,18247
26,1024,32451,13323,15878,16348
27,1024,31934,13432,15538,17096
28,1024,32868,13415,15306,16411
29,1024,31441,14289,14913,17357
30,1024,31973,14181,14987,16859
31,1024,32369,14773,15012,15846
32,1024,31641,14063,15276,17020
33,1024,33912,14116,14877,15095
34,1024,33689,13961,14852,15498
35,1024,33904,13955,14949,15192
36,1024,34254,14058,14979,14709
37,1024,33997,14219,14691,15093
38,1024,35691,13946,14331,14032
39,1024,37910,12560,15050,12480
40,1024,37646,12579,15099,12676
41,1024,38614,12564,15167,11655
42,1024,38839,12327,14947,11887
43,1024,41003,11682,15243,10072
44,1024,40275,11890,15343,10492
45,1024,40927,11543,15249,10281
46,1024,40840,11473,15268,10419
47,1024,40988,11414,15465,10133
48,1024,38647,11510,16290,11553
49,1024,38583,11407,16237,11773
50,1024,38205,11689,15994,12112
51,1024,38602,11435,16136,11827
52,1024,41246,11567,15212,9975
53,1024,41490,11507,15096,9907
54,1024,41584,11484,15127,9805
55,1024,40650,11886,15055,10409
56,1024,40883,11772,14919,10426
57,1024,38994,12015,15470,11521
58,1024,39601,12376,15353,10670
59,1024,41338,12099,14688,9875
60,1024,40998,12113,14746,10143
61,1024,41100,11994,14766,10140
62,1024,40706,12072,14663,10559
63,1024,42981,12628,13433,8958
64,1024,43182,12553,13272,8993
65,1024,43631,12551,13252,8566
66,1024,43436,12587,13445,8532
67,1024,43587,12560,13209,8644
68,1024,41717,12828,13850,9605
69,1024,39613,14278,12998,11111
70,1024,41843,14316,12418,9423
71,1024,39673,15147,12481,10699
72,1024,39731,15082,12371,10816
73,1024,41985,14877,11956,9182
74,1024,39792,14084,13409,10715
75,1024,40031,14162,13607,10200
76,1024,40323,14021,13547,10109
77,1024,41793,14016,12898,9293
78,1024,42062,14018,12652,9268
79,1024,40201,13560,14082,10157
80,1024,38718,14074,14275,10933
81,1024,36324,14962,14430,12284
82,1024,36724,15307,14402,11567
83,1024,36830,15256,14389,11525
84,1024,36269,15184,14549,11998
85,1024,34070,16148,14199,13583
86,1024,34185,15991,14344,13480
87,1024,33851,15989,14277,13883
88,1024,33405,16158,13900,14537
89,1024,31223,15742,14768,16267
90,1024,30618,15667,14514,17201
91,1024,30598,15748,14552,17102
92,1024,30696,15696,14438,17170
93,1024,30544,15733,14656,17067
94,1024,32312,16036,13812,15840
95,1024,30254,16044,13889,17813
96,1024,28685,15959,14927,18429
97,1024,30349,16393,13872,17386
98,1024,32893,16993,12554,15560
99,1024,34757,16306,13060,13877
100,1024,34061,15997,13130,14812
101,1024,36080,15246,13243,13431
102,1024,34110,14926,14283,14681
103,1024,32510,15286,14249,15955
104,1024,32121,15097,14442,16340
105,1024,32022,15131,14419,16428
106,1024,30455,15945,14217,17383
107,1024,29749,15670,14291,18290
108,1024,31955,14498,14957,16590
109,1024,31235,14192,15442,17131
110,1024,31244,14058,15216,17482
111,1024,28831,13938,15524,19707
112,1024,30179,13857,15399,18565
113,1024,28400,14284,15350,19966
114,1024,27111,13988,16047,20854
115,1024,24831,13837,16376,22956
116,1024,26995,13617,16488,20900
117,1024,25153,14039,15960,22848
118,1024,25094,14164,15833,22909
119,1024,23197,14598,15964,24241
120,1024,21904,14592,15720,25784
121,1024,21634,14456,15913,25997
122,1024,22738,14914,15226,25122
123,1024,23257,15020,15275,24448
124,1024,21435,15711,14415,26439
125,1024,21375,15740,14469,26416
126,1024,21348,15717,14478,26457
127,1024,19504,15437,14312,28747
128,1024,19555,15470,14464,28511
129,1024,18966,15646,13607,29781
130,1024,16895,14903,14127,32075
