round,seed,coop,exploit,exploit_,defect
1,1024,29294,11693,17540,19473
2,1024,26975,12878,16586,21561
3,1024,27901,12613,16501,20985
4,1024,28532,12270,16830,20368
5,1024,28649,12405,17158,19788
6,1024,28664,12401,17285,19650
7,1024,29553,12144,17300,19003
8,1024,29097,12233,17396,19274
9,1024,27037,13144,16807,21012
10,1024,27490,13063,16901,20546
11,1024,27718,13276,16882,20124
12,1024,27689,13168,16783,20360
13,1024,29137,13220,16428,19215
14,1024,28431,12904,16586,20079
15,1024,28432,12829,16768,19971
16,1024,26677,13364,16593,21366
17,1024,26877,13224,16513,21386
18,1024,25375,13259,16788,22578
19,1024,25873,12987,16600,22540
20,1024,27055,13219,15945,21781
21,1024,29293,12597,16813,19297
22,1024,28429,12954,16481,20136
23,1024,28466,12887,16425,20222
24,1024,29418,12842,16416,19324
25,1024,29288,12916,16300,19496
26,1024,30572,13505,15650,18273
27,1024,29504,13857,15423,19216
28,1024,29872,13662,15295,19171
29,1024,30471,13371,15351,18807
30,1024,30850,13338,15689,18123
31,1024,29024,13333,16554,19089
32,1024,28909,13128,16640,19323
33,1024,28210,13060,16577,20153
34,1024,26312,12944,16438,22306
35,1024,26586,12973,16775,21666
36,1024,26693,12916,16827,21564
37,1024,24495,13736,16103,23666
38,1024,26072,13699,15603,22626
39,1024,24160,14550,14974,24316
40,1024,24197,14449,14984,24370
41,1024,24676,14595,15099,23630
42,1024,25123,14602,14867,23408
43,1024,26001,14566,15284,22149
44,1024,25911,14577,15119,22393
45,1024,24605,15087,14639,23669
46,1024,24136,15043,14604,24217
47,1024,24191,14994,14567,24248
48,1024,22668,14913,14994,25425
49,1024,24680,15441,14138,23741
50,1024,24605,15601,14276,23518
51,1024,24628,15462,14212,23698
52,1024,24603,15477,14234,23686
53,1024,26387,14935,14555,22123
54,1024,27855,14486,14663,20996
55,1024,26938,14602,14600,21860
56,1024,25406,14317,15321,22956
57,1024,24273,14192,15351,24184
58,1024,25127,14771,15095,23007
59,1024,24751,14842,15277,23130
60,1024,23113,14019,15702,25166
61,1024,24497,14342,15283,23878
62,1024,24471,14491,15312,23726
63,1024,25816,14936,14743,22505
64,1024,25727,14838,14799,22636
65,1024,25802,15088,14774,22336
66,1024,25313,14970,14487,23230
67,1024,23456,15553,14132,24859
68,1024,25715,15812,13655,22818
69,1024,25688,15813,13767,22732
70,1024,24189,15384,13943,24484
71,1024,25206,15133,14311,23350
72,1024,23856,14579,14646,24919
73,1024,24980,14689,14586,23745
74,1024,23796,14357,15072,24775
75,1024,24123,14327,15616,23934
76,1024,24743,14081,15359,23817
77,1024,25992,14357,15301,22350
78,1024,26004,14440,15098,22458
79,1024,26617,14649,15026,21708
80,1024,27028,14406,15028,21538
81,1024,26665,14426,14771,22138
82,1024,24631,14471,15170,23728
83,1024,24880,14393,15202,23525
84,1024,24763,14380,15263,23594
85,1024,25357,14440,15422,22781
86,1024,24627,14321,15747,23305
87,1024,24855,14220,15580,23345
88,1024,24510,14298,15468,23724
89,1024,22481,13475,15934,26110
90,1024,22638,13590,15996,25776
91,1024,24017,14183,15486,24314
92,1024,25625,13471,15971,22933
93,1024,25611,13457,16041,22891
94,1024,27636,13733,15214,21417
95,1024,26995,13727,15274,22004
96,1024,27382,13948,15232,21438
97,1024,27494,14381,15110,21015
98,1024,26037,13836,15767,22360
99,1024,24196,14206,15103,24495
100,1024,23913,14133,15102,24852
101,1024,24031,14210,15001,24758
102,1024,23405,13902,15508,25185
103,1024,25335,13834,15346,23485
104,1024,26825,13927,15178,22070
105,1024,24872,13592,15370,24166
106,1024,23416,13840,15130,25614
107,1024,25156,14070,14868,23906
108,1024,24931,14203,14987,23879
109,1024,26317,14511,14503,22669
110,1024,26224,14494,14508,22774
111,1024,25177,14274,14545,24004
112,1024,25006,14365,14654,23975
113,1024,25086,14399,14628,23887
114,1024,25441,14761,14391,23407
115,1024,25511,14855,14614,23020
116,1024,25886,14561,14500,23053
117,1024,27416,14333,14683,21568
118,1024,27398,14255,14660,21687
119,1024,27253,14463,14724,21560
120,1024,27524,14225,14641,21610
121,1024,27297,14090,14762,21851
122,1024,28377,14419,14308,20896
123,1024,28469,14484,14120,20927
124,1024,30270,13952,14666,19112
125,1024,30188,14115,14731,18966
126,1024,28661,13382,15287,20670
127,1024,28621,13407,15220,20752
128,1024,29929,13289,15356,19426
129,1024,29346,13456,15184,20014
130,1024,31184,13621,14913,18282
