round,seed,coop,exploit,exploit_,defect
1,1024,29294,11693,17540,19473
2,1024,26975,12878,16586,21561
3,1024,27901,12613,16501,20985
4,1024,28532,12270,16830,20368
5,1024,29143,12161,17468,19228
6,1024,29101,12167,17630,19102
7,1024,29915,11957,17652,18476
8,1024,29898,12166,17788,18148
9,1024,29603,12332,17514,18551
10,1024,29900,12304,17693,18103
11,1024,29746,12348,17702,18204
12,1024,28067,12626,17572,19735
13,1024,29587,12625,17074,18714
14,1024,27429,12098,17973,20500
15,1024,29627,11304,18567,18502
16,1024,29809,11283,18878,18030
17,1024,30000,11181,18767,18052
18,1024,27535,11012,19584,19869
19,1024,27812,10813,19508,19867
20,1024,29731,11340,18583,18346
21,1024,29642,11567,18710,18081
22,1024,29100,11849,18126,18925
23,1024,29518,11705,18474,18303
24,1024,28219,11693,18987,19101
25,1024,29811,11237,18787,18165
26,1024,29508,11405,18889,18198
27,1024,28467,11922,18782,18829
28,1024,29154,11878,18812,18156
29,1024,27831,12977,18556,18636
30,1024,28111,12761,18779,18349
31,1024,29964,13522,18115,16399
32,1024,29970,13360,18006,16664
33,1024,31737,13223,17290,15750
34,1024,31453,13057,17260,16230
35,1024,31600,13107,17413,15880
36,1024,31576,12953,17561,15910
37,1024,29753,13998,17070,17179
38,1024,31314,13838,16589,16259
39,1024,33523,12352,17520,14605
40,1024,33295,12356,17603,14746
41,1024,33481,12443,17719,14357
42,1024,35995,12875,16420,12710
43,1024,35177,13172,16283,13368
44,1024,35233,12965,16294,13508
45,1024,35317,12967,16276,13440
46,1024,33414,13393,16559,14634
47,1024,31316,14397,15944,16343
48,1024,29110,14340,16687,17863
49,1024,27094,13656,17278,19972
50,1024,29049,12964,17905,18082
51,1024,29476,12830,18147,17547
52,1024,29435,12860,18096,17609
53,1024,31674,11866,18628,15832
54,1024,33251,11160,18617,14972
55,1024,32575,11300,18370,15755
56,1024,30583,10888,19422,17107
57,1024,29022,10890,19931,18157
58,1024,27194,10067,20917,19822
59,1024,26760,10264,21226,19750
60,1024,28971,10785,20330,17914
61,1024,28559,10250,20372,18819
62,1024,28150,10319,20055,19476
63,1024,29562,10786,19233,18419
64,1024,31284,10561,18907,17248
65,1024,31502,10564,19184,16750
66,1024,31744,10370,19160,16726
67,1024,29241,11477,18441,18841
68,1024,31096,11399,17739,17766
69,1024,28688,12703,16994,19615
70,1024,28696,12742,17060,19502
71,1024,28796,12769,16982,19453
72,1024,27135,12305,17619,20941
73,1024,28465,12509,17205,19821
74,1024,27252,12073,17927,20748
75,1024,27573,11914,18413,20100
76,1024,25792,11653,18596,21959
77,1024,27611,12010,18321,20058
78,1024,27415,12069,17872,20644
79,1024,29268,12563,17016,19153
80,1024,30896,12243,16933,17928
81,1024,30443,12245,16854,18458
82,1024,30489,12349,16848,18314
83,1024,30550,12275,16731,18444
84,1024,32087,12715,16261,16937
85,1024,32473,12638,16053,16836
86,1024,32276,12583,16122,17019
87,1024,32635,12707,16089,16569
88,1024,29993,13693,15856,18458
89,1024,28059,13061,16183,20697
90,1024,28155,13052,16450,20343
91,1024,29637,13532,15772,19059
92,1024,31510,12787,16150,17553
93,1024,29530,12425,16576,19469
94,1024,31482,12912,15693,17913
95,1024,31022,12733,15653,18592
96,1024,31560,13351,15534,17555
97,1024,31841,13535,15342,17282
98,1024,31985,13418,15272,17325
99,1024,30015,14060,14882,19043
100,1024,29441,13988,15003,19568
101,1024,28865,14108,14846,20181
102,1024,28556,13756,15087,20601
103,1024,28414,13925,15184,20477
104,1024,27028,13725,15515,21732
105,1024,27360,13623,15152,21865
106,1024,29065,13078,15668,20189
107,1024,30842,13248,15369,18541
108,1024,30596,13265,15461,18678
109,1024,29811,12927,15740,19522
110,1024,31964,13087,15387,17562
111,1024,32438,12908,15549,17105
112,1024,32961,12945,15426,16668
113,1024,32994,12861,15489,16656
114,1024,32820,13060,15530,16590
115,1024,32945,13023,15701,16331
116,1024,33237,12898,15674,16191
117,1024,34703,12651,15650,14996
118,1024,32663,13566,15051,16720
119,1024,32554,13644,14908,16894
120,1024,30850,13797,14952,18401
121,1024,30758,13911,14862,18469
122,1024,32060,14248,14356,17336
123,1024,30328,14346,14329,18997
124,1024,30188,14482,14164,19166
125,1024,29942,14216,14341,19501
126,1024,28362,13827,14932,20879
127,1024,29845,13809,15042,19304
128,1024,29458,13909,14873,19760
129,1024,28932,13978,14896,20194
130,1024,28354,13736,14843,21067
