round,seed,exploit,defect,exploit_,coop
1,123,16748,19552,12142,29558
2,123,16308,20382,12501,28809
3,123,16463,22568,12671,26298
4,123,16785,23566,12335,25314
5,123,16534,24928,12488,24050
6,123,16604,24688,12701,24007
7,123,15927,23601,12938,25534
8,123,16256,23024,13004,25716
9,123,16439,25113,12743,23705
10,123,15744,26203,12879,23174
11,123,15261,24713,13652,24374
12,123,15241,24839,13577,24343
13,123,14680,26289,14223,22808
14,123,15025,24586,14014,24375
15,123,14792,25085,13772,24351
16,123,15059,24556,14000,24385
17,123,14885,24513,13941,24661
18,123,14757,24288,14171,24784
19,123,14569,24394,13866,25171
20,123,14811,24217,14166,24806
21,123,14901,25643,13851,23605
22,123,15066,25059,13875,24000
23,123,14859,24595,14096,24450
24,123,14778,24211,14338,24673
25,123,15376,25525,13571,23528
26,123,15171,24562,13658,24609
27,123,15018,26221,14027,22734
28,123,14790,24995,13750,24465
29,123,15089,24919,14110,23882
30,123,15576,24460,13579,24385
31,123,15417,24502,13435,24646
32,123,15424,24521,13545,24510
33,123,15402,24327,13735,24536
34,123,15520,24342,13726,24412
35,123,15889,25285,13412,23414
36,123,15959,23849,13313,24879
37,123,15905,23471,13365,25259
38,123,15881,23213,13514,25392
39,123,15701,24294,13650,24355
40,123,15680,24119,13561,24640
41,123,16176,22814,13130,25880
42,123,16440,22392,13097,26071
43,123,16446,21928,12959,26667
44,123,16456,21930,13022,26592
45,123,16643,22036,13018,26303
46,123,16835,23382,12827,24956
47,123,17201,22819,12746,25234
48,123,16892,21552,12930,26626
49,123,17264,20878,12464,27394
50,123,17302,20869,12583,27246
51,123,17407,20947,12705,26941
52,123,17154,19833,12447,28566
53,123,16227,21870,13368,26535
54,123,15455,20490,13777,28278
55,123,15617,20757,14107,27519
56,123,15128,21562,13804,27506
57,123,15166,21267,14012,27555
58,123,15202,22033,13726,27039
59,123,14467,20354,14388,28791
60,123,14122,21454,14578,27846
61,123,14248,21770,14660,27322
62,123,14112,23031,14752,26105
63,123,14092,24405,14979,24524
64,123,14162,24193,14862,24783
65,123,13970,25328,14967,23735
66,123,14043,25452,14962,23543
67,123,14258,24807,14839,24096
68,123,14415,25489,14587,23509
69,123,15210,26817,14078,21895
70,123,15256,24704,13810,24230
71,123,15534,25531,13980,22955
72,123,16259,27928,13211,20602
73,123,16147,26476,13264,22113
74,123,16747,27891,12477,20885
75,123,17334,29113,11995,19558
76,123,17255,29739,11854,19152
77,123,16945,28238,12303,20514
78,123,17023,28443,12342,20192
79,123,17298,29271,11859,19572
80,123,15834,31843,12794,17529
81,123,16057,31504,12798,17641
82,123,15326,29303,14034,19337
83,123,15705,27629,13624,21042
84,123,15059,26309,13979,22653
85,123,15140,27762,14290,20808
86,123,14977,29135,14320,19568
87,123,15612,27054,14005,21329
88,123,15955,28593,13669,19783
89,123,15962,28729,13755,19554
90,123,16186,27069,13528,21217
91,123,15873,26119,13677,22331
92,123,15435,27670,13879,21016
93,123,15485,27489,14161,20865
94,123,15128,26203,14219,22450
95,123,14993,25737,14527,22743
96,123,15101,25628,14605,22666
97,123,15060,25429,14566,22945
98,123,15031,26130,14254,22585
99,123,15088,26390,14236,22286
100,123,14854,26447,14346,22353
101,123,14605,24745,14560,24090
102,123,14522,26267,15055,22156
103,123,13754,27700,15403,21143
104,123,13803,27680,15369,21148
105,123,13892,28123,15555,20430
106,123,14186,27661,15144,21009
107,123,14178,26319,15876,21627
108,123,13761,27736,16426,20077
109,123,14053,26317,15968,21662
110,123,13157,25177,16672,22994
111,123,13335,24842,16818,23005
112,123,14184,22930,15853,25033
