round,seed,exploit,defect,exploit_,coop
1,123,16748,19552,12142,29558
2,123,16815,19438,12085,29662
3,123,16946,20071,12241,28742
4,123,17718,22103,11519,26660
5,123,17768,21834,11403,26995
6,123,17667,22254,11472,26607
7,123,16946,20080,12062,28912
8,123,16988,19888,12181,28943
9,123,17079,21994,12081,26846
10,123,16748,22541,12184,26527
11,123,16121,20834,13121,27924
12,123,15959,21184,12719,28138
13,123,15816,22186,13378,26620
14,123,15899,20879,13053,28169
15,123,15830,20914,12908,28348
16,123,15777,19516,13391,29316
17,123,15575,19763,13240,29422
18,123,15613,19315,13603,29469
19,123,14619,17845,13855,31681
20,123,14673,17972,14074,31281
21,123,15030,19084,13952,29934
22,123,15090,20180,14300,28430
23,123,14826,19899,14539,28736
24,123,15002,20291,14478,28229
25,123,15573,21771,13553,27103
26,123,15538,20241,13860,28361
27,123,15336,21756,14315,26593
28,123,15453,19709,13995,28843
29,123,15453,19644,14173,28730
30,123,15990,19114,13746,29150
31,123,15605,19932,13834,28629
32,123,15526,19752,13905,28817
33,123,15275,21125,14550,27050
34,123,15413,21080,14755,26752
35,123,15879,23040,13755,25326
36,123,16059,21666,13565,26710
37,123,16153,21708,13594,26545
38,123,15868,21660,13563,26909
39,123,16376,20105,12897,28622
40,123,16388,19877,12735,29000
41,123,17153,17979,12046,30822
42,123,16960,18975,12399,29666
43,123,16858,19435,12539,29168
44,123,17098,18527,12418,29957
45,123,17088,20027,12890,27995
46,123,17545,21131,12939,26385
47,123,17201,21598,12990,26211
48,123,16677,20366,13342,27615
49,123,17175,19726,12905,28194
50,123,17245,19246,12978,28531
51,123,17217,19333,13107,28343
52,123,17078,18291,12769,29862
53,123,16087,20093,13727,28093
54,123,17182,21492,13226,26100
55,123,17645,20781,13474,26100
56,123,17123,21162,13020,26695
57,123,17674,19377,12411,28538
58,123,17817,20278,12055,27850
59,123,16749,18284,13258,29709
60,123,16350,19643,13928,28079
61,123,16198,19628,13831,28343
62,123,16227,21629,14008,26136
63,123,16187,21550,13897,26366
64,123,16035,22322,13821,25822
65,123,16367,23056,14214,24363
66,123,16235,23187,14181,24397
67,123,16626,21932,13698,25744
68,123,16436,21102,14021,26441
69,123,17280,22548,13455,24717
70,123,17528,20568,13110,26794
71,123,17634,20047,13264,27055
72,123,18184,21478,12914,25424
73,123,18097,21969,12973,24961
74,123,18200,21730,12911,25159
75,123,17874,21194,13351,25581
76,123,17938,21636,13292,25134
77,123,17299,20240,13580,26881
78,123,16842,19044,13606,28508
79,123,17046,20043,12964,27947
80,123,16280,21243,13435,27042
81,123,16356,22362,13804,25478
82,123,15409,20286,14706,27599
83,123,15148,20278,14747,27827
84,123,15340,20358,14706,27596
85,123,15318,21674,15178,25830
86,123,15032,21380,15157,26431
87,123,15367,19396,14709,28528
88,123,14815,18089,15177,29919
89,123,14678,17491,15454,30377
90,123,14634,16304,14903,32159
91,123,14301,15489,14816,33394
92,123,14102,15363,14506,34029
93,123,14842,16661,14798,31699
94,123,15162,17953,14794,30091
95,123,16087,18617,14605,28691
96,123,16185,19139,14423,28253
97,123,15880,19195,14450,28475
98,123,16419,20891,14147,26543
99,123,16764,20938,14257,26041
100,123,16506,20603,14395,26496
101,123,15767,18490,14787,28956
102,123,15759,19741,15527,26973
103,123,15830,18998,14682,28490
104,123,15995,18534,14796,28675
105,123,16137,17832,15018,29013
106,123,16116,18060,14837,28987
107,123,16755,19154,14860,27231
108,123,16518,20001,15664,25817
109,123,16756,18358,15170,27716
110,123,16593,18873,14916,27618
111,123,16807,18465,15003,27725
112,123,17309,17962,14650,28079
113,123,17187,18020,14836,27957
114,123,17182,17833,14729,28256
115,123,16938,16224,14448,30390
116,123,16337,17858,15508,28297
117,123,16719,19474,15713,26094
118,123,16373,20327,15487,25813
119,123,16509,20216,15433,25842
120,123,16590,20255,15496,25659
121,123,16370,20203,15436,25991
122,123,16488,19198,16148,26166
123,123,16358,19277,16017,26348
124,123,16199,19435,15951,26415
125,123,15814,18217,16049,27920
126,123,15953,19261,16524,26262
127,123,15833,19206,16569,26392
128,123,15944,19145,16632,26279
129,123,16379,19760,16905,24956
130,123,16130,21780,17057,23033
131,123,16091,22872,16396,22641
132,123,16130,23417,16182,22271
133,123,16453,21343,15835,24369
134,123,16018,19606,16133,26243
135,123,15338,17973,16685,28004
136,123,15327,17430,17046,28197
137,123,15639,18214,16296,27851
138,123,15550,18594,16162,27694
139,123,16013,17153,15108,29726
140,123,15928,18094,16152,27826
141,123,16711,19885,15364,26040
142,123,16788,21023,14699,25490
143,123,16723,21086,15123,25068
144,123,17134,19839,15265,25762
145,123,16981,19842,15137,26040
146,123,17614,21688,14479,24219
147,123,18096,23348,14204,22352
148,123,18438,24566,13326,21670
149,123,17698,26641,13709,19952
150,123,17710,25378,13643,21269
151,123,17629,25480,13648,21243
152,123,17452,25922,13627,20999
153,123,17541,25825,13840,20794
154,123,17645,23671,13663,23021
155,123,17676,24079,13611,22634
156,123,16738,26091,14256,20915
157,123,16368,24754,14577,22301
158,123,15687,23943,14822,23548
159,123,15902,25525,14670,21903
160,123,16797,27937,13354,19912
161,123,17591,25693,12981,21735
162,123,17626,25703,13050,21621
163,123,18285,26483,12698,20534
164,123,18652,27388,12367,19593
165,123,18609,27562,12475,19354
166,123,18564,28838,11885,18713
167,123,18407,28915,11970,18708
168,123,17617,26476,13285,20622
169,123,17398,25308,13918,21376
170,123,17462,27273,13682,19583
171,123,17547,26776,13843,19834
172,123,17466,28095,13171,19268
173,123,17524,26072,13522,20882
174,123,17060,26910,13323,20707
175,123,17303,27071,13433,20193
176,123,16189,28864,14341,18606
177,123,16012,29137,14148,18703
178,123,16396,28257,13885,19462
179,123,16900,26098,13350,21652
180,123,17416,26995,13119,20470
181,123,16844,28798,13326,19032
182,123,16910,28929,13468,18693
183,123,16995,28890,13371,18744
184,123,17113,28777,13421,18689
185,123,16989,28926,13243,18842
186,123,16350,30194,13283,18173
187,123,17366,32406,12079,16149
188,123,17096,32512,11973,16419
189,123,17284,33939,11760,15017
190,123,16911,32563,12310,16216
191,123,16788,33943,12296,14973
192,123,16726,33962,12213,15099
193,123,16996,34713,12175,14116
194,123,16408,33389,12925,15278
195,123,16375,33431,12820,15374
196,123,16142,32060,13771,16027
197,123,15167,34305,14086,14442
198,123,15360,31932,14551,16157
199,123,15303,31987,14723,15987
200,123,15382,30587,14722,17309
201,123,14747,29843,15071,18339
202,123,14906,29758,15239,18097
203,123,13538,31871,15929,16662
204,123,13533,31259,16365,16843
205,123,13533,31107,16414,16946
206,123,13131,32723,15901,16245
207,123,13509,34120,15412,14959
208,123,13543,33853,15514,15090
209,123,13589,33366,15777,15268
210,123,14387,31060,15587,16966
211,123,13511,29831,16269,18389
212,123,13622,30003,16312,18063
213,123,13476,29899,16329,18296
214,123,13188,30724,16214,17874
215,123,12674,28562,17177,19587
216,123,12477,27413,17341,20769
217,123,12570,27624,17121,20685
218,123,12734,27012,17068,21186
219,123,13070,25914,16803,22213
220,123,12963,26252,16597,22188
221,123,13648,28105,15763,20484
222,123,13409,29074,15431,20086
223,123,13550,28913,15660,19877
224,123,13575,29022,15621,19782
225,123,13527,28992,15507,19974
226,123,13805,31117,14998,18080
227,123,14016,29071,14929,19984
228,123,14026,28535,15152,20287
229,123,13988,28335,15243,20434
230,123,13416,30183,15574,18827
231,123,14014,31299,15175,17512
232,123,13898,31493,15060,17549
233,123,12558,33644,15854,15944
234,123,12638,33615,15900,15847
235,123,12529,34467,15440,15564
236,123,12779,35221,14970,15030
237,123,12213,37496,14847,13444
238,123,12593,36818,14659,13930
239,123,13030,34292,15275,15403
240,123,13217,35432,14908,14443
241,123,13207,34938,15083,14772
242,123,12484,32559,16489,16468
243,123,13121,31799,16378,16702
244,123,13072,31781,16085,17062
245,123,13285,31684,16500,16531
246,123,12940,33315,16081,15664
247,123,13037,33213,16174,15576
248,123,13178,32510,15913,16399
249,123,12904,33171,16338,15587
250,123,13821,31656,15918,16605
251,123,13690,31706,15757,16847
252,123,14190,30453,15385,17972
253,123,14458,28854,15280,19408
254,123,13970,30294,14945,18791
255,123,13828,31661,15075,17436
256,123,14042,31696,15169,17093
257,123,13509,30553,15498,18440
258,123,13312,29888,15487,19313
259,123,13273,29723,15620,19384
260,123,13685,31869,14727,17719
261,123,14112,33288,13905,16695
262,123,14060,33159,13893,16888
263,123,13990,32158,14106,17746
264,123,13754,32050,14123,18073
265,123,13992,30727,14115,19166
266,123,13872,29152,14449,20527
267,123,13944,30345,14511,19200
