round,seed,coop,exploit_,exploit,defect
1,128,29446,17459,11734,19361
2,128,28437,17149,11853,20561
3,128,26150,17065,12100,22685
4,128,27819,16595,12614,20972
5,128,28167,16420,12506,20907
6,128,29435,15906,12989,19670
7,128,29387,15903,12947,19763
8,128,29053,15834,12957,20156
9,128,29331,15573,12791,20305
10,128,29336,16009,12838,19817
11,128,30379,16030,12825,18766
12,128,31822,15543,13064,17571
13,128,31689,15386,13211,17714
14,128,30573,15641,13080,18706
15,128,33143,15262,12922,16673
16,128,32759,15179,13134,16928
17,128,33104,15043,13227,16626
18,128,33647,15066,13256,16031
19,128,34534,14772,13273,15421
20,128,34562,14910,13223,15305
21,128,34594,14621,13611,15174
22,128,35295,14372,13295,15038
23,128,33673,14058,14099,16170
24,128,30817,13547,15421,18215
25,128,32181,13278,15436,17105
26,128,33772,13483,15046,15699
27,128,32975,13318,15042,16665
28,128,32542,13641,14988,16829
29,128,31797,13686,15009,17508
30,128,30488,13801,15014,18697
31,128,30741,14042,15007,18210
32,128,30713,13741,15154,18392
33,128,29577,14213,14703,19507
34,128,31212,13934,14817,18037
35,128,30901,13960,14693,18446
36,128,31014,13913,14796,18277
37,128,31133,14032,14817,18018
38,128,31908,14094,14376,17622
39,128,29998,14137,14619,19246
40,128,29774,14315,14693,19218
41,128,27899,13499,15253,21349
42,128,29758,13288,15233,19721
43,128,28383,13824,15199,20594
44,128,28475,13777,15118,20630
45,128,28334,13733,15189,20744
46,128,29084,13562,15121,20233
47,128,28952,13662,14953,20433
48,128,27072,13761,15382,21785
49,128,27536,13769,15143,21552
50,128,27270,13963,15127,21640
51,128,25021,13951,15042,23986
52,128,25155,13664,14904,24277
53,128,25146,13872,15189,23793
54,128,23355,14033,14729,25883
55,128,22316,14303,14435,26946
56,128,22154,14454,14507,26885
57,128,22885,14207,14685,26223
58,128,24403,14007,14869,24721
59,128,24247,14019,14876,24858
60,128,22873,13728,15227,26172
61,128,23112,13458,15299,26131
62,128,23676,13496,15680,25148
63,128,24036,13451,15554,24959
64,128,23345,13416,15303,25936
65,128,21503,12723,15631,28143
66,128,21426,12760,15789,28025
67,128,21189,12898,15608,28305
68,128,21307,12825,15712,28156
69,128,20115,13278,15319,29288
70,128,20050,13246,15376,29328
71,128,20931,13682,14989,28398
72,128,21374,13749,15016,27861
73,128,20888,13687,14670,28755
74,128,20551,13790,14722,28937
75,128,20683,13717,14600,29000
76,128,21367,13926,14420,28287
77,128,21386,13981,14545,28088
78,128,21815,14286,14511,27388
79,128,23442,13613,15134,25811
80,128,24814,13600,15419,24167
81,128,26454,12910,16012,22624
82,128,24947,13548,15367,24138
83,128,23216,13709,15060,26015
84,128,21572,13358,15501,27569
85,128,21818,13179,15283,27720
86,128,20300,13079,15767,28854
87,128,20760,12742,15666,28832
88,128,18924,12497,16250,30329
89,128,17995,12124,16584,31297
90,128,18468,12078,17152,30302
91,128,17834,11371,17049,31746
92,128,17786,11333,16929,31952
93,128,16877,11143,16863,33117
94,128,16870,11241,16987,32902
95,128,16600,11294,17063,33043
96,128,16540,11024,16568,33868
97,128,17376,11564,16691,32369
98,128,16294,11531,16742,33433
99,128,14953,11419,15504,36124
100,128,13864,11185,16097,36854
101,128,14587,11192,16311,35910
102,128,15554,10986,16493,34967
103,128,14649,10973,16264,36114
104,128,14061,11426,16111,36402
105,128,14225,11242,15900,36633
106,128,15189,11292,16120,35399
107,128,16174,11428,16015,34383
108,128,16907,11734,16325,33034
109,128,16694,11543,16429,33334
110,128,16139,11574,16099,34188
111,128,17177,11919,15816,33088
112,128,17465,11962,16048,32525
113,128,15728,11446,15891,34935
114,128,17531,12507,15584,32378
115,128,16826,12662,14709,33803
116,128,17840,12629,15542,31989
117,128,19278,12881,15370,30471
118,128,20480,13034,15223,29263
119,128,20454,13136,15143,29267
120,128,20775,13109,15302,28814
121,128,20871,13488,15297,28344
122,128,19682,13266,14815,30237
123,128,19790,13262,15163,29785
124,128,21179,13045,15400,28376
125,128,21257,12907,15526,28310
126,128,20468,12828,15910,28794
127,128,20275,12595,15724,29406
128,128,22221,13901,15240,26638
129,128,22351,13721,15279,26649
130,128,22095,13874,14890,27141
131,128,22070,13961,14787,27182
132,128,20777,13800,14800,28623
133,128,20238,13830,15035,28897
134,128,20600,13505,14821,29074
135,128,22898,13246,15039,26817
136,128,23466,13266,15613,25655
137,128,23687,13326,15388,25599
138,128,24713,13697,15649,23941
139,128,26284,13663,15241,22812
140,128,26415,13778,15312,22495
141,128,27558,13173,15483,21786
142,128,27419,13390,15837,21354
