round,seed,defect,exploit_,exploit,coop
1,130,19346,12307,17135,29212
2,130,19338,12400,17029,29233
3,130,19478,12071,16760,29691
4,130,21529,12793,16449,27229
5,130,22572,12402,17192,25834
6,130,20777,12483,16779,27961
7,130,21096,12416,17033,27455
8,130,20999,12516,17256,27229
9,130,20519,12486,17148,27847
10,130,19638,12774,16865,28723
11,130,19548,12837,17029,28586
12,130,20054,12734,16804,28408
13,130,21344,12987,16775,26894
14,130,21335,13222,16811,26632
15,130,22905,13034,17066,24995
16,130,23919,12824,17685,23572
17,130,21758,12374,18190,25678
18,130,21006,11978,18735,26281
19,130,22122,11841,18603,25434
20,130,23872,12988,17570,23570
21,130,22148,12715,17795,25342
22,130,20768,12690,18218,26324
23,130,20908,12598,18140,26354
24,130,22207,12132,18918,24743
25,130,20502,11971,19090,26437
26,130,19405,12372,18279,27944
27,130,19311,12320,18003,28366
28,130,19243,12295,18266,28196
29,130,20876,12460,18227,26437
30,130,22112,12564,18646,24678
31,130,21369,11917,18684,26030
32,130,21591,11878,18564,25967
33,130,20704,11907,19270,26119
34,130,22752,12114,18879,24255
35,130,20709,13001,18179,26111
36,130,19710,13520,17034,27736
37,130,19541,13389,17076,27994
38,130,17575,13644,16811,29970
39,130,17918,13524,16506,30052
40,130,18111,13376,16808,29705
41,130,17156,13577,16873,30394
42,130,16340,13835,15994,31831
43,130,18184,14362,15661,29793
44,130,18796,14187,15729,29288
45,130,18652,14130,15752,29466
46,130,18777,14035,15603,29585
47,130,20571,13484,16645,27300
48,130,22603,13458,16881,25058
49,130,22571,13636,16865,24928
50,130,21635,13413,16568,26384
51,130,23620,13737,16213,24430
52,130,24696,13403,16172,23729
53,130,24860,13389,16145,23606
54,130,26696,12422,16989,21893
55,130,25342,12903,16587,23168
56,130,26633,13054,16340,21973
57,130,26257,13263,16356,22124
58,130,28643,12248,17150,19959
59,130,27200,11972,17491,21337
60,130,25362,12111,17582,22945
61,130,26793,11335,17746,22126
62,130,27538,11944,17419,21099
63,130,27962,11732,17399,20907
64,130,26668,11944,17381,22007
65,130,25788,12119,17634,22459
66,130,23823,11143,18576,24458
67,130,24446,10885,19426,23243
68,130,23032,11522,18776,24670
69,130,24286,11651,18701,23362
70,130,23377,11839,18783,24001
71,130,22341,12034,18865,24760
72,130,23307,12277,18385,24031
73,130,23075,12309,18406,24210
74,130,22277,12501,18557,24665
75,130,22943,12439,18211,24407
76,130,20874,13573,17311,26242
77,130,21047,13452,17214,26287
78,130,22329,14113,17000,24558
79,130,22187,13839,17040,24934
80,130,24082,13721,17460,22737
81,130,22122,13070,18137,24671
82,130,21302,13549,17994,25155
83,130,19336,14266,17157,27241
84,130,17577,13873,17327,29223
85,130,16596,13479,17956,29969
86,130,16207,13376,18288,30129
87,130,17753,13270,18675,28302
88,130,17726,13305,18822,28147
89,130,16567,13420,18162,29851
90,130,18458,13472,18444,27626
91,130,17383,13639,18639,28339
92,130,17248,13659,18651,28442
93,130,17490,13620,18586,28304
94,130,15385,14115,17951,30549
95,130,16415,14421,18391,28773
96,130,16287,14355,18532,28826
97,130,16345,14261,18353,29041
98,130,18028,13373,19778,26821
99,130,17404,13522,19821,27253
100,130,18984,13099,20538,25379
101,130,17271,14046,19456,27227
102,130,16388,14993,19094,27525
103,130,17858,16311,18088,25743
104,130,19452,16331,18223,23994
105,130,19492,16375,18295,23838
106,130,20394,15775,19349,22482
107,130,18938,16952,17835,24275
108,130,17329,17450,17152,26069
109,130,18148,18977,16406,24469
110,130,19690,18352,17343,22615
111,130,19677,18293,17322,22708
112,130,19023,18704,17310,22963
113,130,17268,18726,17229,24777
114,130,17535,18461,17131,24873
115,130,17441,18804,17125,24630
116,130,17433,18567,17268,24732
117,130,15989,17824,17672,26515
118,130,15774,18078,17742,26406
119,130,15950,17846,17567,26637
120,130,15942,17796,17587,26675
121,130,14544,17834,17074,28548
122,130,14318,17977,17179,28526
123,130,14420,17859,17087,28634
124,130,14124,17970,17269,28637
125,130,13025,18489,16045,30441
126,130,11663,17524,16326,32487
127,130,11713,17609,16178,32500
128,130,11794,17395,16344,32467
129,130,11837,17506,16163,32494
