round,seed,defect,exploit_,exploit,coop
1,130,19346,12307,17135,29212
2,130,19338,12400,17029,29233
3,130,19478,12071,16760,29691
4,130,21529,12793,16449,27229
5,130,22572,12402,17192,25834
6,130,20777,12483,16779,27961
7,130,21096,12416,17033,27455
8,130,20999,12516,17256,27229
9,130,20519,12486,17148,27847
10,130,19638,12774,16865,28723
11,130,19548,12837,17029,28586
12,130,20054,12734,16804,28408
13,130,21344,12987,16775,26894
14,130,21335,13222,16811,26632
15,130,22905,13034,17066,24995
16,130,23919,12824,17685,23572
17,130,21758,12374,18190,25678
18,130,22038,12340,18009,25613
19,130,23178,12193,17892,24737
20,130,25040,13315,16902,22743
21,130,24353,12922,16810,23915
22,130,23879,13055,16874,24192
23,130,24144,12979,16732,24145
24,130,25584,12433,17307,22676
25,130,25877,12555,17311,22257
26,130,25455,12716,17468,22361
27,130,26800,12324,17463,21413
28,130,26654,12357,17779,21210
29,130,27265,12508,17802,20425
30,130,28460,12573,18047,18920
31,130,27938,12111,18131,19820
32,130,28210,12036,17982,19772
33,130,27064,12102,18786,20048
34,130,27131,11970,18678,20221
35,130,25018,12866,18094,22022
36,130,25280,12841,18078,21801
37,130,24322,12997,17301,23380
38,130,22112,13312,17316,25260
39,130,22432,13166,17002,25400
40,130,21278,13724,16339,26659
41,130,20307,13864,16510,27319
42,130,19612,14173,15738,28477
43,130,20312,14533,15752,27403
44,130,22247,14119,16408,25226
45,130,22337,14059,16380,25224
46,130,22390,13966,16210,25434
47,130,24257,13250,17119,23374
48,130,24996,13096,17047,22861
49,130,25025,13259,17109,22607
50,130,24117,13160,16856,23867
51,130,26250,13430,16356,21964
52,130,27351,13103,16193,21353
53,130,27348,13168,16210,21274
54,130,29420,12047,16949,19584
55,130,27945,12586,16650,20819
56,130,29426,12697,16273,19604
57,130,28955,12958,16263,19824
58,130,31447,11792,17069,17692
59,130,29769,11706,17444,19081
60,130,28117,11658,17582,20643
61,130,29478,10978,17726,19818
62,130,30273,11623,17322,18782
63,130,30629,11451,17310,18610
64,130,29333,11587,17293,19787
65,130,28373,11843,17682,20102
66,130,27497,11320,17881,21302
67,130,28379,11052,18484,20085
68,130,28247,11126,18413,20214
69,130,29483,11180,18298,19039
70,130,28389,11516,18039,20056
71,130,27239,11586,18045,21130
72,130,26910,11503,18500,21087
73,130,26776,11561,18420,21243
74,130,25888,11740,18689,21683
75,130,26470,11687,18384,21459
76,130,24344,12843,17587,23226
77,130,23540,13003,16917,24540
78,130,23537,13246,16733,24484
79,130,23729,12856,16593,24822
80,130,23592,13171,16669,24568
81,130,21525,12569,17437,26469
82,130,20723,12820,17079,27378
83,130,18491,13572,16504,29433
84,130,18150,13425,16440,29985
85,130,17240,13089,17202,30469
86,130,18501,13902,16818,28779
87,130,20196,13716,17122,26966
88,130,21391,14158,17618,24833
89,130,23226,13750,17802,23222
90,130,25102,13866,17934,21098
91,130,25807,13996,17968,20229
92,130,25934,13986,17908,20172
93,130,25852,14001,17987,20160
94,130,25395,14095,18101,20409
95,130,26462,14214,18528,18796
96,130,26316,14255,18629,18800
97,130,26436,13933,18406,19225
98,130,28577,12756,19405,17262
99,130,27605,13130,19504,17761
100,130,27582,13126,19494,17798
101,130,27611,13044,19594,17751
102,130,26228,14502,19202,18068
103,130,24871,14086,20500,18543
104,130,24973,14042,20283,18702
105,130,25045,13873,20413,18669
106,130,25425,13784,21270,17521
107,130,25432,13770,21057,17741
108,130,23617,14552,20701,19130
109,130,24325,15898,19984,17793
110,130,26277,14883,20554,16286
111,130,26472,14799,20427,16302
112,130,26402,14883,20570,16145
113,130,26407,14835,20495,16263
114,130,27878,14473,19673,15976
115,130,27825,14708,19678,15789
116,130,25812,14956,19694,17538
117,130,25422,14598,19602,18378
118,130,26809,14264,18963,17964
119,130,26639,14265,18956,18140
120,130,26625,14311,18957,18107
121,130,26583,14375,18919,18123
122,130,24641,15128,18476,19755
123,130,26582,16156,17328,17934
124,130,25984,15511,17376,19129
125,130,28159,14723,17655,17463
126,130,28223,14739,17658,17380
127,130,27563,14213,17698,18526
128,130,27428,14325,17795,18452
129,130,28914,13880,17210,17996
