round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12069,30483,16816,18632
3,16,12608,29019,16442,19931
4,16,12353,29489,16601,19557
5,16,13028,27982,16708,20282
6,16,12904,28357,16564,20175
7,16,12953,28011,16748,20288
8,16,12549,26699,17248,21504
9,16,12448,28396,16914,20242
10,16,12649,28134,16961,20256
11,16,13427,26879,16515,21179
12,16,13358,28332,16106,20204
13,16,13412,26205,16196,22187
14,16,13414,26225,16177,22184
15,16,13354,24870,16363,23413
16,16,13615,24559,16500,23326
17,16,13287,26863,16486,21364
18,16,13141,26640,16845,21374
19,16,13157,26751,16588,21504
20,16,13234,26819,16670,21277
21,16,12971,27077,16806,21146
22,16,14004,25149,15871,22976
23,16,13933,23616,16548,23903
24,16,13761,24961,16401,22877
25,16,13809,24978,16395,22818
26,16,13870,25150,16183,22797
27,16,13703,25016,16241,23040
28,16,13765,25332,16503,22400
29,16,12800,27171,17025,21004
30,16,12740,27267,17406,20587
31,16,12896,28080,17420,19604
32,16,13124,28275,17431,19170
33,16,13283,28087,17580,19050
34,16,13081,28242,17494,19183
35,16,12863,30020,17148,17969
36,16,13169,28232,16992,19607
37,16,13084,28312,16798,19806
38,16,13707,29578,16004,18711
39,16,13105,31040,16297,17558
40,16,13269,30857,15923,17951
41,16,13252,30928,16338,17482
42,16,13158,31575,16208,17059
43,16,13180,31741,16421,16658
44,16,13120,31767,16499,16614
45,16,12933,31673,16201,17193
46,16,13045,31624,16133,17198
47,16,13431,32114,16134,16321
48,16,13412,32134,16150,16304
49,16,13826,34044,15120,15010
50,16,14315,36002,14237,13446
51,16,15089,34646,13648,14617
52,16,15069,33961,13953,15017
53,16,14904,34083,13925,15088
54,16,15122,33846,13932,15100
55,16,14969,34540,13922,14569
56,16,15612,32900,13875,15613
57,16,16125,30858,14139,16878
58,16,16423,29194,13746,18637
59,16,16527,28572,13821,19080
60,16,16375,28538,13918,19169
61,16,17444,30408,12780,17368
62,16,17635,28880,12678,18807
63,16,17740,28757,12837,18666
64,16,16837,30705,13150,17308
65,16,16782,30495,13216,17507
66,16,16889,30381,12751,17979
67,16,16956,30094,12840,18110
68,16,17043,30017,12826,18114
69,16,15602,32603,13770,16025
70,16,15487,32038,13898,16577
71,16,15234,32403,14227,16136
72,16,15109,32444,14247,16200
73,16,14236,34216,14520,15028
74,16,14543,34858,14227,14372
75,16,14094,36818,14483,12605
76,16,14304,36925,14345,12426
77,16,14115,39737,13367,10781
78,16,14447,37114,14081,12358
79,16,15552,35143,13646,13659
80,16,15506,35445,13525,13524
81,16,15676,34982,13433,13909
82,16,15702,35329,13493,13476
83,16,15615,35092,13560,13733
84,16,15602,35695,13555,13148
85,16,15604,35515,13725,13156
86,16,15503,34801,13922,13774
87,16,15427,33132,14370,15071
88,16,16300,35228,12946,13526
89,16,16118,35708,13343,12831
90,16,16740,33933,13394,13933
91,16,17076,34527,13100,13297
92,16,16746,34064,13369,13821
93,16,18268,31926,12686,15120
94,16,18118,32357,12614,14911
95,16,19252,30438,12255,16055
96,16,19063,28590,13577,16770
97,16,18315,26839,14351,18495
98,16,18090,26939,14471,18500
99,16,17005,28197,15030,17768
100,16,17073,28462,14883,17582
101,16,17211,28179,14750,17860
102,16,17346,28431,14814,17409
103,16,17294,28643,15136,16927
104,16,16978,28635,15098,17289
105,16,16956,28379,15235,17430
106,16,16124,30830,15479,15567
107,16,16321,30538,15545,15596
108,16,16494,28785,16274,16447
109,16,17648,26919,15294,18139
110,16,17595,26882,15228,18295
111,16,17533,26804,15282,18381
112,16,17786,25286,15622,19306
113,16,16734,27335,16589,17342
114,16,17229,27638,16415,16718
115,16,17412,27668,16327,16593
116,16,16749,27259,16319,17673
117,16,16715,27143,16575,17567
118,16,16557,27085,16695,17663
119,16,16683,27138,16557,17622
120,16,16554,27090,16655,17701
121,16,17258,28677,15464,16601
122,16,18162,27497,15136,17205
123,16,18438,29318,14615,15629
124,16,18571,29256,14513,15660
125,16,17225,27461,16030,17284
126,16,18547,25680,14990,18783
127,16,19116,25998,15005,17881
128,16,20141,27961,13740,16158
129,16,20164,27875,13919,16042
130,16,20153,27886,13729,16232
131,16,20176,27750,13779,16295
132,16,20611,28090,13550,15749
133,16,21494,28089,13462,14955
134,16,20748,28063,13545,15644
135,16,20207,29778,13183,14832
136,16,19818,29470,13270,15442
137,16,20158,31508,12479,13855
138,16,20497,32007,12216,13280
139,16,19866,33871,12307,11956
140,16,20029,33822,12139,12010
141,16,19939,33328,12163,12570
142,16,19834,33456,12187,12523
143,16,19839,33784,12013,12364
144,16,19401,33328,12254,13017
145,16,17978,35326,12694,12002
