round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12069,30483,16816,18632
3,16,12608,29019,16442,19931
4,16,12647,28645,16216,20492
5,16,13228,27132,16276,21364
6,16,13141,27489,16166,21204
7,16,13196,27165,16346,21293
8,16,12784,25906,16766,22544
9,16,12771,25815,16807,22607
10,16,12893,25632,16805,22670
11,16,13521,24417,16336,23726
12,16,13492,24314,16249,23945
13,16,13473,22296,16112,26119
14,16,13478,22276,16136,26110
15,16,13493,22419,16121,25967
16,16,13304,24312,16709,23675
17,16,13051,26349,16817,21783
18,16,12818,25106,17351,22725
19,16,12855,25174,17164,22807
20,16,12993,25125,17286,22596
21,16,13562,23954,16789,23695
22,16,14555,21844,15839,25762
23,16,15566,22294,15713,24427
24,16,15312,24110,15455,23123
25,16,15325,24135,15531,23009
26,16,15674,22811,15220,24295
27,16,14515,24457,16317,22711
28,16,14512,24890,16586,22012
29,16,15631,22984,15676,23709
30,16,15503,23181,15591,23725
31,16,16023,23680,15721,22576
32,16,16420,23713,15661,22206
33,16,17392,22210,15301,23097
34,16,17286,22200,15270,23244
35,16,17031,23974,14978,22017
36,16,16927,23599,14803,22671
37,16,16002,25009,14975,22014
38,16,16367,26133,14201,21299
39,16,16343,26127,14313,21217
40,16,15726,27362,14562,20350
41,16,15548,28367,14827,19258
42,16,15861,28635,14820,18684
43,16,15758,28535,14839,18868
44,16,15717,28448,15034,18801
45,16,15670,28041,14539,19750
46,16,15631,27867,14626,19876
47,16,16250,28502,14486,18762
48,16,16275,28039,14345,19341
49,16,15328,26269,15192,21211
50,16,15936,28074,14522,19468
51,16,16692,26963,14132,20213
52,16,16301,24843,14931,21925
53,16,16213,24897,15006,21884
54,16,16181,24984,14793,22042
55,16,16443,23331,15018,23208
56,16,16504,23051,15099,23346
57,16,15869,24871,15198,22062
58,16,15796,24651,14853,22700
59,16,15696,22565,15240,24499
60,16,15778,23954,14934,23334
61,16,16755,26040,13863,21342
62,16,16760,26384,13874,20982
63,16,16641,24766,14240,22353
64,16,16579,24924,14218,22279
65,16,16666,24713,14207,22414
66,16,16854,24545,14234,22367
67,16,16517,24804,14116,22563
68,16,16493,26327,13992,21188
69,16,15834,27859,14365,19942
70,16,15416,25711,14882,21991
71,16,15207,26270,15464,21059
72,16,15288,28342,15200,19170
73,16,14359,30313,15478,17850
74,16,13754,28899,16440,18907
75,16,14111,28826,16933,18130
76,16,13941,29115,16709,18235
77,16,14248,31082,16244,16426
78,16,13953,30964,16077,17006
79,16,14134,30584,16222,17060
80,16,13170,32670,16386,15774
81,16,14450,30401,15662,17487
82,16,14289,30780,15884,17047
83,16,15159,32885,14533,15423
84,16,15651,30946,14496,16907
85,16,16056,29059,14728,18157
86,16,15738,28283,14894,19085
87,16,15970,28502,14948,18580
88,16,15782,28739,14775,18704
89,16,14786,30809,15617,16788
90,16,14903,30821,15488,16788
91,16,15213,31437,15342,16008
92,16,14461,30880,15714,16945
93,16,14683,30935,15675,16707
94,16,14484,31224,15814,16478
95,16,15664,29497,15471,17368
96,16,15708,29503,15473,17316
97,16,15747,29378,15466,17409
98,16,15730,29795,15572,16903
99,16,14581,31315,16097,16007
100,16,14563,31768,16060,15609
101,16,14727,31326,16007,15940
102,16,14260,33166,15478,15096
103,16,13997,33636,16072,14295
104,16,13922,35243,15490,13345
105,16,13953,35431,15265,13351
106,16,14489,33642,15210,14659
107,16,14653,33460,15330,14557
108,16,14862,31641,15937,15560
109,16,15014,31570,15980,15436
110,16,14696,33436,15347,14521
111,16,14173,35066,15044,13717
112,16,14158,35554,15066,13222
113,16,14312,35242,15107,13339
114,16,14452,36086,14891,12571
115,16,14967,34235,15238,13560
116,16,14845,33276,15632,14247
117,16,13338,35843,16017,12802
118,16,13635,35183,15732,13450
119,16,13773,34385,15459,14383
120,16,13472,33766,15578,15184
121,16,14320,36042,14006,13632
122,16,13622,36872,14615,12891
123,16,13949,34890,15088,14073
124,16,13145,37135,15400,12320
125,16,12361,34775,16947,13917
126,16,12211,35196,16804,13789
127,16,12429,34681,16859,14031
128,16,11825,32646,17988,15541
129,16,11824,32918,18143,15115
130,16,12461,31090,17980,16469
131,16,12653,31227,17865,16255
132,16,12200,29658,19086,17056
133,16,12876,29810,18763,16551
134,16,12331,27707,19899,18063
135,16,12557,25854,19857,19732
136,16,12564,25735,19888,19813
137,16,12212,25551,19736,20501
138,16,11995,25397,19682,20926
139,16,12019,25139,19619,21223
140,16,12054,25271,19681,20994
141,16,12343,23319,19231,23107
142,16,12852,22080,19426,23642
143,16,12698,22375,19316,23611
144,16,11949,20317,19999,25735
145,16,12217,19822,19196,26765
