round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12069,30483,16816,18632
3,16,12608,29019,16442,19931
4,16,12353,29489,16601,19557
5,16,13028,27982,16708,20282
6,16,12904,28357,16564,20175
7,16,12953,28011,16748,20288
8,16,13095,28859,16530,19516
9,16,13060,28774,16502,19664
10,16,13251,29841,16202,18706
11,16,12804,30737,16602,17857
12,16,12764,32320,16190,16726
13,16,12840,30082,16460,18618
14,16,13422,31982,15329,17267
15,16,13154,33829,15004,16013
16,16,13469,33390,15209,15932
17,16,12981,35841,14856,14322
18,16,12631,36418,14962,13989
19,16,12958,36253,14946,13843
20,16,12904,36171,15071,13854
21,16,12743,36335,14859,14063
22,16,13984,33955,14246,15815
23,16,13814,32200,15179,16807
24,16,13782,32724,15114,16380
25,16,13894,32664,15202,16240
26,16,13796,33577,14881,15746
27,16,12407,35376,15965,14252
28,16,12277,35905,16008,13810
29,16,12594,35545,15734,14127
30,16,12479,35713,15995,13813
31,16,12629,36523,15792,13056
32,16,12800,36721,15768,12711
33,16,12716,36737,15920,12627
34,16,12474,36942,15893,12691
35,16,12202,39353,15482,10963
36,16,12623,37353,15536,12488
37,16,12436,37753,15751,12060
38,16,13054,39146,14757,11043
39,16,12221,41033,14788,9958
40,16,12341,40859,14601,10199
41,16,12206,41170,14704,9920
42,16,12124,40999,14631,10246
43,16,11933,41463,14958,9646
44,16,11618,41559,14868,9955
45,16,11867,41164,14830,10139
46,16,11316,38921,15984,11779
47,16,11586,38676,16241,11497
48,16,11051,40652,15862,10435
49,16,11271,43283,14608,8838
50,16,11365,42746,14797,9092
51,16,11442,42780,14652,9126
52,16,11353,42414,14750,9483
53,16,11588,41988,14635,9789
54,16,12039,41285,14609,10067
55,16,11671,42245,14330,9754
56,16,11680,42476,14408,9436
57,16,11711,42081,14332,9876
58,16,11911,41789,14306,9994
59,16,12030,41214,14421,10335
60,16,11838,41492,14383,10287
61,16,12696,43511,13286,8507
62,16,12530,43785,13172,8513
63,16,12744,41571,13813,9872
64,16,11563,44339,13653,8445
65,16,11932,43253,13952,8863
66,16,11952,43274,13905,8869
67,16,11790,43736,13972,8502
68,16,12062,43267,13959,8712
69,16,11837,43853,13740,8570
70,16,11967,42946,13955,9132
71,16,13002,40835,13783,10380
72,16,13032,41094,13597,10277
73,16,12964,41054,13614,10368
74,16,12767,41084,13552,10597
75,16,13561,38857,13798,11784
76,16,13383,39008,13780,11829
77,16,13495,40751,13166,10588
78,16,13354,40660,13269,10717
79,16,13518,40565,13188,10729
80,16,14006,39037,12877,12080
81,16,15048,36068,12787,14097
82,16,15187,35884,12766,14163
83,16,14800,33801,13806,15593
84,16,14771,34449,13657,15123
85,16,14326,36518,13619,13537
86,16,14290,36208,13683,13819
87,16,14603,36358,13549,13490
88,16,14970,38323,12701,12006
89,16,14677,38789,12351,12183
90,16,15376,36314,12781,13529
91,16,15320,37301,12274,13105
92,16,15240,36997,12460,13303
93,16,14097,39321,13198,11384
94,16,14116,39359,13056,11469
95,16,14036,39505,12893,11566
96,16,13414,37490,13989,13107
97,16,13927,39573,12999,11501
98,16,13897,40115,12806,11182
99,16,14116,39407,13119,11358
100,16,14984,37998,12575,12443
101,16,15211,37433,12604,12752
102,16,15329,35746,12865,14060
103,16,15309,36047,12748,13896
104,16,15377,35297,13031,14295
105,16,16154,33143,13134,15569
106,16,15772,33820,13105,15303
107,16,15920,34297,13211,14572
108,16,15872,34291,13095,14742
109,16,16027,34137,13050,14786
110,16,16168,34655,12937,14240
111,16,16108,34635,13072,14185
112,16,15840,36738,12600,12822
113,16,16192,36292,12401,13115
114,16,16462,36949,12251,12338
115,16,16944,35564,12211,13281
116,16,16724,34622,12641,14013
117,16,16307,35466,12907,13320
118,16,15154,37748,13104,11994
119,16,14463,39478,13188,10871
120,16,14415,39137,13282,11166
121,16,14953,41069,12148,9830
122,16,15897,39540,11752,10811
123,16,15810,39941,11550,10699
124,16,16303,39117,11692,10888
125,16,16328,39921,11265,10486
126,16,16362,39873,11234,10531
127,16,16633,40445,10997,9925
128,16,16394,40106,11228,10272
129,16,15469,42458,11256,8817
130,16,14372,44971,11073,7584
131,16,14345,44608,11237,7810
132,16,14438,44536,11229,7797
133,16,14532,45165,10850,7453
134,16,14624,44814,11193,7369
135,16,14525,44730,11027,7718
136,16,14450,42647,12193,8710
137,16,14543,41836,12408,9213
138,16,14296,44109,11390,8205
139,16,13761,46098,11157,6984
140,16,13770,45619,11050,7561
141,16,13827,45621,11196,7356
142,16,13748,45975,11035,7242
143,16,13528,46243,10947,7282
144,16,13640,45906,11074,7380
145,16,15377,43373,10591,8659
