round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12181,30822,16749,18248
3,16,12678,29443,16335,19544
4,16,12768,28955,16166,20111
5,16,13335,27530,16163,20972
6,16,13266,27861,16131,20742
7,16,12752,29739,16602,18907
8,16,12565,29671,16475,19289
9,16,12436,31524,16257,17783
10,16,12721,33427,15852,16000
11,16,13496,32127,15312,17065
12,16,13450,33778,14921,15851
13,16,13677,31406,15259,17658
14,16,14093,33460,14088,16359
15,16,14133,34040,14044,15783
16,16,14418,33032,14080,16470
17,16,14006,35053,13900,15041
18,16,14146,33586,14186,16082
19,16,14160,33360,14231,16249
20,16,14379,32938,14310,16373
21,16,13734,33925,14438,15903
22,16,14957,31455,13919,17669
23,16,15223,31709,13913,17155
24,16,14945,31091,13939,18025
25,16,14979,31174,13926,17921
26,16,14920,31732,13858,17490
27,16,14078,33142,14177,16603
28,16,14127,33050,14333,16490
29,16,13749,33893,14686,15672
30,16,13657,34129,14810,15404
31,16,13754,34471,14681,15094
32,16,13769,34891,14628,14712
33,16,13726,35304,14840,14130
34,16,13668,35287,14814,14231
35,16,13443,37339,14516,12702
36,16,13332,37798,14294,12576
37,16,13419,37687,13961,12933
38,16,14187,39641,12948,11224
39,16,13551,41208,13114,10127
40,16,13863,40573,12955,10609
41,16,13464,41559,12988,9989
42,16,13420,41663,12878,10039
43,16,13388,41940,13062,9610
44,16,13510,41325,13035,10130
45,16,13518,41742,12823,9917
46,16,13371,41631,12768,10230
47,16,13517,40618,13313,10552
48,16,13429,41144,13217,10210
49,16,13331,41007,13285,10377
50,16,13287,41636,13081,9996
51,16,13308,41702,13081,9909
52,16,13221,41828,12944,10007
53,16,12969,42252,13091,9688
54,16,13381,41550,13095,9974
55,16,13426,40248,13349,10977
56,16,13342,40336,13379,10943
57,16,13529,40096,13259,11116
58,16,13407,40219,13409,10965
59,16,13491,39896,13607,11006
60,16,13428,39248,13772,11552
61,16,13813,41423,12695,10069
62,16,13879,41011,12795,10315
63,16,13732,41375,12716,10177
64,16,12670,44306,12673,8351
65,16,12771,43878,12821,8530
66,16,12736,43821,12864,8579
67,16,12731,44086,12656,8527
68,16,12727,43764,12897,8612
69,16,11332,46641,13315,6712
70,16,11228,46446,13339,6987
71,16,11654,45966,13302,7078
72,16,11452,46396,13094,7058
73,16,11544,46184,13219,7053
74,16,11440,45789,13491,7280
75,16,11409,45758,13548,7285
76,16,11443,45555,13523,7479
77,16,11441,48466,12463,5630
78,16,11394,48529,12402,5675
79,16,11386,48427,12523,5664
80,16,11642,47967,12454,5937
81,16,12088,47395,12466,6051
82,16,11854,47771,12482,5893
83,16,11692,48387,12301,5620
84,16,12113,46210,12480,7197
85,16,13014,42915,13166,8905
86,16,12789,42566,13406,9239
87,16,12790,43065,13210,8935
88,16,12145,40579,14596,10680
89,16,12283,40520,14601,10596
90,16,12503,40213,14323,10961
91,16,12326,40849,14207,10618
92,16,12674,40655,14151,10520
93,16,12399,41160,14416,10025
94,16,12406,41343,14229,10022
95,16,13184,39589,13795,11432
96,16,13221,40081,13480,11218
97,16,13524,39947,13658,10871
98,16,13395,39801,13602,11202
99,16,14557,37726,13092,12625
100,16,14392,38226,13365,12017
101,16,13193,40213,13655,10939
102,16,12890,41938,13281,9891
103,16,12916,42223,13269,9592
104,16,12798,41939,13373,9890
105,16,13047,41425,13312,10216
106,16,13771,38925,13293,12011
107,16,13879,38686,13312,12123
108,16,13955,36640,13773,13632
109,16,14303,35778,13604,14315
110,16,14240,37814,13084,12862
111,16,13783,40543,12796,10878
112,16,13644,40356,12946,11054
113,16,13487,40989,13113,10411
114,16,13687,41625,12875,9813
115,16,13480,41738,12813,9969
116,16,13576,40651,13263,10510
117,16,12255,43681,13202,8862
118,16,12138,43872,13598,8392
119,16,12031,44013,13440,8516
120,16,11910,43772,13499,8819
121,16,12131,43603,13512,8754
122,16,11571,44483,13605,8341
123,16,11632,44463,13688,8217
124,16,11211,46021,13630,7138
125,16,11569,48266,12244,5921
126,16,11478,48611,12190,5721
127,16,11491,49211,11773,5525
128,16,11415,49000,12015,5570
129,16,11566,48854,12027,5553
130,16,11378,48956,11979,5687
131,16,11366,48799,12138,5697
132,16,11532,48125,12461,5882
133,16,11586,48369,12215,5830
134,16,11426,47984,12527,6063
135,16,11532,47867,12587,6014
136,16,11412,48542,12262,5784
137,16,11817,47506,12674,6003
138,16,11718,46965,12895,6422
139,16,11593,47201,13003,6203
140,16,11465,47343,12941,6251
141,16,11825,46596,12884,6695
142,16,11758,46709,13096,6437
143,16,11489,47453,12729,6329
144,16,11310,45369,13778,7543
145,16,11317,45406,13747,7530
146,16,11576,47350,12807,6267
147,16,11915,46929,12738,6418
148,16,11470,47733,12784,6013
149,16,11757,47479,12964,5800
150,16,12970,44923,12350,7757
151,16,12941,45090,12241,7728
152,16,13072,44526,12435,7967
153,16,12960,44745,12477,7818
154,16,13316,43872,12653,8159
155,16,13230,43668,12739,8363
156,16,13198,44000,12672,8130
157,16,13099,44048,12691,8162
158,16,12956,44029,12653,8362
159,16,13053,44327,12600,8020
160,16,13149,44427,12522,7902
161,16,12133,46468,12745,6654
162,16,12456,45967,12827,6750
163,16,12473,45898,12810,6819
164,16,12279,46064,12704,6953
165,16,12528,45688,12916,6868
166,16,12310,46574,12518,6598
167,16,12474,46311,12529,6686
168,16,13211,44137,12489,8163
169,16,13206,44104,12564,8126
170,16,12931,45546,11931,7592
171,16,13143,45225,12047,7585
172,16,13177,44968,12291,7564
173,16,12925,44589,12324,8162
174,16,12691,46313,12273,6723
175,16,12629,46303,12435,6633
176,16,12662,46582,12132,6624
177,16,12655,46151,12401,6793
178,16,12819,45696,12545,6940
179,16,12701,45587,12673,7039
180,16,12688,47271,12543,5498
181,16,12543,47957,12205,5295
182,16,12741,47662,12224,5373
183,16,11901,50304,12257,3538
184,16,11995,49811,12249,3945
185,16,12834,47507,12249,5410
186,16,11856,50283,12084,3777
187,16,11694,50493,12034,3779
188,16,11645,50747,11964,3644
189,16,11952,49670,12609,3769
190,16,11766,50200,12207,3827
191,16,11790,50394,12193,3623
192,16,11093,51923,11791,3193
193,16,10976,52060,11774,3190
194,16,10904,52193,11844,3059
195,16,11413,51189,11984,3414
196,16,11452,51684,11680,3184
197,16,11214,52259,11563,2964
198,16,11169,52309,11470,3052
199,16,11125,52527,11346,3002
200,16,11035,52741,11359,2865
201,16,11302,52371,11526,2801
202,16,11124,52713,11250,2913
203,16,11046,52624,11374,2956
204,16,10894,53059,11203,2844
205,16,11040,53045,11310,2605
206,16,10959,52624,11469,2948
207,16,11028,52491,11537,2944
208,16,11125,52288,11478,3109
209,16,10907,53038,11273,2782
210,16,11073,52592,11283,3052
211,16,11451,51720,11585,3244
212,16,11224,52004,11587,3185
213,16,11385,52235,11471,2909
214,16,11126,52618,11284,2972
215,16,10982,52912,11395,2711
216,16,10668,53619,11073,2640
217,16,11174,52614,11210,3002
218,16,11294,52305,11376,3025
219,16,10900,52897,11279,2924
220,16,11097,52611,11474,2818
221,16,10839,53159,11176,2826
222,16,10875,53445,11107,2573
223,16,10916,53263,11044,2777
224,16,10875,53277,11208,2640
225,16,10607,53686,11139,2568
226,16,11107,52957,11117,2819
227,16,10769,53608,10929,2694
228,16,10736,54040,10652,2572
229,16,10932,53669,10774,2625
230,16,10693,54146,10622,2539
231,16,10691,54073,10611,2625
232,16,11084,53287,10918,2711
233,16,11287,52851,11005,2857
234,16,11067,53532,10666,2735
235,16,11299,53245,10712,2744
236,16,11187,53436,10594,2783
237,16,11056,53382,10855,2707
238,16,10869,53672,10776,2683
239,16,11041,53297,10793,2869
240,16,10790,54064,10545,2601
241,16,10923,53623,10864,2590
242,16,11003,53416,11025,2556
243,16,10990,53475,11003,2532
244,16,10985,53311,10803,2901
245,16,11325,52691,10913,3071
246,16,11549,52214,11039,3198
247,16,11778,51891,11281,3050
248,16,11688,51875,11324,3113
249,16,11850,51494,11336,3320
250,16,11550,52550,11013,2887
251,16,11518,51943,11373,3166
252,16,11657,51933,11270,3140
253,16,11500,52160,11272,3068
254,16,11210,52700,11179,2911
255,16,11698,51955,11378,2969
256,16,11367,52535,11208,2890
257,16,11636,51627,11389,3348
258,16,11343,52406,11284,2967
259,16,11391,52257,11382,2970
260,16,11159,52741,11174,2926
261,16,11130,52837,11016,3017
262,16,11172,52587,11324,2917
263,16,11126,52926,11196,2752
264,16,11362,51697,11502,3439
265,16,11354,51777,11694,3175
266,16,11479,51682,11607,3232
267,16,11291,52698,11099,2912
268,16,11256,52615,11136,2993
269,16,11496,52126,11280,3098
270,16,11514,51981,11428,3077
271,16,11813,51201,11728,3258
272,16,11869,51302,11704,3125
273,16,11776,51271,11680,3273
274,16,11739,51392,11673,3196
275,16,11918,51399,11645,3038
276,16,12017,51279,11674,3030
277,16,12576,48739,11929,4756
278,16,13524,46589,11565,6322
279,16,13576,46361,11535,6528
280,16,13329,46692,11462,6517
281,16,13444,46830,11464,6262
282,16,13631,46025,11795,6549
283,16,13808,45258,12119,6815
284,16,13507,46012,11775,6706
285,16,13524,45668,11951,6857
286,16,13658,45955,11850,6537
287,16,13670,46062,11721,6547
288,16,13581,45550,12142,6727
289,16,13384,46430,11830,6356
290,16,13172,46107,12129,6592
291,16,13320,46201,11982,6497
292,16,13148,46218,11959,6675
293,16,13271,46021,12142,6566
294,16,13416,46023,12173,6388
295,16,13262,45971,12153,6614
296,16,13325,46090,11994,6591
297,16,12737,47049,11868,6346
298,16,12923,47765,11539,5773
299,16,13366,45456,12044,7134
300,16,12872,47703,11525,5900
301,16,12813,47819,11674,5694
302,16,12866,47654,11634,5846
303,16,12705,48125,11496,5674
304,16,12246,45814,12754,7186
305,16,12639,43614,13188,8559
306,16,13455,41394,12842,10309
307,16,14212,43018,11850,8920
308,16,14083,43539,11734,8644
309,16,14296,43845,11445,8414
310,16,14155,44142,11328,8375
311,16,14238,43851,11264,8647
312,16,14273,43798,11360,8569
313,16,14480,44131,11099,8290
314,16,13338,46433,11492,6737
315,16,11891,48972,11813,5324
316,16,12643,46628,11990,6739
317,16,12052,49758,11113,5077
318,16,12533,46880,12170,6417
319,16,13731,44603,11589,8077
320,16,13635,46683,10965,6717
321,16,13446,47255,10772,6527
322,16,13540,46953,10908,6599
323,16,13774,46382,11031,6813
324,16,13189,48547,10798,5466
325,16,13473,48011,10876,5640
326,16,13404,48030,10862,5704
327,16,13300,48272,10750,5678
328,16,13289,47872,10874,5965
329,16,13647,45552,11549,7252
330,16,13653,45613,11578,7156
331,16,13437,45820,11654,7089
332,16,13204,46394,11547,6855
333,16,13237,46292,11555,6916
334,16,13102,46681,11412,6805
335,16,13116,46513,11491,6880
336,16,13165,46385,11611,6839
337,16,13188,46408,11337,7067
338,16,13335,45248,12044,7373
339,16,13100,46117,11535,7248
340,16,13433,45581,11778,7208
341,16,13428,45466,11837,7269
342,16,13328,45650,11785,7237
343,16,13194,45553,11703,7550
344,16,13598,44846,12032,7524
345,16,12268,47641,12046,6045
346,16,12413,47435,12254,5898
347,16,12518,47330,12088,6064
348,16,12045,49100,12191,4664
349,16,12319,48495,12382,4804
350,16,11749,49410,12220,4621
351,16,11928,49207,12274,4591
352,16,11566,49800,11843,4791
353,16,11596,50081,12031,4292
354,16,12085,47427,12542,5946
355,16,12111,47331,12552,6006
356,16,12009,48132,12135,5724
357,16,12014,47564,12413,6009
358,16,12027,46896,12771,6306
359,16,12359,46582,12796,6263
360,16,12266,46650,12880,6204
361,16,11948,47296,12564,6192
362,16,12034,45170,13258,7538
363,16,12155,44820,13233,7792
364,16,12092,44972,13310,7626
365,16,12036,44319,13698,7947
366,16,12197,44031,13485,8287
367,16,12441,43713,13819,8027
368,16,12415,43539,13871,8175
369,16,13173,41305,13443,10079
370,16,13488,40906,13617,9989
371,16,13234,41210,13520,10036
372,16,13318,41241,13572,9869
373,16,13053,41527,13396,10024
374,16,12683,39269,14326,11722
375,16,12687,39236,14251,11826
376,16,12730,39241,14276,11753
377,16,13098,38782,14224,11896
378,16,13005,40499,14133,10363
379,16,12872,40668,13997,10463
380,16,13002,41168,13854,9976
381,16,13054,41150,13866,9930
382,16,13148,41089,13785,9978
383,16,12996,41368,13902,9734
384,16,12754,41776,13710,9760
385,16,12445,42560,13604,9391
386,16,12479,42507,13716,9298
387,16,13283,40122,13670,10925
388,16,13426,39747,13733,11094
389,16,13326,39998,13670,11006
390,16,13308,40095,13613,10984
391,16,13595,39621,13550,11234
392,16,13533,39746,13482,11239
393,16,13565,39430,13455,11550
394,16,13677,41622,13071,9630
395,16,13586,42015,12879,9520
396,16,13647,41977,12743,9633
397,16,13638,42095,12914,9353
398,16,13641,41946,12941,9472
399,16,13990,40123,12997,10890
400,16,13795,40115,12990,11100
401,16,14388,37992,12945,12675
402,16,14866,39761,12236,11137
403,16,14872,39922,12205,11001
404,16,13717,42804,12144,9335
405,16,13140,45131,12152,7577
406,16,13370,44960,12166,7504
407,16,13086,45689,11954,7271
408,16,13329,44917,12274,7480
409,16,13158,44655,12415,7772
410,16,13237,45117,12090,7556
411,16,13038,45229,12166,7567
412,16,13232,44903,12293,7572
413,16,13482,44642,12057,7819
414,16,13308,45261,11876,7555
415,16,13445,45022,11928,7605
416,16,13444,45026,11928,7602
417,16,13343,45810,11607,7240
418,16,13385,45868,11508,7239
419,16,13664,45293,11696,7347
420,16,14286,42987,11893,8834
421,16,14311,42775,12013,8901
422,16,13782,44637,11961,7620
423,16,14794,42597,11644,8965
424,16,14716,42377,11845,9062
425,16,14451,42694,11742,9113
426,16,14552,43125,11414,8909
427,16,14140,44120,11254,8486
428,16,14371,43670,11475,8484
429,16,14369,43680,11389,8562
430,16,14315,43762,11315,8608
431,16,14609,43208,11584,8599
432,16,13981,44215,11460,8344
433,16,13847,44986,11144,8023
434,16,13894,44901,11575,7630
435,16,13906,45453,11196,7445
436,16,13814,45424,11190,7572
437,16,13857,45434,11138,7571
438,16,13779,45413,11178,7630
439,16,13842,45569,11035,7554
440,16,13976,45344,11036,7644
441,16,13937,45386,11082,7595
442,16,13781,45523,11100,7596
443,16,14036,45293,11245,7426
444,16,14045,45329,11096,7530
445,16,14615,43199,11342,8844
446,16,14485,43874,11287,8354
447,16,13760,45903,10982,7355
448,16,13815,46027,10960,7198
449,16,13883,46375,10841,6901
450,16,13798,46567,10710,6925
451,16,13778,46604,10768,6850
452,16,13820,46163,11013,7004
453,16,13672,46611,10895,6822
454,16,14586,44411,10980,8023
455,16,14534,43727,11240,8499
456,16,15162,41393,11651,9794
457,16,15003,41574,11534,9889
458,16,15033,42014,11364,9589
459,16,15062,41736,11588,9614
460,16,14844,41436,11785,9935
461,16,15393,39422,12219,10966
462,16,15626,39704,11859,10811
463,16,15533,39782,11821,10864
464,16,15590,40002,12053,10355
465,16,15412,39958,11814,10816
466,16,15570,39739,11857,10834
467,16,15341,37242,12929,12488
468,16,14735,35553,14181,13531
469,16,14985,35362,14116,13537
470,16,14328,37427,13921,12324
471,16,14540,37696,13929,11835
472,16,14514,37659,13823,12004
473,16,14395,38031,13676,11898
474,16,14287,37409,14009,12295
475,16,14403,37173,14097,12327
476,16,13812,35054,15050,14084
477,16,14385,35230,14972,13413
478,16,14190,35406,14993,13411
479,16,13705,33231,16030,15034
480,16,13837,30969,16276,16918
481,16,13876,33255,15623,15246
482,16,14032,33468,15590,14910
483,16,14484,35513,14585,13418
484,16,14757,33540,15126,14577
485,16,14625,32725,15127,15523
486,16,13403,35428,15552,13617
487,16,13432,35133,15636,13799
488,16,13198,34626,16031,14145
489,16,13442,35050,15652,13856
490,16,13285,35283,15745,13687
491,16,12852,37129,15347,12672
492,16,13079,36494,15161,13266
493,16,12998,36460,15145,13397
494,16,12593,34447,16498,14462
495,16,12908,33834,16050,15208
496,16,12722,35626,15665,13987
497,16,11979,38331,15623,12067
498,16,11889,37444,15759,12908
499,16,11832,37237,15849,13082
500,16,11667,35331,16657,14345
501,16,12955,33221,16316,15508
502,16,12780,33641,16180,15399
503,16,12731,33530,16203,15536
504,16,12852,33640,16082,15426
505,16,12812,31986,16506,16696
506,16,12881,31779,16503,16837
507,16,12772,32145,16772,16311
508,16,12706,31538,16846,16910
509,16,12600,31828,16919,16653
510,16,12522,29666,17221,18591
511,16,12636,27454,17512,20398
512,16,12702,27723,17669,19906
513,16,12487,27909,17587,20017
514,16,12735,27381,17301,20583
515,16,11971,29692,17634,18703
516,16,12103,29469,17727,18701
517,16,12090,27863,18070,19977
518,16,12021,28034,17987,19958
519,16,13300,25838,17062,21800
520,16,13369,24298,17194,23139
521,16,13385,24380,17065,23170
522,16,13067,24757,17228,22948
523,16,13330,24497,17468,22705
524,16,13522,26192,17019,21267
525,16,13269,24516,17457,22758
526,16,13928,26051,16405,21616
527,16,14298,27615,15870,20217
528,16,14056,27968,15726,20250
529,16,14028,27479,15892,20601
530,16,14035,26881,15967,21117
531,16,13764,27375,15724,21137
532,16,12662,29497,16675,19166
533,16,12056,28608,17136,20200
534,16,13337,26421,16227,22015
535,16,13373,26310,15974,22343
536,16,14196,23860,15304,24640
537,16,14063,23311,15054,25572
538,16,13950,23228,15122,25700
539,16,14137,23075,15094,25694
540,16,14169,23273,15084,25474
541,16,14126,23231,14965,25678
542,16,14038,23164,15033,25765
543,16,14133,24892,14952,24023
544,16,13994,25257,14798,23951
545,16,14389,23453,14548,25610
