round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12069,30483,16816,18632
3,16,12608,29019,16442,19931
4,16,12353,29489,16601,19557
5,16,13028,27982,16708,20282
6,16,12904,28357,16564,20175
7,16,12953,28011,16748,20288
8,16,12549,26699,17248,21504
9,16,12448,28396,16914,20242
10,16,12744,29878,16536,18842
11,16,13521,28598,16078,19803
12,16,13507,30077,15690,18726
13,16,13547,27842,15853,20758
14,16,13502,27955,15767,20776
15,16,13474,26514,15998,22014
16,16,13750,26102,16162,21986
17,16,13430,28516,16062,19992
18,16,13291,28247,16422,20040
19,16,13274,28431,16143,20152
20,16,13372,28447,16254,19927
21,16,14013,27140,15742,21105
22,16,14981,25113,14913,22993
23,16,14964,23527,15596,23913
24,16,14723,24902,15469,22906
25,16,14726,24616,15275,23383
26,16,15135,23223,15014,24628
27,16,14977,23119,15139,24765
28,16,15270,21909,15096,25725
29,16,14428,23509,15806,24257
30,16,14517,23398,15740,24345
31,16,14795,24231,15791,23183
32,16,15121,24302,16008,22569
33,16,15244,24167,15997,22592
34,16,14103,25890,16462,21545
35,16,14028,28116,16335,19521
36,16,14301,26223,16205,21271
37,16,14268,26028,15786,21918
38,16,14713,27001,15224,21062
39,16,14822,26968,15244,20966
40,16,14616,27544,15483,20357
41,16,14523,27830,15726,19921
42,16,14577,25707,15842,21874
43,16,14892,25086,15291,22731
44,16,14875,25143,15258,22724
45,16,14649,24615,14958,23778
46,16,13920,22330,15742,26008
47,16,13810,22241,15829,26120
48,16,13474,23847,16037,24642
49,16,13465,24010,15891,24634
50,16,13604,23730,15969,24697
51,16,13944,23012,15441,25603
52,16,13645,22062,15696,26597
53,16,13639,21984,15745,26632
54,16,14383,20047,14661,28909
55,16,14321,20180,14503,28996
56,16,14398,19923,14638,29041
57,16,14274,21348,14905,27473
58,16,13938,23181,14922,25959
59,16,13842,22207,15063,26888
60,16,14035,21729,15196,27040
61,16,14006,21864,15109,27021
62,16,13959,22523,14949,26569
63,16,13670,20917,15160,28253
64,16,13285,22306,15437,26972
65,16,13451,21774,15582,27193
66,16,13588,21737,15556,27119
67,16,13317,21378,15493,27812
68,16,13280,22069,15225,27426
69,16,12540,24177,16595,24688
70,16,12347,23322,16415,25916
71,16,12804,21841,16354,27001
72,16,12650,22816,16186,26348
73,16,12223,24197,16685,24895
74,16,12199,24084,16805,24912
75,16,12353,22674,16377,26596
76,16,12250,20891,17008,27851
77,16,12132,20833,16797,28238
78,16,12151,22747,16561,26541
79,16,12789,21323,15966,27922
80,16,12668,21467,16245,27620
81,16,12851,21111,15874,28164
82,16,12830,20611,15687,28872
83,16,13630,21713,15363,27294
84,16,13670,22894,15414,26022
85,16,13683,24323,15408,24586
86,16,14008,25604,15205,23183
87,16,14234,25820,15209,22737
88,16,13344,24592,15647,24417
89,16,13702,22985,15259,26054
90,16,13818,23224,15569,25389
91,16,13609,22376,15843,26172
92,16,13981,23670,15201,25148
93,16,13134,25513,16185,23168
94,16,13329,23752,16270,24649
95,16,13020,24269,16534,24177
96,16,13082,24336,16606,23976
97,16,13892,26273,15772,22063
98,16,14072,26835,15559,21534
99,16,14236,26521,15770,21473
100,16,13113,28898,16547,19442
101,16,12279,30735,17079,17907
102,16,12250,30819,17146,17785
103,16,12956,29310,17155,18579
104,16,12975,29648,17103,18274
105,16,12926,30587,17263,17224
106,16,12800,30805,17573,16822
107,16,12455,32985,17462,15098
108,16,12417,33091,17452,15040
109,16,11373,35228,17856,13543
110,16,11302,35456,17829,13413
111,16,11260,35668,17728,13344
112,16,11333,33359,18544,14764
113,16,12659,31020,18027,16294
114,16,12347,29491,18783,17379
115,16,12541,27747,19145,18567
116,16,12705,29096,18471,17728
117,16,12641,29202,18266,17891
118,16,11699,31221,18893,16187
119,16,11159,33503,18849,14489
120,16,11421,35791,17753,13035
121,16,11630,35741,17814,12815
122,16,11290,36131,18112,12467
123,16,11142,35894,18127,12837
124,16,11307,35648,18153,12892
125,16,11294,35728,18194,12784
126,16,11108,36056,18031,12805
127,16,11540,36648,17814,11998
128,16,11178,35717,18315,12790
129,16,11290,35779,18319,12612
130,16,11293,35669,18289,12749
131,16,11143,35783,18362,12712
132,16,10848,34144,19457,13551
133,16,11307,34703,19089,12901
134,16,11042,34136,19380,13442
135,16,10883,36096,18644,12377
136,16,11405,38068,17492,11035
137,16,11112,37664,17579,11645
138,16,11134,37825,17387,11654
139,16,11351,36838,17399,12412
140,16,11287,36984,17197,12532
141,16,11380,37009,17546,12065
142,16,12020,35291,17091,13598
143,16,11775,35347,17125,13753
144,16,11815,33409,18271,14505
145,16,12009,33047,17661,15283
