round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12069,30483,16816,18632
3,16,12608,29019,16442,19931
4,16,12353,29489,16601,19557
5,16,13028,27982,16708,20282
6,16,12904,28357,16564,20175
7,16,12953,28011,16748,20288
8,16,12749,28023,16675,20553
9,16,12672,29275,16385,19668
10,16,12998,30816,16014,18172
11,16,12449,31732,16360,17459
12,16,12516,33273,15987,16224
13,16,12577,30958,16336,18129
14,16,12938,32674,15341,17047
15,16,12931,32901,15420,16748
16,16,13206,32298,15562,16934
17,16,12711,34947,15279,15063
18,16,12605,34893,15465,15037
19,16,12824,34429,15311,15436
20,16,12766,34612,15356,15266
21,16,12570,35011,15419,15000
22,16,12542,34962,15400,15096
23,16,12707,34614,15622,15057
24,16,12471,35430,15445,14654
25,16,12530,36112,15475,13883
26,16,12410,36888,15424,13278
27,16,12715,35937,15182,14166
28,16,12685,35891,15134,14290
29,16,12516,36300,15335,13849
30,16,13371,34739,14989,14901
31,16,13460,35374,15043,14123
32,16,13686,33774,15599,14941
33,16,13639,33702,15752,14907
34,16,13429,33842,15508,15221
35,16,13362,35317,15169,14152
36,16,13623,33336,15225,15816
37,16,13296,33750,15452,15502
38,16,13442,33557,15578,15423
39,16,13410,33451,15682,15457
40,16,13613,33196,15402,15789
41,16,13527,33606,15701,15166
42,16,13543,33605,15550,15302
43,16,13535,33695,15782,14988
44,16,14402,31819,15191,16588
45,16,14470,30177,15278,18075
46,16,14118,29095,15700,19087
47,16,14241,29296,15719,18744
48,16,14034,29730,15532,18704
49,16,14551,30415,15497,17537
50,16,14799,30500,15319,17382
51,16,14100,32392,15561,15947
52,16,13647,31965,15618,16770
53,16,14759,29865,14806,18570
54,16,15140,29030,14799,19031
55,16,15252,29856,14626,18266
56,16,15698,28200,14778,19324
57,16,15570,27718,14641,20071
58,16,15747,26239,14369,21645
59,16,15567,25260,14489,22684
60,16,15473,25195,14530,22802
61,16,16058,26826,13539,21577
62,16,16146,26780,13562,21512
63,16,16254,28486,13211,20049
64,16,15374,30394,13394,18838
65,16,15303,32208,13263,17226
66,16,16232,29442,12999,19327
67,16,16194,29747,12986,19073
68,16,16140,29412,12772,19676
69,16,17038,27778,11719,21465
70,16,17070,26101,12290,22539
71,16,16339,27713,12673,21275
72,16,16329,28335,12454,20882
73,16,16489,28014,12381,21116
74,16,17193,30416,11631,18760
75,16,17430,30020,11688,18862
76,16,17207,29834,11569,19390
77,16,17455,31761,11291,17493
78,16,17180,31397,11366,18057
79,16,16315,33855,12018,15812
80,16,16137,33979,11754,16130
81,16,15549,35746,12212,14493
82,16,15739,35663,12224,14374
83,16,15791,35496,12310,14403
84,16,15690,36173,12166,13971
85,16,15772,36230,12178,13820
86,16,15945,35595,12369,14091
87,16,15655,33885,12698,15762
88,16,15951,34706,12300,15043
89,16,16144,34139,12269,15448
90,16,16338,32446,12137,17079
91,16,16581,32944,12051,16424
92,16,16454,32910,12028,16608
93,16,16119,33651,12351,15879
94,16,16289,32086,12376,17249
95,16,16603,31372,12377,17648
96,16,16172,31100,12397,18331
97,16,16726,31934,12072,17268
98,16,16878,32275,12132,16715
99,16,18001,29909,11264,18826
100,16,17871,30617,11428,18084
101,16,16757,32344,11772,17127
102,16,17289,32850,11525,16336
103,16,17062,33109,11939,15890
104,16,17430,34250,11502,14818
105,16,17417,34061,11536,14986
106,16,16734,36190,11688,13388
107,16,16170,38738,11449,11643
108,16,16358,39120,11271,11251
109,16,16425,39174,11282,11119
110,16,16518,37063,11846,12573
111,16,16437,36107,12090,13366
112,16,16312,35778,12153,13757
113,16,16498,35465,11964,14073
114,16,16587,35277,11959,14177
115,16,16442,35377,11953,14228
116,16,16250,34957,12079,14714
117,16,17039,33371,11851,15739
118,16,17109,33347,11991,15553
119,16,16876,34068,11752,15304
120,16,16891,31954,12507,16648
121,16,17192,31703,12589,16516
122,16,16778,32250,12702,16270
123,16,16913,32548,12560,15979
124,16,17086,32405,12669,15840
125,16,16675,31826,12929,16570
126,16,17728,30155,11908,18209
127,16,17598,29880,12145,18377
128,16,17329,29341,12384,18946
129,16,17385,29172,12574,18869
130,16,17271,29783,12571,18375
131,16,17331,29153,12601,18915
132,16,17675,29705,12334,18286
133,16,17649,29691,12310,18350
134,16,17527,29964,12268,18241
135,16,17487,29824,12248,18441
136,16,17574,29896,12139,18391
137,16,17992,32125,11499,16384
138,16,17854,31996,11552,16598
139,16,17437,34036,11366,15161
140,16,16888,35627,11474,14011
141,16,16963,36053,11501,13483
142,16,17018,35634,11301,14047
143,16,17018,36461,11021,13500
144,16,16936,35969,11305,13790
145,16,16945,36001,11169,13885
