round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12069,30483,16816,18632
3,16,12608,29019,16442,19931
4,16,12353,29489,16601,19557
5,16,13028,27982,16708,20282
6,16,12904,28357,16564,20175
7,16,12953,28011,16748,20288
8,16,12549,26699,17248,21504
9,16,12519,26644,17253,21584
10,16,12704,26428,17273,21595
11,16,12250,27214,17894,20642
12,16,12243,28656,17440,19661
13,16,12263,26701,17505,21531
14,16,12311,26625,17490,21574
15,16,12221,26917,17444,21418
16,16,12518,26564,17567,21351
17,16,12105,28968,17537,19390
18,16,11954,28770,17839,19437
19,16,12021,28790,17593,19596
20,16,12021,28964,17665,19350
21,16,11725,29189,17830,19256
22,16,12844,27169,16941,21046
23,16,12741,25640,17720,21899
24,16,12582,27019,17481,20918
25,16,12664,27002,17489,20845
26,16,12697,27225,17280,20798
27,16,11483,29126,18275,19116
28,16,11400,29554,18520,18526
29,16,11329,29667,18523,18481
30,16,11323,29663,18838,18176
31,16,11359,30591,18797,17253
32,16,11689,30620,18861,16830
33,16,11461,31032,19265,16242
34,16,11019,31520,19697,15764
35,16,10857,33261,19190,14692
36,16,10941,33220,18889,14950
37,16,11232,32681,18165,15922
38,16,11706,34183,17126,14985
39,16,11105,35714,17386,13795
40,16,11552,35015,16853,14580
41,16,11342,35727,17138,13793
42,16,11217,36201,17216,13366
43,16,11246,36350,17086,13318
44,16,11629,35552,16794,14025
45,16,11671,35342,16518,14469
46,16,11172,32934,17472,16422
47,16,11614,33300,17527,15559
48,16,10952,35364,17552,14132
49,16,11178,37097,16707,13018
50,16,11476,39311,15702,11511
51,16,12404,37525,15110,12961
52,16,12405,37228,15248,13119
53,16,12259,37322,15622,12797
54,16,12225,37356,15467,12952
55,16,12284,37297,15584,12835
56,16,12155,37832,15356,12657
57,16,12165,37682,15657,12496
58,16,12117,37356,15372,13155
59,16,12475,36481,15541,13503
60,16,12211,38565,15115,12109
61,16,12931,40625,13996,10448
62,16,12762,40891,13643,10704
63,16,12930,38604,14559,11907
64,16,11893,41302,14340,10465
65,16,11964,40883,14608,10545
66,16,12209,40599,14737,10455
67,16,11989,40837,14542,10632
68,16,12120,40797,14469,10614
69,16,11984,41265,14350,10401
70,16,12222,39948,14683,11147
71,16,13143,37930,14339,12588
72,16,13071,39148,14121,11660
73,16,12198,40759,14624,10419
74,16,11831,40823,14579,10767
75,16,12864,38311,14770,12055
76,16,12555,38467,14729,12249
77,16,12498,40998,14083,10421
78,16,12536,40597,14042,10825
79,16,13488,38989,13614,11909
80,16,13412,39217,13657,11714
81,16,13599,38510,13541,12350
82,16,13666,38980,13572,11782
83,16,14283,40711,12590,10416
84,16,14229,40638,12512,10621
85,16,14195,40600,12679,10526
86,16,14155,39933,12848,11064
87,16,14271,40211,12765,10753
88,16,14214,40918,12258,10610
89,16,14965,39092,12025,11918
90,16,14971,38789,12153,12087
91,16,15181,39921,11716,11182
92,16,14872,39039,12176,11913
93,16,13513,41812,12643,10032
94,16,14189,39266,12894,11651
95,16,13875,39823,12989,11313
96,16,13694,38165,14054,12087
97,16,13669,38175,13867,12289
98,16,13784,36339,14466,13411
99,16,13938,35877,14720,13465
100,16,13688,36421,14422,13469
101,16,12781,38040,15065,12114
102,16,12914,36305,15563,13218
103,16,12722,37068,15927,12283
104,16,12618,37413,15740,12229
105,16,12520,37897,15899,11684
106,16,13216,35809,16097,12878
107,16,13178,35932,16188,12702
108,16,13334,35838,16183,12645
109,16,14564,33592,15529,14315
110,16,14499,34090,15596,13815
111,16,14574,34123,15480,13823
112,16,14714,33778,15575,13933
113,16,13389,35904,16218,12489
114,16,13341,34337,17017,13305
115,16,13682,32589,17408,14321
116,16,13787,33816,16688,13709
117,16,13644,34241,16388,13727
118,16,12501,36212,17111,12176
119,16,11640,38719,16911,10730
120,16,11688,38397,17009,10906
121,16,12538,40938,15272,9252
122,16,12010,41506,15561,8923
123,16,12012,41107,15631,9250
124,16,12124,41099,15634,9143
125,16,11278,38744,17237,10741
126,16,11159,38840,17279,10722
127,16,11634,39295,17068,10003
128,16,11772,41231,15762,9235
129,16,11770,40977,15780,9473
130,16,11804,40977,16093,9126
131,16,11742,41112,16009,9137
132,16,12047,41486,15754,8713
133,16,12437,41800,15485,8278
134,16,12300,42006,15463,8231
135,16,11663,44065,14820,7452
136,16,11575,41488,16295,8642
137,16,11557,41473,16289,8681
138,16,11439,43917,14864,7780
139,16,11930,43117,14688,8265
140,16,11959,42726,14936,8379
141,16,11803,43086,14832,8279
142,16,12896,40706,14813,9585
143,16,12702,41103,14648,9547
144,16,13028,40632,14879,9461
145,16,12873,40788,14762,9577
