round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12069,30483,16816,18632
3,16,12608,29019,16442,19931
4,16,12353,29489,16601,19557
5,16,13028,27982,16708,20282
6,16,12904,28357,16564,20175
7,16,12953,28011,16748,20288
8,16,12549,26699,17248,21504
9,16,12519,26644,17253,21584
10,16,12820,28116,16870,20194
11,16,12338,28951,17405,19306
12,16,12364,30417,16975,18244
13,16,12380,28354,17112,20154
14,16,12749,29800,16180,19271
15,16,12690,31388,15997,17925
16,16,12965,30941,16107,17987
17,16,12558,33372,15911,16159
18,16,12381,33409,16099,16111
19,16,12517,33394,15958,16131
20,16,12734,31192,16104,17970
21,16,12677,31288,15984,18051
22,16,13673,28975,15262,20090
23,16,13510,27420,16072,20998
24,16,13483,27856,16079,20582
25,16,13612,27613,15898,20877
26,16,13566,28285,15864,20285
27,16,12346,30366,16870,18418
28,16,12162,31073,17160,17605
29,16,12448,30642,16879,18031
30,16,12456,30552,16915,18077
31,16,12484,31543,16749,17224
32,16,12923,31440,16857,16780
33,16,12876,31550,16950,16624
34,16,12460,31991,16895,16654
35,16,12384,34271,16614,14731
36,16,12318,34376,16550,14756
37,16,12391,34230,16218,15161
38,16,12930,35340,15519,14211
39,16,12024,37625,15953,12398
40,16,12036,37600,15666,12698
41,16,11901,38050,15749,12300
42,16,12258,35471,16305,13966
43,16,12317,35296,16193,14194
44,16,12345,34929,16167,14559
45,16,12326,34721,15891,15062
46,16,11980,31906,16950,17164
47,16,11904,31853,17114,17129
48,16,11285,34027,17033,15655
49,16,11810,36548,15852,13790
50,16,12093,37851,15111,12945
51,16,12947,36482,14828,13743
52,16,12760,35939,14928,14373
53,16,12876,35813,15036,14275
54,16,13444,34801,14956,14799
55,16,13295,35509,14550,14646
56,16,13301,35307,14665,14727
57,16,13470,34666,14775,15089
58,16,13529,34614,14533,15324
59,16,13586,33780,14843,15791
60,16,13557,33912,14770,15761
61,16,14111,35272,14115,14502
62,16,14091,35737,13979,14193
63,16,13941,33829,14555,15675
64,16,13144,36055,14636,14165
65,16,13116,35833,14845,14206
66,16,13259,35398,14818,14525
67,16,13255,35766,14731,14248
68,16,13057,35739,14642,14562
69,16,13155,36087,14718,14040
70,16,13277,35228,14939,14556
71,16,13884,33830,14536,15750
72,16,13723,34099,14436,15742
73,16,12996,35979,14931,14094
74,16,12642,34169,15550,15639
75,16,13055,32253,15614,17078
76,16,13017,31838,15842,17303
77,16,13058,33337,15332,16273
78,16,12822,34272,15091,15815
79,16,13010,33966,15168,15856
80,16,13479,32433,14746,17342
81,16,13911,31499,14937,17653
82,16,13970,31468,14757,17805
83,16,14250,31328,14654,17768
84,16,14059,32256,14620,17065
85,16,13830,34099,14463,15608
86,16,13802,34441,14409,15348
87,16,14090,34437,14462,15011
88,16,13308,32667,15160,16865
89,16,14043,31090,14852,18015
90,16,14370,29126,14935,19569
91,16,14346,29452,14750,19452
92,16,14458,29976,14754,18812
93,16,13396,31949,15551,17104
94,16,13434,31381,15472,17713
95,16,13362,31600,15410,17628
96,16,12665,29396,16208,19731
97,16,13340,31493,15599,17568
98,16,13400,32114,15357,17129
99,16,13095,32174,15637,17094
100,16,13763,30928,15240,18069
101,16,14227,30583,15274,17916
102,16,14209,28985,15479,19327
103,16,14042,29649,16003,18306
104,16,13867,29519,16067,18547
105,16,13778,30313,16214,17695
106,16,13613,30489,16567,17331
107,16,13803,31111,16956,16130
108,16,13716,31198,16898,16188
109,16,13765,31154,16710,16371
110,16,13780,31884,16606,15730
111,16,13932,31474,16839,15755
112,16,13715,33547,16388,14350
113,16,14128,32936,15893,15043
114,16,14478,33657,15746,14119
115,16,14734,31999,15954,15313
116,16,14517,31077,16356,16050
117,16,14124,31725,16536,15615
118,16,13116,33624,17086,14174
119,16,13002,33684,17178,14136
120,16,13184,34432,17086,13298
121,16,13743,35948,16016,12293
122,16,14806,34354,15618,13222
123,16,14960,32523,16431,14086
124,16,15796,30368,16318,15518
125,16,16706,32530,14528,14236
126,16,16629,32475,14574,14322
127,16,16716,32543,14663,14078
128,16,15725,30618,15880,15777
129,16,15903,30179,15671,16247
130,16,14827,32037,16284,14852
131,16,14817,32157,16333,14693
132,16,15335,32247,16056,14362
133,16,15724,32944,15673,13659
134,16,15653,32792,15867,13688
135,16,15530,32617,15753,14100
136,16,15581,30908,16641,14870
137,16,15622,30723,16810,14845
138,16,15378,31244,16582,14796
139,16,15563,31157,16569,14711
140,16,15651,30755,16782,14812
141,16,14973,33035,16665,13327
142,16,14899,33248,16544,13309
143,16,14874,33125,16684,13317
144,16,14841,31337,17726,14096
145,16,16270,29446,16842,15442
