round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12069,30483,16816,18632
3,16,12608,29019,16442,19931
4,16,12353,29489,16601,19557
5,16,13028,27982,16708,20282
6,16,12904,28357,16564,20175
7,16,12953,28011,16748,20288
8,16,12549,26699,17248,21504
9,16,12519,26644,17253,21584
10,16,12704,26428,17273,21595
11,16,13405,25205,16813,22577
12,16,13378,26590,16436,21596
13,16,13399,24595,16413,23593
14,16,13431,24586,16427,23556
15,16,13319,26157,16127,22397
16,16,13569,25891,16215,22325
17,16,13252,28109,16182,20457
18,16,13072,27982,16536,20410
19,16,13159,28025,16333,20483
20,16,13174,28104,16373,20349
21,16,12920,28514,16398,20168
22,16,14013,26311,15591,22085
23,16,13829,24884,16239,23048
24,16,13761,24961,16401,22877
25,16,13776,24703,16217,23304
26,16,13883,24769,16098,23250
27,16,13703,24705,16128,23464
28,16,13765,25332,16503,22400
29,16,12582,27594,17438,20386
30,16,12640,27404,17548,20408
31,16,12745,28288,17567,19400
32,16,13124,28250,17679,18947
33,16,12996,28673,18088,18243
34,16,12604,29174,18447,17775
35,16,12399,30868,18055,16678
36,16,12449,30860,17745,16946
37,16,12687,30144,17035,18134
38,16,13032,31360,16261,17347
39,16,12475,32828,16491,16206
40,16,12926,31982,16023,17069
41,16,12588,32952,16234,16226
42,16,12643,33258,16326,15773
43,16,12683,33339,16295,15683
44,16,12994,32514,15994,16498
45,16,12995,32016,15645,17344
46,16,12532,29513,16607,19348
47,16,12792,30219,16421,18568
48,16,12190,32053,16633,17124
49,16,12590,33586,15892,15932
50,16,12912,35795,15037,14256
51,16,13623,34535,14453,15389
52,16,13650,34174,14648,15528
53,16,13742,33752,15002,15504
54,16,13695,33799,14739,15767
55,16,13637,33968,14669,15726
56,16,13700,34092,14611,15597
57,16,13689,33813,14902,15596
58,16,13708,33444,14641,16207
59,16,13835,32508,14864,16793
60,16,13690,34454,14477,15379
61,16,14542,36681,13442,13335
62,16,14362,37219,13170,13249
63,16,14335,35251,13775,14639
64,16,13446,37750,13793,13011
65,16,13595,36968,14168,13269
66,16,13838,36707,14214,13241
67,16,13604,37074,14001,13321
68,16,13575,37243,13877,13305
69,16,12260,39997,14451,11292
70,16,12437,38841,14774,11948
71,16,13171,37171,14494,13164
72,16,13149,38322,14288,12241
73,16,12261,40029,14758,10952
74,16,11914,40509,14541,11036
75,16,12969,37960,14742,12329
76,16,12724,38088,14716,12472
77,16,12618,40604,14071,10707
78,16,12631,40300,13998,11071
79,16,13605,38585,13667,12143
80,16,13488,38977,13624,11911
81,16,13725,38156,13574,12545
82,16,13747,38643,13537,12073
83,16,14386,40266,12591,10757
84,16,14285,40370,12514,10831
85,16,14238,40356,12629,10777
86,16,14250,39569,12889,11292
87,16,14387,39764,12851,10998
88,16,14265,40591,12252,10892
89,16,15049,38757,12027,12167
90,16,15035,38492,12173,12300
91,16,15257,39527,11746,11470
92,16,14886,38777,12165,12172
93,16,13652,41261,12673,10414
94,16,14267,38988,12862,11883
95,16,13925,39481,12980,11614
96,16,13703,37893,13967,12437
97,16,13767,37871,13822,12540
98,16,13806,36015,14399,13780
99,16,12908,37474,15170,12448
100,16,12630,38114,14794,12462
101,16,12994,37459,14841,12706
102,16,12815,37760,14879,12546
103,16,12623,38405,15200,11772
104,16,12459,38496,15162,11883
105,16,12346,39216,15366,11072
106,16,12966,37458,15388,12188
107,16,12976,37280,15525,12219
108,16,13060,37239,15587,12114
109,16,14171,35010,14979,13840
110,16,14172,35502,14982,13344
111,16,14253,35417,15033,13297
112,16,14709,33360,15359,14572
113,16,13402,35455,16081,13062
114,16,13513,34057,16823,13607
115,16,13810,32362,17216,14612
116,16,13896,33648,16472,13984
117,16,13798,33948,16220,14034
118,16,12609,35947,16962,12482
119,16,11723,38486,16716,11075
120,16,11814,38173,16857,11156
121,16,12693,40659,15171,9477
122,16,12010,41506,15561,8923
123,16,12012,41107,15631,9250
124,16,12124,41099,15634,9143
125,16,11278,38744,17237,10741
126,16,11159,38840,17279,10722
127,16,11634,39295,17068,10003
128,16,11772,41231,15762,9235
129,16,11770,40977,15780,9473
130,16,12096,40344,15733,9827
131,16,12027,40515,15678,9780
132,16,12344,40924,15404,9328
133,16,12705,41320,15101,8874
134,16,12341,40864,15353,9442
135,16,11768,42903,14806,8523
136,16,11592,40324,16202,9882
137,16,11636,40225,16190,9949
138,16,11514,42812,14786,8888
139,16,11811,42460,14800,8929
140,16,11888,42138,15057,8917
141,16,11954,41784,14881,9381
142,16,12873,39656,14640,10831
143,16,12773,39827,14608,10792
144,16,13124,39366,14838,10672
145,16,12899,39542,14664,10895
