round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12181,30822,16749,18248
3,16,12678,29443,16335,19544
4,16,12682,29344,16303,19671
5,16,13289,27872,16294,20545
6,16,13201,28261,16287,20251
7,16,12664,30208,16674,18454
8,16,12311,28569,17245,19875
9,16,12116,30545,16865,18474
10,16,12316,30235,16932,18517
11,16,13056,29000,16474,19470
12,16,13050,28780,16410,19760
13,16,13267,26588,16596,21549
14,16,13185,26508,16552,21755
15,16,13176,25191,16612,23021
16,16,13365,25082,16733,22820
17,16,13148,27263,16910,20679
18,16,13017,25682,17470,21831
19,16,12986,25808,17277,21929
20,16,13431,23665,17108,23796
21,16,13886,22631,16573,24910
22,16,14923,20605,15586,26886
23,16,15431,20701,15590,26278
24,16,15185,21968,15450,25397
25,16,15249,22090,15468,25193
26,16,15329,20853,15020,26798
27,16,14426,22428,16231,24915
28,16,14314,22972,16573,24141
29,16,15328,21040,15512,26120
30,16,15318,21318,15924,25440
31,16,15779,21916,15861,24444
32,16,16146,22102,15723,24029
33,16,17140,20492,15494,24874
34,16,17017,20559,15395,25029
35,16,16787,22193,15205,23815
36,16,16549,23706,15148,22597
37,16,15478,25711,15475,21336
38,16,15621,25208,15617,21554
39,16,14947,26532,15914,20607
40,16,14211,28083,16272,19434
41,16,13977,28963,16600,18460
42,16,14062,29268,16588,18082
43,16,14224,28963,16472,18341
44,16,14229,28789,16667,18315
45,16,14549,26988,16401,20062
46,16,14495,26995,16393,20117
47,16,14927,27190,16460,19423
48,16,15041,26655,16236,20068
49,16,14420,25343,17156,21081
50,16,14967,27263,16327,19443
51,16,15838,25847,15786,20529
52,16,15381,23854,16497,22268
53,16,16349,22330,15914,23407
54,16,16430,22140,15820,23610
55,16,16577,21063,16166,24194
56,16,17113,19709,16070,25108
57,16,16499,21347,16248,23906
58,16,16400,21022,15827,24751
59,16,16181,19423,16043,26353
60,16,16342,20399,15833,25426
61,16,17324,22367,14772,23537
62,16,17099,24004,14614,22283
63,16,17040,22287,15007,23666
64,16,16293,24157,15901,21649
65,16,16156,24308,15746,21790
66,16,16393,24097,15794,21716
67,16,16184,24264,15787,21765
68,16,16143,25780,15549,20528
69,16,14919,27943,16558,18580
70,16,14560,25851,17277,20312
71,16,13610,27557,18152,18681
72,16,13376,29416,17644,17564
73,16,12428,31325,17836,16411
74,16,12182,31467,17891,16460
75,16,12392,31508,18285,15815
76,16,12358,32001,18324,15317
77,16,12514,34069,17665,13752
78,16,12624,31855,18180,15341
79,16,12680,31814,18197,15309
80,16,12739,31605,17832,15824
81,16,13998,29401,16968,17633
82,16,13878,29774,17322,17026
83,16,14737,31960,15954,15349
84,16,15283,29836,15943,16938
85,16,15662,28110,16212,18016
86,16,15215,27357,16338,19090
87,16,15515,27792,16230,18463
88,16,14239,25879,17504,20378
89,16,13315,27816,18439,18430
90,16,13856,25838,18050,20256
91,16,14097,26139,18000,19764
92,16,13194,25593,18272,20941
93,16,14367,23758,17220,22655
94,16,14410,23933,17481,22176
95,16,15362,22306,17115,23217
96,16,16483,24293,16029,21195
97,16,16319,24441,15834,21406
98,16,16678,24717,16131,20474
99,16,15615,26043,16522,19820
100,16,15686,26393,16551,19370
101,16,15640,25978,16410,19972
102,16,15480,27701,16032,18787
103,16,15131,28274,16651,17944
104,16,15003,29848,16134,17015
105,16,14619,31182,15790,16409
106,16,15002,29664,15787,17547
107,16,15128,29514,15826,17532
108,16,15215,27927,16262,18596
109,16,15327,27997,16285,18391
110,16,15261,29563,15773,17403
111,16,14792,31650,15755,15803
112,16,15115,31885,16045,14955
113,16,14998,31937,15923,15142
114,16,15305,32459,15735,14501
115,16,15393,32747,15922,13938
116,16,15145,31998,16251,14606
117,16,13768,34474,16629,13129
118,16,13645,34355,16689,13311
119,16,13594,34286,16959,13161
120,16,13629,34459,16657,13255
121,16,13934,34296,16584,13186
122,16,13269,35117,17223,12391
123,16,13282,35080,17225,12413
124,16,12479,37106,17422,10993
125,16,12335,37278,17415,10972
126,16,13572,35255,16712,12461
127,16,14255,35364,16691,11690
128,16,13570,33345,17955,13130
129,16,13591,33433,18169,12807
130,16,14609,31471,18192,13728
131,16,14727,31549,18126,13598
132,16,14211,30110,19444,14235
133,16,15060,30229,19017,13694
134,16,14377,28207,20559,14857
135,16,14332,27970,20024,15674
136,16,14331,27926,20053,15690
137,16,13904,26201,20816,17079
138,16,13591,25820,20762,17827
139,16,13184,27710,20923,16183
140,16,13107,27745,20932,16216
141,16,13650,26054,20499,17797
142,16,14421,24283,20572,18724
143,16,14293,24446,20538,18723
144,16,13385,22530,21695,20390
145,16,12161,24266,22822,18751
146,16,13006,26187,21709,17098
147,16,14629,24224,20453,18694
148,16,14625,24285,20415,18675
149,16,15245,22399,19996,20360
150,16,16378,20829,18719,22074
151,16,16451,20728,18697,22124
152,16,16293,20328,18379,23000
153,16,16246,20557,18339,22858
154,16,17085,18883,17300,24732
155,16,17109,18821,17313,24757
156,16,17267,18690,17256,24787
157,16,17230,18946,17235,24589
158,16,15681,17268,18394,26657
159,16,15529,17272,18506,26693
160,16,15102,16129,19088,27681
161,16,14175,17498,20640,25687
162,16,14314,17090,19574,27022
163,16,15012,18399,18522,26067
164,16,14851,18455,18633,26061
165,16,15524,17293,18545,26638
166,16,14301,15833,19287,28579
167,16,13603,16790,19819,27788
168,16,13959,15578,19528,28935
169,16,13944,15587,19484,28985
170,16,15382,17012,18411,27195
171,16,15595,17114,18243,27048
172,16,15559,15720,17703,29018
173,16,15493,15662,17812,29033
174,16,15354,16905,17851,27890
175,16,15387,16810,17861,27942
176,16,15473,15523,17911,29093
177,16,14973,15287,17761,29979
178,16,14955,15253,17818,29974
179,16,14922,15348,17776,29954
180,16,14865,15274,17784,30077
181,16,14831,15402,17773,29994
182,16,14999,15336,17906,29759
183,16,14790,15320,17808,30082
184,16,14989,15214,17785,30012
185,16,14252,16621,18281,28846
186,16,14083,16899,19063,27955
187,16,14220,18546,19159,26075
188,16,14362,18456,19126,26056
189,16,14567,19751,18390,25292
190,16,14115,17948,18661,27276
191,16,14077,17945,18640,27338
192,16,13989,17997,18723,27291
193,16,14525,19616,18480,25379
194,16,14487,19494,18445,25574
195,16,14587,19490,18787,25136
196,16,15639,21362,17703,23296
197,16,14848,22623,17750,22779
198,16,15064,22820,17807,22309
199,16,15296,23006,17956,21742
200,16,15366,22893,17716,22025
201,16,15321,22895,17760,22024
202,16,15506,23524,18025,20945
203,16,15451,23320,18226,21003
204,16,15514,23413,18203,20870
205,16,15542,23367,17731,21360
206,16,15029,22968,17916,22087
207,16,15433,21358,17922,23287
208,16,15472,21351,18069,23108
209,16,14351,19611,19101,24937
210,16,14202,19871,18986,24941
211,16,14267,18134,18601,26998
212,16,14327,17894,18697,27082
213,16,14819,18297,18665,26219
214,16,15961,19951,17845,24243
215,16,15820,20191,17803,24186
216,16,15805,18817,18044,25334
217,16,15683,18985,19275,24057
218,16,15649,19151,19335,23865
219,16,16253,18068,19219,24460
220,16,15646,17538,19493,25323
221,16,15642,17580,19547,25231
222,16,16352,19304,18954,23390
223,16,15076,17776,20002,25146
224,16,15344,16557,20243,25856
225,16,15545,17895,19634,24926
226,16,16806,16235,18398,26561
227,16,17715,17666,17571,25048
228,16,17477,16604,18166,25753
229,16,17216,17923,18907,23954
230,16,17225,18129,18686,23960
231,16,17315,18138,18654,23893
232,16,17244,17961,18831,23964
233,16,18196,16305,17557,25942
234,16,19243,18102,16872,23783
235,16,19000,16499,16637,25864
236,16,18973,15146,16054,27827
237,16,19085,14943,16241,27731
238,16,19216,16270,15842,26672
239,16,19373,17350,15116,26161
240,16,19354,17423,15076,26147
241,16,20426,19179,14010,24385
242,16,20560,20306,13778,23356
243,16,20574,20314,13568,23544
244,16,20650,20379,13683,23288
245,16,20790,20163,13754,23293
246,16,21684,18582,12415,25319
247,16,21768,18813,12171,25248
248,16,22319,19068,12385,24228
249,16,23119,19180,12125,23576
250,16,23349,19196,12122,23333
251,16,22049,18912,12443,24596
252,16,22016,18764,12217,25003
253,16,22074,18906,12251,24769
254,16,22167,17258,11763,26812
255,16,22310,16800,10832,28058
256,16,22265,16880,10772,28083
257,16,22528,18483,10974,26015
258,16,22682,18446,11033,25839
259,16,21965,16691,11258,28086
260,16,21972,16801,11179,28048
261,16,21676,18331,11874,26119
262,16,22342,18582,11856,25220
263,16,22310,18720,11764,25206
264,16,21307,17057,12477,27159
265,16,21283,17126,12426,27165
266,16,20872,15570,12422,29136
267,16,21910,17114,11841,27135
268,16,21339,15505,12069,29087
269,16,21094,15154,11665,30087
270,16,20527,16157,11738,29578
271,16,19453,14534,12260,31753
272,16,19780,14502,12327,31391
273,16,19905,14913,12109,31073
274,16,19938,13883,12784,31395
275,16,19659,14045,12567,31729
276,16,19364,15534,13765,29337
277,16,19219,15475,13712,29594
278,16,18359,16463,14577,28601
279,16,18858,15496,14187,29459
280,16,18740,15563,14240,29457
281,16,18853,15466,14029,29652
282,16,18768,15473,14173,29586
283,16,18123,14184,14919,30774
284,16,18677,14416,15023,29884
285,16,18924,14479,15157,29440
286,16,18730,14530,15104,29636
287,16,18690,15831,15817,27662
288,16,18643,15948,15888,27521
289,16,18384,17448,16327,25841
290,16,18268,17443,16450,25839
291,16,18320,17473,16541,25666
292,16,18317,17484,16329,25870
293,16,18246,16027,16275,27452
294,16,18432,17077,15262,27229
295,16,18202,16017,16026,27755
296,16,18143,15986,16205,27666
297,16,17061,17558,17610,25771
298,16,18147,17944,17495,24414
299,16,18062,17913,17498,24527
300,16,17890,19618,17908,22584
301,16,18883,17654,17167,24296
302,16,19106,19461,16922,22511
303,16,18203,17967,17571,24259
304,16,17129,17694,17908,25269
305,16,17174,17475,17952,25399
306,16,17170,17968,18904,23958
307,16,16496,16760,19705,25039
308,16,16321,16740,20019,24920
309,16,16556,16868,19761,24815
310,16,16118,15335,19840,26707
311,16,17170,13936,18285,28609
312,16,17227,13714,18339,28720
313,16,17008,14046,18225,28721
314,16,17196,13849,18201,28754
315,16,18239,12642,17579,29540
316,16,18258,13032,18616,28094
317,16,18619,14316,18961,26104
318,16,18558,14394,18830,26218
319,16,17476,15916,20347,24261
320,16,16749,14450,20638,26163
321,16,18387,15783,19637,24193
322,16,16621,14471,20715,26193
323,16,16800,14393,20704,26103
324,16,16354,15578,20371,25697
325,16,16354,15489,20225,25932
326,16,16370,14192,19721,27717
327,16,16032,15593,20563,25812
328,16,16140,15549,20650,25661
329,16,16400,16848,20760,23992
330,16,16461,17126,20517,23896
331,16,15813,18286,21612,22289
332,16,14408,20214,22921,20457
333,16,14169,18472,23160,22199
334,16,14077,18496,22995,22432
335,16,14181,18631,23019,22169
336,16,14183,18471,23159,22187
337,16,14505,17042,22513,23940
338,16,14587,17933,21865,23615
339,16,14479,18092,21878,23551
340,16,14459,18045,22016,23480
341,16,14526,18017,21981,23476
342,16,13333,16587,22848,25232
343,16,13325,16221,22159,26295
344,16,13284,16312,21948,26456
345,16,14042,14855,20735,28368
346,16,12961,13548,21478,30013
347,16,12114,14496,21674,29716
348,16,12444,12975,20787,31794
349,16,12378,12845,20551,32226
350,16,12436,13115,21304,31145
351,16,12300,12882,20091,32727
352,16,14167,14126,19048,30659
353,16,14010,14127,19001,30862
354,16,13946,15374,18875,29805
355,16,14204,15239,19056,29501
356,16,15222,16892,18052,27834
357,16,15158,16862,18292,27688
358,16,14540,15204,18470,29786
359,16,14555,15322,18419,29704
360,16,13935,16670,19658,27737
361,16,13871,16919,19486,27724
362,16,14176,18233,18957,26634
363,16,14206,18057,18998,26739
364,16,14304,17995,19061,26640
365,16,13274,16514,19640,28572
366,16,13236,15055,18909,30800
367,16,13379,14829,19257,30535
368,16,13430,15095,19171,30304
369,16,13232,15061,19122,30585
370,16,13247,15108,19188,30457
371,16,13278,14886,19323,30513
372,16,13090,15063,19159,30688
373,16,13166,15017,19093,30724
374,16,13254,14977,19201,30568
375,16,14205,13518,17562,32715
376,16,14199,13542,17467,32792
377,16,14715,12239,16062,34984
378,16,14806,11102,16270,35822
379,16,12768,9821,17004,38407
380,16,14747,11157,16057,36039
381,16,14725,11205,16053,36017
382,16,15085,10191,15437,37287
383,16,15100,10124,15671,37105
384,16,14875,10217,15603,37305
385,16,14592,11438,16962,35008
386,16,14152,10093,16631,37124
387,16,14024,11418,17725,34833
388,16,13756,11449,17758,35037
389,16,13836,11409,17869,34886
390,16,13858,11415,17606,35121
391,16,14273,10224,16338,37165
392,16,14463,10120,16308,37109
393,16,14470,10012,16326,37192
394,16,13924,9151,16614,38311
395,16,13942,8440,16903,38715
396,16,13973,8471,16976,38580
397,16,13828,8580,16764,38828
398,16,14133,8426,16802,38639
399,16,14120,9577,17667,36636
400,16,14175,9628,17645,36552
401,16,14262,9570,17596,36572
402,16,15788,11006,16904,34302
403,16,15896,10728,17010,34366
404,16,15831,10697,17054,34418
405,16,15900,10814,16963,34323
406,16,15982,9646,15797,36575
407,16,15921,8918,16059,37102
408,16,16057,8874,16095,36974
409,16,14022,7901,16982,39095
410,16,15107,8773,17031,37089
411,16,15013,8880,17160,36947
412,16,15299,10138,17833,34730
413,16,15786,8899,16300,37015
414,16,15856,8844,16349,36951
415,16,15849,8954,16466,36731
416,16,15762,8902,16337,36999
417,16,15745,8846,16586,36823
418,16,16532,10078,16515,34875
419,16,16443,10050,16506,35001
420,16,16270,10878,16500,34352
421,16,15357,9664,16522,36457
422,16,15296,8422,15686,38596
423,16,15172,8520,15573,38735
424,16,14213,7411,15332,41044
425,16,14648,6796,14837,41719
426,16,14900,6770,15049,41281
427,16,14483,7762,16531,39224
428,16,14371,7893,16525,39211
429,16,12652,6704,17168,41476
430,16,12618,6778,17110,41494
431,16,12599,6697,17156,41548
432,16,11820,7768,19191,39221
433,16,11811,7703,19141,39345
434,16,11188,8857,21025,36930
435,16,11174,8850,20940,37036
436,16,10939,7821,20116,39124
437,16,10904,7776,20178,39142
438,16,10974,7737,20417,38872
439,16,10798,7781,20130,39291
440,16,12080,8863,20016,37041
441,16,12778,10002,20336,34884
442,16,12931,9984,20215,34870
443,16,12861,9983,20306,34850
444,16,12861,9909,20319,34911
445,16,13038,11301,21060,32601
446,16,13467,11546,21945,31042
447,16,13081,11229,20887,32803
448,16,13093,11156,20964,32787
449,16,13334,10423,21288,32955
450,16,13305,10385,21196,33114
451,16,13262,10311,21082,33345
452,16,12990,11601,22421,30988
453,16,13018,11434,22407,31141
454,16,12949,11566,22475,31010
455,16,12998,11479,22598,30925
456,16,12798,11249,21869,32084
457,16,12554,11381,21887,32178
458,16,12636,11351,21896,32117
459,16,13928,12801,21319,29952
460,16,13933,12650,21516,29901
461,16,13638,13775,21506,29081
462,16,14417,15189,21366,27028
463,16,14278,15198,21177,27347
464,16,14455,15098,21273,27174
465,16,14875,13772,20156,29197
466,16,14847,13728,20175,29250
467,16,13804,13521,19746,30929
468,16,15594,14801,18973,28632
469,16,15890,14763,18914,28433
470,16,15794,14998,19390,27818
471,16,15812,13566,18969,29653
472,16,15670,13668,18879,29783
473,16,16837,12192,17251,31720
474,16,16898,12185,17249,31668
475,16,16675,12305,17367,31653
476,16,15585,10950,17542,33923
477,16,15538,11030,17690,33742
478,16,14078,9761,18292,35869
479,16,13976,10008,18084,35932
480,16,14106,9863,18246,35785
481,16,13159,8592,18181,38068
482,16,13304,8692,18029,37975
483,16,14564,9766,17577,36093
484,16,14664,9930,17771,35635
485,16,14534,10583,17628,35255
486,16,13647,12062,18814,33477
487,16,13523,11854,19047,33576
488,16,14456,12851,18263,32430
489,16,13764,11628,18278,34330
490,16,13651,11694,18360,34295
491,16,13860,11665,18409,34066
492,16,13726,12181,18424,33669
493,16,13734,12650,18734,32882
494,16,14019,13678,18150,32153
495,16,13956,13417,17484,33143
496,16,13885,13188,17574,33353
497,16,13903,11976,16865,35256
498,16,12747,11408,16714,37131
499,16,13291,12596,16490,35623
500,16,13332,12404,16362,35902
501,16,12776,13434,16795,34995
502,16,12704,13206,16827,35263
503,16,12820,13188,16752,35240
504,16,12867,14174,17052,33907
505,16,12920,15461,16658,32961
506,16,11916,14795,16870,34419
507,16,11905,14436,16984,34675
508,16,11958,14710,17069,34263
509,16,12162,13747,15994,36097
510,16,12239,13987,15852,35922
511,16,12237,13988,16079,35696
512,16,12016,14209,15841,35934
513,16,11970,14051,15964,36015
514,16,12551,12109,14630,38710
515,16,12713,11774,14426,39087
516,16,13051,13208,15096,36645
517,16,13198,13861,15138,35803
518,16,12198,12606,15503,37693
519,16,12764,11234,13713,40289
520,16,13098,11782,14143,38977
521,16,13369,12646,13715,38270
522,16,13364,11784,13201,39651
523,16,13422,11136,12779,40663
524,16,13582,10986,13025,40407
525,16,13791,11620,13082,39507
526,16,14880,12450,12667,38003
527,16,14592,11770,12856,38782
528,16,14662,11619,12782,38937
529,16,14629,12409,12846,38116
530,16,13871,10803,12713,40613
531,16,13665,11909,12908,39518
532,16,14013,11046,12536,40405
533,16,13922,11356,12502,40220
534,16,14039,11002,12607,40352
535,16,13689,12090,13081,39140
536,16,14256,10599,11973,41172
537,16,13754,9732,11497,43017
538,16,13507,9366,11263,43864
539,16,13675,10049,11657,42619
540,16,12850,8512,11507,45131
541,16,12602,7732,11366,46300
542,16,12494,7652,11424,46430
543,16,12481,7902,11045,46572
544,16,12555,7265,10805,47375
545,16,12552,7929,11344,46175
