round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12069,30483,16816,18632
3,16,12608,29019,16442,19931
4,16,12353,29489,16601,19557
5,16,13028,27982,16708,20282
6,16,12904,28357,16564,20175
7,16,12953,28011,16748,20288
8,16,12549,26699,17248,21504
9,16,12519,26644,17253,21584
10,16,12820,28116,16870,20194
11,16,13519,26872,16390,21219
12,16,13526,28288,16030,20156
13,16,13542,26179,16083,22196
14,16,13539,26266,16030,22165
15,16,13474,26514,15998,22014
16,16,13262,28290,16449,19999
17,16,12928,30676,16297,18099
18,16,12855,29094,16981,19070
19,16,12799,29250,16733,19218
20,16,13261,27010,16780,20949
21,16,13873,25738,16264,22125
22,16,14793,23822,15365,24020
23,16,15805,24049,15324,22822
24,16,15595,25952,15072,21381
25,16,15495,25760,14958,21787
26,16,15987,24210,14782,23021
27,16,14779,26140,15757,21324
28,16,14689,26859,16105,20347
29,16,14889,26432,15788,20891
30,16,14772,26823,16014,20391
31,16,15092,27243,16122,19543
32,16,15474,27418,15995,19113
33,16,15544,27233,16217,19006
34,16,14280,29153,16656,17911
35,16,14202,31464,16320,16014
36,16,14171,31472,16321,16036
37,16,14135,31328,15942,16595
38,16,14726,32811,14936,15527
39,16,14869,32740,15078,15313
40,16,14994,32610,14787,15609
41,16,14765,33176,14912,15147
42,16,15051,30733,15221,16995
43,16,15055,30745,15277,16923
44,16,14957,30787,15294,16962
45,16,14984,30378,15138,17500
46,16,14788,30663,14961,17588
47,16,14787,28629,16153,18431
48,16,14811,28525,15652,19012
49,16,13765,26803,16685,20747
50,16,14024,26345,16685,20946
51,16,14777,24970,16111,22142
52,16,14497,24533,16206,22764
53,16,14392,24823,16389,22396
54,16,14357,24774,16395,22474
55,16,14336,23344,16585,23735
56,16,14359,23319,16883,23439
57,16,14111,24902,16748,22239
58,16,13900,24993,16407,22700
59,16,13871,24500,16504,23125
60,16,13895,24319,16529,23257
61,16,14951,26147,15501,21401
62,16,14818,26381,15303,21498
63,16,14905,24466,15835,22794
64,16,14684,24883,15720,22713
65,16,14784,24448,15825,22943
66,16,14990,24475,15757,22778
67,16,14688,23012,16017,24283
68,16,14774,24448,15762,23016
69,16,13528,26893,16887,20692
70,16,13285,24612,17379,22724
71,16,13962,23213,16673,24152
72,16,13986,23230,16846,23938
73,16,13368,24725,17271,22636
74,16,12673,23131,18037,24159
75,16,13139,21436,18125,25300
76,16,13165,22068,18338,24429
77,16,13802,23755,17907,22536
78,16,13382,23579,17644,23395
79,16,14428,21976,17055,24541
80,16,13551,23621,17446,23382
81,16,13932,23115,16881,24072
82,16,14078,21676,16957,25289
83,16,14764,22835,16376,24025
84,16,14642,25165,16206,21987
85,16,14662,25079,16302,21957
86,16,14245,24354,16279,23122
87,16,14541,24623,16486,22350
88,16,13658,23270,17284,23788
89,16,14326,21653,16963,25058
90,16,14596,21859,17371,24174
91,16,14933,22677,17331,23059
92,16,14185,22219,17517,24079
93,16,13182,23939,18601,22278
94,16,13387,22351,18712,23550
95,16,13289,22652,19227,22832
96,16,13390,22646,19107,22857
97,16,13341,22623,19209,22827
98,16,13314,21164,19606,23916
99,16,12374,22581,20171,22874
100,16,12280,22818,20169,22733
101,16,12488,22417,20037,23058
102,16,12354,23898,19705,22043
103,16,11911,24627,20421,21041
104,16,12012,25908,19864,20216
105,16,11945,26326,20218,19511
106,16,12367,24753,20224,20656
107,16,12122,26679,20450,18749
108,16,12269,26885,20577,18269
109,16,12361,26835,20498,18306
110,16,12067,26692,20377,18864
111,16,12086,26568,20452,18894
112,16,12117,24894,20830,20159
113,16,12310,24896,20746,20048
114,16,12257,23625,21602,20516
115,16,12447,22160,21843,21550
116,16,12505,23307,21233,20955
117,16,12432,23644,20913,21011
118,16,11463,25242,22102,19193
119,16,11049,27179,22255,17517
120,16,10906,26982,22325,17787
121,16,11998,29010,20948,16044
122,16,11462,29722,21790,15026
123,16,11536,27971,22457,16036
124,16,11537,27814,22578,16071
125,16,11607,27872,22518,16003
126,16,11348,28051,22379,16222
127,16,12248,28208,22443,15101
128,16,11274,26409,23775,16542
129,16,11950,24731,23471,17848
130,16,11971,24486,23680,17863
131,16,11960,24546,23562,17932
132,16,11501,23226,24772,18501
133,16,11747,23074,24665,18514
134,16,10718,21449,25657,20176
135,16,10630,23008,25020,19342
136,16,11515,24498,24288,17699
137,16,11065,24254,24229,18452
138,16,10186,22763,25018,20033
139,16,10695,20832,24741,21732
140,16,10691,20961,24780,21568
141,16,10623,20955,24643,21779
142,16,11426,19245,24041,23288
143,16,11312,19295,24040,23353
144,16,11390,19209,24023,23378
145,16,11531,19045,23180,24244
