round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12181,30822,16749,18248
3,16,12678,29443,16335,19544
4,16,12682,29344,16303,19671
5,16,13289,27872,16294,20545
6,16,13201,28261,16287,20251
7,16,12664,30208,16674,18454
8,16,12311,28569,17245,19875
9,16,12116,30545,16865,18474
10,16,12316,30235,16932,18517
11,16,13056,29000,16474,19470
12,16,13050,28780,16410,19760
13,16,13267,26588,16596,21549
14,16,13737,28329,15533,20401
15,16,13723,26871,15737,21669
16,16,13946,26718,15885,21451
17,16,13785,28459,15798,19958
18,16,13694,26974,16201,21131
19,16,13736,26957,16151,21156
20,16,14060,25252,16228,22460
21,16,14548,24092,15743,23617
22,16,15599,22056,14810,25535
23,16,16116,22209,14784,24891
24,16,15817,23515,14575,24093
25,16,15882,23719,14547,23852
26,16,16000,22334,14198,25468
27,16,15079,23957,15343,23621
28,16,14929,24523,15656,22892
29,16,15043,24419,15747,22791
30,16,15022,24688,16129,22161
31,16,15360,25352,15965,21323
32,16,15694,25446,15840,21020
33,16,15699,25792,16388,20121
34,16,14344,27826,17470,18360
35,16,14041,29567,17073,17319
36,16,13761,31400,16726,16113
37,16,13817,31528,16093,16562
38,16,14841,33077,14987,15095
39,16,14078,34682,15179,14061
40,16,14389,34190,14865,14556
41,16,14008,35187,14965,13840
42,16,14118,35452,14997,13433
43,16,15226,33468,14728,14578
44,16,15409,32934,14553,15104
45,16,15428,33029,14405,15138
46,16,15496,33225,14347,14932
47,16,15717,33480,14246,14557
48,16,15864,32993,14083,15060
49,16,15667,33162,14142,15029
50,16,16132,35295,13086,13487
51,16,16130,35603,12986,13281
52,16,15802,33340,13914,14944
53,16,15646,33593,14321,14440
54,16,15819,33476,14289,14416
55,16,15719,33935,14176,14170
56,16,15586,34309,14572,13533
57,16,14839,36463,14244,12454
58,16,14854,36050,14164,12932
59,16,15045,33794,14885,14276
60,16,14907,35494,14372,13227
61,16,15701,37888,12725,11686
62,16,15606,37383,12705,12306
63,16,15628,35679,13304,13389
64,16,14758,37958,13648,11636
65,16,14633,37797,13629,11941
66,16,14691,37822,13739,11748
67,16,14695,37855,13553,11897
68,16,14361,39707,13279,10653
69,16,12688,42592,13679,9041
70,16,12731,39848,14723,10698
71,16,12907,39727,14629,10737
72,16,12629,41768,14108,9495
73,16,12575,42074,13971,9380
74,16,12202,41756,14189,9853
75,16,12414,41821,14462,9303
76,16,12207,42462,14215,9116
77,16,12337,44612,13293,7758
78,16,12177,44501,13286,8036
79,16,12202,44268,13477,8053
80,16,12413,43900,13375,8312
81,16,13721,41452,13018,9809
82,16,13596,41907,13118,9379
83,16,13722,42344,12811,9123
84,16,14401,39927,13223,10449
85,16,14857,37742,13533,11868
86,16,14614,37156,13766,12464
87,16,14881,37340,13747,12032
88,16,14502,36893,14156,12449
89,16,13373,39436,14400,10791
90,16,14150,37114,14386,12350
91,16,14101,37444,14398,12057
92,16,13322,34920,15891,13867
93,16,14692,33055,15083,15170
94,16,14547,33380,14989,15084
95,16,15627,31471,14733,16169
96,16,15937,31839,14603,15621
97,16,16066,31855,14595,15484
98,16,16272,32140,14589,14999
99,16,16265,31844,14605,15286
100,16,16295,32255,14589,14861
101,16,16303,32058,14285,15354
102,16,15890,33980,14036,14094
103,16,14652,36104,14486,12758
104,16,14571,37910,13815,11704
105,16,14919,36862,13622,12597
106,16,15270,35373,13528,13829
107,16,15435,35243,13548,13774
108,16,15682,33446,14032,14840
109,16,15676,33541,14102,14681
110,16,15527,35160,13608,13705
111,16,14980,37529,13303,12188
112,16,15315,37772,13336,11577
113,16,15265,37634,13412,11689
114,16,15322,38431,13092,11155
115,16,16059,36454,13335,12152
116,16,15838,35737,13672,12753
117,16,14341,38404,14025,11230
118,16,14220,38300,14156,11324
119,16,14297,38041,14363,11299
120,16,14359,38140,14280,11221
121,16,14542,38123,14001,11334
122,16,13855,38660,14770,10715
123,16,13951,38679,14737,10633
124,16,13121,41029,14588,9262
125,16,12533,39210,16099,10158
126,16,13863,36957,15591,11589
127,16,14328,37371,15469,10832
128,16,14102,37211,15356,11331
129,16,14068,37088,15689,11155
130,16,14063,37041,15788,11108
131,16,14077,37066,15779,11078
132,16,14191,39243,14336,10230
133,16,14936,39390,13885,9789
134,16,14566,39099,14269,10066
135,16,14473,38682,14313,10532
136,16,14357,38838,14188,10617
137,16,14188,38583,14255,10974
138,16,14057,38070,14505,11368
139,16,13504,40429,14284,9783
140,16,13546,40411,14160,9883
141,16,13530,40247,14006,10217
142,16,14412,38215,14046,11327
143,16,14236,38495,13996,11273
144,16,14154,37902,14336,11608
145,16,12606,40356,14749,10289
146,16,12705,40156,14967,10172
147,16,12880,39946,14609,10565
148,16,13020,39647,14424,10909
149,16,13037,39187,14755,11021
150,16,13311,39124,14298,11267
151,16,13375,39061,14369,11195
152,16,13377,38684,14442,11497
153,16,13527,39065,14114,11294
154,16,13782,38615,13962,11641
155,16,13615,38301,14169,11915
156,16,13753,37779,14094,12374
157,16,13491,37792,14102,12615
158,16,12670,35481,15384,14465
159,16,12232,33484,16540,15744
160,16,12235,33269,16586,15910
161,16,11996,33901,16866,15237
162,16,12245,33159,16512,16084
163,16,12333,33122,16388,16157
164,16,12294,33231,16435,16040
165,16,12185,33520,16622,15673
166,16,12079,33454,16649,15818
167,16,12401,33083,16397,16119
168,16,13029,31166,16413,17392
169,16,12992,31303,16376,17329
170,16,13545,33655,15113,15687
171,16,13858,31722,15375,17045
172,16,13709,32198,15545,16548
173,16,13684,32146,15547,16623
174,16,13484,34256,15572,14688
175,16,12287,36515,16173,13025
176,16,12134,37082,16149,12635
177,16,12187,36462,16325,13026
178,16,12057,36440,16216,13287
179,16,11881,34586,17275,14258
180,16,11669,34781,17187,14363
181,16,11599,34928,17274,14199
182,16,11665,34833,17215,14287
183,16,11823,34445,17416,14316
184,16,11836,34685,17230,14249
185,16,12781,32680,17117,15422
186,16,11611,35076,17432,13881
187,16,11592,34772,17342,14294
188,16,11745,34563,17501,14191
189,16,11914,36282,16494,13310
190,16,11916,33752,17261,15071
191,16,11669,34017,17150,15164
192,16,11862,33811,17269,15058
193,16,11838,36013,16396,13753
194,16,11064,38200,16583,12153
195,16,11238,37919,16299,12544
196,16,11208,38152,16324,12316
197,16,11341,37565,16358,12736
198,16,11371,37826,16452,12351
199,16,11446,38278,16353,11923
200,16,11526,37858,16235,12381
201,16,11868,37361,16128,12643
202,16,11667,38146,16222,11965
203,16,11456,38215,16141,12188
204,16,11482,38438,16164,11916
205,16,11671,37906,15986,12437
206,16,11483,37642,16189,12686
207,16,11581,37198,16056,13165
208,16,11951,36676,15956,13417
209,16,11645,34578,16959,14818
210,16,11553,34744,16761,14942
211,16,11603,34743,16695,14959
212,16,11505,34706,16787,15002
213,16,11570,34660,16847,14923
214,16,11591,35111,16750,14548
215,16,12288,33315,16507,15890
216,16,12423,33290,16438,15849
217,16,12041,33757,16971,15231
218,16,12095,35948,15992,13965
219,16,12744,34293,15964,14999
220,16,12843,34188,16124,14845
221,16,12713,34274,16077,14936
222,16,12889,34564,16181,14366
223,16,12709,34407,16172,14712
224,16,12606,34649,16515,14230
225,16,12369,37164,15549,12918
226,16,12842,36285,15521,13352
227,16,12892,36517,15597,12994
228,16,12922,37384,15194,12500
229,16,13220,36732,15423,12625
230,16,13013,37132,15263,12592
231,16,13441,35232,15607,13720
232,16,13470,35086,15642,13802
233,16,13713,34554,15393,14340
234,16,13797,35226,15291,13686
235,16,14026,35049,15184,13741
236,16,14377,33127,15087,15409
237,16,14190,33191,15671,14948
238,16,14163,33158,15414,15265
239,16,14399,34676,14661,14264
240,16,14480,34788,14455,14277
241,16,14717,36592,13568,13123
242,16,14796,36344,13725,13135
243,16,14222,38664,13221,11893
244,16,14333,38555,13345,11767
245,16,13431,40366,13553,10650
246,16,13610,40012,13270,11108
247,16,13294,42121,13010,9575
248,16,13274,42191,13050,9485
249,16,12885,40131,14109,10875
250,16,13857,38245,13729,12169
251,16,13622,37813,14231,12334
252,16,13672,38073,13868,12387
253,16,13774,37709,14072,12445
254,16,13713,37371,14069,12847
255,16,13972,36950,13844,13234
256,16,14379,39582,12595,11444
257,16,14470,39423,12564,11543
258,16,14409,39436,12593,11562
259,16,14612,39739,12458,11191
260,16,14569,39905,12457,11069
261,16,14304,40547,12421,10728
262,16,14404,40073,12696,10827
263,16,14423,40479,12464,10634
264,16,14274,39949,12722,11055
265,16,15480,38072,12191,12257
266,16,15419,37397,12379,12805
267,16,15606,37862,12161,12371
268,16,15511,37491,12223,12775
269,16,15653,37144,12240,12963
270,16,15595,37072,12246,13087
271,16,15314,36884,12256,13546
272,16,14843,38748,12290,12119
273,16,14374,37218,13136,13272
274,16,15054,37186,13236,12524
275,16,14734,37859,12972,12435
276,16,13641,40262,13234,10863
277,16,14371,37831,13451,12347
278,16,14169,38163,13390,12278
279,16,14097,37827,13370,12706
280,16,14136,37903,13478,12483
281,16,14097,37578,13400,12925
282,16,13937,35109,14149,14805
283,16,14583,36882,13243,13292
284,16,14414,38932,12845,11809
285,16,14375,38860,12819,11946
286,16,14368,39452,12379,11801
287,16,14419,39764,12538,11279
288,16,14374,39850,12537,11239
289,16,14448,40007,12696,10849
290,16,14109,40335,12530,11026
291,16,14413,40269,12507,10811
292,16,14811,42500,11291,9398
293,16,14991,41199,11722,10088
294,16,14933,40968,11898,10201
295,16,14659,41023,11949,10369
296,16,14714,41111,11867,10308
297,16,15738,38838,11548,11876
298,16,15949,39653,11262,11136
299,16,16111,40022,10967,10900
300,16,15388,42669,10737,9206
301,16,15578,42062,10818,9542
302,16,15487,42664,10533,9316
303,16,15437,42861,10512,9190
304,16,14868,40217,12081,10834
305,16,14899,40431,12149,10521
306,16,14667,41019,12138,10176
307,16,14713,40871,12050,10366
308,16,14807,40763,12066,10364
309,16,14840,40762,12126,10272
310,16,14802,40588,12238,10372
311,16,13480,43057,12292,9171
312,16,12823,44677,12809,7691
313,16,12460,43266,13379,8895
314,16,13760,40422,13166,10652
315,16,13896,40220,13223,10661
316,16,13802,40707,13205,10286
317,16,13531,41475,12942,10052
318,16,13823,41409,13235,9533
319,16,13485,41778,13278,9459
320,16,13550,41406,13480,9564
321,16,13676,42136,12859,9329
322,16,13311,42105,13185,9399
323,16,13584,41524,13207,9685
324,16,13567,41105,13286,10042
325,16,13662,40872,13342,10124
326,16,13590,40372,13187,10851
327,16,13469,40734,13271,10526
328,16,13325,38568,14447,11660
329,16,13265,38609,14548,11578
330,16,13664,36967,14814,12555
331,16,14504,35012,14467,14017
332,16,14494,35371,14820,13315
333,16,14549,33039,15381,15031
334,16,14458,33161,15309,15072
335,16,13666,35131,15412,13791
336,16,13621,35061,15468,13850
337,16,13555,35276,15355,13814
338,16,13708,36434,14841,13017
339,16,12380,39174,15003,11443
340,16,12469,39234,15148,11149
341,16,11171,41026,15596,10207
342,16,11164,40594,15818,10424
343,16,11239,40163,15557,11041
344,16,11526,39472,15578,11424
345,16,12607,37048,15198,13147
346,16,12832,37467,14992,12709
347,16,12969,37201,14757,13073
348,16,13759,34737,14600,14904
349,16,13710,34802,14647,14841
350,16,14056,33354,14709,15881
351,16,13243,35645,15143,13969
352,16,13803,38361,13564,12272
353,16,14001,37936,13703,12360
354,16,14364,35936,14192,13508
355,16,14299,36083,14058,13560
356,16,13980,34002,15037,14981
357,16,13727,34181,15036,15056
358,16,13787,33579,15128,15506
359,16,13116,36179,15147,13558
360,16,13092,36126,15514,13268
361,16,12968,36381,15330,13321
362,16,13045,36459,15379,13117
363,16,13199,34544,15742,14515
364,16,13151,34639,15871,14339
365,16,12839,32256,16803,16102
366,16,13078,30164,16825,17933
367,16,13429,29843,16935,17793
368,16,12943,31750,16663,16644
369,16,12977,31305,16202,17516
370,16,13778,32725,15426,16071
371,16,13554,32832,15492,16122
372,16,13550,32997,15481,15972
373,16,13364,33277,15280,16079
374,16,12903,31135,16293,17669
375,16,13318,30662,15780,18240
376,16,13318,30820,15888,17974
377,16,13534,30505,15497,18464
378,16,13633,30333,15715,18319
379,16,12413,28406,16546,20635
380,16,13564,30125,15673,18638
381,16,13580,30125,15800,18495
382,16,13616,30179,15623,18582
383,16,13415,30720,15951,17914
384,16,13455,30612,15873,18060
385,16,13218,31440,16008,17334
386,16,13172,31393,16150,17285
387,16,13191,31022,16190,17597
388,16,13290,30662,15981,18067
389,16,13426,29029,16252,19293
390,16,13513,28966,16035,19486
391,16,13601,28708,15749,19942
392,16,13605,28691,15898,19806
393,16,13491,30251,15827,18431
394,16,13453,30621,15569,18357
395,16,13467,28771,16114,19648
396,16,13271,30605,15913,18211
397,16,13021,28951,16404,19624
398,16,13148,29130,16432,19290
399,16,12697,30686,16404,18213
400,16,12855,31040,16341,17764
401,16,12882,30804,16419,17895
402,16,13499,33147,15469,15885
403,16,13671,34959,14736,14634
404,16,13315,35683,14903,14099
405,16,13594,35491,14851,14064
406,16,13648,34957,14895,14500
407,16,13494,35470,14821,14215
408,16,13539,35394,14848,14219
409,16,12683,33160,16077,16080
410,16,12809,33716,15961,15514
411,16,12730,33565,16051,15654
412,16,12723,33728,16233,15316
413,16,13674,31639,15720,16967
414,16,13863,33625,14717,15795
415,16,14016,31723,15373,16888
416,16,14897,29917,14831,18355
417,16,15099,31646,14199,17056
418,16,15034,33972,13589,15405
419,16,15087,33380,13656,15877
420,16,15324,32995,13606,16075
421,16,15205,32571,13859,16365
422,16,15046,32601,13846,16507
423,16,15184,32470,13919,16427
424,16,14912,30634,14116,18338
425,16,14761,30869,14303,18067
426,16,14917,30812,14253,18018
427,16,14057,32988,14436,16519
428,16,14091,32745,14617,16547
429,16,14061,31943,15044,16952
430,16,14033,32820,14688,16459
431,16,13434,30885,15617,18064
432,16,14330,29151,14960,19559
433,16,14152,29037,14823,19988
434,16,13273,31060,15759,17908
435,16,13136,30670,15981,18213
436,16,13136,30248,15697,18919
437,16,13281,31585,15500,17634
438,16,12970,33936,15088,16006
439,16,13052,33696,15202,16050
440,16,13307,35973,14444,14276
441,16,13425,36352,14523,13700
442,16,13603,34564,14592,15241
443,16,13985,33113,14532,16370
444,16,14728,34408,13790,15074
445,16,14587,34825,13766,14822
446,16,14770,35437,13780,14013
447,16,14569,34928,13667,14836
448,16,14612,34970,13830,14588
449,16,14723,35388,13734,14155
450,16,14754,35250,13666,14330
451,16,14528,35321,13611,14540
452,16,14451,35705,13732,14112
453,16,14925,37725,12606,12744
454,16,14519,39489,12705,11287
455,16,14330,39788,12439,11443
456,16,14710,37296,12850,13144
457,16,14711,37332,12831,13126
458,16,15222,35427,12909,14442
459,16,15538,35763,12750,13949
460,16,15387,35705,12795,14113
461,16,16132,33755,12861,15252
462,16,16111,34313,12664,14912
463,16,16444,34679,12461,14416
464,16,17304,32484,12203,16009
465,16,17117,32333,12132,16418
466,16,17338,32350,12239,16073
467,16,16922,31674,12332,17072
468,16,16851,31769,12310,17070
469,16,17081,31698,12361,16860
470,16,16408,33734,12102,15756
471,16,16755,33815,12279,15151
472,16,17437,32211,11844,16508
473,16,17817,31679,11521,16983
474,16,18475,33845,10532,15148
475,16,17441,36291,10742,13526
476,16,17221,35886,10909,13984
477,16,16947,33814,12102,15137
478,16,16213,31612,13143,17032
479,16,16082,31480,13022,17416
480,16,16059,30930,13388,17623
481,16,15971,28598,13810,19621
482,16,15621,30582,13496,18301
483,16,15912,31286,13257,17545
484,16,16110,31550,13264,17076
485,16,16243,31221,13247,17289
486,16,15870,31715,13038,17377
487,16,15801,31637,13140,17422
488,16,16049,31434,13373,17144
489,16,15900,30794,13395,17911
490,16,15911,31037,13415,17637
491,16,16437,28784,13624,19155
492,16,15799,30396,13487,18318
493,16,15282,33116,13342,16260
494,16,15808,33293,13305,15594
495,16,15886,32813,12949,16352
496,16,15724,32185,13235,16856
497,16,15640,31749,12994,17617
498,16,15300,31012,13137,18551
499,16,15296,31131,13152,18421
500,16,15601,30707,13299,18393
501,16,15717,30335,13240,18708
502,16,15087,31758,13589,17566
503,16,15049,31892,13478,17581
504,16,15238,31547,13626,17589
505,16,14972,31733,13440,17855
506,16,14788,30377,14170,18665
507,16,15124,28948,13768,20160
508,16,15265,30852,13510,18373
509,16,15725,30038,13279,18958
510,16,15466,30206,13172,19156
511,16,15610,31861,13259,17270
512,16,15572,31714,13275,17439
513,16,15367,31716,13265,17652
514,16,15671,31131,13179,18019
515,16,15369,32172,13044,17415
516,16,15251,34388,13145,15216
517,16,15369,33607,13344,15680
518,16,15368,35693,12622,14317
519,16,14987,36950,13358,12705
520,16,14987,36744,13472,12797
521,16,14983,36046,13562,13409
522,16,15352,34287,13382,14979
523,16,15395,34794,13057,14754
524,16,15540,34629,13378,14453
525,16,15441,34016,13435,15108
526,16,15601,35441,12894,14064
527,16,15213,33920,13178,15689
528,16,15212,34117,13142,15529
529,16,15421,33627,13245,15707
530,16,15279,33283,13418,16020
531,16,15219,33291,13152,16338
532,16,15798,31696,12651,17855
533,16,15868,31519,12789,17824
534,16,15536,33147,13355,15962
535,16,15404,32834,13345,16417
536,16,14366,35451,13723,14460
537,16,14826,33941,14200,15033
538,16,14829,33609,14126,15436
539,16,14554,35508,14171,13767
540,16,14845,35147,14524,13484
541,16,14696,35178,14432,13694
542,16,14706,34906,14538,13850
543,16,14334,36270,14041,13355
544,16,14636,35035,13606,14723
545,16,14835,34374,13909,14882
