round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12069,30483,16816,18632
3,16,12608,29019,16442,19931
4,16,12353,29489,16601,19557
5,16,13028,27982,16708,20282
6,16,12904,28357,16564,20175
7,16,12361,30222,17026,18391
8,16,12037,28764,17553,19646
9,16,11882,30900,17440,17778
10,16,12059,30707,17445,17789
11,16,12911,29332,16971,18786
12,16,12874,30898,16445,17783
13,16,13058,28735,16632,19575
14,16,12974,28834,16639,19553
15,16,12929,26966,16665,21440
16,16,13153,26677,16855,21315
17,16,12802,28950,16794,19454
18,16,12697,27486,17475,20342
19,16,12696,27565,17256,20483
20,16,13118,25410,17200,22272
21,16,13687,24162,16698,23453
22,16,14655,22293,15742,25310
23,16,15690,22598,15639,24073
24,16,15443,24030,15426,23101
25,16,15391,24147,15464,22998
26,16,15679,22811,15176,24334
27,16,14643,24443,16276,22638
28,16,14535,24944,16586,21935
29,16,14727,24510,16160,22603
30,16,14709,24594,16248,22449
31,16,15043,25237,16283,21437
32,16,15450,23754,16689,22107
33,16,16349,22179,16301,23171
34,16,15273,23681,16948,22098
35,16,15046,25524,16549,20881
36,16,14934,25672,16510,20884
37,16,14896,25647,16369,21088
38,16,15205,26853,15702,20240
39,16,14703,28138,15854,19305
40,16,13710,30200,16432,17658
41,16,13469,30654,16759,17118
42,16,13708,30820,16710,16762
43,16,14729,28828,16086,18357
44,16,14901,28705,16276,18118
45,16,14594,28236,15720,19450
46,16,14786,28124,15759,19331
47,16,15195,28743,15589,18473
48,16,15830,26920,15074,20176
49,16,14809,24923,16224,22044
50,16,15642,26619,15533,20206
51,16,16278,25552,15092,21078
52,16,15790,24841,15391,21978
53,16,15947,24464,15221,22368
54,16,15963,24543,14982,22512
55,16,16256,25326,15164,21254
56,16,16235,25043,15255,21467
57,16,16314,25133,15222,21331
58,16,16619,23271,14848,23262
59,16,16425,21373,15078,25124
60,16,16238,21386,15065,25311
61,16,17583,23088,14020,23309
62,16,17863,22071,14004,24062
63,16,18036,23498,13754,22712
64,16,17184,24945,13932,21939
65,16,17318,24643,13959,22080
66,16,17270,24707,13980,22043
67,16,17397,25194,13869,21540
68,16,17244,24671,13874,22211
69,16,16030,26764,15104,20102
70,16,15507,24892,15544,22057
71,16,15298,25312,16449,20941
72,16,15102,27021,15868,20009
73,16,14245,28813,16166,18776
74,16,14838,29491,15983,17688
75,16,14441,31624,16116,15819
76,16,14621,31687,16251,15441
77,16,14842,33969,15432,13757
78,16,14919,31506,16072,15503
79,16,15996,29941,15510,16553
80,16,15848,30392,15502,16258
81,16,16194,29739,15116,16951
82,16,16121,30343,15291,16245
83,16,16165,30134,15406,16295
84,16,16217,30284,15323,16176
85,16,16088,30203,15423,16286
86,16,15910,29407,15583,17100
87,16,16091,29923,15564,16422
88,16,16991,32007,14020,14982
89,16,16819,32453,14351,14377
90,16,16941,32682,14462,13915
91,16,17326,33229,14444,13001
92,16,16531,31050,15883,14536
93,16,16707,31076,15911,14306
94,16,16549,31427,16032,13992
95,16,16408,31624,16557,13411
96,16,16715,33619,15145,12521
97,16,16862,33481,15075,12582
98,16,16791,35789,14325,11095
99,16,15279,37388,14818,10515
100,16,15378,37691,14771,10160
101,16,15319,37622,14439,10620
102,16,14785,39593,13930,9692
103,16,13238,41701,14464,8597
104,16,13118,43860,13329,7693
105,16,12976,44134,13531,7359
106,16,12973,44453,13384,7190
107,16,13000,44206,13540,7254
108,16,13517,41895,14472,8116
109,16,13372,42292,14328,8008
110,16,13314,42203,14373,8110
111,16,13359,42118,14511,8012
112,16,13332,42664,14326,7678
113,16,13428,42367,14563,7642
114,16,13683,40502,15482,8333
115,16,12897,42669,15033,7401
116,16,12829,44644,13835,6692
117,16,14486,42471,13263,7780
118,16,14385,42405,13284,7926
119,16,14367,42283,13479,7871
120,16,14367,42353,13405,7875
121,16,14851,42558,13151,7440
122,16,16148,40847,12919,8086
123,16,16368,40724,12821,8087
124,16,16310,40691,12908,8091
125,16,15521,38312,14891,9276
126,16,17135,36484,14073,10308
127,16,17459,36474,14134,9933
128,16,17553,36497,14138,9812
129,16,18245,34374,14250,11131
130,16,19761,32430,14026,11783
131,16,19588,32499,14038,11875
132,16,20328,34716,12201,10755
133,16,21042,34762,12015,10181
134,16,20949,34750,12189,10112
135,16,20517,34608,12132,10743
136,16,20262,34206,12256,11276
137,16,20296,34203,12175,11326
138,16,20202,32508,13306,11984
139,16,20418,32488,13173,11921
140,16,20328,32295,13232,12145
141,16,20415,32286,13279,12020
142,16,21460,30346,12899,13295
143,16,21336,32525,12162,11977
144,16,21096,32031,12306,12567
145,16,21104,31881,11953,13062
