round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12181,30822,16749,18248
3,16,12678,29443,16335,19544
4,16,12682,29344,16303,19671
5,16,13289,27872,16294,20545
6,16,13201,28261,16287,20251
7,16,13260,27988,16368,20384
8,16,12855,26502,16882,21761
9,16,12784,26630,16762,21824
10,16,12955,26378,16840,21827
11,16,13591,25243,16409,22757
12,16,13552,24933,16365,23150
13,16,13664,22949,16302,25085
14,16,13644,22860,16263,25233
15,16,13604,23139,16215,25042
16,16,13365,25082,16733,22820
17,16,13148,27263,16910,20679
18,16,13017,25682,17470,21831
19,16,12986,25808,17277,21929
20,16,13202,25615,17376,21807
21,16,13705,24512,16821,22962
22,16,14834,22428,15924,24814
23,16,15734,22916,15802,23548
24,16,15440,24647,15581,22332
25,16,15553,24589,15701,22157
26,16,15862,23273,15255,23610
27,16,14672,24909,16456,21963
28,16,14703,25421,16704,21172
29,16,15847,23524,15756,22873
30,16,15692,23696,15720,22892
31,16,16275,24114,15844,21767
32,16,16625,24202,15723,21450
33,16,17694,22625,15453,22228
34,16,17592,22613,15411,22384
35,16,17225,24495,15094,21186
36,16,17171,24100,14877,21852
37,16,16180,25632,15077,21111
38,16,16198,25439,15044,21319
39,16,16171,25419,15210,21200
40,16,15368,26917,15628,20087
41,16,15249,27694,16033,19024
42,16,15521,27876,16064,18539
43,16,15561,27669,15879,18891
44,16,15535,27612,16051,18802
45,16,15922,25693,15742,20643
46,16,15860,25735,15763,20642
47,16,16339,25899,15868,19894
48,16,16331,25392,15647,20630
49,16,15317,23870,16472,22341
50,16,15367,23642,16483,22508
51,16,16162,22505,16169,23164
52,16,15634,20726,16766,24874
53,16,16309,19611,16419,25661
54,16,16277,19477,16331,25915
55,16,16410,18164,16604,26822
56,16,16996,16792,16563,27649
57,16,16427,18353,16713,26507
58,16,16216,18136,16284,27364
59,16,15910,16658,16424,29008
60,16,16161,17477,16208,28154
61,16,17227,19419,15148,26206
62,16,17061,20928,15029,24982
63,16,16964,19257,15482,26297
64,16,16852,19374,15552,26222
65,16,16788,19473,15415,26324
66,16,17043,19268,15378,26311
67,16,16689,19471,15434,26406
68,16,16851,20776,15215,25158
69,16,16103,22422,15826,23649
70,16,15493,20501,16400,25606
71,16,14559,22108,17488,23845
72,16,14660,24138,17291,21911
73,16,13821,25827,17531,20821
74,16,13621,25895,17673,20811
75,16,13894,25925,18121,20060
76,16,13783,26179,17998,20040
77,16,13874,25990,18015,20121
78,16,13512,25872,17845,20771
79,16,13718,25614,17906,20762
80,16,13568,25629,17989,20814
81,16,14736,23730,16897,22637
82,16,14937,22095,17197,23771
83,16,14740,22178,17221,23861
84,16,14689,24288,17153,21870
85,16,14836,22686,17479,22999
86,16,14826,24022,16810,22342
87,16,15288,24173,16925,21614
88,16,15059,24373,16903,21665
89,16,14153,26039,17945,19863
90,16,14727,24068,17502,21703
91,16,14908,24337,17435,21320
92,16,13913,23991,17842,22254
93,16,13906,24052,17718,22324
94,16,13927,24230,17977,21866
95,16,14065,24383,18737,20815
96,16,14973,26432,17472,19123
97,16,15018,26330,17480,19172
98,16,15228,26813,17589,18370
99,16,13947,28353,18084,17616
100,16,14031,28571,18025,17373
101,16,14132,28110,17944,17814
102,16,14174,28145,17806,17875
103,16,13660,28876,18429,17035
104,16,13770,30273,17830,16127
105,16,13222,31905,17471,15402
106,16,13710,30205,17511,16574
107,16,13730,30079,17608,16583
108,16,13916,30463,17657,15964
109,16,14062,30333,17683,15922
110,16,13776,30164,17578,16482
111,16,13628,29776,17503,17093
112,16,13526,31793,17349,15332
113,16,14705,29690,16482,17123
114,16,14785,28130,17118,17967
115,16,14655,27923,17161,18261
116,16,14745,29254,16693,17308
117,16,14582,29553,16396,17469
118,16,14768,29139,16001,18092
119,16,14834,28636,15880,18650
120,16,14471,27218,16450,19861
121,16,13819,24965,17522,21694
122,16,13332,25679,18240,20749
123,16,13333,24178,18801,21688
124,16,12789,25996,19132,20083
125,16,12919,25937,19211,19933
126,16,12638,26400,19094,19868
127,16,12983,26441,19089,19487
128,16,12012,24311,20203,21474
129,16,12082,24706,20728,20484
130,16,12079,24799,20914,20208
131,16,12081,24951,20756,20212
132,16,11729,23412,21913,20946
133,16,11906,23316,21864,20914
134,16,10975,21741,22716,22568
135,16,10983,19851,22507,24659
136,16,11376,21391,21769,23464
137,16,11154,21024,21598,24224
138,16,11542,21538,21585,23335
139,16,11280,23055,21932,21733
140,16,11204,22892,21511,22393
141,16,11453,21265,20964,24318
142,16,12084,19737,20843,25336
143,16,11810,20014,20794,25382
144,16,10792,18248,21557,27403
145,16,11165,17878,20865,28092
146,16,11189,17778,20910,28123
147,16,12118,16370,20252,29260
148,16,12009,16020,19660,30311
149,16,12354,14848,19405,31393
150,16,13081,13635,18905,32379
151,16,12337,14925,20139,30599
152,16,12338,15054,20091,30517
153,16,12423,15139,19953,30485
154,16,12956,13691,18744,32609
155,16,12950,13719,18863,32468
156,16,12896,12221,18160,34723
157,16,12943,12410,18106,34541
158,16,12022,11265,18976,35737
159,16,13516,12552,18068,33864
160,16,13598,12526,18176,33700
161,16,12613,14032,19645,31710
162,16,12882,13816,19278,32024
163,16,13403,14972,18569,31056
164,16,12817,16339,19096,29748
165,16,12949,16231,18948,29872
166,16,12870,16400,19075,29655
167,16,13052,16283,19026,29639
168,16,13246,15008,18831,30915
169,16,13381,14907,18821,30891
170,16,14047,16087,18117,29749
171,16,14584,17874,17945,27597
172,16,14622,17827,17946,27605
173,16,14375,17913,17974,27738
174,16,14368,19168,17921,26543
175,16,14601,18862,17287,27250
176,16,14431,18960,17167,27442
177,16,14578,18748,17262,27412
178,16,14608,18768,17219,27405
179,16,15275,20761,16538,25426
180,16,15464,20482,16561,25493
181,16,15529,20661,16515,25295
182,16,16265,19244,16074,26417
183,16,16055,18943,16226,26776
184,16,16057,19322,16134,26487
185,16,15423,20658,16610,25309
186,16,15331,20990,17141,24538
187,16,15094,21085,17089,24732
188,16,15251,20976,17131,24642
189,16,14326,20399,17571,25704
190,16,13811,18648,17805,27736
191,16,12943,16678,18376,30003
192,16,13433,15593,16907,32067
193,16,13019,14903,16705,33373
194,16,12758,16020,16885,32337
195,16,13410,14838,16444,33308
196,16,14105,16193,15706,31996
197,16,13511,17306,15984,31199
198,16,13866,17258,16090,30786
199,16,14042,17690,16148,30120
200,16,14106,16446,16232,31216
201,16,14709,14961,15030,33300
202,16,15014,16400,15403,31183
203,16,14853,16332,15442,31373
204,16,14425,14954,15240,33381
205,16,14616,13601,14967,34816
206,16,13717,13207,14599,36477
207,16,13676,12133,14622,37569
208,16,13723,12602,14821,36854
209,16,12945,11668,15182,38205
210,16,12925,11516,15091,38468
211,16,13026,10750,15085,39139
212,16,13016,10730,14268,39986
213,16,11609,9248,14782,42361
214,16,11577,9159,14864,42400
215,16,11529,9412,14582,42477
216,16,11186,8206,14671,43937
217,16,10555,9569,16485,41391
218,16,10547,9577,16487,41389
219,16,10477,10340,17506,39677
220,16,11168,11142,17254,38436
221,16,11434,11383,17508,37675
222,16,10959,10410,17366,39265
223,16,11110,10270,17709,38911
224,16,10878,11187,18018,37917
225,16,11273,12391,17626,36710
226,16,10916,13680,18396,35008
227,16,11929,14895,18126,33050
228,16,12392,15450,18149,32009
229,16,12436,15360,18161,32043
230,16,12360,15460,18099,32081
231,16,12503,15243,18078,32176
232,16,12916,13987,16851,34246
233,16,13654,12349,15500,36497
234,16,13979,13656,15354,35011
235,16,13753,13008,15039,36200
236,16,13655,12131,14718,37496
237,16,13186,13343,15131,36340
238,16,13607,13907,15195,35291
239,16,13619,15114,14758,34509
240,16,13559,15366,14728,34347
241,16,14909,16707,14258,32126
242,16,14938,16670,14359,32033
243,16,14755,18029,14313,30903
244,16,15340,16693,13643,32324
245,16,15547,16743,13774,31936
246,16,16061,15232,12325,34382
247,16,16166,15047,12435,34352
248,16,16622,15447,12437,33494
249,16,17222,15821,12322,32635
250,16,17499,15869,12244,32388
251,16,16177,15056,12557,34210
252,16,16112,14996,12443,34449
253,16,17256,13571,10953,36220
254,16,17081,12439,10579,37901
255,16,17133,12044,10331,38492
256,16,15785,10634,10829,40752
257,16,15493,9720,10561,42226
258,16,15277,10801,11222,40700
259,16,15147,9923,11242,41688
260,16,15392,10193,11168,41247
261,16,15152,11198,11922,39728
262,16,14776,10027,12309,40888
263,16,15451,11486,12649,38414
264,16,13995,10196,12624,41185
265,16,14025,10278,12710,40987
266,16,14143,9922,12756,41179
267,16,14203,10280,12826,40691
268,16,13208,9577,12306,42909
269,16,13230,8453,12025,44292
270,16,13363,8153,11714,44770
271,16,13774,8737,11654,43835
272,16,13861,8706,11777,43656
273,16,14344,8993,11647,43016
274,16,14070,8216,11820,43894
275,16,14035,8221,11866,43878
276,16,13954,9207,12512,42327
277,16,13673,8429,12105,43793
278,16,13398,9051,12963,42588
279,16,13514,9045,12983,42458
280,16,13425,9172,13023,42380
281,16,13407,9095,12825,42673
282,16,12317,7869,12777,45037
283,16,11405,7117,13076,46402
284,16,11447,7105,13134,46314
285,16,11397,7080,13157,46366
286,16,11474,6878,13159,46489
287,16,11678,8464,14072,43786
288,16,11449,8383,14281,43887
289,16,11634,8310,14207,43849
290,16,10709,7446,14654,45191
291,16,10707,7331,14657,45305
292,16,11703,8118,14326,43853
293,16,11626,8882,14234,43258
294,16,12006,9583,14126,42285
295,16,11562,8864,14235,43339
296,16,11654,8980,14407,42959
297,16,11103,10319,15829,40749
298,16,12093,10921,16152,38834
299,16,12055,10786,15985,39174
300,16,12113,11048,15814,39025
301,16,12480,9947,15401,40172
302,16,11852,8751,14863,42534
303,16,12209,9815,14510,41466
304,16,13197,10418,14421,39964
305,16,13421,10856,14274,39449
306,16,13106,11453,15716,37725
307,16,12341,10356,16232,39071
308,16,12312,9254,16095,40339
309,16,12225,9336,16004,40435
310,16,12660,10647,16709,37984
311,16,13257,9227,14928,40588
312,16,13476,9219,14894,40411
313,16,13272,9543,14857,40328
314,16,13409,9372,14875,40344
315,16,13814,8467,14101,41618
316,16,14139,8928,15109,39824
317,16,13773,8114,14904,41209
318,16,14163,8884,14895,40058
319,16,14422,9023,14908,39647
320,16,13922,8092,15003,40983
321,16,13852,7987,15038,41123
322,16,14540,9073,14475,39912
323,16,13864,7867,14034,42235
324,16,14015,8699,14165,41121
325,16,14270,8660,14129,40941
326,16,14172,8568,14264,40996
327,16,14142,9773,15328,38757
328,16,14103,9754,15239,38904
329,16,14570,10465,15475,37490
330,16,14496,10963,15265,37276
331,16,14278,12146,16357,35219
332,16,13417,13270,17244,34069
333,16,13414,13414,17147,34025
334,16,13319,13282,17056,34343
335,16,13449,13407,17179,33965
336,16,13532,13160,17285,34023
337,16,13479,11701,16478,36342
338,16,13812,12864,16236,35088
339,16,13679,12961,16324,35036
340,16,13818,12868,16334,34980
341,16,13128,14069,16815,33988
342,16,13783,15276,16422,32519
343,16,13886,13893,15428,34793
344,16,13943,14798,15871,33388
345,16,14384,13735,15186,34695
346,16,14497,13672,15229,34602
347,16,15081,12566,14360,35993
348,16,14842,11319,13355,38484
349,16,15021,10168,13532,39279
350,16,14896,11426,13815,37863
351,16,15135,10182,12596,40087
352,16,15093,10088,12598,40221
353,16,15216,9923,12602,40259
354,16,15335,11088,12763,38814
355,16,15220,12137,13236,37407
356,16,15167,12140,13050,37643
357,16,14573,11765,13160,38502
358,16,14956,13098,13036,36910
359,16,15038,11930,12636,38396
360,16,14743,12890,13221,37146
361,16,14637,12986,13072,37305
362,16,14309,11929,13410,38352
363,16,14348,11805,13364,38483
364,16,14426,11815,13216,38543
365,16,13074,10451,13671,40804
366,16,12913,10472,13620,40995
367,16,13163,10376,13802,40659
368,16,12829,10727,13695,40749
369,16,12905,11331,14086,39678
370,16,12917,11544,14228,39311
371,16,12102,10428,14694,40776
372,16,11934,10432,14649,40985
373,16,12021,10403,14538,41038
374,16,11324,9575,14997,42104
375,16,11230,9517,15102,42151
376,16,11246,9385,14863,42506
377,16,11474,8441,14531,43554
378,16,11457,8606,14368,43569
379,16,11474,8467,14453,43606
380,16,11530,8688,14322,43460
381,16,11696,9348,14830,42126
382,16,11554,9508,14577,42361
383,16,11393,8536,14243,43828
384,16,11342,8565,14339,43754
385,16,11064,10038,15682,41216
386,16,11148,9979,15615,41258
387,16,11496,8836,15217,42451
388,16,11291,8745,15237,42727
389,16,11509,8819,15265,42407
390,16,11326,8902,15066,42706
391,16,11498,7596,13807,45099
392,16,11585,7717,13570,45128
393,16,11264,6788,13455,46493
394,16,11786,7750,13407,45057
395,16,11363,6835,13443,46359
396,16,11810,7547,13718,44925
397,16,11748,7597,13634,45021
398,16,11846,7499,13528,45127
399,16,11576,7803,13600,45021
400,16,11482,6936,13611,45971
401,16,11472,6199,13334,46995
402,16,12156,7047,12957,45840
403,16,11742,6222,13119,46917
404,16,11714,6823,13632,45831
405,16,11581,6980,13665,45774
406,16,11578,7760,14065,44597
407,16,11583,7713,14301,44403
408,16,11588,7699,14237,44476
409,16,12472,8777,13773,42978
410,16,13583,9917,13711,40789
411,16,13343,10072,13858,40727
412,16,13466,11159,14107,39268
413,16,13547,11124,14036,39293
414,16,13586,11119,13998,39297
415,16,13468,11164,14008,39360
416,16,13053,12284,14827,37836
417,16,12548,11025,15151,39276
418,16,13116,12577,15304,37003
419,16,13261,12512,15172,37055
420,16,13423,13538,15511,35528
421,16,12548,12316,15420,37716
422,16,12517,12196,15430,37857
423,16,12346,12292,15370,37992
424,16,11803,10649,15353,40195
425,16,11873,10652,15071,40404
426,16,11738,10752,15118,40392
427,16,11837,10586,15281,40296
428,16,11842,10786,15195,40177
429,16,11686,10690,15328,40296
430,16,11661,10724,15189,40426
431,16,11698,10650,15301,40351
432,16,11807,10782,15237,40174
433,16,11815,10387,15265,40533
434,16,12016,9632,14370,41982
435,16,11935,9764,14359,41942
436,16,11833,8712,14099,43356
437,16,12381,9659,14137,41823
438,16,12356,9635,14236,41773
439,16,12312,10548,14831,40309
440,16,12631,11647,14498,39224
441,16,12686,11769,14673,38872
442,16,12624,11689,14591,39096
443,16,12542,12875,14961,37622
444,16,13472,14005,14629,35894
445,16,13605,15607,15171,33617
446,16,13746,15719,15605,32930
447,16,13560,15461,14745,34234
448,16,13550,15394,14844,34212
449,16,13602,14207,15043,35148
450,16,14375,15558,14493,33574
451,16,13276,14598,14852,35274
452,16,13811,13096,14575,36518
453,16,12936,12246,14855,37963
454,16,13058,11039,14562,39341
455,16,13064,11210,14473,39253
456,16,12886,10619,14255,40240
457,16,12803,10535,14226,40436
458,16,12858,10606,14207,40329
459,16,12915,10766,14120,40199
460,16,12268,9653,14582,41497
461,16,12215,10785,14755,40245
462,16,12228,10590,15006,40176
463,16,12920,11566,14322,39192
464,16,13060,11553,14575,38812
465,16,12745,11795,14251,39209
466,16,13356,13047,13881,37716
467,16,14462,14455,13968,35115
468,16,15479,14626,13683,34212
469,16,16208,16155,12864,32773
470,16,16051,16095,12963,32891
471,16,16243,14690,12948,34119
472,16,15638,16117,13322,32923
473,16,15518,16244,13330,32908
474,16,15643,16254,13379,32724
475,16,15336,17711,14217,30736
476,16,15585,17433,14316,30666
477,16,15244,17814,14279,30663
478,16,14774,16419,14697,32110
479,16,15310,17721,14392,30577
480,16,15505,17364,14593,30538
481,16,15052,16321,14569,32058
482,16,15203,17660,14727,30410
483,16,15142,17742,14575,30541
484,16,15171,19008,14516,29305
485,16,15116,19939,14592,28353
486,16,15025,20021,14458,28496
487,16,15035,20364,14482,28119
488,16,14935,20361,14532,28172
489,16,14872,18646,14741,29741
490,16,14683,18888,14647,29782
491,16,15013,18673,14704,29610
492,16,14718,18678,14389,30215
493,16,14857,18835,14773,29535
494,16,15573,19151,14787,28489
495,16,15699,18521,13939,29841
496,16,15557,18665,13990,29788
497,16,15733,16909,13343,32015
498,16,15374,16815,13243,32568
499,16,15810,18002,13177,31011
500,16,15731,16665,13402,32202
501,16,14996,18147,14219,30638
502,16,15107,17962,14017,30914
503,16,15269,19418,13713,29600
504,16,15228,17680,13945,31147
505,16,15253,17893,13935,30919
506,16,14565,17423,14279,31733
507,16,14839,16638,13581,32942
508,16,15205,17743,13867,31185
509,16,14995,18048,13608,31349
510,16,15095,17744,13733,31428
511,16,15049,19345,13945,29661
512,16,15046,19131,13843,29980
513,16,15499,20548,13478,28475
514,16,15376,20459,12931,29234
515,16,15472,20333,13045,29150
516,16,15369,21623,13454,27554
517,16,15460,23319,13273,25948
518,16,15274,23385,13270,26071
519,16,15500,23382,13381,25737
520,16,15474,23197,13254,26075
521,16,15536,23135,13343,25986
522,16,15216,23799,13440,25545
523,16,15421,23522,13427,25630
524,16,15348,25268,13395,23989
525,16,15666,25135,13454,23745
526,16,15073,23565,13867,25495
527,16,14392,21341,14384,27883
528,16,14285,20100,14297,29318
529,16,14177,19750,14154,29919
530,16,14270,20015,14147,29568
531,16,14542,18209,13590,31659
532,16,15131,17131,12848,32890
533,16,14458,15818,13074,34650
534,16,14438,15804,13251,34507
535,16,14545,15555,12849,35051
536,16,14584,15665,12838,34913
537,16,14527,14197,12808,36468
538,16,14791,15337,12945,34927
539,16,14820,14999,12931,35250
540,16,14830,15502,12908,34760
541,16,14489,14050,12908,36553
542,16,14451,14395,12981,36173
543,16,14549,14064,12787,36600
544,16,14014,15498,13356,35132
545,16,14194,15241,13627,34938
