round,seed,exploit,coop,exploit_,defect
1,16,11732,29597,17191,19480
2,16,12069,30483,16816,18632
3,16,12608,29019,16442,19931
4,16,12647,28645,16216,20492
5,16,13228,27132,16276,21364
6,16,13141,27489,16166,21204
7,16,13196,27165,16346,21293
8,16,12784,25906,16766,22544
9,16,12771,25815,16807,22607
10,16,12893,25632,16805,22670
11,16,13521,24417,16336,23726
12,16,13492,24314,16249,23945
13,16,13473,22296,16112,26119
14,16,13478,22276,16136,26110
15,16,13493,22419,16121,25967
16,16,13304,24312,16709,23675
17,16,13051,26349,16817,21783
18,16,12818,25106,17351,22725
19,16,12855,25174,17164,22807
20,16,12993,25125,17286,22596
21,16,13562,23954,16789,23695
22,16,14555,21844,15839,25762
23,16,15566,22294,15713,24427
24,16,15312,24110,15455,23123
25,16,15325,24135,15531,23009
26,16,15674,22811,15220,24295
27,16,14515,24457,16317,22711
28,16,14512,24890,16586,22012
29,16,15631,22984,15676,23709
30,16,15503,23181,15591,23725
31,16,16023,23680,15721,22576
32,16,16420,23713,15661,22206
33,16,17392,22210,15301,23097
34,16,17286,22200,15270,23244
35,16,17031,23974,14978,22017
36,16,16927,23599,14803,22671
37,16,16002,25009,14975,22014
38,16,16367,26133,14201,21299
39,16,16343,26127,14313,21217
40,16,15726,27362,14562,20350
41,16,15548,28367,14827,19258
42,16,15861,28635,14820,18684
43,16,15758,28535,14839,18868
44,16,15717,28448,15034,18801
45,16,15670,28041,14539,19750
46,16,15631,27867,14626,19876
47,16,16250,28502,14486,18762
48,16,16275,28039,14345,19341
49,16,15328,26269,15192,21211
50,16,15936,28074,14522,19468
51,16,16692,26963,14132,20213
52,16,16301,24843,14931,21925
53,16,16213,24897,15006,21884
54,16,16181,24984,14793,22042
55,16,16443,23331,15018,23208
56,16,16504,23051,15099,23346
57,16,15869,24871,15198,22062
58,16,15796,24651,14853,22700
59,16,15696,22565,15240,24499
60,16,15778,23954,14934,23334
61,16,16755,26040,13863,21342
62,16,16760,26384,13874,20982
63,16,16641,24766,14240,22353
64,16,16579,24924,14218,22279
65,16,16666,24713,14207,22414
66,16,16854,24545,14234,22367
67,16,16517,24804,14116,22563
68,16,16493,26327,13992,21188
69,16,15834,27859,14365,19942
70,16,15416,25711,14882,21991
71,16,15207,26270,15464,21059
72,16,15288,28342,15200,19170
73,16,14359,30313,15478,17850
74,16,13754,28899,16440,18907
75,16,14111,28826,16933,18130
76,16,13941,29115,16709,18235
77,16,14248,31082,16244,16426
78,16,13953,30964,16077,17006
79,16,14134,30584,16222,17060
80,16,13170,32670,16386,15774
81,16,14450,30401,15662,17487
82,16,14289,30780,15884,17047
83,16,15159,32885,14533,15423
84,16,15187,33105,14486,15222
85,16,15675,31218,14751,16356
86,16,15462,30383,14926,17229
87,16,15367,29964,14934,17735
88,16,14148,28178,16094,19580
89,16,13237,30091,17027,17645
90,16,13933,28137,16516,19414
91,16,13961,28438,16404,19197
92,16,13308,27667,16861,20164
93,16,13273,27809,16755,20163
94,16,13189,28123,16964,19724
95,16,13256,28415,17457,18872
96,16,13660,29879,16516,17945
97,16,13539,29951,16405,18105
98,16,13685,30179,16619,17517
99,16,12535,31795,17118,16552
100,16,12399,32327,16988,16286
101,16,12672,31704,17007,16617
102,16,12382,33448,16474,15696
103,16,12040,34183,16853,14924
104,16,12118,35899,16365,13618
105,16,12148,35913,16193,13746
106,16,12579,34045,16308,15068
107,16,12540,34088,16400,14972
108,16,12618,34511,16334,14537
109,16,12851,34379,16430,14340
110,16,12735,33895,16369,15001
111,16,12681,33139,16351,15829
112,16,12581,33745,16346,15328
113,16,12823,33446,16377,15354
114,16,12718,32220,16847,16215
115,16,12710,31597,17019,16674
116,16,12807,33054,16563,15576
117,16,12624,33380,16217,15779
118,16,13032,32576,16003,16389
119,16,13206,31652,15826,17316
120,16,13075,31410,15758,17757
121,16,13534,32258,15206,17002
122,16,12914,33114,15911,16061
123,16,13025,31179,16174,17622
124,16,12505,33269,16671,15555
125,16,12515,33238,16656,15591
126,16,12309,33719,16497,15475
127,16,12551,33129,16635,15685
128,16,11880,31096,17522,17502
129,16,11782,31948,17915,16355
130,16,12401,30050,17861,17688
131,16,12459,30270,17707,17564
132,16,12136,28566,18866,18432
133,16,12221,28593,18672,18514
134,16,11553,26526,19779,20142
135,16,11747,24550,19718,21985
136,16,11386,23909,19700,23005
137,16,11337,24292,19643,22728
138,16,11887,25009,19663,21441
139,16,11503,26809,19820,19868
140,16,11557,26441,19358,20644
141,16,11935,24355,18986,22724
142,16,12448,23107,19087,23358
143,16,12345,23238,19039,23378
144,16,11503,21327,19734,25436
145,16,11905,20616,18935,26544
