round,seed,coop,exploit_,exploit,defect
1,256,29385,17429,11764,19422
2,256,31020,16660,11971,18349
3,256,28887,16846,12283,19984
4,256,29633,16648,12188,19531
5,256,28161,16705,12744,20390
6,256,28945,17246,12364,19445
7,256,26993,18295,11824,20888
8,256,24766,17489,12635,23110
9,256,25090,17366,12529,23015
10,256,26877,17821,12045,21257
11,256,26198,17669,12150,21983
12,256,26129,17575,12302,21994
13,256,26023,17326,12263,22388
14,256,28006,16376,13292,20326
15,256,27401,16427,12963,21209
16,256,27356,16450,12859,21335
17,256,28437,16669,12402,20492
18,256,30366,16398,12176,19060
19,256,28375,16860,12543,20222
20,256,27772,16285,12812,21131
21,256,27765,16172,12788,21275
22,256,28966,16667,12364,20003
23,256,27005,16364,12892,21739
24,256,29047,16726,12333,19894
25,256,29222,16700,12253,19825
26,256,30052,16647,12749,18552
27,256,28913,16425,12934,19728
28,256,31389,15024,13649,17938
29,256,31088,15314,13890,17708
30,256,31078,15264,13881,17777
31,256,31443,15160,13636,17761
32,256,31543,15317,13859,17281
33,256,32080,15244,13588,17088
34,256,34270,14623,13780,15327
35,256,33760,14757,13796,15687
36,256,34552,14467,13849,15132
37,256,32452,15132,13769,16647
38,256,30193,16349,12963,18495
39,256,30188,16371,12895,18546
40,256,31064,16142,13195,17599
41,256,30796,16082,13090,18032
42,256,32683,16145,12750,16422
43,256,32294,16279,12595,16832
44,256,34178,16535,12067,15220
45,256,34064,16478,11974,15484
46,256,33233,16239,12137,16391
47,256,31670,16413,12208,17709
48,256,31742,16360,12325,17573
49,256,32162,16262,12334,17242
50,256,30262,16662,12734,18342
51,256,32031,16217,12605,17147
52,256,33013,16620,12173,16194
53,256,32579,16232,12505,16684
54,256,32491,16352,12473,16684
55,256,32550,16361,12266,16823
56,256,34527,15910,12501,15062
57,256,34759,15698,12573,14970
58,256,34750,15676,12620,14954
59,256,32436,16326,12678,16560
60,256,32993,16386,12370,16251
61,256,30959,16518,12859,17664
62,256,31041,16541,12717,17701
63,256,29124,15841,13534,19501
64,256,27294,15859,13975,20872
65,256,27277,15733,14012,20978
66,256,27187,15843,14157,20813
67,256,27268,15855,14057,20820
68,256,25335,14861,14723,23081
69,256,25969,14937,15022,22072
70,256,25928,15096,15072,21904
