round,seed,coop,exploit_,exploit,defect
1,256,29385,17429,11764,19422
2,256,31850,16227,12439,17484
3,256,29692,16461,12866,18981
4,256,30014,16177,12858,18951
5,256,30722,16788,12483,18007
6,256,31485,17259,12137,17119
7,256,31827,17030,12531,16612
8,256,29242,16443,13625,18690
9,256,27574,16920,13032,20474
10,256,28894,17282,12486,19338
11,256,29285,17674,12316,18725
12,256,31165,16913,12769,17153
13,256,31289,16942,12732,17037
14,256,31378,16938,12648,17036
15,256,30915,16902,12364,17819
16,256,31540,17419,11865,17176
17,256,30627,17040,12294,18039
18,256,32514,16662,11947,16877
19,256,30522,17259,12343,17876
20,256,30689,17103,12327,17881
21,256,31511,17371,12091,17027
22,256,29531,16642,13052,18775
23,256,28003,16620,13701,19676
24,256,29985,16867,13125,18023
25,256,27966,16612,13617,19805
26,256,29039,16202,13933,18826
27,256,27780,16112,14279,19829
28,256,30164,14767,15242,17827
29,256,29900,14976,15272,17852
30,256,30501,15126,15370,17003
31,256,28622,15330,15399,18649
32,256,28130,15141,15525,19204
33,256,27681,14851,15547,19921
34,256,27822,14763,15499,19916
35,256,29381,15048,14863,18708
36,256,29862,14895,15116,18127
37,256,28162,15404,14931,19503
38,256,27721,15674,14529,20076
39,256,27540,15664,14504,20292
40,256,26562,15966,14525,20947
41,256,28006,16443,13676,19875
42,256,29740,16321,13422,18517
43,256,29297,16629,13119,18955
44,256,30812,16647,12600,17941
45,256,30747,16629,12681,17943
46,256,32198,16197,12462,17143
47,256,32404,16212,12296,17088
48,256,32453,16347,12410,16790
49,256,33274,16068,12594,16064
50,256,33778,16302,12499,15421
51,256,35317,15883,12354,14446
52,256,33007,15318,13500,16175
53,256,32341,15048,13791,16820
54,256,34181,14343,14035,15441
55,256,36831,13809,13846,13514
56,256,38682,13525,13952,11841
57,256,38315,13594,13282,12809
58,256,38146,13723,13437,12694
59,256,38269,13635,13500,12596
60,256,37457,13856,13842,12845
61,256,37983,13784,13758,12475
62,256,36967,14185,13500,13348
63,256,37857,14199,13146,12798
64,256,35535,14313,13815,14337
65,256,34802,14220,13865,15113
66,256,36867,13792,13822,13519
67,256,36775,13750,13834,13641
68,256,38854,13961,13224,11961
69,256,39989,13705,12938,11368
70,256,40104,13572,13186,11138
71,256,40978,13177,13337,10508
72,256,40714,13226,13534,10526
73,256,41686,12851,13366,10097
74,256,41812,12627,13418,10143
75,256,41045,13088,13496,10371
76,256,41893,12769,13613,9725
77,256,41558,12705,13693,10044
78,256,40987,12897,13743,10373
79,256,38961,12754,14530,11755
80,256,38661,12769,14425,12145
81,256,40559,12703,13837,10901
82,256,39676,12980,13951,11393
83,256,39488,12988,13931,11593
84,256,39342,13090,14000,11568
85,256,38767,13241,13884,12108
86,256,38881,13338,13895,11886
87,256,38569,13384,13823,12224
88,256,38408,13343,13873,12376
