round,seed,coop,exploit_,exploit,defect
1,256,29385,17429,11764,19422
2,256,31336,16518,12219,17927
3,256,29255,16721,12493,19531
4,256,29933,16534,12397,19136
5,256,28427,16557,12966,20050
6,256,28488,16517,12984,20011
7,256,28402,16619,13021,19958
8,256,26054,15729,13915,22302
9,256,24047,16219,13386,24348
10,256,24488,16348,13245,23919
11,256,22640,15899,13917,25544
12,256,24375,15356,14832,23437
13,256,24262,15133,14612,23993
14,256,24826,14937,15018,23219
15,256,24484,14876,14785,23855
16,256,23017,14654,15202,25127
17,256,24645,15173,14717,23465
18,256,24974,14891,14549,23586
19,256,26532,15467,14406,21595
20,256,24891,14762,14922,23425
21,256,23479,14698,15541,24282
22,256,23437,14648,15493,24422
23,256,25070,15212,14918,22800
24,256,25142,14978,14793,23087
25,256,24971,15128,14651,23250
26,256,26788,14698,15423,21091
27,256,27023,14728,15274,20975
28,256,28618,13770,15410,20202
29,256,28848,14102,15795,19255
30,256,29307,13978,15684,19031
31,256,27156,14024,16009,20811
32,256,29198,14163,15434,19205
33,256,30567,14319,14888,18226
34,256,30901,14290,14948,17861
35,256,32475,14671,14256,16598
36,256,33098,14513,14243,16146
37,256,31186,15015,14222,17577
38,256,30602,15318,13984,18096
39,256,30883,15563,13787,17767
40,256,28926,16135,13345,19594
41,256,30731,16511,12496,18262
42,256,32682,16860,12065,16393
43,256,32417,16998,11775,16810
44,256,32121,16852,11995,17032
45,256,32277,16771,12049,16903
46,256,33560,16486,11814,16140
47,256,33896,16491,11587,16026
48,256,34244,16668,11539,15549
49,256,34989,16379,11544,15088
50,256,33170,16622,11790,16418
51,256,34829,16328,11788,15055
52,256,36739,16610,11143,13508
53,256,36561,16643,11173,13623
54,256,36693,16745,10919,13643
55,256,38798,16125,10924,12153
56,256,40510,15726,11167,10597
57,256,40756,15424,11002,10818
58,256,41771,15054,11107,10068
59,256,43759,14537,11204,8500
60,256,41543,14274,12010,10173
61,256,40889,14470,12413,10228
62,256,40588,14546,12183,10683
63,256,40736,14491,12170,10603
64,256,40779,14504,12082,10635
65,256,40368,14496,12156,10980
66,256,40197,14675,12434,10694
67,256,39516,14377,12641,11466
68,256,39768,14559,12510,11163
69,256,39476,14576,12526,11422
70,256,41487,13760,12750,10003
71,256,42319,13362,12848,9471
72,256,41495,13659,13155,9691
73,256,42143,13285,13009,9563
74,256,39809,14047,12875,11269
75,256,40372,14101,12791,10736
76,256,40534,13916,12827,10723
77,256,41019,13925,12569,10487
78,256,42521,13813,12410,9256
79,256,42444,13872,12487,9197
80,256,42234,13998,12476,9292
81,256,42805,13896,12172,9127
82,256,42781,13878,12211,9130
83,256,43068,13712,11936,9284
84,256,42972,13918,12206,8904
85,256,42794,13805,12147,9254
86,256,42137,13819,12488,9556
87,256,41868,13769,12555,9808
88,256,42150,13829,12335,9686
89,256,40864,14317,12378,10441
90,256,41269,14223,12198,10310
91,256,43264,13682,12465,8589
92,256,42963,13749,12516,8772
93,256,44615,13319,12723,7343
94,256,45145,12911,12615,7329
95,256,44221,12915,12891,7973
96,256,44943,12731,12808,7518
97,256,44016,13042,13095,7847
98,256,43919,13055,13127,7899
99,256,44191,12925,12980,7904
100,256,44130,12968,12896,8006
101,256,43001,13314,13405,8280
102,256,43504,13097,13296,8103
103,256,43457,13310,13279,7954
104,256,43768,13241,13151,7840
105,256,43991,13045,13091,7873
106,256,45219,12931,12649,7201
107,256,45839,12938,12371,6852
108,256,44610,13090,12624,7676
109,256,44623,13124,12711,7542
110,256,44484,13152,12621,7743
111,256,45085,12996,12481,7438
112,256,45897,12804,12366,6933
113,256,45850,12927,12568,6655
114,256,46903,12642,11928,6527
115,256,46854,12753,11974,6419
116,256,46033,12853,12470,6644
117,256,46469,12577,12201,6753
118,256,46014,12679,12531,6776
119,256,48259,12732,11725,5284
120,256,48603,12746,11697,4954
121,256,47875,12943,12092,5090
122,256,48619,12846,11793,4742
123,256,47761,13036,11962,5241
124,256,47983,12983,11932,5102
125,256,47942,12991,11948,5119
126,256,48249,13005,11783,4963
127,256,48649,12863,11662,4826
128,256,48167,13040,11868,4925
129,256,48668,12755,11652,4925
130,256,48277,12947,11883,4893
131,256,48518,12799,11649,5034
132,256,45882,14045,11498,6575
133,256,45894,14089,11380,6637
134,256,46465,13851,11337,6347
135,256,47002,13730,11145,6123
136,256,47208,13769,10977,6046
137,256,47716,13656,10774,5854
138,256,46915,13843,11206,6036
139,256,44678,13591,12045,7686
140,256,45468,13387,11689,7456
141,256,45189,13315,11910,7586
142,256,44869,13495,11987,7649
143,256,44759,13518,12111,7612
144,256,44809,13514,11830,7847
145,256,42346,13826,12352,9476
146,256,42656,13583,12475,9286
147,256,42674,13653,12484,9189
148,256,42105,13836,12658,9401
149,256,41739,13744,12792,9725
150,256,41491,13880,12868,9761
151,256,41881,13773,12698,9648
152,256,41652,13923,12791,9634
153,256,42045,13806,12809,9340
154,256,44337,13630,12187,7846
155,256,44070,13545,12188,8197
156,256,43579,13814,12358,8249
157,256,43307,14007,12355,8331
158,256,43320,13699,12426,8555
159,256,43473,13745,12246,8536
160,256,43759,13719,12224,8298
161,256,44117,13789,12078,8016
162,256,44672,13747,11804,7777
163,256,44365,13915,12015,7705
164,256,44498,13838,11820,7844
165,256,44415,13679,11862,8044
166,256,44263,13785,11883,8069
167,256,44950,13689,11730,7631
168,256,45104,13513,11931,7452
169,256,45722,13331,11485,7462
170,256,45059,13549,11765,7627
171,256,44325,13386,12291,7998
172,256,44260,13399,12190,8151
173,256,43832,13577,12238,8353
174,256,43799,13564,12257,8380
175,256,45925,12528,12788,6759
176,256,43262,12656,13431,8651
177,256,43531,12745,13445,8279
178,256,43432,12710,13355,8503
179,256,43517,12846,13367,8270
180,256,43567,12711,13425,8297
181,256,41859,12972,13491,9678
182,256,41176,13364,13497,9963
183,256,41737,13061,13280,9922
184,256,39432,13858,13352,11358
185,256,41672,12860,13734,9734
186,256,41764,12857,13781,9598
187,256,44000,12677,13311,8012
188,256,44002,12577,13214,8207
189,256,44244,12551,13174,8031
190,256,44310,12580,13052,8058
191,256,42843,12033,13822,9302
192,256,44458,11653,13839,8050
193,256,44716,11658,13738,7888
194,256,44608,11824,13968,7600
195,256,44533,11732,13957,7778
196,256,44617,11741,13766,7876
197,256,45191,11388,13774,7647
198,256,45097,11488,13757,7658
199,256,44474,11630,13884,8012
200,256,44411,11789,13936,7864
201,256,43926,12023,13789,8262
202,256,43594,12220,13796,8390
203,256,43149,12257,13878,8716
204,256,43606,12346,13794,8254
205,256,45642,12551,13016,6791
206,256,45620,12518,13040,6822
207,256,45499,12671,13160,6670
208,256,45847,12583,12809,6761
209,256,45828,12536,12946,6690
210,256,45923,12467,12932,6678
211,256,48585,12508,11904,5003
212,256,48314,12548,12269,4869
213,256,48567,12472,12045,4916
214,256,48503,12489,12050,4958
215,256,48997,12287,11668,5048
216,256,49193,12263,11850,4694
217,256,49938,12110,11578,4374
218,256,50020,11997,11757,4226
219,256,50081,11966,11580,4373
220,256,49966,11912,11742,4380
221,256,49961,11853,11666,4520
222,256,51017,11670,11334,3979
223,256,50808,11586,11487,4119
224,256,50698,11587,11562,4153
225,256,48255,12036,11997,5712
226,256,48368,11992,11987,5653
227,256,50909,11305,11683,4103
228,256,50671,11440,11722,4167
229,256,51325,11283,11376,4016
230,256,48633,11906,11895,5566
231,256,49184,11902,11716,5198
232,256,49185,11834,11680,5301
233,256,49337,11822,11561,5280
234,256,49848,11759,11524,4869
235,256,51914,11255,10935,3896
236,256,51790,11457,11055,3698
237,256,51431,11431,11163,3975
238,256,51614,11458,11045,3883
239,256,51048,11601,11270,4081
240,256,50847,11741,11355,4057
241,256,51128,11623,11344,3905
242,256,51246,11548,11125,4081
243,256,50910,11668,11229,4193
244,256,50783,11716,11301,4200
245,256,49985,12059,11589,4367
246,256,49666,12279,11571,4484
247,256,49538,12407,11627,4428
248,256,49322,12245,11828,4605
249,256,49232,12320,11837,4611
250,256,48710,12373,12080,4837
251,256,49203,12112,12053,4632
252,256,48839,12147,12189,4825
253,256,49303,11981,12140,4576
254,256,50127,11811,11667,4395
255,256,47090,13139,11461,6310
256,256,47006,13359,11494,6141
257,256,47597,13220,11255,5928
258,256,47077,13295,11547,6081
259,256,49456,12845,11325,4374
260,256,49114,12964,11284,4638
261,256,49125,12986,11226,4663
262,256,51177,12081,11704,3038
263,256,51897,11654,11433,3016
264,256,51198,11961,11637,3204
265,256,51234,11879,11651,3236
266,256,51210,12025,11584,3181
267,256,51348,11939,11556,3157
268,256,51400,11926,11501,3173
269,256,51079,12000,11666,3255
270,256,51459,11846,11529,3166
271,256,51251,11959,11471,3319
272,256,51459,11977,11484,3080
273,256,50930,12118,11582,3370
274,256,50877,12134,11700,3289
275,256,51098,11922,11658,3322
276,256,50907,12027,11567,3499
277,256,50562,12187,11698,3553
278,256,50430,12345,11803,3422
279,256,49708,12606,12090,3596
280,256,50076,12389,12005,3530
281,256,50394,12257,11744,3605
282,256,50010,12470,12052,3468
283,256,50470,12283,11838,3409
284,256,48784,12290,12105,4821
285,256,48000,12477,12451,5072
286,256,47074,12491,12867,5568
287,256,46266,13004,13151,5579
288,256,45919,12919,13100,6062
289,256,46550,12879,13080,5491
290,256,48807,12702,12478,4013
291,256,48565,12851,12710,3874
292,256,49019,12767,12375,3839
293,256,49648,12269,12161,3922
294,256,49884,12256,12091,3769
295,256,49982,12205,12198,3615
296,256,50085,12186,12083,3646
297,256,49790,12450,12097,3663
298,256,48739,12866,12468,3927
299,256,49368,12680,12099,3853
300,256,46914,12791,12579,5716
301,256,46759,12859,12642,5740
302,256,46700,13091,12762,5447
303,256,46416,13146,12678,5760
304,256,46301,13102,12721,5876
305,256,47948,13094,12674,4284
306,256,48280,13126,12502,4092
307,256,49223,12693,12309,3775
308,256,47952,13188,12627,4233
309,256,48051,13093,12747,4109
310,256,47437,13288,12790,4485
311,256,47302,13403,12936,4359
312,256,47758,13241,12885,4116
313,256,47581,13197,12901,4321
314,256,46945,13532,13145,4378
315,256,47094,13261,13109,4536
316,256,47029,13370,13241,4360
317,256,45539,13367,13187,5907
318,256,45480,13332,13251,5937
319,256,45641,13421,13161,5777
320,256,46160,13192,13001,5647
321,256,45773,13246,13105,5876
322,256,45589,13434,13130,5847
323,256,44891,13612,13439,6058
324,256,44432,13849,13710,6009
325,256,44342,13792,13452,6414
326,256,44271,13885,13495,6349
327,256,44478,13829,13465,6228
328,256,44699,13701,13376,6224
329,256,44749,13648,13276,6327
330,256,44789,13666,13306,6239
331,256,45017,13574,13452,5957
332,256,44037,13686,13690,6587
333,256,44453,13714,13602,6231
334,256,44608,13457,13482,6453
335,256,42272,13286,14141,8301
336,256,42387,13142,14339,8132
337,256,41588,13247,14283,8882
338,256,41437,13511,14642,8410
339,256,44037,13692,13748,6523
340,256,42805,14165,14024,7006
341,256,42895,14110,13943,7052
342,256,42555,14414,14175,6856
343,256,42643,14258,14020,7079
344,256,40530,14005,14490,8975
345,256,40221,14267,14586,8926
346,256,40445,14015,14372,9168
347,256,39410,14290,14822,9478
348,256,40142,13981,14705,9172
349,256,39970,14076,14675,9279
350,256,40274,13954,14489,9283
351,256,38076,14028,14740,11156
352,256,38168,14002,14776,11054
353,256,38052,14019,14805,11124
354,256,37623,14232,14895,11250
355,256,37656,14357,14992,10995
356,256,38763,13931,14697,10609
357,256,38784,13983,14732,10501
358,256,37445,13474,14944,12137
359,256,37593,13408,14800,12199
360,256,36427,13799,15139,12635
361,256,37692,13290,14975,12043
362,256,36665,13488,15325,12522
363,256,37037,13366,15054,12543
364,256,36794,13494,15309,12403
365,256,39036,13336,15135,10493
366,256,39494,13356,14960,10190
367,256,39292,13351,15030,10327
368,256,39555,13352,14863,10230
369,256,40155,13007,14800,10038
370,256,40262,13241,14843,9654
371,256,38558,13542,14216,11684
372,256,37938,13693,14388,11981
373,256,37912,13764,14501,11823
374,256,38196,13594,14433,11777
375,256,37841,13672,14526,11961
376,256,37909,13657,14457,11977
377,256,37821,13699,14428,12052
378,256,37948,13709,14476,11867
379,256,35819,14170,14296,13715
380,256,33769,13996,14646,15589
381,256,33274,14268,14456,16002
382,256,33405,14160,14587,15848
383,256,31567,13915,14991,17527
384,256,31153,13790,14754,18303
385,256,30940,13924,15002,18134
386,256,29294,13316,15609,19781
387,256,29383,13362,15495,19760
388,256,31194,13489,15083,18234
389,256,29340,13238,15633,19789
390,256,29440,13242,15543,19775
391,256,28894,13362,15795,19949
392,256,30578,13076,15922,18424
393,256,30217,13124,15925,18734
394,256,30797,13007,15729,18467
395,256,31102,12944,15867,18087
396,256,33024,13284,15419,16273
397,256,33047,13250,15419,16284
398,256,32230,13322,15757,16691
399,256,30624,13119,15928,18329
400,256,30607,13234,15818,18341
401,256,30817,13233,15736,18214
402,256,30619,13136,15873,18372
403,256,30217,13252,15671,18860
404,256,29729,13513,15567,19191
405,256,29482,13581,15726,19211
406,256,31780,13939,15178,17103
407,256,31483,13921,15258,17338
408,256,32300,13611,15231,16858
409,256,31362,13871,15194,17573
410,256,30877,14218,15178,17727
411,256,30336,14170,15488,18006
412,256,30779,14014,15347,17860
413,256,29398,13928,15279,19395
414,256,29047,14151,15216,19586
415,256,29542,13996,14993,19469
416,256,29843,14034,15072,19051
417,256,29711,14128,15123,19038
418,256,30936,14781,14943,17340
419,256,31446,14416,14798,17340
420,256,33288,14889,14501,15322
421,256,32534,15054,14649,15763
422,256,32288,15229,14804,15679
423,256,32566,14934,14558,15942
424,256,31753,15256,14684,16307
425,256,31491,15408,14711,16390
426,256,30216,15464,14275,18045
427,256,30349,15548,14170,17933
428,256,29941,15460,14123,18476
429,256,29154,15435,14496,18915
430,256,28577,15757,14523,19143
431,256,28409,15792,14535,19264
432,256,27977,15952,14410,19661
433,256,26328,16085,14050,21537
434,256,24991,16048,13785,23176
435,256,26830,15867,13930,21373
436,256,26549,15923,13857,21671
437,256,26402,15841,13858,21899
438,256,26360,16010,14023,21607
439,256,26288,16073,13987,21652
440,256,26217,16008,13963,21812
441,256,26316,16119,13923,21642
442,256,25340,16040,13583,23037
443,256,25143,16130,13540,23187
444,256,24730,16122,13516,23632
445,256,25320,16020,13585,23075
446,256,27365,16205,13484,20946
447,256,27855,16040,13298,20807
448,256,25961,16418,12830,22791
449,256,26028,16333,12707,22932
450,256,26449,16328,12835,22388
451,256,28140,16092,13372,20396
452,256,27248,16293,13379,21080
453,256,26981,16409,13315,21295
454,256,26253,15992,13304,22451
455,256,25256,15903,13419,23422
456,256,25472,16111,13406,23011
457,256,25775,16145,13336,22744
458,256,27887,15654,14144,20315
459,256,29401,15483,14356,18760
460,256,29092,15521,14305,19082
461,256,29607,15246,14075,19072
462,256,29548,15248,14241,18963
463,256,29067,15602,14464,18867
464,256,27626,15229,14518,20627
465,256,29044,14994,14723,19239
466,256,27655,14399,15033,20913
467,256,25614,14235,15589,22562
468,256,26231,13853,15335,22581
469,256,26230,13962,15635,22173
470,256,25262,14403,15222,23113
471,256,24793,14574,15300,23333
472,256,25655,14384,15089,22872
473,256,24573,14557,15183,23687
474,256,25443,14396,15088,23073
475,256,24302,14711,15252,23735
476,256,23378,14682,14612,25328
477,256,21492,14909,14269,27330
478,256,21624,14751,14140,27485
479,256,19616,14930,14048,29406
480,256,19537,14894,13916,29653
481,256,18997,14704,14185,30114
482,256,18696,14089,13810,31405
483,256,17662,14535,13886,31917
484,256,17775,14508,13943,31774
485,256,16028,13728,14089,34155
486,256,17579,13970,14088,32363
487,256,17283,14211,14133,32373
488,256,17194,13975,14051,32780
489,256,19248,13868,15097,29787
490,256,19184,13591,15021,30204
491,256,18833,13615,15271,30281
492,256,19541,14008,15373,29078
493,256,19302,13878,15257,29563
494,256,20312,14167,14894,28627
495,256,22002,14757,14614,26627
496,256,23211,14922,14768,25099
497,256,23107,14959,14825,25109
498,256,23910,14671,14750,24669
499,256,23087,14930,15126,24857
500,256,21527,14504,15059,26910
501,256,20189,13964,15035,28812
502,256,20097,13993,14892,29018
503,256,19721,13975,15281,29023
504,256,18848,13825,15009,30318
505,256,19493,13888,15058,29561
506,256,20354,14169,14516,28961
507,256,20331,14108,14579,28982
508,256,22266,14116,14694,26924
509,256,20634,14293,14246,28827
510,256,21938,14325,14595,27142
511,256,22282,14407,14593,26718
512,256,22723,14490,14441,26346
513,256,20925,14452,14298,28325
514,256,20642,14402,14353,28603
515,256,19224,14313,14046,30417
516,256,18052,14034,14207,31707
517,256,17445,13556,14660,32339
518,256,18272,14063,14406,31259
519,256,18915,14133,14288,30664
520,256,18039,13518,14194,32249
521,256,19068,14056,14108,30768
522,256,18863,14249,14352,30536
523,256,17608,13490,14223,32679
524,256,17369,13500,14290,32841
525,256,17302,13638,14283,32777
526,256,16690,13183,14512,33615
527,256,16313,13287,14593,33807
528,256,16050,13487,13951,34512
529,256,16496,13559,13892,34053
530,256,15625,13622,13705,35048
531,256,16011,13674,13488,34827
532,256,17194,13669,13502,33635
533,256,16190,13552,13571,34687
534,256,16808,13939,13919,33334
535,256,16729,13984,13916,33371
536,256,16998,13757,13697,33548
537,256,17604,14122,14205,32069
538,256,17899,13928,14101,32072
539,256,16726,14354,14101,32819
540,256,18151,14083,14396,31370
541,256,17237,14357,14588,31818
542,256,16941,14210,14436,32413
543,256,16614,14273,14395,32718
544,256,16471,14478,14658,32393
545,256,16144,13663,14252,33941
546,256,16856,13977,14774,32393
547,256,17810,14405,14812,30973
548,256,17924,14521,14701,30854
549,256,17359,14596,15048,30997
550,256,17747,14387,14825,31041
551,256,18070,14355,14779,30796
552,256,17686,14385,14889,31040
553,256,18005,14399,14715,30881
554,256,17101,14242,14487,32170
555,256,16974,14214,14504,32308
556,256,16800,14206,14348,32646
557,256,15091,13950,14479,34480
558,256,17058,14326,14291,32325
559,256,18008,14653,14506,30833
560,256,18426,14298,14337,30939
561,256,18894,14999,14558,29549
562,256,18884,14879,14618,29619
563,256,17067,14198,14761,31974
564,256,19469,14085,15539,28907
565,256,20934,13612,15455,27999
566,256,20669,13549,15558,28224
567,256,21412,13470,15470,27648
568,256,20815,13414,15395,28376
569,256,20280,13562,14816,29342
570,256,18309,13036,15406,31249
571,256,17562,12713,15580,32145
572,256,17459,12535,15382,32624
573,256,16270,12421,15230,34079
574,256,16462,12621,15089,33828
575,256,16274,12570,15198,33958
576,256,16545,12478,15115,33862
577,256,18820,12855,14953,31372
578,256,17036,13276,14568,33120
579,256,18281,13116,14834,31769
580,256,17978,13222,14898,31902
581,256,19005,13145,15362,30488
582,256,17400,13671,14905,32024
583,256,17466,13433,14697,32404
584,256,17192,13442,14806,32560
585,256,18729,13480,14800,30991
586,256,18381,13683,14891,31045
587,256,18491,13538,14864,31107
588,256,19235,13463,15279,30023
589,256,19834,13530,15268,29368
590,256,21035,13875,14803,28287
591,256,19822,14157,14925,29096
592,256,21025,14033,14781,28161
593,256,22609,14722,14244,26425
594,256,21621,15014,13829,27536
595,256,20682,15107,13483,28728
596,256,20768,15121,13426,28685
597,256,21058,15214,13506,28222
598,256,21171,15169,13540,28120
599,256,20216,15385,13065,29334
600,256,20689,15845,12808,28658
601,256,20557,15893,12765,28785
602,256,18253,15758,12352,31637
603,256,18685,15798,12311,31206
604,256,19287,16196,12266,30251
605,256,17529,15635,12343,32493
606,256,16590,15250,12275,33885
607,256,17542,15715,12554,32189
608,256,18239,15927,12560,31274
609,256,18216,16239,12807,30738
610,256,19497,16364,12628,29511
611,256,19085,16400,12593,29922
612,256,19388,16335,12399,29878
613,256,18899,16587,12729,29785
614,256,20545,16372,12576,28507
615,256,19711,16142,12829,29318
616,256,19380,16503,12962,29155
617,256,18518,16235,12692,30555
618,256,20186,16425,12216,29173
619,256,21068,16935,11771,28226
620,256,19255,16351,11799,30595
621,256,19456,16733,11928,29883
622,256,19217,16503,11929,30351
623,256,17570,16508,12033,31889
624,256,17874,16388,11624,32114
625,256,17409,16317,11899,32375
626,256,18590,16242,11711,31457
627,256,18719,16521,11686,31074
628,256,17711,16223,11726,32340
629,256,17318,16347,11789,32546
630,256,16345,15759,11856,34040
631,256,17453,16221,12171,32155
632,256,17424,15872,11977,32727
633,256,18806,16278,12445,30471
634,256,19989,16493,11922,29596
635,256,20210,16868,11991,28931
636,256,20635,16619,11866,28880
637,256,22301,17043,12213,26443
638,256,21796,16769,12170,27265
639,256,20979,17184,11667,28170
640,256,21540,17193,11829,27438
641,256,21317,17068,11557,28058
642,256,21386,17226,11845,27543
643,256,20239,16517,12177,29067
644,256,18749,17039,11818,30394
645,256,18858,16886,11921,30335
646,256,18678,17084,11921,30317
647,256,17777,16850,12155,31218
648,256,19709,17144,12178,28969
649,256,18071,17322,12051,30556
650,256,19615,16834,12084,29467
651,256,19308,16758,12234,29700
652,256,19859,17097,12115,28929
653,256,18715,16964,12267,30054
654,256,17993,16139,12716,31152
655,256,18032,16061,12507,31400
656,256,18004,16214,12645,31137
657,256,16303,16310,12908,32479
658,256,16515,16033,12670,32782
659,256,15797,16051,12063,34089
660,256,17458,16175,12476,31891
661,256,18347,15839,12971,30843
662,256,18312,15886,12864,30938
663,256,19267,16397,13007,29329
664,256,18633,15743,12982,30642
665,256,17381,15451,13286,31882
666,256,18308,15559,13635,30498
667,256,18462,15439,13732,30367
668,256,17479,15084,13666,31771
669,256,16476,15330,13450,32744
670,256,15120,14873,13824,34183
671,256,15168,14951,13898,33983
672,256,17136,14234,14847,31783
673,256,17035,14316,14990,31659
674,256,15190,14881,13805,34124
675,256,15261,14946,13889,33904
676,256,15972,15743,13650,32635
677,256,15116,16042,13339,33503
678,256,16420,15191,14017,32372
679,256,16410,15558,13886,32146
680,256,15508,15282,14284,32926
681,256,15373,15288,14326,33013
682,256,15260,15349,14425,32966
683,256,15990,15529,15026,31455
684,256,17238,14558,15673,30531
685,256,17304,14876,15698,30122
686,256,17434,14753,15586,30227
687,256,16118,15295,15074,31513
688,256,17146,15337,14606,30911
689,256,18135,14822,14962,30081
690,256,16318,14506,15062,32114
691,256,15460,14199,15264,33077
692,256,16486,13756,15511,32247
693,256,17283,13978,15252,31487
694,256,17497,13882,15258,31363
695,256,17064,14046,14912,31978
696,256,15931,13997,15279,32793
697,256,15358,13559,14708,34375
698,256,15379,13816,14863,33942
699,256,16689,13524,15110,32677
700,256,18179,13840,14800,31181
701,256,19005,13875,14899,30221
702,256,20073,13989,14836,29102
703,256,20783,13650,15553,28014
704,256,20825,13589,15709,27877
705,256,20632,13648,15560,28160
706,256,20398,13468,15379,28755
707,256,18044,12738,16303,30915
708,256,18154,12764,16153,30929
709,256,17498,12852,15721,31929
710,256,16690,12761,15646,32903
711,256,15927,12949,15095,34029
712,256,15702,12972,15143,34183
713,256,16626,13041,15431,32902
714,256,15174,12585,14905,35336
715,256,14328,12751,14715,36206
716,256,15284,12806,14537,35373
717,256,15078,12947,14744,35231
718,256,16352,13269,14824,33555
719,256,16071,12941,14711,34277
720,256,15324,12680,14864,35132
721,256,15390,12737,14614,35259
722,256,15436,13080,14522,34962
723,256,17443,13916,14362,32279
724,256,18508,13588,15225,30679
725,256,19028,13218,15787,29967
726,256,18219,12831,15986,30964
727,256,18044,12929,16154,30873
728,256,18749,13567,16169,29515
729,256,19009,13352,15956,29683
730,256,18495,13417,15551,30537
731,256,19416,13598,15585,29401
732,256,19235,13117,15433,30215
733,256,19256,13233,15462,30049
734,256,16850,13448,15086,32616
735,256,16038,12972,14908,34082
736,256,16991,13272,14933,32804
737,256,17190,13005,14718,33087
738,256,16850,13220,14905,33025
739,256,17241,13093,14864,32802
740,256,18958,14266,14594,30182
741,256,19959,14065,15024,28952
742,256,19896,14047,15157,28900
743,256,20039,13976,15122,28863
744,256,20924,13966,15221,27889
745,256,21070,13962,15270,27698
746,256,22171,13881,14991,26957
747,256,21663,14042,15066,27229
748,256,21630,13990,15163,27217
749,256,20670,14205,14855,28270
750,256,18762,14728,13718,30792
751,256,19727,15143,13981,29149
752,256,19736,14845,13910,29509
753,256,21087,15698,13208,28007
754,256,20877,15359,12937,28827
755,256,22462,15472,13831,26235
756,256,22588,15320,13734,26358
757,256,20571,15749,13014,28666
758,256,21735,15847,12807,27611
759,256,19950,15096,13114,29840
760,256,18661,15758,12367,31214
761,256,18672,15681,12449,31198
762,256,20253,15636,12518,29593
763,256,22488,15348,13072,27092
764,256,21791,15514,13211,27484
765,256,21956,15398,13111,27535
766,256,22009,15342,13151,27498
767,256,23092,15257,13646,26005
768,256,22983,15096,13637,26284
769,256,21204,14913,13886,27997
770,256,21853,14952,13814,27381
771,256,22134,15010,13789,27067
772,256,21878,15081,13691,27350
773,256,21345,15243,13645,27767
774,256,19612,15174,13698,29516
775,256,18879,15018,13148,30955
776,256,17608,15230,12860,32302
777,256,18693,15018,13428,30861
778,256,19043,14961,13427,30569
779,256,19168,14686,13082,31064
780,256,20114,14962,13390,29534
781,256,19078,14684,13545,30693
782,256,19361,14856,13732,30051
783,256,19103,14575,13745,30577
784,256,17874,14807,13488,31831
785,256,16303,14648,13160,33889
786,256,16127,14868,13417,33588
787,256,16165,14747,13314,33774
788,256,17490,14628,13426,32456
789,256,16995,14984,13695,32326
790,256,15697,14012,13784,34507
791,256,15719,13917,13853,34511
792,256,15885,13984,13809,34322
793,256,16208,13811,14068,33913
794,256,16245,13874,14167,33714
795,256,16267,13772,14079,33882
796,256,16096,13659,13911,34334
797,256,15664,13844,14073,34419
798,256,14444,13992,13472,36092
799,256,14049,14032,13311,36608
800,256,13169,13982,13320,37529
801,256,12555,13534,13314,38597
802,256,12647,13618,13298,38437
803,256,12534,13812,13421,38233
804,256,12468,13690,13299,38543
805,256,11750,13231,13052,39967
806,256,11974,13460,13062,39504
807,256,11362,13129,12666,40843
808,256,12092,13762,12954,39192
809,256,12900,13749,13218,38133
810,256,12728,13923,13378,37971
811,256,13864,13721,13305,37110
812,256,15751,14931,12953,34365
813,256,15759,14873,13120,34248
814,256,15281,14804,12587,35328
815,256,14369,14630,11965,37036
816,256,14298,14806,12164,36732
817,256,15062,14753,12509,35676
818,256,15195,14691,12341,35773
819,256,15686,14676,12832,34806
820,256,14719,14746,12778,35757
