round,seed,coop,exploit_,exploit,defect
1,256,29385,17429,11764,19422
2,256,31850,16227,12439,17484
3,256,29692,16461,12866,18981
4,256,30014,16177,12858,18951
5,256,30722,16788,12483,18007
6,256,29303,16285,13462,18950
7,256,27533,17348,12840,20279
8,256,25094,16618,13706,22582
9,256,23535,16948,13024,24493
10,256,24723,17405,12595,23277
11,256,25165,17839,12488,22508
12,256,26117,17309,12722,21852
13,256,26682,17350,12577,21391
14,256,28878,16216,13433,19473
15,256,29090,16083,13586,19241
16,256,29652,16598,13128,18622
17,256,28839,16219,13442,19500
18,256,30512,15911,13224,18353
19,256,28788,16349,13451,19412
20,256,28771,16279,13494,19456
21,256,29584,16526,13302,18588
22,256,27711,15747,14279,20263
23,256,26283,15724,14936,21057
24,256,28128,16009,14406,19457
25,256,26071,15693,14900,21336
26,256,27651,15199,15325,19825
27,256,26402,14993,15647,20958
28,256,26728,14861,15744,20667
29,256,26342,15118,15934,20606
30,256,26603,15239,15897,20261
31,256,24877,15234,15970,21919
32,256,24389,15101,16025,22485
33,256,24026,14682,15907,23385
34,256,24135,14643,15905,23317
35,256,25618,14961,15308,22113
36,256,26029,14810,15598,21563
37,256,24403,15322,15434,22841
38,256,22391,16425,14179,25005
39,256,22318,16405,14234,25043
40,256,21102,16706,13992,26200
41,256,22481,17311,13122,25086
42,256,23983,17254,13044,23719
43,256,23612,17442,12626,24320
44,256,25182,17810,12204,22804
45,256,25168,17744,12173,22915
46,256,26425,17341,12123,22111
47,256,24867,17547,12166,23420
48,256,24994,17588,12163,23255
49,256,25525,17509,12113,22853
50,256,23745,17809,12456,23990
51,256,23810,17794,12420,23976
52,256,22001,16801,13245,25953
53,256,21478,16324,13428,26770
54,256,22827,15881,13908,25384
55,256,23082,15636,13888,25394
56,256,24641,15539,14231,23589
57,256,24025,15596,13657,24722
58,256,24256,15621,13642,24481
59,256,24340,15581,13905,24174
60,256,22785,15111,14145,25959
61,256,21019,15232,14392,27357
62,256,19754,15555,13771,28920
63,256,18583,14897,14259,30261
64,256,17080,14720,14569,31631
65,256,16441,14162,14439,32958
66,256,16182,14207,14592,33019
67,256,16214,14349,14474,32963
68,256,16445,14056,14313,33186
69,256,15328,14031,14406,34235
70,256,14121,14594,13918,35367
71,256,12950,15183,13070,36797
72,256,12993,15268,13273,36466
73,256,11878,15414,12718,37990
74,256,11579,15385,12326,38710
75,256,11006,14928,11884,40182
76,256,11020,14946,11790,40244
77,256,10548,14682,12057,40713
78,256,11758,14901,11921,39420
79,256,11310,14627,11982,40081
80,256,10481,14394,11777,41348
81,256,10615,14250,11780,41355
82,256,10253,14333,11839,41575
83,256,10275,14452,11929,41344
84,256,10328,14369,11878,41425
85,256,10257,14329,11986,41428
86,256,10292,14535,12041,41132
87,256,10132,14278,11533,42057
88,256,9034,13495,11698,43773
