round,seed,coop,exploit_,exploit,defect
1,32,29095,17462,11761,19682
2,32,27927,17577,12023,20473
3,32,28582,17594,11775,20049
4,32,29327,17593,12159,18921
5,32,29706,17876,11945,18473
6,32,31232,17330,12224,17214
7,32,31161,17574,12050,17215
8,32,29857,17960,12046,18137
9,32,27815,17374,13013,19798
10,32,28073,17168,12879,19880
11,32,30000,17121,12793,18086
12,32,29637,17360,13026,17977
13,32,31587,16529,12809,17075
14,32,31654,16535,12976,16835
15,32,30946,16754,12806,17494
16,32,32985,16384,12636,15995
17,32,32798,16287,12494,16421
18,32,31060,16185,13199,17556
19,32,30254,16116,13112,18518
20,32,28594,16494,12535,20377
21,32,27432,16155,13171,21242
22,32,25532,15182,13910,23376
23,32,25093,15290,13891,23726
24,32,24502,15503,13818,24177
25,32,24314,15147,13903,24636
26,32,25635,14632,14543,23190
27,32,26956,14429,14657,21958
28,32,27258,14478,14782,21482
29,32,25516,13610,15253,23621
30,32,26780,13044,15717,22459
31,32,26768,13052,15669,22511
32,32,27699,13530,15230,21541
33,32,25605,12619,16227,23549
34,32,24938,12536,16287,24239
35,32,24802,12565,16201,24432
36,32,22955,11819,17008,26218
37,32,21897,12101,16579,27423
38,32,21324,12134,16356,28186
39,32,20404,11747,16630,29219
40,32,19294,11454,17018,30234
41,32,20741,11937,16535,28787
42,32,21503,12472,16209,27816
43,32,22991,12534,16030,26445
44,32,22898,12608,16231,26263
45,32,21346,12218,16802,27634
46,32,23647,12616,16381,25356
47,32,23983,12592,16549,24876
48,32,23834,12637,16584,24945
49,32,24019,12334,16444,25203
50,32,24466,12212,16698,24624
51,32,23509,12318,16555,25618
52,32,21593,12264,16081,28062
53,32,22638,12679,15748,26935
54,32,24785,13050,15718,24447
55,32,24737,13057,15692,24514
56,32,24664,13072,15708,24556
57,32,26613,13317,15423,22647
58,32,27232,12967,16166,21635
59,32,25637,13003,15794,23566
60,32,26769,13472,15563,22196
61,32,26620,13204,15390,22786
62,32,25560,13627,15740,23073
63,32,25842,13605,15492,23061
64,32,25401,13703,15491,23405
65,32,25889,13738,15239,23134
66,32,23865,13225,15291,25619
67,32,23957,13354,15297,25392
68,32,23986,13282,15709,25023
69,32,24378,13129,15668,24825
70,32,23831,13132,15651,25386
71,32,24080,13164,15490,25266
72,32,24354,13357,15938,24351
73,32,22592,12741,16220,26447
74,32,24198,13051,15916,24835
75,32,25054,13169,15864,23913
76,32,25465,13127,16004,23404
77,32,25507,12994,15721,23778
78,32,25479,12837,15702,23982
79,32,26570,13085,15681,22664
80,32,27366,13135,15457,22042
81,32,26308,13460,15499,22733
82,32,26601,13481,15456,22462
83,32,26876,13551,15514,22059
84,32,26607,13619,15584,22190
85,32,25650,13887,14943,23520
86,32,24247,14071,14904,24778
87,32,25993,14568,14208,23231
88,32,26278,14522,14480,22720
89,32,26761,14688,14450,22101
90,32,26972,14527,14328,22173
91,32,24682,14613,14305,24400
92,32,26911,15127,13800,22162
93,32,26309,14805,14085,22801
94,32,26382,14989,14103,22526
95,32,26892,15176,13733,22199
96,32,26691,15094,13849,22366
97,32,28096,15570,13429,20905
98,32,28278,15347,13218,21157
99,32,28126,15460,13438,20976
100,32,27991,15564,13532,20913
101,32,29553,16226,12940,19281
102,32,31801,16096,12588,17515
103,32,32375,16130,12408,17087
104,32,32743,16277,12248,16732
105,32,34696,15823,12451,15030
106,32,34541,15900,12467,15092
107,32,36183,15772,12506,13539
108,32,36483,15817,12504,13196
109,32,37082,15827,12309,12782
110,32,39363,14835,12466,11336
111,32,37251,14502,13279,12968
112,32,37653,14268,13299,12780
113,32,37059,14606,13186,13149
114,32,37343,14495,13222,12940
115,32,35428,14185,13620,14767
116,32,33061,14785,13527,16627
117,32,31790,14987,13472,17751
118,32,31927,14935,13531,17607
119,32,32980,15252,13325,16443
120,32,30348,15555,12954,19143
121,32,29899,15962,13179,18960
122,32,30301,15881,12748,19070
123,32,29302,15481,13021,20196
124,32,26832,15669,13330,22169
125,32,26870,15672,13285,22173
126,32,27127,15691,13205,21977
127,32,26937,15547,13288,22228
128,32,27498,15738,13178,21586
129,32,26986,16231,12840,21943
130,32,27174,15920,12813,22093
131,32,27172,16171,12698,21959
132,32,25574,16054,13005,23367
133,32,27487,15740,13316,21457
134,32,26940,15628,13381,22051
135,32,26637,15630,13204,22529
136,32,26359,15278,13156,23207
137,32,23909,15727,13064,25300
138,32,22683,15864,12818,26635
139,32,22394,15819,12932,26855
140,32,20799,15936,12551,28714
141,32,20950,16019,12508,28523
142,32,20653,15887,12464,28996
143,32,20626,15848,12523,29003
144,32,20780,15827,12463,28930
145,32,22059,15627,12977,27337
146,32,20994,15524,13248,28234
147,32,20567,15698,13042,28693
148,32,22840,16480,12213,26467
149,32,21632,16496,12381,27491
150,32,22329,16094,12197,27380
151,32,21030,16042,12373,28555
152,32,20429,15766,12672,29133
153,32,20715,15664,13095,28526
154,32,20769,15395,12835,29001
155,32,22301,15478,13315,26906
156,32,20736,15193,13237,28834
157,32,20261,15421,13242,29076
158,32,21874,15450,12815,27861
159,32,22784,15511,13730,25975
160,32,25269,15162,13918,23651
161,32,26261,15099,14123,22517
162,32,28344,14865,14260,20531
163,32,27908,14960,14570,20562
164,32,28932,14657,14556,19855
165,32,29699,14393,14355,19553
166,32,28677,14109,14967,20247
167,32,28114,14416,14911,20559
168,32,28118,14388,15091,20403
169,32,29108,14407,15610,18875
170,32,29423,14247,15383,18947
171,32,28934,14267,15531,19268
172,32,29118,14120,15592,19170
173,32,29620,14281,15271,18828
174,32,30554,14647,15442,17357
175,32,31186,14420,15652,16742
176,32,29382,13979,16049,18590
177,32,29781,13752,15807,18660
178,32,29978,13991,15810,18221
179,32,30211,13659,15968,18162
180,32,30587,13533,15708,18172
181,32,30418,13805,16018,17759
182,32,30591,13513,15742,18154
183,32,28587,13191,16015,20207
184,32,29277,13167,16162,19394
185,32,27872,13246,15756,21126
186,32,28757,13739,15484,20020
187,32,29022,13696,15735,19547
188,32,28576,13842,15692,19890
189,32,29979,13771,15215,19035
190,32,29455,13954,15277,19314
191,32,30732,14289,15127,17852
192,32,30513,14287,15153,18047
193,32,30771,14263,15131,17835
194,32,32045,14010,15167,16778
195,32,32195,14044,15428,16333
196,32,33332,13576,15256,15836
197,32,33476,13791,15376,15357
198,32,32618,13928,15533,15921
199,32,33270,13669,15312,15749
200,32,33849,13772,15243,15136
201,32,32576,13964,15622,15838
202,32,33174,13860,15180,15786
203,32,35151,13779,15335,13735
204,32,33532,13735,15406,15327
205,32,33307,13870,15278,15545
206,32,33526,13685,15205,15584
207,32,33187,13882,15346,15585
208,32,34615,14303,14935,14147
209,32,34831,14315,14760,14094
210,32,34524,14242,14615,14619
211,32,34153,14449,14723,14675
212,32,35218,14776,15115,12891
213,32,35190,14713,15033,13064
214,32,34743,14815,14872,13570
215,32,36994,15034,14631,11341
216,32,37015,15096,14760,11129
217,32,37928,14615,14285,11172
218,32,38707,14651,14070,10572
219,32,38593,14691,14204,10512
220,32,37808,14936,14361,10895
221,32,38978,14638,14151,10233
222,32,38471,14655,14299,10575
223,32,39080,14452,14103,10365
224,32,38736,14497,14322,10445
225,32,36023,14976,14328,12673
226,32,35791,15160,14493,12556
227,32,36763,14797,14163,12277
228,32,36722,14813,14348,12117
229,32,36685,14670,14269,12376
230,32,36379,14591,14407,12623
231,32,36716,14922,14427,11935
232,32,33949,14763,14507,14781
233,32,36612,14873,14282,12233
234,32,36708,15019,14321,11952
235,32,36790,14779,14164,12267
236,32,34935,15128,14012,13925
237,32,35174,14907,13898,14021
