round,seed,coop,exploit_,exploit,defect
1,32,29095,17462,11761,19682
2,32,27927,17577,12023,20473
3,32,26542,17231,12279,21948
4,32,27246,17204,12727,20823
5,32,27660,17516,12520,20304
6,32,27371,17527,12730,20372
7,32,27356,17822,12490,20332
8,32,27627,17733,12691,19949
9,32,25737,17030,13519,21714
10,32,24034,17476,12604,23886
11,32,25664,17667,12823,21846
12,32,25544,17817,12970,21669
13,32,26193,17636,13041,21130
14,32,25468,17573,12770,22189
15,32,24810,17757,12398,23035
16,32,26464,17337,12247,21952
17,32,24402,17411,12330,23857
18,32,24837,17941,12064,23158
19,32,24108,17855,11999,24038
20,32,23862,17573,11589,24976
21,32,22835,17010,11949,26206
22,32,22227,16567,12177,27029
23,32,22448,16633,12288,26631
24,32,21812,16908,12015,27265
25,32,20354,16281,12330,29035
26,32,20194,16280,12407,29119
27,32,21170,16287,12686,27857
28,32,20204,16426,12585,28785
29,32,18589,15192,13071,31148
30,32,20329,14455,14039,29177
31,32,19874,14346,14424,29356
32,32,20476,14385,14196,28943
33,32,20843,14980,14035,28142
34,32,22435,15031,13803,26731
35,32,22099,15178,14043,26680
36,32,20428,14216,14516,28840
37,32,19818,14254,14330,29598
38,32,20107,14111,14193,29589
39,32,19401,14391,14415,29793
40,32,18760,13944,14586,30710
41,32,19428,14064,14430,30078
42,32,19909,14885,14249,28957
43,32,21328,14701,14053,27918
44,32,21168,14835,14230,27767
45,32,19701,14695,14876,28728
46,32,20220,14350,14675,28755
47,32,20471,14439,14815,28275
48,32,22100,14775,14905,26220
49,32,20244,13866,15322,28568
50,32,19382,14076,14988,29554
51,32,20599,14502,14668,28231
52,32,20350,14308,14407,28935
53,32,20172,14434,14365,29029
54,32,20133,14543,14507,28817
55,32,20336,14916,14520,28228
56,32,20305,14753,14274,28668
57,32,21899,14817,14034,27250
58,32,20033,15797,13544,28626
59,32,20132,15617,13321,28930
60,32,22254,16502,12904,26340
61,32,20327,16192,12687,28794
62,32,20112,16271,12856,28761
63,32,18501,15878,12680,30941
64,32,18319,16002,12695,30984
65,32,18466,16026,12908,30600
66,32,18492,15843,12759,30906
67,32,18381,15953,12742,30924
68,32,20425,15047,13807,28721
69,32,20609,14994,13715,28682
70,32,19814,15210,13775,29201
71,32,18870,15382,13349,30399
72,32,18941,15586,13521,29952
73,32,17469,14771,13885,31875
74,32,18769,15535,13757,29939
75,32,19228,15561,13651,29560
76,32,18103,15956,13646,30295
77,32,19664,15667,13799,28870
78,32,19366,15970,13915,28749
79,32,20497,15681,13916,27906
80,32,21014,15999,13695,27292
81,32,22686,15367,14003,25944
82,32,21494,15467,14102,26937
83,32,22223,15643,14761,25373
84,32,23463,15261,15043,24233
85,32,21749,16177,13709,26365
86,32,22493,16217,14196,25094
87,32,20555,15006,15159,27280
88,32,19002,15394,14896,28708
89,32,18991,15372,14798,28839
90,32,20310,14956,15459,27275
91,32,20420,14820,15462,27298
92,32,20621,14765,15243,27371
93,32,22503,15657,14643,25197
94,32,20659,14671,15489,27181
95,32,18468,14133,16144,29255
96,32,18646,14015,16010,29329
97,32,18693,13900,15941,29466
98,32,19268,14164,15835,28733
99,32,18806,14412,16065,28717
100,32,18389,13720,16065,29826
101,32,19832,14340,15325,28503
102,32,21247,14522,15093,27138
103,32,23391,14047,15479,25083
104,32,23308,14308,15596,24788
105,32,23024,14196,15634,25146
106,32,24990,14927,14911,23172
107,32,24928,14922,14889,23261
108,32,24239,14951,15019,23791
109,32,23168,15178,14659,24995
110,32,24620,14471,15136,23773
111,32,25810,14917,14641,22632
112,32,26481,14983,14696,21840
113,32,26371,14914,14788,21927
114,32,28896,15839,13719,19546
115,32,26700,15042,14564,21694
116,32,26148,15181,14629,22042
117,32,24044,15223,14503,24230
118,32,24369,15165,14389,24077
119,32,24819,15733,14262,23186
120,32,22881,15832,13467,25820
121,32,22358,16161,13507,25974
122,32,22824,15981,13401,25794
123,32,21586,15519,13455,27440
124,32,21262,15603,13745,27390
125,32,22379,16286,13302,26033
126,32,21925,16234,13214,26627
127,32,20900,15990,13544,27566
128,32,19417,16034,13533,29016
129,32,19003,16400,13761,28836
130,32,19651,16038,13448,28863
131,32,20098,16687,13422,27793
132,32,20045,16750,13615,27590
133,32,21283,16358,13471,26888
134,32,20999,16149,13655,27197
135,32,19149,16539,13153,29159
136,32,18845,16101,13078,29976
137,32,18731,16086,13258,29925
138,32,19107,16224,13340,29329
139,32,19324,16592,13251,28833
140,32,20614,16340,13297,27749
141,32,20448,16377,13499,27676
142,32,20801,16328,13558,27313
143,32,20862,16223,13618,27297
144,32,19034,15488,13945,29533
145,32,20017,15101,14349,28533
146,32,20483,15308,14197,28012
147,32,21496,14701,14713,27090
148,32,21199,14281,14833,27687
149,32,22610,14306,14863,26221
150,32,23706,13761,15603,24930
151,32,24635,13929,15375,24061
152,32,24809,13932,15220,24039
153,32,24959,14016,15575,23450
154,32,24729,13951,15313,24007
155,32,24322,14056,15447,24175
156,32,24038,13777,15396,24789
157,32,23342,14343,14884,25431
158,32,25014,14684,14304,23998
159,32,22988,15119,13673,26220
160,32,22996,15055,13708,26241
161,32,24267,14855,14265,24613
162,32,24434,14734,14104,24728
163,32,24562,14642,14017,24779
164,32,24250,14757,14258,24735
165,32,23224,15104,13863,25809
166,32,24281,14982,13416,25321
167,32,22563,15123,13648,26666
168,32,22675,15179,13884,26262
169,32,23453,14871,14382,25294
170,32,22812,15163,13687,26338
171,32,20872,14489,14169,28470
172,32,20917,14451,14072,28560
173,32,20036,13790,14484,29690
174,32,21433,13959,14475,28133
175,32,20423,14356,14014,29207
176,32,19268,13998,14363,30371
177,32,19867,14201,14244,29688
178,32,19466,14061,14023,30450
179,32,18669,14448,13627,31256
180,32,18621,14101,13649,31629
181,32,17985,14371,13922,31722
182,32,18674,14097,13662,31567
183,32,16555,13797,13999,33649
184,32,17704,14122,13887,32287
185,32,16986,14087,13460,33467
186,32,18426,14676,13295,31603
187,32,17067,14302,13179,33452
188,32,15947,14685,12609,34759
189,32,14533,13319,13011,37137
190,32,14439,13365,13093,37103
191,32,14166,13709,13248,36877
192,32,12975,12759,13161,39105
193,32,12510,13073,13152,39265
194,32,12630,12906,12992,39472
195,32,12619,12921,13118,39342
196,32,11843,12965,12689,40503
197,32,10999,13038,12445,41518
198,32,11483,13291,12788,40438
199,32,11765,13021,12454,40760
200,32,11694,13284,12722,40300
201,32,10718,12782,12496,42004
202,32,10690,12903,12637,41770
203,32,9820,12384,11974,43822
204,32,10148,12566,12221,43065
205,32,11060,12467,13110,41363
206,32,12187,12719,13032,40062
207,32,12468,12622,13296,39614
208,32,13347,13124,13305,38224
209,32,13085,12990,13157,38768
210,32,14666,13116,13354,36864
211,32,14958,13075,13247,36720
212,32,14697,13239,13247,36817
213,32,14035,12765,13449,37751
214,32,14610,12851,13790,36749
215,32,13644,12391,13864,38101
216,32,12391,12402,13419,39788
217,32,12543,12489,13570,39398
218,32,12330,12445,13515,39710
219,32,12815,12590,13657,38938
220,32,12844,12651,13454,39051
221,32,13273,12649,13656,38422
222,32,13125,12514,13577,38784
223,32,11880,12195,13483,40442
224,32,10203,11948,12759,43090
225,32,11298,11968,13348,41386
226,32,11525,12198,13230,41047
227,32,12289,12170,13818,39723
228,32,11928,12429,13657,39986
229,32,12883,12896,13367,38854
230,32,14074,12646,13688,37592
231,32,14462,12730,13715,37093
232,32,13604,12706,13739,37951
233,32,14577,12899,13713,36811
234,32,14845,12816,13881,36458
235,32,14727,12815,13936,36522
236,32,14820,12947,14079,36154
237,32,14972,12710,13944,36374
