round,seed,defect,coop,exploit_,exploit
1,385,19631,29255,12113,17001
2,385,18968,29707,12037,17288
3,385,19844,29146,11921,17089
4,385,21109,27312,12313,17266
5,385,20726,27535,12240,17499
6,385,20393,28226,11983,17398
7,385,21404,27217,12553,16826
8,385,23488,25162,13198,16152
9,385,24390,24010,13202,16398
10,385,22981,25538,13815,15666
11,385,23809,24226,13823,16142
12,385,23474,24469,13731,16326
13,385,24510,23828,13060,16602
14,385,26824,21866,13727,15583
15,385,28048,20286,14144,15522
16,385,29272,19519,14440,14769
17,385,29342,19769,14236,14653
18,385,30576,18542,13846,15036
19,385,31047,18368,13564,15021
20,385,31390,18089,13534,14987
21,385,28838,19830,14719,14613
22,385,30261,18737,14383,14619
23,385,29628,19013,14175,15184
24,385,29702,18945,14180,15173
25,385,27575,20826,14502,15097
26,385,25873,22494,14057,15576
27,385,25120,23425,14240,15215
28,385,24925,23575,14171,15329
29,385,25057,23602,14073,15268
30,385,23764,24960,14155,15121
31,385,22132,26891,13858,15119
32,385,21638,27058,14129,15175
33,385,22256,26435,13908,15401
34,385,24105,24956,14431,14508
35,385,23312,25664,14942,14082
36,385,23276,25529,15064,14131
37,385,23587,25438,14796,14179
38,385,22129,27002,14619,14250
39,385,22279,27212,14407,14102
40,385,23822,25399,15051,13728
41,385,23754,25597,14977,13672
42,385,24155,24869,15286,13690
43,385,22408,26562,14783,14247
44,385,23442,25936,14980,13642
45,385,25386,23939,14538,14137
46,385,24268,24972,14832,13928
47,385,24981,23693,14941,14385
48,385,25370,24065,14603,13962
49,385,23359,25604,14497,14540
50,385,23218,26056,14131,14595
51,385,21236,27724,14077,14963
52,385,21110,28060,14047,14783
53,385,19874,29208,14052,14866
54,385,17880,31582,13487,15051
55,385,19200,29999,13151,15650
56,385,19365,29899,13176,15560
57,385,17474,31438,13727,15361
58,385,17076,32098,13632,15194
59,385,16876,32758,13225,15141
60,385,16916,32670,13359,15055
61,385,15064,34375,13769,14792
62,385,15158,34641,13591,14610
63,385,13693,36197,14092,14018
64,385,13650,36048,14074,14228
65,385,13992,35608,14069,14331
66,385,13945,35719,14070,14266
67,385,14119,35595,14035,14251
68,385,15632,33391,14854,14123
69,385,17468,31809,15097,13626
70,385,17634,31548,15120,13698
71,385,17820,31492,14992,13696
72,385,17885,31133,15221,13761
73,385,16217,33232,15151,13400
74,385,18116,30982,15892,13010
75,385,17772,31393,15791,13044
76,385,19433,30151,15721,12695
77,385,18843,30418,15961,12778
78,385,18432,30729,16268,12571
79,385,18455,30696,16206,12643
80,385,18395,31130,16195,12280
81,385,17822,31460,16132,12586
82,385,17872,31418,16214,12496
83,385,17929,31463,16131,12477
84,385,17620,31662,16297,12421
85,385,17581,31903,16252,12264
86,385,16901,32307,16107,12685
87,385,18263,30664,16402,12671
88,385,19751,29720,16026,12503
89,385,19174,29552,16406,12868
90,385,18974,29980,16488,12558
91,385,19358,29994,16028,12620
92,385,20531,28691,16236,12542
93,385,22178,27163,15789,12870
94,385,20427,28734,15747,13092
95,385,19704,29192,16010,13094
96,385,19263,29928,15736,13073
97,385,20038,28981,16220,12761
98,385,20728,27947,16724,12601
99,385,20622,28371,16411,12596
100,385,22424,26499,15880,13197
101,385,22075,26698,15993,13234
102,385,22451,25957,15986,13606
103,385,21621,27358,15878,13143
104,385,20270,28478,16307,12945
105,385,20026,28985,16264,12725
106,385,20583,28470,16004,12943
107,385,21628,27050,16427,12895
108,385,22979,25667,16930,12424
109,385,23294,25436,16940,12330
110,385,23218,25538,16879,12365
111,385,23030,25650,17235,12085
112,385,21173,27453,17121,12253
113,385,19162,29709,17645,11484
114,385,19393,29463,17671,11473
115,385,19428,29668,17646,11258
116,385,19965,29066,17668,11301
117,385,18173,30947,16642,12238
118,385,18441,30752,16603,12204
119,385,18609,30754,16481,12156
120,385,16627,32842,15730,12801
121,385,16279,33370,15563,12788
122,385,16894,32709,15824,12573
123,385,16450,33089,16043,12418
124,385,16429,33069,16081,12421
125,385,16581,32800,16114,12505
126,385,16546,32980,15988,12486
127,385,15999,33372,16305,12324
128,385,15860,33776,16090,12274
129,385,15368,34179,16027,12426
130,385,16794,32547,16914,11745
131,385,16306,33165,17127,11402
132,385,14401,35341,17362,10896
133,385,13434,36782,16801,10983
134,385,15401,34257,16837,11505
135,385,15095,34464,16828,11613
136,385,16269,32465,17589,11677
137,385,16601,32566,17046,11787
138,385,18829,30197,17981,10993
139,385,18500,30225,18242,11033
140,385,18771,29891,18191,11147
141,385,18668,30046,18061,11225
142,385,19237,29414,18358,10991
143,385,19560,29281,18304,10855
144,385,19230,29319,18360,11091
145,385,18974,29551,18655,10820
146,385,21070,27334,18928,10668
147,385,19427,29425,18057,11091
148,385,20381,28675,17586,11358
149,385,22419,26079,18232,11270
150,385,21598,27109,18652,10641
151,385,21811,26530,18881,10778
152,385,22257,26907,18411,10425
153,385,23128,25482,19160,10230
154,385,24556,23940,19406,10098
155,385,23891,24320,19852,9937
156,385,23923,24574,19585,9918
157,385,23844,24504,19734,9918
158,385,24176,24293,19634,9897
159,385,24008,24377,19607,10008
160,385,23508,24917,19491,10084
161,385,24667,23029,20073,10231
162,385,24779,23277,19842,10102
163,385,24759,23119,20075,10047
164,385,24844,23191,19915,10050
165,385,24927,22911,19996,10166
166,385,24714,23250,19911,10125
167,385,26298,21483,20253,9966
168,385,26799,21312,19780,10109
169,385,26027,22170,19400,10403
170,385,25980,22199,19402,10419
171,385,24084,24069,20371,9476
172,385,25198,23388,19620,9794
173,385,23544,25156,19107,10193
174,385,24647,23760,19130,10463
175,385,22571,26025,18648,10756
176,385,20568,28193,17906,11333
177,385,20388,28021,18164,11427
178,385,20287,28106,18107,11500
179,385,19522,28856,18486,11136
180,385,21554,26748,17522,12176
181,385,22183,26117,17817,11883
182,385,22141,26167,17615,12077
183,385,21290,27437,17287,11986
184,385,21725,27116,17178,11981
185,385,21644,27009,17264,12083
186,385,21584,27272,17178,11966
187,385,21436,27100,17279,12185
188,385,23565,24790,16567,13078
189,385,21697,27259,15645,13399
190,385,22834,25763,15323,14080
191,385,20658,27880,14375,15087
192,385,21638,27005,14702,14655
193,385,19655,29409,14615,14321
194,385,18526,30190,14600,14684
195,385,18627,30358,14412,14603
196,385,18179,30655,14594,14572
197,385,17329,31480,14485,14706
198,385,16054,33451,13819,14676
199,385,17418,31900,13608,15074
200,385,17075,32092,13460,15373
201,385,18234,30363,13137,16266
202,385,17916,30827,12925,16332
203,385,17375,31205,12951,16469
204,385,17225,31407,12823,16545
205,385,16688,31717,12863,16732
206,385,16033,32175,12704,17088
207,385,16109,32462,12467,16962
208,385,16182,32011,12704,17103
209,385,15289,32668,13068,16975
210,385,15377,32859,12869,16895
211,385,15271,32865,12865,16999
212,385,15423,32626,12982,16969
213,385,15483,32677,12876,16964
214,385,15073,32827,13075,17025
215,385,16229,31163,13581,17027
216,385,17898,28989,14251,16862
217,385,17058,29644,14347,16951
218,385,18814,27563,13707,17916
219,385,17874,28102,13846,18178
220,385,17996,27929,13883,18192
221,385,19728,26103,14745,17424
222,385,19199,26364,14813,17624
223,385,20399,25765,14694,17142
224,385,20301,25935,14686,17078
225,385,22253,23693,16110,15944
226,385,21252,25099,16197,15452
227,385,22528,23628,16163,15681
228,385,22482,23667,16252,15599
229,385,22686,23558,16260,15496
230,385,22681,23667,16284,15368
231,385,21839,23872,16430,15859
232,385,23657,22001,15843,16499
233,385,25774,20411,16868,14947
234,385,23625,21932,17557,14886
235,385,22814,22433,17425,15328
236,385,22232,22771,17695,15302
237,385,20490,24574,17424,15512
238,385,22285,22610,16407,16698
239,385,22244,22749,16392,16615
