round,seed,defect,coop,exploit_,exploit
1,385,19631,29255,12113,17001
2,385,18968,29707,12037,17288
3,385,19448,29580,11875,17097
4,385,20698,27674,12332,17296
5,385,20371,27842,12249,17538
6,385,21954,26437,12305,17304
7,385,23965,24199,13408,16428
8,385,25988,22415,13886,15711
9,385,27040,21204,13909,15847
10,385,25540,22721,14551,15188
11,385,24349,23399,15003,15249
12,385,23934,23630,14826,15610
13,385,24731,23161,14462,15646
14,385,26792,21486,15161,14561
15,385,26537,21255,15618,14590
16,385,27550,21025,15529,13896
17,385,27540,21232,15468,13760
18,385,27263,21269,15784,13684
19,385,29174,19507,15155,14164
20,385,29390,19448,15068,14094
21,385,27243,21215,16244,13298
22,385,28238,19925,16078,13759
23,385,27769,20176,15850,14205
24,385,27868,20157,15870,14105
25,385,26683,21588,15743,13986
26,385,26435,21471,15965,14129
27,385,24790,23295,16356,13559
28,385,22729,25386,16898,12987
29,385,20795,27305,16189,13711
30,385,19537,28904,16132,13427
31,385,18143,30796,15606,13455
32,385,18337,30238,15672,13753
33,385,18247,30507,15557,13689
34,385,18647,30514,15571,13268
35,385,18825,30103,15792,13280
36,385,18434,30071,15887,13608
37,385,19318,29864,15366,13452
38,385,17171,32214,14995,13620
39,385,17498,31963,14877,13662
40,385,16790,32354,14896,13960
41,385,15557,34528,14692,13223
42,385,15262,34390,14989,13359
43,385,13370,36660,13765,14205
44,385,13543,36902,13535,14020
45,385,13343,36916,13688,14053
46,385,14983,34847,13216,14954
47,385,14726,34797,13424,15053
48,385,14119,35251,13624,15006
49,385,12782,37391,12812,15015
50,385,11119,39823,11598,15460
51,385,10061,41574,11219,15146
52,385,9664,41928,11200,15208
53,385,9467,42317,11091,15125
54,385,10592,40813,11645,14950
55,385,10030,41191,11984,14795
56,385,11751,38617,13250,14382
57,385,10577,40696,13396,13331
58,385,10152,40829,13427,13592
59,385,9846,41506,13266,13382
60,385,10681,39964,13021,14334
61,385,10406,40054,13239,14301
62,385,10368,40172,13284,14176
63,385,10928,39560,13031,14481
64,385,11144,39418,12942,14496
65,385,12652,36950,13194,15204
66,385,12722,36874,13094,15310
67,385,12750,36726,13089,15435
68,385,14270,34799,14126,14805
69,385,15548,32677,14789,14986
70,385,15479,32815,14824,14882
71,385,15003,33184,14902,14911
72,385,15092,32875,15019,15014
73,385,15444,32779,14762,15015
74,385,16788,31145,15753,14314
75,385,16274,31334,15839,14553
76,385,17061,29829,16423,14687
77,385,18204,27836,16315,15645
78,385,16451,30096,17340,14113
79,385,18121,28218,16744,14917
80,385,18310,27885,16706,15099
81,385,18343,27973,16666,15018
82,385,18266,27951,16676,15107
83,385,19529,26227,16584,15660
84,385,17707,28289,17368,14636
85,385,17652,28509,17310,14529
86,385,19571,26154,18664,13611
87,385,21177,24434,18938,13451
88,385,23375,22461,18569,13595
89,385,21215,24324,19323,13138
90,385,21233,24354,19365,13048
91,385,21361,24417,19242,12980
92,385,22099,23885,19377,12639
93,385,23222,22450,18968,13360
94,385,21215,24378,18855,13552
95,385,20639,24668,19199,13494
96,385,19771,25029,19371,13829
97,385,21700,23110,20367,12823
98,385,19897,24712,19339,14052
99,385,20031,24938,19074,13957
100,385,21708,23150,17864,15278
101,385,21597,23244,17907,15252
102,385,23621,21095,16946,16338
103,385,23723,21314,16798,16165
104,385,24619,19857,16846,16678
105,385,24496,20047,16836,16621
106,385,24703,19868,16755,16674
107,385,25591,18447,17272,16690
108,385,25585,18478,17362,16575
109,385,27544,16894,17249,16313
110,385,27531,16922,17323,16224
111,385,26220,17442,18417,15921
112,385,24284,19093,18218,16405
113,385,22279,20765,19329,15627
114,385,23815,20030,19413,14742
115,385,24756,19980,19470,13794
116,385,25411,19687,19009,13893
117,385,23307,21413,17975,15305
118,385,25417,19493,18348,14742
119,385,27534,18121,17157,15188
120,385,25323,19483,16509,16685
121,385,26504,18240,16610,16646
122,385,27927,17631,17004,15438
123,385,25800,19323,17962,14915
124,385,26129,19370,17911,14590
125,385,25251,20517,17677,14555
126,385,25200,20619,17629,14552
127,385,24001,21136,18083,14780
128,385,25226,19600,17810,15364
129,385,25518,18480,18801,15201
130,385,26228,17363,19526,14883
131,385,28232,15918,18236,15614
132,385,26265,17410,18952,15373
133,385,26421,17353,18773,15453
134,385,26238,17471,18960,15331
135,385,26111,17288,19054,15547
136,385,24201,18937,18730,16132
137,385,24220,19016,18664,16100
138,385,24371,18957,18537,16135
139,385,24289,19044,18602,16065
140,385,26200,17553,19054,15193
141,385,25219,18711,19116,14954
142,385,27052,17256,20119,13573
143,385,27204,16872,20129,13795
144,385,27049,17028,20248,13675
145,385,27071,17076,20144,13709
146,385,25209,18654,19877,14260
147,385,24310,19113,19570,15007
148,385,23767,20287,19790,14156
149,385,23233,21437,19048,14282
150,385,21293,23067,20156,13484
151,385,19587,25081,19416,13916
152,385,18030,26879,18052,15039
153,385,17979,27024,18034,14963
154,385,19483,24922,18170,15425
155,385,18583,25527,18819,15071
156,385,18594,25532,18798,15076
157,385,17934,26974,18474,14618
158,385,17879,27004,18353,14764
159,385,18505,25741,19135,14619
160,385,18523,25518,19367,14592
161,385,19540,24027,19580,14853
162,385,17835,25980,20289,13896
163,385,17789,25813,20535,13863
164,385,18773,24194,20718,14315
165,385,18736,24208,20686,14370
166,385,20339,22282,21893,13486
167,385,20357,22472,21920,13251
168,385,22051,20833,21293,13823
169,385,24046,18999,21593,13362
170,385,25878,17352,22809,11961
171,385,23922,19036,24313,10729
172,385,25122,18595,23302,10981
173,385,25335,18582,23228,10855
174,385,26237,17321,22924,11518
175,385,26314,17176,22956,11554
176,385,24360,18689,22381,12570
177,385,24453,18776,22407,12364
178,385,23917,20143,21844,12096
179,385,22432,20761,22799,12008
180,385,24543,19014,21320,13123
181,385,25310,18680,21343,12667
182,385,25401,18506,21440,12653
183,385,25399,18539,21283,12779
184,385,26431,18226,20770,12573
185,385,26602,18232,20641,12525
186,385,24680,19967,20101,13252
187,385,24790,19812,20096,13302
188,385,26608,18001,18991,14400
189,385,26742,18162,18859,14237
190,385,27101,17152,18773,14974
191,385,27224,17177,18651,14948
192,385,24936,18651,18109,16304
193,385,23500,20195,18284,16021
194,385,21594,22010,17772,16624
195,385,23387,20386,18496,15731
196,385,21661,21995,19083,15261
197,385,22361,21473,18893,15273
198,385,23741,21124,18620,14515
199,385,23544,21197,18637,14622
200,385,22659,22926,17765,14650
201,385,24139,21153,16866,15842
202,385,24432,21094,16855,15619
203,385,24837,20762,16758,15643
204,385,24813,20743,16766,15678
205,385,24802,20877,16734,15587
206,385,24902,20489,16843,15766
207,385,25290,19644,17558,15508
208,385,25448,19438,17572,15542
209,385,24522,20915,17910,14653
210,385,24609,20997,17767,14627
211,385,24540,20772,17943,14745
212,385,24391,20859,17960,14790
213,385,24689,20743,17892,14676
214,385,23357,21379,18510,14754
215,385,23663,21266,18456,14615
216,385,25630,19443,18707,14220
217,385,24648,19789,19173,14390
218,385,26591,18139,18227,15043
219,385,24835,19674,18291,15200
220,385,24216,19935,18535,15314
221,385,26183,18269,19172,14376
222,385,25894,18570,19150,14386
223,385,26333,18163,19183,14321
224,385,26380,18280,19159,14181
225,385,26212,18303,19138,14347
226,385,25494,19424,19257,13825
227,385,26074,18197,19610,14119
228,385,25960,18275,19635,14130
229,385,26290,18299,19500,13911
230,385,26919,18103,18803,14175
231,385,26114,18312,19012,14562
232,385,28242,16634,18093,15031
233,385,28156,16760,18190,14894
234,385,25990,18515,18846,14649
235,385,26054,18525,18764,14657
236,385,24951,18902,19474,14673
237,385,24061,19781,19195,14963
238,385,26004,18363,17780,15853
239,385,28042,16706,17055,16197
