round,seed,defect,coop,exploit_,exploit
1,385,19631,29255,12113,17001
2,385,18968,29707,12037,17288
3,385,19844,29146,11921,17089
4,385,19121,29461,11875,17543
5,385,19221,29278,11813,17688
6,385,20435,28180,11858,17527
7,385,21349,27195,12434,17022
8,385,23554,25121,13023,16302
9,385,24357,24023,13050,16570
10,385,22919,25596,13605,15880
11,385,23852,24287,13585,16276
12,385,23920,24150,13690,16240
13,385,25063,23446,13024,16467
14,385,27177,21533,13784,15506
15,385,28614,19912,14026,15448
16,385,29307,19374,14290,15029
17,385,29332,19754,14087,14827
18,385,30508,18469,13741,15282
19,385,31031,18389,13333,15247
20,385,31402,18093,13294,15211
21,385,28797,19886,14533,14784
22,385,30211,18704,14247,14838
23,385,31234,17497,14661,14608
24,385,31551,17552,14544,14353
25,385,31487,17526,14509,14478
26,385,29706,18991,14260,15043
27,385,29070,19990,14213,14727
28,385,28811,19900,14307,14982
29,385,28863,20026,14270,14841
30,385,27558,21566,14284,14592
31,385,25950,23167,14123,14760
32,385,25405,23199,14551,14845
33,385,24022,24591,14483,14904
34,385,25733,23324,14979,13964
35,385,25045,23929,15421,13605
36,385,25098,23736,15511,13655
37,385,25586,23551,15252,13611
38,385,26193,23156,15367,13284
39,385,26249,23312,15249,13190
40,385,27867,21631,15798,12704
41,385,27860,21791,15649,12700
42,385,28644,20753,16081,12522
43,385,26999,22175,15761,13065
44,385,25700,23725,15209,13366
45,385,27710,21804,14725,13761
46,385,25986,23353,15296,13365
47,385,26920,22017,15339,13724
48,385,27346,22225,15079,13350
49,385,25342,23735,14926,13997
50,385,25004,24260,14657,14079
51,385,24964,24216,14668,14152
52,385,24738,24610,14555,14097
53,385,23334,25772,14637,14257
54,385,21445,27844,14174,14537
55,385,22791,26447,13858,14904
56,385,22916,26371,13834,14879
57,385,21169,27862,14275,14694
58,385,21062,27954,14414,14570
59,385,20552,28569,14247,14632
60,385,20626,28563,14310,14501
61,385,18946,30265,14601,14188
62,385,18879,30379,14555,14187
63,385,17415,31768,15136,13681
64,385,17287,31950,15102,13661
65,385,17215,32301,15044,13440
66,385,17215,31963,15053,13769
67,385,17818,31710,14787,13685
68,385,18880,30168,15392,13560
69,385,18740,30417,15305,13538
70,385,19094,30184,15327,13395
71,385,18845,30523,15275,13357
72,385,20529,28408,15166,13897
73,385,18756,30529,15234,13481
74,385,20586,28468,15854,13092
75,385,20121,28726,15899,13254
76,385,18361,31077,15404,13158
77,385,17806,31250,15620,13324
78,385,17651,31768,15702,12879
79,385,19539,29491,15524,13446
80,385,19385,29605,15695,13315
81,385,20032,29463,15468,13037
82,385,20185,28684,15840,13291
83,385,18523,30902,15714,12861
84,385,18223,31289,15702,12786
85,385,17296,32007,15704,12993
86,385,17557,31460,16013,12970
87,385,17577,31746,15815,12862
88,385,18043,31367,15797,12793
89,385,16053,33352,16071,12524
90,385,16332,33526,15701,12441
91,385,16959,32659,15613,12769
92,385,17643,31569,15879,12909
93,385,17569,31807,15701,12923
94,385,17262,32021,15768,12949
95,385,16957,32339,15783,12921
96,385,16755,32675,15726,12844
97,385,16233,33530,15288,12949
98,385,16228,33430,15339,13003
99,385,16607,33199,15261,12933
100,385,18103,31230,14854,13813
101,385,17672,31771,15158,13399
102,385,18372,30968,14847,13813
103,385,16818,32687,15118,13377
104,385,18202,31067,15264,13467
105,385,18410,30997,15141,13452
106,385,19040,30179,15185,13596
107,385,20345,29307,15055,13293
108,385,21669,27329,15923,13079
109,385,23676,25679,15903,12742
110,385,24140,24943,15994,12923
111,385,23265,25704,16242,12789
112,385,21733,27221,16133,12913
113,385,19693,29592,16552,12163
114,385,20025,29117,16684,12174
115,385,20153,28900,16907,12040
116,385,20198,28820,16940,12042
117,385,18690,30580,16189,12541
118,385,18681,30588,16280,12451
119,385,18858,30627,16092,12423
120,385,16702,32357,15754,13187
121,385,16549,32981,15616,12854
122,385,17063,32483,15712,12742
123,385,16554,32922,15834,12690
124,385,19012,30495,16407,12086
125,385,19182,30072,16402,12344
126,385,17015,32426,16389,12170
127,385,16495,33250,16523,11732
128,385,16166,33721,16559,11554
129,385,17152,32286,17275,11287
130,385,16771,32779,17052,11398
131,385,16449,33123,17217,11211
132,385,16680,32989,17090,11241
133,385,14695,35455,16495,11355
134,385,15272,34500,16594,11634
135,385,13680,36492,15792,12036
136,385,15649,33869,16507,11975
137,385,15923,33756,16206,12115
138,385,14372,35645,15539,12444
139,385,14846,35260,15408,12486
140,385,14165,35596,15396,12843
141,385,13984,36210,15269,12537
142,385,15567,34146,16190,12097
143,385,15620,34234,16035,12111
144,385,13942,36103,15586,12369
145,385,13888,36492,15542,12078
146,385,13643,36623,15547,12187
147,385,11863,38912,14669,12556
148,385,12732,37783,14571,12914
149,385,13152,37163,14721,12964
150,385,12959,36973,14992,13076
151,385,13068,36942,14993,12997
152,385,14754,35396,15443,12407
153,385,13092,37373,14697,12838
154,385,13050,37127,14963,12860
155,385,12361,38082,15045,12512
156,385,12389,37819,15114,12678
157,385,14175,36249,15055,12521
158,385,13995,36101,15276,12628
159,385,13987,36158,15179,12676
160,385,13571,36754,14956,12719
161,385,13940,35949,15208,12903
162,385,13954,36193,15037,12816
163,385,14014,35971,15123,12892
164,385,13907,36046,15196,12851
165,385,12692,37810,14537,12961
166,385,10840,39658,14051,13451
167,385,12294,38211,14165,13330
168,385,12989,37125,14155,13731
169,385,11447,39142,13647,13764
170,385,11260,38875,13964,13901
171,385,9331,41767,14193,12709
172,385,10054,40834,14178,12934
173,385,9555,41234,14160,13051
174,385,9856,40827,14229,13088
175,385,9299,41646,13965,13090
176,385,9364,42398,13470,12768
177,385,9089,42241,13637,13033
178,385,9229,42072,13650,13049
179,385,8842,42822,13540,12796
180,385,9154,42044,13607,13195
181,385,11001,39832,14162,13005
182,385,11118,39304,14394,13184
183,385,9548,41231,14230,12991
184,385,9824,41012,14108,13056
185,385,9661,41225,14072,13042
186,385,10267,40562,14143,13028
187,385,9946,40300,14436,13318
188,385,10844,38924,14396,13836
189,385,10548,39916,13935,13601
190,385,10360,40298,13967,13375
191,385,10162,39681,14466,13691
192,385,10721,39265,14533,13481
193,385,10610,39528,14511,13351
194,385,10387,40185,14140,13288
195,385,10612,39380,14505,13503
196,385,9991,40177,14491,13341
197,385,8430,42042,14181,13347
198,385,8327,42373,14107,13193
199,385,8810,41530,14209,13451
200,385,8273,42965,13521,13241
201,385,9500,41325,13393,13782
202,385,9515,41322,13477,13686
203,385,9712,41144,13454,13690
204,385,9702,41201,13473,13624
205,385,9729,40991,13380,13900
206,385,9420,41653,13113,13814
207,385,10622,40251,13682,13445
208,385,12432,38296,13841,13431
209,385,11891,39016,13920,13173
210,385,11749,38873,14043,13335
211,385,11515,39025,13982,13478
212,385,11672,39031,13941,13356
213,385,10545,40301,13743,13411
214,385,10556,40168,13803,13473
215,385,11049,39908,13729,13314
216,385,12896,37254,14421,13429
217,385,11237,38921,14394,13448
218,385,12925,37168,14031,13876
219,385,12988,37115,13895,14002
220,385,14763,34944,14034,14259
221,385,15225,34298,14228,14249
222,385,14637,35416,13875,14072
223,385,16453,33239,14241,14067
224,385,16329,33478,14215,13978
225,385,16214,33387,14249,14150
226,385,16477,33036,14062,14425
227,385,18084,31603,14109,14204
228,385,18030,31457,14043,14470
229,385,17765,31648,14276,14311
230,385,18134,31720,13757,14389
231,385,16541,33210,13716,14533
232,385,16372,33074,13782,14772
233,385,18588,30984,14650,13778
234,385,17811,31643,14778,13768
235,385,17841,31354,15011,13794
236,385,17528,31403,15196,13873
237,385,16991,32748,14730,13531
238,385,17771,31386,14642,14201
239,385,18134,31641,14303,13922
