round,seed,exploit,coop,defect,exploit_
1,4,11670,29610,19414,17306
2,4,12095,30838,18266,16801
3,4,11667,28464,20600,17269
4,4,11837,27999,20921,17243
5,4,11755,28308,20881,17056
6,4,12448,29746,19312,16494
7,4,12523,31699,18005,15773
8,4,13238,29947,18825,15990
9,4,13032,29943,19241,15784
10,4,13878,27650,21362,15110
11,4,13923,26941,21776,15360
12,4,13831,28400,20654,15115
13,4,13635,27180,21798,15387
14,4,13462,26732,22451,15355
15,4,13388,25756,23238,15618
16,4,13418,26679,22442,15461
17,4,13592,24516,24516,15376
18,4,13089,22964,26271,15676
19,4,13079,23056,26268,15597
20,4,12898,23171,26358,15573
21,4,13095,21408,27573,15924
22,4,13439,22522,26607,15432
23,4,12618,20286,29022,16074
24,4,12297,21131,27705,16867
25,4,12662,23009,25378,16951
26,4,12389,23325,25610,16676
27,4,12641,24131,24834,16394
28,4,12796,23933,24716,16555
29,4,12331,23801,25170,16698
30,4,12717,22445,26550,16288
31,4,13403,23113,25287,16197
32,4,13551,24548,23974,15927
33,4,13336,26336,22424,15904
34,4,13355,26286,22490,15869
35,4,12897,28435,20559,16109
36,4,13027,28281,20851,15841
37,4,13248,27234,21836,15682
38,4,13355,27254,21649,15742
39,4,13174,27267,21863,15696
40,4,13505,26822,21947,15726
41,4,13354,27812,21239,15595
42,4,13815,25840,22723,15622
43,4,14482,27959,20635,14924
44,4,14830,26529,21851,14790
45,4,14910,26889,21653,14548
46,4,14756,27063,21473,14708
47,4,14778,28025,20694,14503
48,4,14792,27731,20937,14540
49,4,15475,26041,22652,13832
50,4,15630,27247,21733,13390
51,4,15561,26708,22210,13521
52,4,16073,27967,20877,13083
53,4,15922,28132,20957,12989
54,4,15867,26592,22445,13096
55,4,15829,27046,22132,12993
56,4,15762,26955,22134,13149
57,4,16235,25569,23258,12938
58,4,16115,25058,24185,12642
59,4,16619,25528,23161,12692
60,4,16273,25447,23546,12734
61,4,16264,25206,23863,12667
62,4,16397,24905,23890,12808
63,4,15557,26992,22155,13296
64,4,15732,27904,21505,12859
65,4,15773,28726,20324,13177
66,4,15621,29935,19516,12928
67,4,15324,31212,18050,13414
68,4,15272,31381,17751,13596
69,4,16082,33285,16147,12486
70,4,15710,32461,17021,12808
71,4,15699,33614,15984,12703
72,4,14695,35740,14160,13405
73,4,14407,37623,12845,13125
74,4,14283,37862,12801,13054
75,4,14583,36081,14077,13259
76,4,14762,35762,14481,12995
77,4,14861,35996,14186,12957
78,4,14794,35883,14313,13010
79,4,14885,33494,16104,13517
80,4,14937,33254,16166,13643
81,4,15061,32620,16570,13749
82,4,15010,32730,16595,13665
83,4,15232,31099,17929,13740
84,4,14821,30985,18371,13823
85,4,15114,30179,19234,13473
86,4,15282,29877,19336,13505
87,4,15254,29375,19634,13737
88,4,15231,28197,20751,13821
89,4,15381,27764,21496,13359
90,4,15686,26938,22211,13165
91,4,15686,27331,21729,13254
92,4,15571,26468,22869,13092
93,4,15649,28120,20806,13425
94,4,15561,28487,20626,13326
95,4,15408,30050,19205,13337
96,4,15497,29665,19767,13071
97,4,15639,28518,20312,13531
98,4,15448,28840,20286,13426
99,4,15724,28842,19996,13438
100,4,15249,28896,20670,13185
101,4,14973,31289,17957,13781
102,4,15094,30819,18184,13903
103,4,14717,30249,18896,14138
104,4,14732,31333,17696,14239
105,4,14600,30105,19102,14193
106,4,14749,30760,18734,13757
107,4,15074,29083,19963,13880
108,4,15244,31977,17540,13239
109,4,15136,32258,17367,13239
110,4,16126,30211,18959,12704
111,4,15623,29503,19812,13062
112,4,15879,29126,19851,13144
113,4,16068,27847,21533,12552
114,4,16484,28432,20654,12430
115,4,16344,28911,20531,12214
116,4,16502,28888,20199,12411
117,4,16191,28703,20631,12475
118,4,16130,26543,22394,12933
119,4,16186,26761,22134,12919
120,4,16175,26484,22439,12902
121,4,15877,26702,22543,12878
122,4,15903,26772,22565,12760
123,4,15790,25314,23823,13073
124,4,15880,25435,23613,13072
125,4,15708,26768,22400,13124
126,4,15971,27858,21282,12889
127,4,15878,27352,21691,13079
128,4,15023,30049,19391,13537
129,4,15238,29640,19297,13825
130,4,15066,30805,18617,13512
131,4,14608,28384,20619,14389
132,4,14461,29676,19655,14208
133,4,14871,28971,20142,14016
134,4,15013,28840,20227,13920
135,4,14949,28859,20103,14089
136,4,15005,28993,19965,14037
137,4,15070,28741,20047,14142
138,4,14473,27713,21413,14401
139,4,14683,27370,21426,14521
140,4,14568,27454,21480,14498
141,4,14444,27791,21630,14135
142,4,14731,27132,21728,14409
143,4,14416,27857,21737,13990
144,4,14831,26742,21947,14480
145,4,14741,27041,21920,14298
146,4,14096,29366,19822,14716
147,4,14482,31069,18203,14246
148,4,13858,32778,16457,14907
149,4,13879,32969,16266,14886
150,4,13999,33910,15751,14340
151,4,14148,33457,15984,14411
152,4,14011,33128,16228,14633
153,4,13914,34019,15860,14207
154,4,13682,34486,15401,14431
155,4,14099,33388,16312,14201
156,4,13938,32173,17513,14376
157,4,14146,33817,15741,14296
158,4,14011,33763,15905,14321
159,4,13801,34599,15623,13977
160,4,13968,34742,15133,14157
161,4,13398,36251,14078,14273
162,4,13567,35924,13971,14538
163,4,13672,36415,13672,14241
164,4,13540,36682,13481,14297
165,4,13386,37080,13263,14271
166,4,13533,36085,14194,14188
167,4,13974,34858,14692,14476
168,4,13819,35085,14987,14109
169,4,13938,35033,14754,14275
170,4,14515,33824,15346,14315
171,4,14124,35853,13712,14311
172,4,13972,35423,14126,14479
173,4,13945,35726,14027,14302
174,4,13969,35917,13641,14473
175,4,14080,34849,14653,14418
176,4,14225,34755,14559,14461
177,4,14016,34915,14792,14277
178,4,14288,34033,14920,14759
179,4,14513,33668,14693,15126
180,4,14316,33541,15463,14680
181,4,14564,32383,16251,14802
182,4,14631,32313,16331,14725
183,4,15016,31487,16507,14990
184,4,14850,32963,15728,14459
185,4,14772,33044,15775,14409
186,4,14723,33095,15855,14327
187,4,14441,34252,14945,14362
188,4,14617,34171,14865,14347
189,4,14438,33646,15476,14440
190,4,14556,32471,16163,14810
191,4,14457,31521,17158,14864
192,4,14062,33488,15627,14823
193,4,14314,32800,15863,15023
194,4,14411,31396,17119,15074
195,4,14527,30504,17932,15037
196,4,14904,29497,18757,14842
197,4,14675,27856,20708,14761
198,4,14249,26774,21943,15034
199,4,14466,25587,23236,14711
200,4,14748,27064,21400,14788
201,4,14835,26566,21735,14864
202,4,14963,26238,22034,14765
203,4,15176,28452,19977,14395
204,4,15234,27399,21050,14317
205,4,15013,26238,21991,14758
206,4,14761,26796,21749,14694
207,4,14746,27013,21720,14521
208,4,14433,27734,20876,14957
209,4,14349,27988,20835,14828
210,4,14993,26699,21621,14687
211,4,14425,27827,21218,14530
212,4,14592,27485,21069,14854
213,4,14507,29785,18832,14876
214,4,14575,29119,19360,14946
215,4,14758,27198,21772,14272
216,4,15126,27283,21137,14454
217,4,15157,28271,20111,14461
218,4,14438,26590,22054,14918
219,4,14510,26959,21446,15085
220,4,14658,26232,21942,15168
221,4,14713,25062,23196,15029
222,4,14258,23992,24597,15153
223,4,14319,24403,24157,15121
224,4,14163,25139,23447,15251
225,4,14194,25066,23384,15356
226,4,14586,25835,22643,14936
227,4,14667,25823,22408,15102
228,4,14740,25122,22829,15309
229,4,14828,27008,21022,15142
230,4,14594,25539,22904,14963
231,4,14881,24386,23748,14985
232,4,14938,24392,23530,15140
233,4,14887,26601,21294,15218
234,4,14974,24946,22943,15137
235,4,14985,25200,22874,14941
236,4,14024,24739,24397,14840
237,4,14322,24601,24031,15046
238,4,14269,24470,24268,14993
239,4,14504,24097,24092,15307
240,4,14291,24393,24246,15070
241,4,14355,24130,24300,15215
242,4,14368,25064,23836,14732
243,4,14766,23982,24283,14969
244,4,14477,25037,23843,14643
245,4,14358,25614,23262,14766
246,4,14431,25319,23343,14907
247,4,14275,25560,23361,14804
248,4,14302,25466,23404,14828
249,4,14407,25434,23236,14923
250,4,14501,25549,22951,14999
251,4,14491,25433,23196,14880
252,4,14530,23559,25264,14647
253,4,14431,25241,23629,14699
254,4,14435,24904,23985,14676
255,4,14176,23624,24801,15399
256,4,13823,26249,22623,15305
257,4,13944,25086,23669,15301
258,4,14030,24964,23702,15304
259,4,13998,24806,23810,15386
260,4,14089,25025,23447,15439
261,4,14092,24614,23779,15515
262,4,14231,23912,25088,14769
263,4,13906,24852,24479,14763
264,4,14088,25834,23092,14986
265,4,13283,27995,21105,15617
266,4,13437,27739,21194,15630
267,4,12819,26668,22350,16163
268,4,13116,26014,22508,16362
269,4,12774,26621,22570,16035
270,4,12818,27124,22001,16057
271,4,12910,25082,24290,15718
272,4,12999,27283,21757,15961
273,4,13032,27469,21392,16107
274,4,13634,29724,19559,15083
275,4,14068,31625,17844,14463
276,4,13701,34323,15446,14530
277,4,13835,35256,14821,14088
278,4,14395,32535,16732,14338
279,4,14326,32457,17268,13949
280,4,13298,34613,15492,14597
281,4,13554,34980,14857,14609
282,4,12720,36622,13563,15095
283,4,13068,34946,14923,15063
284,4,13272,34448,15496,14784
285,4,13204,35713,14371,14712
286,4,12922,36433,13664,14981
287,4,12347,39013,11931,14709
288,4,11501,41596,10156,14747
289,4,12012,40566,10851,14571
290,4,12026,39977,11351,14646
291,4,12611,37230,13346,14813
292,4,12473,39063,11721,14743
293,4,12041,39975,11340,14644
294,4,11702,42566,9608,14124
295,4,11889,40400,11007,14704
296,4,12570,38920,11710,14800
297,4,12453,38249,12491,14807
298,4,13063,40060,10720,14157
299,4,12798,40658,10457,14087
300,4,12765,41450,10030,13755
301,4,12299,42431,9568,13702
302,4,12210,42854,9423,13513
303,4,12181,41155,10388,14276
304,4,11549,42065,10147,14239
305,4,11435,42747,9798,14020
306,4,11719,42143,9854,14284
307,4,11815,41360,10127,14698
308,4,11597,40716,10856,14831
309,4,11546,40915,10730,14809
310,4,11803,40297,10795,15105
311,4,11665,41861,10130,14344
312,4,11606,41717,10351,14326
313,4,11207,39136,11995,15662
314,4,10729,40124,11334,15813
315,4,10638,40700,10757,15905
316,4,10482,41543,10191,15784
317,4,10528,41086,10561,15825
318,4,10655,40436,11061,15848
319,4,10785,40316,10948,15951
320,4,10929,40124,11403,15544
321,4,11184,39845,11145,15826
322,4,11736,38919,11941,15404
323,4,11690,39447,11462,15401
324,4,11793,39077,11874,15256
325,4,11782,39599,11168,15451
326,4,11875,39415,11315,15395
327,4,12027,37180,13179,15614
328,4,12776,34848,14789,15587
329,4,13582,36921,12919,14578
330,4,13906,35872,13711,14511
331,4,13444,37097,13103,14356
332,4,13239,36950,13499,14312
333,4,13499,36984,13101,14416
334,4,12413,39172,11864,14551
335,4,12448,39096,11920,14536
336,4,12320,37010,13147,15523
337,4,12155,37255,13264,15326
338,4,12870,34651,14980,15499
339,4,12889,32862,16261,15988
340,4,13123,32275,16746,15856
341,4,13218,32300,16731,15751
342,4,13165,32455,16644,15736
343,4,13835,30062,18718,15385
344,4,13444,27920,20535,16101
345,4,12805,26502,21971,16722
346,4,12727,26527,21905,16841
347,4,13433,24687,23659,16221
348,4,14305,23597,24147,15951
349,4,14533,22604,25502,15361
350,4,14501,22842,25444,15213
351,4,14493,24792,23203,15512
352,4,14156,24460,23898,15486
353,4,13464,22528,25785,16223
354,4,13003,21586,26984,16427
355,4,12655,20714,28342,16289
356,4,13070,22254,26593,16083
357,4,13262,22996,25822,15920
358,4,13142,22588,26116,16154
359,4,13019,23081,25558,16342
360,4,12964,23615,24715,16706
361,4,12545,25098,23439,16918
