round,seed,exploit,coop,defect,exploit_
1,4,11670,29610,19414,17306
2,4,12327,31653,17379,16641
3,4,12009,29252,19654,17085
4,4,12156,28829,19945,17070
5,4,12003,29248,19919,16830
6,4,12745,30618,18432,16205
7,4,12740,32566,17192,15502
8,4,13509,30809,17969,15713
9,4,13322,30830,18355,15493
10,4,14221,28535,20428,14816
11,4,14223,27903,20832,15042
12,4,14113,29338,19704,14845
13,4,13941,28117,20880,15062
14,4,13820,27631,21465,15084
15,4,13741,26773,22137,15349
16,4,13773,27575,21449,15203
17,4,13776,27661,21377,15186
18,4,13437,26007,23018,15538
19,4,13418,26046,23055,15481
20,4,13487,26991,22135,15387
21,4,13771,26739,21797,15693
22,4,13984,27904,20939,15173
23,4,13269,25642,23072,16017
24,4,13087,26271,21939,16703
25,4,13206,26700,21170,16924
26,4,13014,26854,21377,16755
27,4,13454,28699,19688,16159
28,4,13611,28522,19543,16324
29,4,13257,28792,19613,16338
30,4,14067,27213,20643,16077
31,4,14811,27653,19624,15912
32,4,14486,29514,18549,15451
33,4,14101,31344,17101,15454
34,4,13913,30363,18084,15640
35,4,13249,32739,16365,15647
36,4,13533,32134,17064,15269
37,4,13620,31667,17499,15214
38,4,13626,32069,17091,15214
39,4,13556,32033,17190,15221
40,4,13768,31722,17295,15215
41,4,13643,32341,16686,15330
42,4,14318,30464,18001,15217
43,4,14959,32557,16136,14348
44,4,14808,32886,16098,14208
45,4,14888,33366,15456,14290
46,4,14450,33847,14962,14741
47,4,14403,35626,13730,14241
48,4,14330,35110,14327,14233
49,4,15111,33700,15654,13535
50,4,15341,35512,14131,13016
51,4,15397,35861,13772,12970
52,4,16161,38200,12068,11571
53,4,16038,38584,11788,11590
54,4,16500,36605,12686,12209
55,4,16409,36784,12858,11949
56,4,16310,36785,12811,12094
57,4,17254,34887,13890,11969
58,4,17210,34334,14648,11808
59,4,17299,34497,14364,11840
60,4,17329,34185,14586,11900
61,4,17125,33552,15284,12039
62,4,17155,33392,15482,11971
63,4,15809,35626,14089,12476
64,4,15859,35361,14312,12468
65,4,15365,36787,13193,12655
66,4,15511,35256,14302,12931
67,4,14928,36353,13488,13231
68,4,15556,35410,14218,12816
69,4,15624,35408,14150,12818
70,4,15510,35363,14281,12846
71,4,15440,36255,13446,12859
72,4,14503,38038,12162,13297
73,4,14457,37753,12662,13128
74,4,14604,37533,12614,13249
75,4,14499,37828,12572,13101
76,4,14480,37802,12628,13090
77,4,14578,38000,12167,13255
78,4,14401,38060,12325,13214
79,4,14592,37048,12956,13404
80,4,14262,39387,11430,12921
81,4,14116,39525,11651,12708
82,4,14389,38914,11733,12964
83,4,14336,39166,11674,12824
84,4,14107,38833,12001,13059
85,4,14339,38514,12185,12962
86,4,14292,38458,12498,12752
87,4,14295,38679,12119,12907
88,4,14424,38866,11854,12856
89,4,14667,38132,12367,12834
90,4,14706,38380,12246,12668
91,4,14719,38213,12322,12746
92,4,14720,37775,12728,12777
93,4,14652,38390,12157,12801
94,4,14835,38000,12353,12812
95,4,15040,36469,13759,12732
96,4,14934,36602,13649,12815
97,4,14979,35922,13988,13111
98,4,15024,36029,13956,12991
99,4,15028,35763,14141,13068
100,4,14739,35444,14534,13283
101,4,13869,38008,12508,13615
102,4,13924,37678,12691,13707
103,4,13867,37869,12770,13494
104,4,14328,35872,14016,13784
105,4,14516,33724,15585,14175
106,4,14293,33859,15873,13975
107,4,15062,31110,17835,13993
108,4,15097,33675,15874,13354
109,4,15050,34068,15316,13566
110,4,15939,32533,16866,12662
111,4,15698,31933,17417,12952
112,4,15985,31821,17205,12989
113,4,16752,29849,18841,12558
114,4,16630,31151,17777,12442
115,4,16282,30982,18408,12328
116,4,16506,29658,19442,12394
117,4,16416,29168,19730,12686
118,4,16552,27605,20763,13080
119,4,16586,27847,20671,12896
120,4,16384,27921,20758,12937
121,4,16321,27859,20880,12940
122,4,16384,27282,21380,12954
123,4,15847,25280,23431,13442
124,4,16090,25616,22830,13464
125,4,15671,27615,21301,13413
126,4,15504,25827,22757,13912
127,4,15376,26120,22520,13984
128,4,14620,27893,21025,14462
129,4,14688,28149,20630,14533
130,4,14600,29998,19245,14157
131,4,14638,29919,19080,14363
132,4,14634,30328,18681,14357
133,4,14944,29654,19270,14132
134,4,14567,28365,20474,14594
135,4,14561,28045,20717,14677
136,4,14668,28316,20330,14686
137,4,14249,27753,21136,14862
138,4,13963,27973,21180,14884
139,4,14247,27082,22016,14655
140,4,14228,26860,22104,14808
141,4,14057,27278,22104,14561
142,4,14829,25405,23513,14253
143,4,14681,25472,23578,14269
