round,seed,exploit,coop,defect,exploit_
1,4,11670,29610,19414,17306
2,4,12095,30838,18266,16801
3,4,11667,28464,20600,17269
4,4,11837,27999,20921,17243
5,4,11755,28308,20881,17056
6,4,12596,30239,18845,16320
7,4,12677,32224,17529,15570
8,4,13421,30467,18315,15797
9,4,12995,31310,17887,15808
10,4,13110,31196,17852,15842
11,4,13193,30531,18250,16026
12,4,12991,32164,17171,15674
13,4,12899,30712,18358,16031
14,4,12516,29921,19367,16196
15,4,12026,27371,21571,17032
16,4,11499,26001,22947,17553
17,4,11584,26016,22798,17602
18,4,11172,24202,24618,18008
19,4,11095,24486,24485,17934
20,4,11150,25413,23473,17964
21,4,11379,25065,23325,18231
22,4,11663,26195,22462,17680
23,4,11785,25943,22521,17751
24,4,11703,26486,21302,18509
25,4,11544,27002,20745,18709
26,4,11400,27245,20811,18544
27,4,11652,28229,20150,17969
28,4,11773,28215,19963,18049
29,4,11334,28027,20335,18304
30,4,11080,28768,19579,18573
31,4,11812,29046,18693,18449
32,4,11716,30506,17942,17836
33,4,11319,32879,16019,17783
34,4,11363,32670,16014,17953
35,4,10491,35346,14338,17825
36,4,10908,34678,14777,17637
37,4,10950,34207,15549,17294
38,4,10926,34340,15392,17342
39,4,10938,36467,13795,16800
40,4,11098,36147,13922,16833
41,4,10869,36877,13432,16822
42,4,11593,34888,14597,16922
43,4,11659,34852,14496,16993
44,4,11602,35009,14355,17034
45,4,11519,35400,14296,16785
46,4,12480,34035,14814,16671
47,4,12419,32837,15946,16798
48,4,12481,32444,16333,16742
49,4,13534,30681,17661,16124
50,4,13854,33002,15965,15179
51,4,13734,33414,15560,15292
52,4,13883,33324,15533,15260
53,4,13919,32454,16195,15432
54,4,13841,33463,15422,15274
55,4,13567,32587,16343,15503
56,4,12380,34487,15229,15904
57,4,12532,34875,14636,15957
58,4,13209,32385,16561,15845
59,4,13130,31861,17124,15885
60,4,13131,32587,16441,15841
61,4,13099,31882,17207,15812
62,4,13134,29363,19335,16168
63,4,14105,27777,20515,15603
64,4,14126,28054,20356,15464
65,4,14108,27998,20414,15480
66,4,14065,28750,19887,15298
67,4,13673,29777,18676,15874
68,4,13749,29265,19011,15975
69,4,14438,31009,17527,15026
70,4,13807,29195,18787,16211
71,4,13893,29387,18503,16217
72,4,14702,27673,20101,15524
73,4,14678,25525,22380,15417
74,4,14421,24054,23242,16283
75,4,14285,25633,21881,16201
76,4,13262,27986,19836,16916
77,4,13543,27489,19981,16987
78,4,13287,27697,20108,16908
79,4,13210,27288,20670,16832
80,4,13242,27187,21041,16530
81,4,12101,29065,19186,17648
82,4,12442,29158,18856,17544
83,4,12548,27389,20462,17601
84,4,12307,27187,21037,17469
85,4,12702,26233,22088,16977
86,4,12850,26085,21922,17143
87,4,12674,25828,22357,17141
88,4,12476,26033,22570,16921
89,4,13388,23951,24842,15819
90,4,13601,24082,24276,16041
91,4,13456,24076,24454,16014
92,4,13732,22384,25926,15958
93,4,13672,24365,24074,15889
94,4,13784,24230,23830,16156
95,4,13750,23103,24909,16238
96,4,13102,24425,24088,16385
97,4,13084,24065,24175,16676
98,4,12982,24133,24333,16552
99,4,12925,23841,24504,16730
100,4,13286,25322,23469,15923
101,4,13367,25742,22677,16214
102,4,13653,26794,21752,15801
103,4,13582,27050,21803,15565
104,4,13725,26418,22344,15513
105,4,13997,27248,21158,15597
106,4,13891,27912,20886,15311
107,4,13638,29051,19692,15619
108,4,13351,31373,18205,15071
109,4,13226,32911,16559,15304
110,4,12464,34317,15438,15781
111,4,12300,34589,15371,15740
112,4,13250,33176,16215,15359
113,4,13081,33207,16233,15479
114,4,13065,32197,17222,15516
115,4,13645,33002,16377,14976
116,4,13330,33398,16282,14990
117,4,13850,34180,15294,14676
118,4,13717,32115,17171,14997
119,4,13731,32331,16804,15134
120,4,13736,32117,17099,15048
121,4,13729,32872,16169,15230
122,4,13964,30819,17934,15283
123,4,14067,32762,16625,14546
124,4,13774,30738,17683,15805
125,4,14111,29084,19080,15725
126,4,14511,29690,18248,15551
127,4,14421,29765,18400,15414
128,4,14379,30051,17589,15981
129,4,14349,29934,17663,16054
130,4,14335,30850,16831,15984
131,4,14291,30814,16808,16087
132,4,14573,31572,15957,15898
133,4,15938,29259,17516,15287
134,4,15837,29073,17648,15442
135,4,16245,29776,16782,15197
136,4,17919,27635,18228,14218
137,4,17610,27877,18338,14175
138,4,16941,27317,19279,14463
139,4,17218,27122,19391,14269
140,4,17412,25121,20989,14478
141,4,16513,26981,19942,14564
142,4,16722,26265,20919,14094
143,4,16920,26512,20617,13951
144,4,16675,26336,21035,13954
145,4,15579,28092,19181,15148
146,4,16372,26213,21003,14412
147,4,15779,24348,22616,15257
148,4,16006,23570,24023,14401
149,4,16755,22271,24901,14073
150,4,17578,23039,23717,13666
151,4,17933,23590,22825,13652
152,4,18687,25352,20892,13069
153,4,18650,25506,20934,12910
154,4,17640,27363,19187,13810
155,4,16612,29238,17709,14441
156,4,16597,29660,17159,14584
157,4,16813,29471,17181,14535
158,4,17862,27984,17890,14264
159,4,17919,28093,17810,14178
160,4,18090,28245,17408,14257
161,4,18856,26825,18364,13955
162,4,18962,26671,18320,14047
163,4,18228,26230,19409,14133
164,4,18125,26611,19266,13998
165,4,17880,26726,18467,14927
166,4,19000,24867,19919,14214
167,4,18563,24312,21117,14008
168,4,17547,22355,22991,15107
169,4,18197,20565,24857,14381
170,4,18670,18887,26741,13702
171,4,18763,19258,26121,13858
172,4,18783,19090,26088,14039
173,4,18830,19331,25958,13881
174,4,18898,19230,25921,13951
175,4,18938,19145,25777,14140
176,4,17770,20863,24842,14525
177,4,18415,19347,25559,14679
178,4,17408,18985,26950,14657
179,4,17780,17783,27950,14487
180,4,17484,18644,27346,14526
181,4,17713,18508,27153,14626
182,4,18452,19345,25830,14373
183,4,18466,19035,26342,14157
184,4,18725,19199,26109,13967
185,4,18654,19173,26079,14094
186,4,18878,17950,26715,14457
187,4,18860,20033,24640,14467
188,4,19102,19697,24629,14572
189,4,17986,18094,26664,15256
190,4,17141,16638,28552,15669
191,4,17175,15399,29287,16139
192,4,16705,17113,27052,17130
193,4,16516,17069,27189,17226
194,4,16557,17219,27075,17149
195,4,16494,15441,29019,17046
196,4,17238,14179,31245,15338
197,4,17468,13841,31250,15441
198,4,18973,15454,29179,14394
199,4,17789,17198,27143,15870
200,4,18019,17035,26864,16082
201,4,17426,16797,28185,15592
202,4,17422,16363,28917,15298
203,4,18068,16722,28071,15139
204,4,17950,16847,27991,15212
205,4,17612,15364,29149,15875
206,4,18234,14399,29656,15711
207,4,17489,13915,31286,15310
208,4,16594,15449,29152,16805
209,4,16531,15498,29137,16834
210,4,16768,15290,30152,15790
211,4,16422,16556,28010,17012
212,4,16309,16862,27827,17002
213,4,16389,15510,29246,16855
214,4,14983,13930,31291,17796
215,4,14235,15176,30040,18549
216,4,14422,15240,29914,18424
217,4,14314,15209,30092,18385
218,4,12873,13793,32265,19069
219,4,12896,13767,32135,19202
220,4,12679,15042,30933,19346
221,4,12697,14437,32492,18374
222,4,13343,15665,31167,17825
223,4,13558,14387,32656,17399
224,4,13515,14559,32342,17584
225,4,13544,14358,32648,17450
226,4,12529,13687,33880,17904
227,4,12271,13722,34198,17809
228,4,12393,13909,33955,17743
229,4,11898,12375,36228,17499
230,4,11987,13505,34919,17589
231,4,12124,12156,37247,16473
232,4,12279,11984,37247,16490
233,4,12456,13490,34848,17206
234,4,12372,13600,34870,17158
235,4,12535,14975,32460,18030
236,4,11788,14225,33595,18392
237,4,11782,14790,32872,18556
238,4,12265,15500,31193,19042
239,4,12132,15719,31193,18956
240,4,12059,15677,31333,18931
241,4,12152,15729,31263,18856
242,4,13809,17039,29319,17833
243,4,13777,17181,29338,17704
244,4,13635,17394,28704,18267
245,4,14293,16532,29274,17901
246,4,14564,15319,29953,18164
247,4,15156,16625,28883,17336
248,4,15261,18280,26906,17553
249,4,14834,16690,28137,18339
250,4,14898,16722,27925,18455
251,4,14570,16504,29201,17725
252,4,14321,17926,27361,18392
253,4,14160,19694,25476,18670
254,4,14380,19579,25272,18769
255,4,14247,19670,25553,18530
256,4,14636,18383,26663,18318
257,4,14768,18117,26386,18729
258,4,14561,19405,25871,18163
259,4,13926,20778,25263,18033
260,4,14008,20690,25210,18092
261,4,14743,19240,26022,17995
262,4,15461,18379,26394,17766
263,4,14750,19507,25310,18433
264,4,14642,19731,25500,18127
265,4,13539,21504,23562,19395
266,4,13708,21282,23399,19611
267,4,12258,19744,25453,20545
268,4,12294,19553,25425,20728
269,4,13295,18246,26325,20134
270,4,13325,18327,26022,20326
271,4,13599,16807,28027,19567
272,4,13449,16822,28110,19619
273,4,13559,17978,27273,19190
274,4,12844,16627,28641,19888
275,4,14365,18248,26499,18888
276,4,14257,17688,27407,18648
277,4,14929,19305,26134,17632
278,4,14657,21141,24206,17996
279,4,15293,19279,26064,17364
280,4,15169,19375,26183,17273
281,4,16336,20803,24193,16668
282,4,17271,19356,26096,15277
283,4,17335,19093,26246,15326
284,4,16945,19676,25442,15937
285,4,17310,21371,23487,15832
286,4,17336,21267,23361,16036
287,4,17442,19554,25440,15564
288,4,17256,21350,23330,16064
289,4,18066,19615,25416,14903
290,4,18018,19660,25408,14914
291,4,17929,19714,25431,14926
292,4,18136,17905,27395,14564
293,4,18113,17775,27401,14711
294,4,18348,18273,26527,14852
295,4,18300,17047,27405,15248
296,4,18673,16444,28748,14135
297,4,17595,14944,30945,14516
298,4,17442,14959,31060,14539
299,4,17645,15036,30775,14544
300,4,17650,14769,30847,14734
301,4,17640,14945,30842,14573
302,4,18471,15318,29564,14647
303,4,17360,13895,31728,15017
304,4,16303,15375,29674,16648
305,4,16380,15391,29520,16709
306,4,15135,14129,31490,17246
307,4,14485,12567,33572,17376
308,4,13745,11433,34942,17880
309,4,13604,11790,33791,18815
310,4,12452,10617,36084,18847
311,4,12628,10496,36113,18763
312,4,12836,9782,36475,18907
313,4,14608,10881,34367,18144
314,4,14599,10825,34314,18262
315,4,14546,10820,34360,18274
316,4,13774,9523,36597,18106
317,4,13793,9846,36473,17888
318,4,13392,9415,37737,17456
319,4,13449,9390,37563,17598
320,4,12713,10641,35673,18973
321,4,12758,10612,35372,19258
322,4,12277,11899,33097,20727
323,4,12142,11968,33191,20699
324,4,12093,11843,33470,20594
325,4,12436,12934,32283,20347
326,4,12433,13166,32021,20380
327,4,12645,14113,31036,20206
328,4,12711,12790,33166,19333
329,4,13128,13935,32128,18809
330,4,13304,13825,32004,18867
331,4,13315,13813,32132,18740
332,4,14285,15456,29969,18290
333,4,15524,16888,27914,17674
334,4,16231,15377,29979,16413
335,4,14962,13902,32258,16878
336,4,16602,15298,29840,16260
337,4,16324,15173,30152,16351
338,4,16442,15434,29964,16160
339,4,17126,16725,28020,16129
340,4,17095,16820,28083,16002
341,4,17071,16891,28037,16001
342,4,17125,16823,27993,16059
343,4,17185,17213,27229,16373
344,4,18010,18844,25161,15985
345,4,18638,20083,24298,14981
346,4,18730,20110,24083,15077
347,4,18839,20022,24202,14937
348,4,19514,18979,24764,14743
349,4,21001,17217,26528,13254
350,4,20163,18821,24783,14233
351,4,20116,18832,24882,14170
352,4,20039,18920,24813,14228
353,4,19008,17136,26789,15067
354,4,18974,18359,26274,14393
355,4,19212,18272,26046,14470
356,4,18079,16931,28117,14873
357,4,18144,16928,28089,14839
358,4,17104,16260,29317,15319
359,4,16287,17543,28174,15996
360,4,16438,17335,28842,15385
361,4,15979,19027,27228,15766
