round,seed,exploit,coop,defect,exploit_
1,4,11670,29610,19414,17306
2,4,12327,31653,17379,16641
3,4,12009,29252,19654,17085
4,4,12156,28829,19945,17070
5,4,12003,29248,19919,16830
6,4,12745,30618,18432,16205
7,4,12740,32566,17192,15502
8,4,13509,30809,17969,15713
9,4,13322,30830,18355,15493
10,4,13347,30794,18386,15473
11,4,13391,30173,18736,15700
12,4,13258,31622,17652,15468
13,4,13139,30320,18847,15694
14,4,13125,30315,18965,15595
15,4,13187,29300,19603,15910
16,4,12969,29708,19466,15857
17,4,13053,27716,21492,15739
18,4,12866,25951,23047,16136
19,4,12883,25823,23080,16214
20,4,12914,26864,22245,15977
21,4,13145,24979,23440,16436
22,4,13435,26069,22582,15914
23,4,13591,25752,22705,15952
24,4,13391,26521,21416,16672
25,4,13294,28262,19975,16469
26,4,13075,28411,20303,16211
27,4,13409,30426,18437,15728
28,4,13695,30078,18371,15856
29,4,13262,30499,18407,15832
30,4,13075,31092,17602,16231
31,4,13762,31110,17023,16105
32,4,13604,31267,17217,15912
33,4,13086,33642,15296,15976
34,4,12807,32673,16230,16290
35,4,12178,35071,14487,16264
36,4,12689,34143,15308,15860
37,4,12771,33532,15968,15729
38,4,12729,33907,15712,15652
39,4,12743,36226,13792,15239
40,4,13378,34182,15385,15055
41,4,13399,34673,14784,15144
42,4,13396,34898,14661,15045
43,4,13700,34351,14622,15327
44,4,13188,35519,14063,15230
45,4,13246,35776,13619,15359
46,4,12905,36262,13057,15776
47,4,12648,35871,13711,15770
48,4,12704,35378,14128,15790
49,4,12302,35746,13712,16240
50,4,12332,37840,12357,15471
51,4,12301,37886,12399,15414
52,4,13162,40185,10762,13891
53,4,13058,40232,10782,13928
54,4,13029,40901,10170,13900
55,4,12948,40623,10664,13765
56,4,13013,40406,10525,14056
57,4,12680,41353,9876,14091
58,4,12943,40781,10236,14040
59,4,13040,40743,10191,14026
60,4,12847,42659,9170,13324
61,4,12635,42375,9591,13399
62,4,12718,42810,9142,13330
63,4,12854,42708,9279,13159
64,4,12823,42414,9586,13177
65,4,12367,43892,8484,13257
66,4,12053,44951,8151,12845
67,4,11636,45897,7469,12998
68,4,12150,44989,7909,12952
69,4,12660,47193,6575,11572
70,4,12655,47337,6529,11479
71,4,12368,48204,6067,11361
72,4,12387,48232,6007,11374
73,4,11576,50760,4921,10743
74,4,11784,50414,4849,10953
75,4,11539,50586,5088,10787
76,4,11786,50488,4997,10729
77,4,11914,50236,5100,10750
78,4,11979,49911,5187,10923
79,4,11947,50067,5119,10867
80,4,12086,49636,5118,11160
81,4,12062,49775,5216,10947
82,4,12174,49418,5378,11030
83,4,12283,49422,5285,11010
84,4,12160,48788,5635,11417
85,4,12270,48529,5797,11404
86,4,12243,48364,5944,11449
87,4,12215,48228,5933,11624
88,4,12201,48610,5821,11368
89,4,12504,47959,5986,11551
90,4,12577,48347,5665,11411
91,4,12438,48326,5834,11402
92,4,12622,47440,6372,11566
93,4,12589,47344,6417,11650
94,4,12941,47142,6141,11776
95,4,12810,46908,6431,11851
96,4,12683,47474,6236,11607
97,4,12676,47146,6432,11746
98,4,12815,47218,6243,11724
99,4,12722,47266,6419,11593
100,4,12828,45964,7041,12167
101,4,12931,45914,6909,12246
102,4,12888,45322,7334,12456
103,4,12861,45839,7038,12262
104,4,12984,45828,6893,12295
105,4,13092,43872,8415,12621
106,4,13091,44614,8298,11997
107,4,14063,41988,9701,12248
108,4,13892,44516,8125,11467
109,4,13873,44374,8156,11597
110,4,13520,45257,7889,11334
111,4,13562,44598,8239,11601
112,4,14890,42008,9942,11160
113,4,15934,40071,11210,10785
114,4,15931,38848,12021,11200
115,4,15820,39506,11875,10799
116,4,15898,38410,12405,11287
117,4,16012,38483,12236,11269
118,4,16154,36710,13454,11682
119,4,16304,36894,13153,11649
120,4,16251,36779,13360,11610
121,4,15878,37290,13301,11531
122,4,16099,36779,13421,11701
123,4,15960,36553,13792,11695
124,4,15719,36015,14314,11952
125,4,15572,37431,12951,12046
126,4,15290,35838,14373,12499
127,4,15162,36320,14070,12448
128,4,14557,37875,12619,12949
129,4,14475,38519,12179,12827
130,4,14888,35848,14234,13030
131,4,14852,35676,14448,13024
132,4,14619,36509,13945,12927
133,4,15194,35803,14062,12941
134,4,14677,34511,15486,13326
135,4,14890,34802,15166,13142
136,4,14961,34540,15238,13261
137,4,14641,34353,15625,13381
138,4,14740,33806,15834,13620
139,4,14893,33157,16395,13555
140,4,14940,33023,16389,13648
141,4,14845,33169,16432,13554
142,4,14826,33073,16439,13662
143,4,14707,34032,15908,13353
