round,seed,exploit,coop,defect,exploit_
1,4,11670,29610,19414,17306
2,4,12275,31029,17921,16775
3,4,11965,30045,19110,16880
4,4,11715,30649,18516,17120
5,4,11914,30449,18921,16716
6,4,12587,31896,17511,16006
7,4,12456,32572,17215,15757
8,4,13580,29931,18899,15590
9,4,13446,29750,19344,15460
10,4,13412,29868,19383,15337
11,4,13464,28601,20236,15699
12,4,13386,29753,19436,15425
13,4,13342,28405,20566,15687
14,4,12783,26688,22317,16212
15,4,12320,24229,24595,16856
16,4,12325,25039,23966,16670
17,4,12218,25012,23988,16782
18,4,11917,23437,25604,17042
19,4,11408,24655,24176,17761
20,4,11421,24736,24139,17704
21,4,11417,23423,25105,18055
22,4,11556,23956,24595,17893
23,4,11622,23831,24623,17924
24,4,11226,24798,23383,18593
25,4,11362,24507,23439,18692
26,4,11142,24799,23671,18388
27,4,11586,26091,22145,18178
28,4,11566,25831,22332,18271
29,4,11116,25832,22820,18232
30,4,11661,24378,23862,18099
31,4,12538,25646,22310,17506
32,4,12464,26838,21631,17067
33,4,12277,27384,21397,16942
34,4,12662,27140,21048,17150
35,4,12490,27548,20936,17026
36,4,12769,26918,21864,16449
37,4,13054,26069,22854,16023
38,4,13099,24659,24202,16040
39,4,13320,26442,22341,15897
40,4,13848,24322,24003,15827
41,4,13736,24988,23665,15611
42,4,13857,24874,23465,15804
43,4,14165,25527,22798,15510
44,4,14343,23920,24240,15497
45,4,15051,22986,24731,15232
46,4,14262,24898,23320,15520
47,4,13957,23132,25120,15791
48,4,14200,23189,24767,15844
49,4,14678,21739,25844,15739
50,4,14735,21772,25905,15588
51,4,14547,21877,25920,15656
52,4,15460,23179,24475,14886
53,4,15745,22079,25366,14810
54,4,15677,20972,26207,15144
55,4,14527,19252,28329,15892
56,4,13949,20504,27353,16194
57,4,13903,20611,27066,16420
58,4,13515,21984,25689,16812
59,4,13599,22181,25535,16685
60,4,13626,22406,25240,16728
61,4,13498,22251,25601,16650
62,4,13870,23723,23621,16786
63,4,14507,22667,24502,16324
64,4,15200,22717,23884,16199
65,4,14719,23270,23993,16018
66,4,14825,21626,25033,16516
67,4,15083,21225,25899,15793
68,4,15732,19843,27309,15116
69,4,15818,19915,27198,15069
70,4,15856,19637,27362,15145
71,4,16307,18544,27936,15213
72,4,16236,18763,27786,15215
73,4,16113,16972,30108,14807
74,4,16458,17130,29643,14769
75,4,16444,18723,28147,14686
76,4,17296,16860,30211,13633
77,4,17311,17221,29273,14195
78,4,17028,17255,29762,13955
79,4,16656,15710,31743,13891
80,4,17430,17221,29364,13985
81,4,17129,17296,29672,13903
82,4,16093,15602,31570,14735
83,4,15979,17275,29597,15149
84,4,16932,17429,28627,15012
85,4,17506,16178,29937,14379
86,4,16654,14738,31855,14753
87,4,16668,14659,31839,14834
88,4,16733,13828,32476,14963
89,4,17578,12607,33578,14237
90,4,17578,11404,36036,12982
91,4,17278,12462,34712,13548
92,4,17450,12454,34432,13664
93,4,17150,12158,35623,13069
94,4,16989,12140,35807,13064
95,4,17396,13370,33643,13591
96,4,16672,14992,31313,15023
97,4,15175,13419,33510,15896
98,4,15028,13357,33691,15924
99,4,15116,13417,33557,15910
100,4,14298,12316,34867,16519
101,4,14601,11129,36024,16246
102,4,14805,11445,35573,16177
103,4,13537,9979,38171,16313
104,4,13542,9050,39198,16210
105,4,13600,9112,39195,16093
106,4,13456,9068,39324,16152
107,4,13471,9004,39431,16094
108,4,13458,9113,39541,15888
109,4,13704,9218,38132,16946
110,4,13778,9135,38160,16927
111,4,14077,10298,36853,16772
112,4,14042,10293,36979,16686
113,4,14027,10311,36986,16676
114,4,14051,11250,36408,16291
115,4,14885,12227,35391,15497
116,4,15649,13407,33063,15881
117,4,15420,13600,33201,15779
118,4,15255,12486,34304,15955
119,4,15282,12410,34274,16034
120,4,15457,12764,33255,16524
121,4,15503,13776,31992,16729
122,4,15457,12714,33368,16461
123,4,16554,14151,31205,16090
124,4,15814,13080,32127,16979
125,4,16122,12846,31980,17052
126,4,15934,12935,32088,17043
127,4,15885,14474,30034,17607
128,4,15940,14593,29107,18360
129,4,16609,15031,27608,18752
130,4,16448,16349,26608,18595
131,4,16309,16209,26935,18547
132,4,16355,16350,26694,18601
133,4,16418,16014,27603,17965
134,4,16493,15954,27548,18005
135,4,16398,16045,27601,17956
136,4,16489,16023,27628,17860
137,4,17507,17646,25781,17066
138,4,16410,15958,27669,17963
139,4,16417,14660,29437,17486
140,4,16333,16033,27701,17933
141,4,16383,15965,27828,17824
142,4,16480,15977,27725,17818
143,4,16948,16212,26616,18224
144,4,16887,16278,26634,18201
145,4,16830,16523,26538,18109
146,4,16889,16176,26732,18203
147,4,16755,16437,26607,18201
148,4,16842,16260,26698,18200
149,4,17848,15248,27163,17741
150,4,18340,16577,26189,16894
151,4,17996,14962,27944,17098
152,4,17656,14954,28213,17177
153,4,17558,13858,28913,17671
154,4,17998,12654,30066,17282
155,4,18041,12620,30095,17244
156,4,17432,11359,32107,17102
157,4,16919,10232,34051,16798
158,4,17421,9145,36385,15049
