round,seed,exploit,coop,defect,exploit_
1,4,11670,29610,19414,17306
2,4,12095,30838,18266,16801
3,4,11667,28464,20600,17269
4,4,11837,27999,20921,17243
5,4,12276,27302,21778,16644
6,4,12981,29353,19822,15844
7,4,13145,31127,18484,15244
8,4,13853,29543,19203,15401
9,4,13604,29577,19659,15160
10,4,13657,29509,19732,15102
11,4,13752,28783,20094,15371
12,4,13569,30409,18845,15177
13,4,13514,28868,20154,15464
14,4,13270,28437,20868,15425
15,4,13410,27262,21484,15844
16,4,13252,28387,20806,15555
17,4,13423,26203,22900,15474
18,4,13095,24597,24557,15751
19,4,13140,24513,24504,15843
20,4,13126,25577,23562,15735
21,4,13371,23742,25009,15878
22,4,13197,24160,24929,15714
23,4,13782,24564,24208,15446
24,4,13461,25502,22900,16137
25,4,13535,25340,22965,16160
26,4,13325,25684,23094,15897
27,4,13418,26723,22182,15677
28,4,13651,26378,22117,15854
29,4,13299,26745,22219,15737
30,4,13083,27494,21260,16163
31,4,13769,27452,20605,16174
32,4,13649,27563,20789,15999
33,4,13207,29391,19437,15965
34,4,13248,29218,19538,15996
35,4,12725,31521,17606,16148
36,4,13106,30825,18453,15616
37,4,13116,30562,18729,15593
38,4,13164,30817,18361,15658
39,4,13214,33097,16472,15217
40,4,13850,31114,17909,15127
41,4,13970,31367,17542,15121
42,4,13865,31549,17416,15170
43,4,14025,31520,17344,15111
44,4,14227,30165,18573,15035
45,4,14352,30554,17817,15277
46,4,14281,30333,18317,15069
47,4,14086,29798,18872,15244
48,4,14013,29053,19624,15310
49,4,13490,29887,19084,15539
50,4,13846,31501,17358,15295
51,4,13830,31158,17828,15184
52,4,14191,32831,16727,14251
53,4,14103,32980,16573,14344
54,4,14297,33793,15680,14230
55,4,13605,31602,17519,15274
56,4,14837,29462,19409,14292
57,4,15369,27665,20929,14037
58,4,15518,26880,21673,13929
59,4,15671,27150,21145,14034
60,4,15479,28652,20083,13786
61,4,15448,28677,20230,13645
62,4,15590,30390,18496,13524
63,4,14137,33388,16228,14247
64,4,14403,33925,15709,13963
65,4,13947,35395,14548,14110
66,4,13774,36375,14020,13831
67,4,13555,37289,13023,14133
68,4,13648,36874,13106,14372
69,4,14350,39209,11447,12994
70,4,14167,39493,11473,12867
71,4,14233,40091,10705,12971
72,4,14221,40101,10804,12874
73,4,13536,42383,9557,12524
74,4,13767,42669,9093,12471
75,4,13566,43032,9212,12190
76,4,13898,42473,9492,12137
77,4,13953,42611,9262,12174
78,4,13842,42692,9293,12173
79,4,14194,40239,10884,12683
80,4,14262,39795,11132,12811
81,4,14445,39543,11530,12482
82,4,14332,36753,13152,13763
83,4,14697,34989,14516,13798
84,4,14375,34625,15079,13921
85,4,13986,35338,14329,14347
86,4,13900,35429,14318,14353
87,4,13729,35189,14627,14455
88,4,13890,35503,14214,14393
89,4,14013,34975,14533,14479
90,4,14366,34435,15109,14090
91,4,14448,34246,15232,14074
92,4,14190,34246,15614,13950
93,4,13858,36715,13601,13826
94,4,14157,36339,13579,13925
95,4,13882,37049,13034,14035
96,4,13519,37938,12340,14203
97,4,13734,38142,12188,13936
98,4,13691,38293,12080,13936
99,4,13733,38255,11978,14034
100,4,14052,38703,11638,13607
101,4,13285,40615,10487,13613
102,4,13257,40526,10498,13719
103,4,13225,39666,11281,13828
104,4,13059,40098,10910,13933
105,4,13701,38065,11885,14349
106,4,12705,36022,13663,15610
107,4,13477,34203,14545,15775
108,4,13249,34600,14527,15624
109,4,13255,34858,13758,16129
110,4,13224,34963,13839,15974
111,4,13156,37235,12218,15391
112,4,13160,37111,12305,15424
113,4,14218,35530,13226,15026
114,4,13926,34755,14133,15186
115,4,13737,34405,14621,15237
116,4,13854,34340,14424,15382
117,4,14142,36235,13330,14293
118,4,14211,36327,13188,14274
119,4,14327,36274,13126,14273
120,4,14625,34229,14683,14463
121,4,14634,34687,14282,14397
122,4,14497,33890,15144,14469
123,4,14577,32321,15939,15163
124,4,14453,32377,16151,15019
125,4,13815,34662,14184,15339
126,4,13669,32763,15467,16101
127,4,13596,33433,14628,16343
128,4,13663,33279,14661,16397
129,4,13903,33920,13864,16313
130,4,14282,31851,15383,16484
131,4,14251,31702,15674,16373
132,4,14110,30412,16277,17201
133,4,14365,29839,16692,17104
134,4,13820,29409,17554,17217
135,4,13697,27996,18458,17849
136,4,13644,27964,18454,17938
137,4,13741,27678,18457,18124
138,4,13893,29444,17568,17095
139,4,13535,31240,16350,16875
140,4,13576,31049,16622,16753
141,4,12883,32922,15125,17070
142,4,12798,32588,15720,16894
143,4,12627,32518,16123,16732
144,4,12808,32444,15747,17001
145,4,13877,30912,16900,16311
146,4,14955,28639,18515,15891
147,4,14481,28275,19354,15890
148,4,13451,30146,17892,16511
149,4,13417,30321,17808,16454
150,4,13199,28592,18707,17502
151,4,13246,28426,18816,17512
152,4,13277,28653,18760,17310
153,4,12951,27922,19908,17219
154,4,13679,26360,20968,16993
155,4,12905,28008,19824,17263
156,4,12802,27727,20124,17347
157,4,13013,27339,20300,17348
158,4,12986,27212,21138,16664
159,4,12638,26877,21688,16797
160,4,12720,26726,21496,17058
161,4,12554,26914,21416,17116
162,4,12762,26820,21403,17015
163,4,12770,26389,21632,17209
164,4,12736,26305,22252,16707
165,4,12957,26112,22550,16381
166,4,12069,28336,20319,17276
167,4,11739,30509,18365,17387
168,4,11692,30749,18285,17274
169,4,11521,30957,17987,17535
170,4,11612,30918,17750,17720
171,4,11146,32611,16601,17642
172,4,11131,32799,16359,17711
173,4,11507,31828,17279,17386
174,4,11588,31723,17187,17502
175,4,11455,31940,17329,17276
176,4,11571,31717,17355,17357
177,4,11557,31466,17690,17287
178,4,11553,31981,17320,17146
179,4,11637,31897,17338,17128
180,4,11364,32165,17134,17337
181,4,11539,31846,17322,17293
182,4,11656,31677,17423,17244
183,4,11362,32069,16981,17588
184,4,11000,30826,17931,18243
185,4,11271,30304,18709,17716
186,4,11378,29472,19423,17727
187,4,11469,29331,19439,17761
188,4,11337,29698,19325,17640
189,4,11353,29621,19362,17664
190,4,11711,31143,18002,17144
191,4,11754,31785,17502,16959
192,4,12220,30477,18381,16922
193,4,12347,30165,18513,16975
194,4,12465,29941,18886,16708
195,4,12433,29509,19571,16487
196,4,11803,30975,18422,16800
197,4,11473,29437,19945,17145
198,4,11130,27456,21435,17979
199,4,11705,26079,22503,17713
200,4,11804,26007,22552,17637
201,4,11781,27527,21118,17574
202,4,12025,27636,20815,17524
203,4,12074,29873,19119,16934
204,4,12238,29892,18984,16886
205,4,12414,31764,17690,16132
206,4,12466,31977,17283,16274
207,4,12476,31622,17590,16312
208,4,12403,31707,17538,16352
209,4,12275,30932,18465,16328
210,4,11987,31673,18013,16327
211,4,12824,29239,19583,16354
212,4,12416,30131,18729,16724
213,4,12522,28378,20000,17100
214,4,11799,26741,21657,17803
215,4,11806,26941,21585,17668
216,4,12077,26645,21847,17431
217,4,12270,28148,20724,16858
218,4,12704,29631,19448,16217
219,4,12994,29305,19681,16020
220,4,13016,29166,19736,16082
221,4,13211,28282,20768,15739
222,4,12653,26814,22171,16362
223,4,12938,25023,23736,16303
224,4,12715,25287,23358,16640
225,4,12893,25514,23120,16473
226,4,13249,26602,22318,15831
227,4,12787,25645,23425,16143
228,4,12825,25563,23302,16310
229,4,12886,27008,22103,16003
230,4,12966,25327,23421,16286
231,4,12655,27180,21753,16412
232,4,12093,25149,23998,16760
233,4,12184,25068,23878,16870
234,4,12173,25208,23800,16819
235,4,12442,23151,25883,16524
236,4,11862,21674,27470,16994
237,4,11872,22290,26547,17291
238,4,11768,20957,27592,17683
239,4,11579,21284,27632,17505
240,4,11624,21385,27432,17559
241,4,12569,22944,25523,16964
242,4,13658,25012,23474,15856
243,4,13826,24734,23440,16000
244,4,13898,24455,24134,15513
245,4,13569,24734,23847,15850
246,4,13516,25698,22581,16205
247,4,12507,23548,24790,17155
248,4,12712,23484,24707,17097
249,4,12659,23619,24589,17133
250,4,12684,23406,24852,17058
251,4,12452,25027,23654,16867
252,4,12355,25162,23697,16786
253,4,12694,23228,25027,17051
254,4,12013,21935,26435,17617
255,4,10612,20014,28720,18654
256,4,10926,18331,30336,18407
257,4,11043,18581,30002,18374
258,4,10683,17172,31598,18547
259,4,10819,16914,31876,18391
260,4,10869,16914,31954,18263
261,4,11014,15857,32981,18148
262,4,11351,15440,33899,17310
263,4,11615,14137,35324,16924
264,4,12045,15659,33035,17261
265,4,12120,15517,33240,17123
266,4,12039,17057,31808,17096
267,4,12641,18164,30693,16502
268,4,12830,18178,30362,16630
269,4,12676,18171,30602,16551
270,4,12523,18346,30700,16431
271,4,12752,18101,30601,16546
272,4,12714,17085,32144,16057
273,4,12709,16364,32483,16444
274,4,12587,16692,32405,16316
275,4,11789,15774,33828,16609
276,4,11926,15220,33841,17013
277,4,11650,15471,33996,16883
278,4,12004,16867,31455,17674
279,4,11303,18531,30193,17973
280,4,12252,16887,31576,17285
281,4,11558,15755,32834,17853
282,4,10647,17474,30667,19212
283,4,10733,17192,30861,19214
284,4,10750,17330,30745,19175
285,4,10550,16068,32137,19245
286,4,10876,14604,34325,18195
287,4,10621,12967,36704,17708
288,4,10714,12667,37304,17315
289,4,10471,13127,35821,18581
290,4,10449,13047,36390,18114
291,4,10513,12980,36459,18048
292,4,10620,14180,34934,18266
293,4,10612,14232,34810,18346
294,4,10424,12946,36311,18319
295,4,10060,13153,36474,18313
296,4,10036,14017,35414,18533
297,4,10040,13897,35405,18658
298,4,10577,15281,34160,17982
299,4,10585,15402,33621,18392
300,4,10504,15622,33471,18403
301,4,10547,15552,33712,18189
302,4,10805,15594,32901,18700
303,4,11072,17062,31816,18050
304,4,11891,15619,33158,17332
305,4,12347,17014,31610,17029
306,4,12485,18184,30746,16585
307,4,13111,19270,29292,16327
308,4,14056,21264,27147,15533
309,4,13739,22418,26117,15726
310,4,13641,22316,26091,15952
311,4,12620,20603,28399,16378
312,4,12657,20644,27935,16764
313,4,12645,20943,27557,16855
314,4,13439,19083,29923,15555
315,4,13489,18868,30020,15623
316,4,13457,18771,29976,15796
317,4,13481,19023,29862,15634
318,4,13204,18658,30737,15401
319,4,13238,18965,30216,15581
320,4,13344,18870,30055,15731
321,4,13293,18813,30106,15788
322,4,13036,19498,29307,16159
323,4,13031,17933,30699,16337
324,4,13163,16785,32117,15935
325,4,13628,17929,30741,15702
326,4,13385,18167,30811,15637
327,4,13284,16757,32193,15766
328,4,13410,15684,33169,15737
329,4,12852,14450,34456,16242
330,4,12798,14472,34445,16285
331,4,12622,13082,36535,15761
332,4,12216,12096,37715,15973
333,4,12886,12564,36453,16097
334,4,12931,12349,37454,15266
335,4,13518,13230,36206,15046
336,4,13699,13017,36143,15141
337,4,13597,13168,36297,14938
338,4,13604,12966,36371,15059
339,4,13170,11880,37964,14986
340,4,12939,12318,37086,15657
341,4,13085,12173,37130,15612
342,4,12855,13529,35585,16031
343,4,12758,13240,35951,16051
344,4,12428,12322,36871,16379
345,4,11690,11242,38319,16749
346,4,12428,12242,37154,16176
347,4,12383,12439,36942,16236
348,4,12818,11531,37827,15824
349,4,11950,12761,35567,17722
350,4,11923,12846,35785,17446
351,4,12022,12736,35477,17765
352,4,12529,13318,34420,17733
353,4,11272,11868,36828,18032
354,4,11648,12677,36108,17567
355,4,11771,12694,35876,17659
356,4,12085,13920,34672,17323
357,4,11825,12710,35810,17655
358,4,12076,13557,35038,17329
359,4,12243,13326,36191,16240
360,4,12319,13196,36214,16271
361,4,12276,14266,34795,16663
