round,seed,exploit,coop,defect,exploit_
1,4,11670,29610,19414,17306
2,4,12327,31653,17379,16641
3,4,12009,29252,19654,17085
4,4,12156,28829,19945,17070
5,4,12003,29248,19919,16830
6,4,12745,30618,18432,16205
7,4,12740,32566,17192,15502
8,4,13509,30809,17969,15713
9,4,13157,31649,17473,15721
10,4,14108,29363,19477,15052
11,4,14122,28205,20329,15344
12,4,13969,29485,19615,14931
13,4,13815,28133,20787,15265
14,4,13901,27950,20936,15213
15,4,13612,26979,21864,15545
16,4,13700,27691,21238,15371
17,4,13623,27686,21260,15431
18,4,13323,26110,22855,15712
19,4,13912,24969,23758,15361
20,4,14182,25607,22966,15245
21,4,14349,24180,23782,15689
22,4,14724,25307,22620,15349
23,4,14411,24619,23489,15481
24,4,14337,25319,22289,16055
25,4,14495,27257,20204,16044
26,4,14232,27619,20426,15723
27,4,14780,29437,18611,15172
28,4,14857,29237,18641,15265
29,4,13951,27797,19925,16327
30,4,13945,28185,19641,16229
31,4,14671,27955,18999,16375
32,4,14437,28366,19101,16096
33,4,14054,29754,18222,15970
34,4,13829,28700,19302,16169
35,4,13867,28901,19128,16104
36,4,13952,28270,20297,15481
37,4,14076,27745,20826,15353
38,4,14279,26400,21945,15376
39,4,14439,28644,19771,15146
40,4,15308,26595,21163,14934
41,4,15355,27432,20246,14967
42,4,14756,29210,18845,15189
43,4,15146,29609,18167,15078
44,4,14993,29478,18446,15083
45,4,16001,28285,19014,14700
46,4,14691,30267,17361,15681
47,4,14446,28234,19283,16037
48,4,14394,27739,19911,15956
49,4,13874,28437,19209,16480
50,4,14190,30142,17805,15863
51,4,14324,30431,17067,16178
52,4,15041,32589,15725,14645
53,4,15607,30424,17393,14576
54,4,15845,31119,16412,14624
55,4,15915,31130,16485,14470
56,4,16296,30523,16961,14220
57,4,16094,30706,17093,14107
58,4,15461,32343,15929,14267
59,4,15476,32306,15994,14224
60,4,15405,33847,14803,13945
61,4,15571,31770,16611,14048
62,4,15627,29614,18604,14155
63,4,15964,29399,18356,14281
64,4,15823,29437,18530,14210
65,4,15696,29185,18914,14205
66,4,16195,27559,19911,14335
67,4,14620,30154,17806,15420
68,4,15164,29210,18730,14896
69,4,15109,29300,18878,14713
70,4,15004,29262,19051,14683
71,4,15519,27766,19781,14934
72,4,15568,27998,19611,14823
73,4,15625,27401,20336,14638
74,4,16233,28997,19166,13604
75,4,16249,29021,19210,13520
76,4,15113,31553,17112,14222
77,4,15129,31505,17108,14258
78,4,16052,29222,19020,13706
79,4,15888,28308,20052,13752
80,4,15707,29909,18793,13591
81,4,15145,30582,18468,13805
82,4,15374,30215,18559,13852
83,4,15759,28810,19591,13840
84,4,15202,28098,20515,14185
85,4,16188,25845,22470,13497
86,4,16384,25680,22342,13594
87,4,16069,26265,22334,13332
88,4,16071,26319,22180,13430
89,4,16569,25084,23570,12777
90,4,16670,25580,22752,12998
91,4,16929,24396,23643,13032
92,4,16612,25676,22457,13255
93,4,16330,27916,20373,13381
94,4,16316,28625,19664,13395
95,4,16336,28656,19751,13257
96,4,15948,29355,18816,13881
97,4,16645,29783,17917,13655
98,4,16636,30032,17882,13450
99,4,16407,30048,18070,13475
100,4,15514,28040,19641,14805
101,4,15473,28185,19175,15167
102,4,14711,26838,20244,16207
103,4,14819,26675,20358,16148
104,4,15153,24981,21528,16338
105,4,14887,26180,20753,16180
106,4,15256,27749,19797,15198
107,4,15250,26697,21292,14761
108,4,15351,29118,19155,14376
109,4,15478,28957,19144,14421
110,4,15217,29595,18003,15185
111,4,15011,27421,19988,15580
112,4,15207,27447,20333,15013
113,4,15247,27311,20611,14831
114,4,14745,26441,21667,15147
115,4,15755,28650,19645,13950
116,4,16021,29482,18509,13988
117,4,15899,29440,18806,13855
118,4,16246,29674,18120,13960
119,4,16127,29788,18091,13994
120,4,16366,27630,20069,13935
121,4,16420,27455,20174,13951
122,4,15939,29742,18389,13930
123,4,16100,29705,18279,13916
124,4,15706,28417,18964,14913
125,4,15529,28942,18111,15418
126,4,15691,28863,18119,15327
127,4,15779,28356,18727,15138
128,4,15528,28580,18742,15150
129,4,15744,27010,19691,15555
130,4,15818,27102,19352,15728
131,4,14998,25280,21315,16407
132,4,15209,25551,21009,16231
133,4,14719,26769,20256,16256
134,4,14168,26399,20845,16588
135,4,13992,24865,21964,17179
136,4,14001,24762,22011,17226
137,4,13444,24607,22661,17288
138,4,13344,24276,23053,17327
139,4,13200,25501,21941,17358
140,4,13250,25989,21085,17676
141,4,12376,27835,20072,17717
142,4,12261,27731,20058,17950
143,4,12350,29263,19111,17276
