round,seed,exploit,coop,defect,exploit_
1,4,11670,29610,19414,17306
2,4,12327,31653,17379,16641
3,4,12009,29252,19654,17085
4,4,12156,28829,19945,17070
5,4,12003,29248,19919,16830
6,4,12745,30618,18432,16205
7,4,12740,32566,17192,15502
8,4,13509,30809,17969,15713
9,4,13157,31649,17473,15721
10,4,13164,31625,17505,15706
11,4,13229,30987,17839,15945
12,4,13132,32109,17195,15564
13,4,13048,30753,18308,15891
14,4,13030,30684,18434,15852
15,4,12581,28245,20528,16646
16,4,12561,29077,19831,16531
17,4,12686,26918,21948,16448
18,4,12468,25183,23467,16882
19,4,12481,25289,23198,17032
20,4,12577,26068,22422,16933
21,4,12848,24589,23258,17305
22,4,13165,25566,22338,16931
23,4,12916,24925,23100,17059
24,4,12672,25656,21797,17875
25,4,12659,27786,19770,17785
26,4,12498,27881,20056,17565
27,4,12887,29831,18332,16950
28,4,13053,29622,18233,17092
29,4,12754,29826,18210,17210
30,4,12556,30508,17422,17514
31,4,13178,30345,17005,17472
32,4,13156,30558,16995,17291
33,4,13061,30575,17118,17246
34,4,12837,29747,17877,17539
35,4,12068,32187,16122,17623
36,4,12454,31316,17184,17046
37,4,12588,30900,17797,16715
38,4,12601,31023,17525,16851
39,4,12634,33424,15631,16311
40,4,13280,31439,17110,16171
41,4,13313,31851,16617,16219
42,4,13424,31829,16456,16291
43,4,13841,31969,15900,16290
44,4,14280,30746,16772,16202
45,4,14270,31006,16404,16320
46,4,13930,31542,15623,16905
47,4,13786,30833,16428,16953
48,4,13602,30408,17107,16883
49,4,13136,31093,16460,17311
50,4,13289,32937,15248,16526
51,4,13391,33014,14906,16689
52,4,14314,35494,13160,15032
53,4,14350,34798,13982,14870
54,4,14575,35425,13118,14882
55,4,14493,35577,13199,14731
56,4,16013,33096,14867,14024
57,4,16722,31750,15574,13954
58,4,16871,31244,16193,13692
59,4,16925,31331,16029,13715
60,4,16865,31392,16020,13723
61,4,16636,31012,16692,13660
62,4,16845,28467,18717,13971
63,4,15546,30496,17450,14508
64,4,14939,28118,19521,15422
65,4,14588,29520,18333,15559
66,4,14281,31893,16715,15111
67,4,14018,32649,15741,15592
68,4,14466,31873,16535,15126
69,4,15297,33742,14981,13980
70,4,15171,33829,15085,13915
71,4,15842,32314,15780,14064
72,4,15723,32455,15789,14033
73,4,15234,34358,14732,13676
74,4,15206,34262,14603,13929
75,4,15214,34354,14641,13791
76,4,15344,34183,14882,13591
77,4,15534,34115,14615,13736
78,4,16519,31904,16434,13143
79,4,16571,29881,18201,13347
80,4,16394,29810,18441,13355
81,4,16373,29663,18568,13396
82,4,16551,29359,18477,13613
83,4,16667,29423,18439,13471
84,4,16114,29105,19206,13575
85,4,16372,28693,19800,13135
86,4,16284,28846,19719,13151
87,4,16053,28475,20134,13338
88,4,16098,29037,19689,13176
89,4,16442,28392,20192,12974
90,4,16571,28435,19989,13005
91,4,16455,28354,20294,12897
92,4,15945,29625,19443,12987
93,4,16106,29528,19345,13021
94,4,16429,29354,19155,13062
95,4,16215,30091,18615,13079
96,4,16217,30261,18520,13002
97,4,16143,29620,18959,13278
98,4,16236,29767,18784,13213
99,4,16007,29778,19054,13161
100,4,16090,29429,19278,13203
101,4,15333,32073,17071,13523
102,4,15323,31864,17133,13680
103,4,15131,32075,17204,13590
104,4,15290,32311,16657,13742
105,4,15630,30493,17879,13998
106,4,14975,28838,19465,14722
107,4,15696,26854,21132,14318
108,4,15511,29183,19414,13892
109,4,15715,28848,19303,14134
110,4,15431,29289,18904,14376
111,4,15104,28855,19439,14602
112,4,16426,26909,21227,13438
113,4,17292,25138,22528,13042
114,4,16784,24415,23663,13138
115,4,16261,23874,24574,13291
116,4,16124,25282,23386,13208
117,4,15852,24725,24009,13414
118,4,15904,23354,25148,13594
119,4,15978,23524,24866,13632
120,4,15775,25610,22849,13766
121,4,15713,26032,22541,13714
122,4,15727,25578,22781,13914
123,4,15228,24857,24058,13857
124,4,15207,24750,24188,13855
125,4,15142,26089,22698,14071
126,4,14856,24529,24241,14374
127,4,14704,24533,24444,14319
128,4,14491,25476,23187,14846
129,4,14365,26210,22835,14590
130,4,14608,24075,24788,14529
131,4,13812,21607,27535,15046
132,4,13843,21974,27137,15046
133,4,13482,23393,25547,15578
134,4,13211,22138,26868,15783
135,4,13225,22739,26229,15807
136,4,13296,22489,26312,15903
137,4,13542,23737,25262,15459
138,4,13682,23515,25163,15640
139,4,13658,22872,26297,15173
140,4,13765,22978,25921,15336
141,4,13457,24649,24115,15779
142,4,13221,24840,24225,15714
143,4,13265,24900,24245,15590
