round,seed,exploit,coop,defect,exploit_
1,4,11670,29610,19414,17306
2,4,12095,30838,18266,16801
3,4,11667,28464,20600,17269
4,4,11837,27999,20921,17243
5,4,11755,28308,20881,17056
6,4,12596,30239,18845,16320
7,4,12677,32224,17529,15570
8,4,13421,30467,18315,15797
9,4,12995,31310,17887,15808
10,4,13110,31196,17852,15842
11,4,13193,30531,18250,16026
12,4,12991,32164,17171,15674
13,4,12899,30712,18358,16031
14,4,12646,30333,18962,16059
15,4,12237,27648,21148,16967
16,4,12169,28617,20392,16822
17,4,12329,26348,22517,16806
18,4,11977,24632,24148,17243
19,4,11989,24842,23879,17290
20,4,12019,25716,23042,17223
21,4,12307,23769,24363,17561
22,4,12086,24128,24376,17410
23,4,12762,24554,23486,17198
24,4,12535,25234,22272,17959
25,4,12540,25303,22206,17951
26,4,12364,25531,22424,17681
27,4,12520,26562,21607,17311
28,4,12614,26396,21554,17436
29,4,12181,26249,21910,17660
30,4,11858,27048,21157,17937
31,4,12589,26917,20472,18022
32,4,12517,27044,20617,17822
33,4,12382,27236,20648,17734
34,4,12498,27012,20578,17912
35,4,11833,29301,18790,18076
36,4,12085,28826,19366,17723
37,4,12129,28373,20250,17248
38,4,12243,28328,20149,17280
39,4,12341,30430,18313,16916
40,4,13037,28416,19669,16878
41,4,13024,29049,19264,16663
42,4,13111,28957,18999,16933
43,4,13296,28869,18859,16976
44,4,13563,27507,19921,17009
45,4,13558,27643,19977,16822
46,4,13541,27907,19561,16991
47,4,13218,26803,20913,17066
48,4,13234,26408,21266,17092
49,4,13923,24828,22909,16340
50,4,14141,26110,21946,15803
51,4,14002,25612,22611,15775
52,4,14587,27078,21332,15003
53,4,14540,26013,22563,14884
54,4,14854,26999,21473,14674
55,4,13875,25046,23479,15600
56,4,13883,25035,23559,15523
57,4,14304,23681,24518,15497
58,4,14311,23110,25460,15119
59,4,14725,23616,24429,15230
60,4,14484,25200,23496,14820
61,4,14472,25108,23622,14798
62,4,14683,26764,21709,14844
63,4,13652,29210,19375,15763
64,4,13747,29982,18916,15355
65,4,13341,31706,17422,15531
66,4,13235,32767,16753,15245
67,4,13076,33509,15544,15871
68,4,12827,33791,15289,16093
69,4,13888,35690,13556,14866
70,4,13735,35835,13718,14712
71,4,13857,36584,12722,14837
72,4,13669,36777,12785,14769
73,4,13214,38595,11732,14459
74,4,13525,39249,10994,14232
75,4,13559,39470,10953,14018
76,4,13735,39148,11282,13835
77,4,13826,39352,10957,13865
78,4,13862,39160,11016,13962
79,4,13933,36981,12655,14431
80,4,14027,36700,12784,14489
81,4,14301,35999,13368,14332
82,4,14343,36108,13351,14198
83,4,14372,36187,13250,14191
84,4,14119,35732,13743,14406
85,4,13899,35894,13850,14357
86,4,14109,35637,13763,14491
87,4,14002,35449,14065,14484
88,4,13847,35830,13897,14426
89,4,13970,35527,14328,14175
90,4,14263,35054,14686,13997
91,4,14284,35112,14794,13810
92,4,14199,34734,15114,13953
93,4,13944,36837,13292,13927
94,4,14024,37079,13127,13770
95,4,13816,37504,12726,13954
96,4,13471,38341,12177,14011
97,4,13981,38030,12055,13934
98,4,13782,38343,12030,13845
99,4,13928,38235,11967,13870
100,4,14165,38888,11504,13443
101,4,13462,40770,10425,13343
102,4,13487,40518,10396,13599
103,4,13198,40069,11049,13684
104,4,13312,40235,10686,13767
105,4,13779,38542,11567,14112
106,4,12875,36361,13301,15463
107,4,13615,34691,14119,15575
108,4,13377,35060,14192,15371
109,4,13375,35138,13729,15758
110,4,13574,34699,14186,15541
111,4,13407,37137,12511,14945
112,4,13327,37250,12286,15137
113,4,14297,35717,13186,14800
114,4,14128,34859,14110,14903
115,4,13975,34429,14551,15045
116,4,14104,34404,14266,15226
117,4,14314,36477,13107,14102
118,4,14292,36365,13290,14053
119,4,14393,36282,13225,14100
120,4,14853,34118,14866,14163
121,4,14875,34710,14059,14356
122,4,14720,33987,15045,14248
123,4,14823,32444,15686,15047
124,4,14803,32322,15913,14962
125,4,13982,34895,13995,15128
126,4,13994,33138,14982,15886
127,4,13940,33837,14134,16089
128,4,14039,33557,14198,16206
129,4,14308,34226,13335,16131
130,4,14656,32213,14851,16280
131,4,14621,32033,15109,16237
132,4,14533,30689,15746,17032
133,4,14793,30198,16116,16893
134,4,14251,29764,17001,16984
135,4,14123,28268,17936,17673
136,4,14164,28233,17846,17757
137,4,13315,26045,19627,19013
138,4,13503,27730,18685,18082
139,4,13114,29507,17473,17906
140,4,13192,29325,17779,17704
141,4,12455,31127,16366,18052
142,4,12457,30869,16823,17851
143,4,12227,30729,17362,17682
144,4,12419,30682,16931,17968
145,4,13495,29238,18039,17228
146,4,14533,27032,19691,16744
147,4,14043,26629,20576,16752
148,4,13042,28376,19191,17391
149,4,12986,28613,19110,17291
150,4,12860,26896,19858,18386
151,4,12883,26763,20056,18298
152,4,12887,26970,19952,18191
153,4,12555,26288,21125,18032
154,4,13214,24750,22234,17802
155,4,12496,26351,21104,18049
156,4,12395,26091,21421,18093
157,4,12576,25698,21626,18100
158,4,13280,23938,23907,16875
159,4,12220,22099,25949,17732
160,4,12372,21954,25607,18067
161,4,12107,22291,25588,18014
162,4,12406,22100,25561,17933
163,4,12285,21867,25813,18035
164,4,11729,23069,25063,18139
165,4,11891,22939,25347,17823
166,4,11045,25038,23120,18797
167,4,10786,27149,21084,18981
168,4,10714,27320,21112,18854
169,4,10738,27099,21260,18903
170,4,10805,27093,20916,19186
171,4,10327,28639,19918,19116
172,4,10399,28724,19649,19228
173,4,10540,28269,20230,18961
174,4,10629,28278,19966,19127
175,4,10453,28485,20121,18941
176,4,10564,28280,20206,18950
177,4,10733,26206,22139,18922
178,4,10787,26751,21569,18893
179,4,10933,26498,21684,18885
180,4,10604,27007,21209,19180
181,4,10657,24930,23047,19366
182,4,10778,24875,23147,19200
183,4,10515,25188,22501,19796
184,4,10096,24194,23310,20400
185,4,10516,23432,24347,19705
186,4,10146,21317,26648,19889
187,4,10194,21303,26530,19973
188,4,10158,21528,26593,19721
189,4,10054,21544,26570,19832
190,4,10150,21317,26650,19883
191,4,10294,22023,25882,19801
192,4,10659,20971,26512,19858
193,4,10775,20587,26717,19921
194,4,11001,20327,27213,19459
195,4,10865,18510,29663,18962
196,4,10369,19742,28733,19156
197,4,10279,19739,28739,19243
198,4,9765,18171,30029,20035
199,4,10189,17202,30977,19632
200,4,10008,15916,32337,19739
201,4,10196,17006,31111,19687
202,4,10335,17093,30852,19720
203,4,10933,18889,28765,19413
204,4,10986,18956,28688,19370
205,4,10840,18934,28941,19285
206,4,11402,17947,29561,19090
207,4,11313,17569,30224,18894
208,4,11375,17465,30036,19124
209,4,10685,16936,31590,18789
210,4,10582,17413,30817,19188
211,4,11115,15832,32385,18668
212,4,10762,16653,30854,19731
213,4,10641,15362,31998,19999
214,4,9973,13892,33729,20406
215,4,9174,15434,32389,21003
216,4,10134,13996,34083,19787
217,4,10080,13787,34427,19706
218,4,9902,13590,34812,19696
219,4,10651,12229,36642,18478
220,4,10579,12273,36626,18522
221,4,10535,11610,38448,17407
222,4,10538,11648,38208,17606
223,4,10510,10558,39874,17058
224,4,10810,9844,40279,17067
225,4,10930,9835,40357,16878
226,4,11265,10446,39577,16712
227,4,10847,9918,40246,16989
228,4,10973,9804,40340,16883
229,4,11264,10688,39290,16758
230,4,11094,10807,39047,17052
231,4,11191,10820,39100,16889
232,4,10124,9481,41732,16663
233,4,10097,8502,42833,16568
234,4,10097,8411,43339,16153
235,4,9951,7050,45561,15438
236,4,9204,6658,46710,15428
237,4,9294,7164,46129,15413
238,4,9195,6530,46514,15761
239,4,9019,6678,46721,15582
240,4,9078,6611,46663,15648
241,4,10707,7979,43853,15461
242,4,12594,8948,41736,14722
243,4,12443,9724,40419,15414
244,4,12430,10209,39639,15722
245,4,12508,9387,40567,15538
246,4,12758,9958,38706,16578
247,4,11126,8709,40952,17213
248,4,11169,8528,41196,17107
249,4,11076,8664,41103,17157
250,4,11425,9520,40012,17043
251,4,11486,10209,39118,17187
252,4,11438,10494,38983,17085
253,4,11469,10210,39187,17134
254,4,11408,10256,39125,17211
255,4,9477,9046,41491,17986
256,4,9448,8262,42419,17871
257,4,9555,8438,42180,17827
258,4,9762,9024,41572,17642
259,4,10079,8122,42623,17176
260,4,10060,8156,42765,17019
261,4,10035,8030,42855,17080
262,4,10681,6929,45296,15094
263,4,10537,6918,45275,15270
264,4,11214,8090,42832,15864
265,4,11289,8045,42688,15978
266,4,11275,9192,41428,16105
267,4,11199,8953,41740,16108
268,4,11257,9000,41469,16274
269,4,11713,8141,42798,15348
270,4,11351,7528,43564,15557
271,4,11679,7394,43226,15701
272,4,11537,7571,43609,15283
273,4,11870,8044,42683,15403
274,4,11699,8301,42700,15300
275,4,11694,8284,42816,15206
276,4,11668,8080,42850,15402
277,4,11715,8121,42788,15376
278,4,12142,9372,40252,16234
279,4,11969,9496,40341,16194
280,4,12626,8356,41683,15335
281,4,11823,7683,42944,15550
282,4,11426,8372,41578,16624
283,4,11360,7437,42978,16225
284,4,11369,7631,42935,16065
285,4,11157,6808,44144,15891
286,4,11020,5721,46540,14719
287,4,10431,4725,49094,13750
288,4,10452,5214,48577,13757
289,4,10289,5597,47873,14241
290,4,10179,6609,45296,15916
291,4,10831,7536,42982,16651
292,4,10360,6560,45377,15703
293,4,10293,6441,45435,15831
294,4,10084,5715,46363,15838
295,4,9697,5713,46727,15863
296,4,9580,6527,45904,15989
297,4,9555,6387,46060,15998
298,4,9630,6279,45948,16143
299,4,9901,5151,48237,14711
300,4,9679,5287,48529,14505
301,4,9694,5281,48419,14606
302,4,9445,4807,49168,14580
303,4,9415,4893,49055,14637
304,4,9346,4803,49214,14637
305,4,9341,4936,49172,14551
306,4,9460,4780,49038,14722
307,4,9495,4758,49044,14703
308,4,10237,5521,47890,14352
309,4,10312,5387,47999,14302
310,4,10277,5580,47724,14419
311,4,9517,4924,48934,14625
312,4,9600,4264,49616,14520
313,4,9429,4383,49631,14557
314,4,9713,3828,50725,13734
315,4,9209,3220,52231,13340
316,4,9184,3245,52023,13548
317,4,9388,3305,51974,13333
318,4,8399,2597,54633,12371
319,4,8312,2523,54709,12456
320,4,8391,2578,54654,12377
321,4,8337,2570,54612,12481
322,4,8086,3375,51996,14543
323,4,8241,3246,51876,14637
324,4,8108,3236,52010,14646
325,4,8259,3311,51914,14516
326,4,8128,3271,52003,14598
327,4,8159,3232,51973,14636
328,4,8330,2898,52233,14539
329,4,8116,2921,52442,14521
330,4,8089,2917,52359,14635
331,4,8344,2857,52161,14638
332,4,8047,2929,52560,14464
333,4,10032,3526,49755,14687
334,4,10159,3347,51329,13165
335,4,10067,3326,51393,13214
336,4,10241,3382,51101,13276
337,4,10678,3885,50189,13248
338,4,10973,4503,48905,13619
339,4,10938,4355,49205,13502
340,4,10721,4473,49150,13656
341,4,10879,4489,48936,13696
342,4,10836,4618,49010,13536
343,4,10869,4317,49196,13618
344,4,10949,4465,48826,13760
345,4,11036,4464,48739,13761
346,4,10979,4548,48761,13712
347,4,10899,4420,48958,13723
348,4,11239,3995,49411,13355
349,4,10881,4636,48186,14297
350,4,10751,4609,48297,14343
351,4,10634,4601,48394,14371
352,4,11381,5344,46973,14302
353,4,9730,4306,49624,14340
354,4,10053,4765,48949,14233
355,4,10057,4881,48979,14083
356,4,10003,4912,48971,14114
357,4,9817,4997,49120,14066
358,4,10428,5259,48221,14092
359,4,10466,5328,48295,13911
360,4,10379,5369,48349,13903
361,4,10325,5275,48503,13897
