round,seed,exploit,coop,defect,exploit_
1,4,11670,29610,19414,17306
2,4,12095,30838,18266,16801
3,4,11667,28464,20600,17269
4,4,11837,27999,20921,17243
5,4,11755,28308,20881,17056
6,4,12596,30239,18845,16320
7,4,12677,32224,17529,15570
8,4,13421,30467,18315,15797
9,4,12995,31310,17887,15808
10,4,13110,31196,17852,15842
11,4,13193,30531,18250,16026
12,4,12991,32164,17171,15674
13,4,12899,30712,18358,16031
14,4,12516,29921,19367,16196
15,4,12512,29043,20041,16404
16,4,12518,29902,19306,16274
17,4,12695,27629,21325,16351
18,4,12291,25888,23072,16749
19,4,12249,26065,22950,16736
20,4,12349,27041,22005,16605
21,4,12592,25139,23205,17064
22,4,12898,26160,22360,16582
23,4,12961,25934,22557,16548
24,4,12729,26585,21385,17301
25,4,12766,26612,21331,17291
26,4,12592,26864,21488,17056
27,4,12717,27845,20733,16705
28,4,12836,27802,20495,16867
29,4,12575,28037,20558,16830
30,4,12393,28746,19704,17157
31,4,13210,28888,18809,17093
32,4,13101,29122,18956,16821
33,4,12686,30920,17655,16739
34,4,12749,30888,17593,16770
35,4,12079,33248,15834,16839
36,4,12474,32435,16792,16299
37,4,12479,32216,17012,16293
38,4,12527,32464,16626,16383
39,4,12596,34683,14889,15832
40,4,13263,32732,16224,15781
41,4,13348,33093,15810,15749
42,4,13263,33133,15797,15807
43,4,13405,33075,15753,15767
44,4,13138,33612,15393,15857
45,4,13250,33795,14996,15959
46,4,13230,33668,15219,15883
47,4,13074,33189,15762,15975
48,4,13088,32365,16473,16074
49,4,12518,33163,15967,16352
50,4,12815,34915,14446,15824
51,4,12914,34564,14757,15765
52,4,13211,36342,13782,14665
53,4,13277,35771,14312,14640
54,4,13439,36450,13518,14593
55,4,12781,34370,15306,15543
56,4,14093,32128,17081,14698
57,4,14695,30172,18519,14614
58,4,14775,29466,19258,14501
59,4,14876,29736,18813,14575
60,4,14771,31151,17815,14263
61,4,14786,31150,17873,14191
62,4,14764,33143,16176,13917
63,4,13320,36079,14040,14561
64,4,13500,36556,13616,14328
65,4,12959,38268,12423,14350
66,4,12811,39111,11900,14178
67,4,12467,40124,11030,14379
68,4,12568,39816,11077,14539
69,4,13236,42133,9543,13088
70,4,13095,42367,9587,12951
71,4,13068,42957,8934,13041
72,4,13048,42996,8957,12999
73,4,12367,45293,7814,12526
74,4,12603,45507,7400,12490
75,4,12365,45906,7444,12285
76,4,12649,45390,7757,12204
77,4,12754,45521,7458,12267
78,4,12634,45608,7534,12224
79,4,12730,45002,7838,12430
80,4,12714,44810,7937,12539
81,4,12936,44504,8284,12276
82,4,12854,41568,9964,13614
83,4,12864,41639,9952,13545
84,4,12662,41328,10325,13685
85,4,12685,41326,10247,13742
86,4,12561,41343,10313,13783
87,4,12528,41031,10557,13884
88,4,12700,41397,10098,13805
89,4,12663,40967,10499,13871
90,4,13132,40274,10870,13724
91,4,13211,40134,10907,13748
92,4,12960,40221,11227,13592
93,4,12985,40762,10693,13560
94,4,13269,40240,10752,13739
95,4,12914,41152,10248,13686
96,4,12502,41957,9818,13723
97,4,12683,42179,9585,13553
98,4,12618,42306,9609,13467
99,4,12607,42366,9424,13603
100,4,12825,42918,9200,13057
101,4,12042,44783,7974,13201
102,4,11999,44663,8062,13276
103,4,12158,43740,8636,13466
104,4,11915,44315,8351,13419
105,4,12532,42171,9435,13862
106,4,12232,42042,9833,13893
107,4,12997,39990,10854,14159
108,4,12758,40532,10731,13979
109,4,12910,40379,10571,14140
110,4,12499,41025,10328,14148
111,4,12361,43505,8693,13441
112,4,12563,43025,9010,13402
113,4,13613,41107,10173,13107
114,4,13619,40171,10936,13274
115,4,13503,39781,11259,13457
116,4,13735,37958,12348,13959
117,4,14059,39769,11206,12966
118,4,14169,39822,11097,12912
119,4,14161,39995,11013,12831
120,4,14558,37777,12555,13110
121,4,14560,37776,12655,13009
122,4,14577,37243,13030,13150
123,4,14611,35631,13916,13842
124,4,13966,33823,15311,14900
125,4,13298,36289,13376,15037
126,4,13239,34148,14726,15887
127,4,13183,34543,14380,15894
128,4,12189,36393,13097,16321
129,4,12244,37033,12560,16163
130,4,12785,34834,14105,16276
131,4,12766,34639,14307,16288
132,4,12738,35284,13935,16043
133,4,13051,34531,14292,16126
134,4,12816,34355,14687,16142
135,4,13198,34788,14031,15983
136,4,13129,34988,13967,15916
137,4,13371,36824,12888,14917
138,4,13224,36882,12962,14932
139,4,12914,38563,11739,14784
140,4,12925,38480,11746,14849
141,4,12004,40715,10381,14900
142,4,11839,40637,10678,14846
143,4,11952,40353,10811,14884
144,4,11993,40412,10624,14971
145,4,13054,38649,11863,14434
146,4,14284,36123,13397,14196
147,4,14099,35695,13990,14216
148,4,12984,37742,12453,14821
149,4,12854,37932,12349,14865
150,4,12919,37673,12548,14860
151,4,12991,38115,12165,14729
152,4,13131,38576,11707,14586
153,4,12967,37817,12493,14723
154,4,13089,37849,12338,14724
155,4,12116,39809,11178,14897
156,4,12027,39628,11387,14958
157,4,11768,41716,9965,14551
158,4,11756,41636,10139,14469
159,4,11710,41613,10165,14512
160,4,11885,41426,10063,14626
161,4,11761,41598,9995,14646
162,4,11981,41257,10067,14695
163,4,11845,40993,10276,14886
164,4,11895,40735,10802,14568
165,4,12173,40372,10957,14498
166,4,12056,40568,10829,14547
167,4,11388,42893,9288,14431
168,4,11584,43039,9047,14330
169,4,11527,42836,9269,14368
170,4,11160,43549,8939,14352
171,4,11445,43129,8926,14500
172,4,11430,43174,8894,14502
173,4,11392,43226,8966,14416
174,4,11143,40671,10649,15537
175,4,11064,41194,10456,15286
176,4,11065,41202,10311,15422
177,4,11164,40877,10366,15593
178,4,10969,41483,10108,15440
179,4,11210,41258,10129,15403
180,4,10753,41893,9953,15401
181,4,10956,41789,9683,15572
182,4,10923,41847,9808,15422
183,4,10978,41735,9783,15504
184,4,10628,40104,11100,16168
185,4,10870,39869,11260,16001
186,4,10887,39644,11438,16031
187,4,10935,39401,11799,15865
188,4,10868,39811,11279,16042
189,4,10935,39585,11294,16186
190,4,10837,40231,10893,16039
191,4,10835,40192,10909,16064
192,4,10812,40191,10956,16041
193,4,10915,40251,10765,16069
194,4,11427,38728,11848,15997
195,4,11451,38595,11984,15970
196,4,11707,37983,12245,16065
197,4,11779,35729,13843,16649
198,4,11221,33744,15327,17708
199,4,12110,32471,16250,17169
200,4,12054,32829,15739,17378
201,4,11836,34491,14434,17239
202,4,11784,34796,13894,17526
203,4,11944,36741,12752,16563
204,4,12197,34464,14464,16875
205,4,12645,36804,12903,15648
206,4,12910,36785,12723,15582
207,4,12878,35982,13473,15667
208,4,12841,35842,13805,15512
209,4,12830,35656,14007,15507
210,4,12527,36157,13843,15473
211,4,13599,33778,15234,15389
212,4,13114,34965,14291,15630
213,4,13437,32778,15493,16292
214,4,13395,32584,15789,16232
215,4,13320,32786,15790,16104
216,4,13338,32643,15814,16205
217,4,13546,34718,14221,15515
218,4,13462,34669,14352,15517
219,4,13380,35048,13655,15917
220,4,13372,35162,13523,15943
221,4,13108,35605,13303,15984
222,4,13075,35020,13704,16201
223,4,13544,33457,14801,16198
224,4,13455,33487,14312,16746
225,4,13191,34110,13748,16951
226,4,13589,35483,13253,15675
227,4,13587,33925,13744,16744
228,4,13248,36170,12336,16246
229,4,12928,38577,10952,15543
230,4,13009,38040,11257,15694
231,4,13065,38306,11199,15430
232,4,12632,36039,12899,16430
233,4,12069,38229,11314,16388
234,4,12350,37644,11705,16301
235,4,12892,35770,13120,16218
236,4,13367,36145,12565,15923
237,4,13244,36482,12140,16134
238,4,13529,34752,12785,16934
239,4,13486,34705,12812,16997
240,4,13774,35055,12300,16871
241,4,14127,35597,11699,16577
242,4,14098,35569,11677,16656
243,4,14320,35135,12134,16411
244,4,14564,34701,12812,15923
245,4,14214,35057,12407,16322
246,4,14113,35506,12216,16165
247,4,14177,35083,12426,16314
248,4,14837,32762,13795,16606
249,4,13969,30699,15307,18025
250,4,13812,30496,15985,17707
251,4,13360,31824,15318,17498
252,4,12561,34116,14024,17299
253,4,13016,31831,15650,17503
254,4,12429,29516,17274,18781
255,4,13319,31838,15645,17198
256,4,13989,29942,16702,17367
257,4,13988,30172,16638,17202
258,4,14004,29477,17204,17315
259,4,14011,29394,17540,17055
260,4,13031,27282,19403,18284
261,4,13612,26170,20020,18198
262,4,13972,25499,20922,17607
263,4,14822,23717,22669,16792
264,4,14655,25682,20908,16755
265,4,14899,25243,21307,16551
266,4,14170,26889,20555,16386
267,4,13862,26203,21198,16737
268,4,13921,26560,20463,17056
269,4,13613,26867,20010,17510
270,4,13451,25441,21266,17842
271,4,13754,23546,23196,17504
272,4,13853,23422,23123,17602
273,4,13355,22912,24099,17634
274,4,12614,21556,25518,18312
275,4,11945,20057,26826,19172
276,4,12443,18414,27858,19285
277,4,12592,19548,27310,18550
278,4,12758,19661,26987,18594
279,4,12688,19612,27220,18480
280,4,13337,18625,28294,17744
281,4,13043,18047,28989,17921
282,4,12102,19688,26861,19349
283,4,12060,20195,26228,19517
284,4,12153,19966,26406,19475
285,4,12102,19931,26503,19464
286,4,12479,18187,28546,18788
287,4,12461,18222,28479,18838
288,4,12520,17942,28955,18583
289,4,12182,18653,27631,19534
290,4,12098,18664,27730,19508
291,4,11983,20245,26465,19307
292,4,12287,20387,25736,19590
293,4,11166,22007,23863,20964
294,4,11486,22270,23122,21122
295,4,11245,22413,23002,21340
296,4,11832,21802,24056,20310
297,4,11738,21755,24273,20234
298,4,12836,23761,22137,19266
299,4,12967,23752,22187,19094
300,4,13593,24256,21030,19121
301,4,13636,24219,21144,19001
302,4,13810,24459,20731,19000
303,4,13736,25820,20132,18312
304,4,13692,25793,20119,18396
305,4,14060,27372,19061,17507
306,4,13628,27235,19600,17537
307,4,14103,28900,17873,17124
308,4,14745,29611,16836,16808
309,4,13773,31328,16080,16819
310,4,13873,31512,15910,16705
311,4,13863,31138,16051,16948
312,4,13802,30795,16534,16869
313,4,14482,33426,14769,15323
314,4,16074,30992,16232,14702
315,4,16119,29370,17656,14855
316,4,16369,31312,15835,14484
317,4,16038,29293,17647,15022
318,4,16322,27037,19415,15226
319,4,16485,25107,21247,15161
320,4,16625,25080,21253,15042
321,4,16568,25043,21257,15132
322,4,16671,25298,21010,15021
323,4,16719,25242,21149,14890
324,4,17351,23384,23091,14174
325,4,17440,23308,22978,14274
326,4,17391,23360,22944,14305
327,4,17229,23475,23004,14292
328,4,17596,23660,22345,14399
329,4,18034,23947,21715,14304
330,4,17268,25493,20713,14526
331,4,16909,27286,19595,14210
332,4,16696,25460,20761,15083
333,4,15859,23803,22456,15882
334,4,16005,23438,23260,15297
335,4,16045,23388,23259,15308
336,4,17006,24960,21440,14594
337,4,16718,24885,21934,14463
338,4,16207,26503,20682,14608
339,4,16250,26612,20415,14723
340,4,16940,25165,21501,14394
341,4,17738,27096,19423,13743
342,4,17790,26663,19969,13578
343,4,16992,28908,18129,13971
344,4,17331,29305,17588,13776
345,4,17254,29346,17580,13820
346,4,17817,31230,16411,12542
347,4,17791,31432,15842,12935
348,4,17373,32066,15251,13310
349,4,17438,32226,14972,13364
350,4,17521,31956,15070,13453
351,4,18081,30204,16129,13586
352,4,18074,30270,15959,13697
353,4,18426,32436,14573,12565
354,4,17951,31724,15448,12877
355,4,17936,29780,16931,13353
356,4,17404,27390,18893,14313
357,4,17760,29652,16885,13703
358,4,17703,29703,16797,13797
359,4,17753,29477,17555,13215
360,4,16897,31121,16259,13723
361,4,17391,29420,17686,13503
