round,seed,coop,exploit,exploit_,defect
1,4,88331,49731,47806,59132
2,4,85740,49081,49262,60917
3,4,81244,47450,50670,65636
4,4,80429,47622,51222,65727
5,4,80017,48057,51097,65829
6,4,84052,46257,51626,63065
7,4,86673,46591,51340,60396
8,4,86240,46710,51208,60842
9,4,86759,46793,51423,60025
10,4,92039,46661,50780,55520
11,4,92379,46157,50676,55788
12,4,86160,46133,51933,60774
13,4,87420,45594,51832,60154
14,4,83938,47151,50301,63610
15,4,84953,47013,50241,62793
16,4,79132,47491,50421,67956
17,4,80754,46244,52426,65576
18,4,84402,44576,53183,62839
19,4,83160,44730,53548,63562
20,4,83471,44747,53288,63494
21,4,83637,44793,53317,63253
22,4,83575,44684,53543,63198
23,4,83023,44943,54131,62903
24,4,83719,44708,53522,63051
25,4,82537,44866,54053,63544
26,4,83324,44672,54347,62657
27,4,84494,44413,54433,61660
28,4,84600,44366,54677,61357
29,4,81656,43163,56296,63885
30,4,86399,45357,53826,59418
31,4,89368,46501,51829,57302
32,4,89074,46596,52221,57109
33,4,92281,45903,52221,54595
34,4,92593,45797,52231,54379
35,4,91934,45865,52211,54990
36,4,96809,45980,50790,51421
37,4,100460,45951,50569,48020
38,4,105327,45250,50732,43691
39,4,104580,45040,50308,45072
40,4,107841,44659,50075,42425
41,4,108115,44587,50484,41814
42,4,108046,44624,50251,42079
43,4,108152,44563,50348,41937
44,4,107427,44440,50449,42684
45,4,105966,45055,50678,43301
46,4,109007,45560,49475,40958
47,4,107794,45657,49365,42184
48,4,104589,47694,48239,44478
49,4,104929,47690,47930,44451
50,4,102845,48049,47933,46173
