round,seed,exploit,coop,defect,exploit_
1,4,11670,29610,19414,17306
2,4,12095,30838,18266,16801
3,4,11667,28464,20600,17269
4,4,11837,27999,20921,17243
5,4,12276,27302,21778,16644
6,4,12981,29353,19822,15844
7,4,13145,31127,18484,15244
8,4,13853,29543,19203,15401
9,4,13411,30456,18768,15365
10,4,13489,30387,18785,15339
11,4,13588,29624,19173,15615
12,4,13410,31396,17899,15295
13,4,13356,29768,19223,15653
14,4,13082,29387,19903,15628
15,4,12739,26645,22054,16562
16,4,12041,25533,23568,16858
17,4,12142,25489,23435,16934
18,4,11780,23789,25171,17260
19,4,11768,23911,25055,17266
20,4,11749,24869,24063,17319
21,4,11885,22975,25534,17606
22,4,11731,23334,25499,17436
23,4,12376,23797,24640,17187
24,4,12258,24420,23294,18028
25,4,12135,24508,23350,18007
26,4,11979,24829,23447,17745
27,4,12455,26692,21529,17324
28,4,12641,26373,21574,17412
29,4,12184,26250,21908,17658
30,4,11826,27021,21175,17978
31,4,12510,27114,20431,17945
32,4,12428,26993,20684,17895
33,4,12157,28623,19526,17694
34,4,11942,27506,20800,17752
35,4,11325,29971,18805,17899
36,4,11635,29431,19334,17600
37,4,11714,28699,20308,17279
38,4,11765,28846,20124,17265
39,4,11839,31004,18195,16962
40,4,12023,30762,18190,17025
41,4,11916,31350,17851,16883
42,4,12419,29625,19044,16912
43,4,12657,29476,18876,16991
44,4,12349,30097,18420,17134
45,4,12224,30443,18260,17073
46,4,12358,30528,17873,17241
47,4,12131,29370,19294,17205
48,4,12300,29049,19326,17325
49,4,13074,27343,21009,16574
50,4,13391,29631,19127,15851
51,4,13408,29143,19573,15876
52,4,14093,30322,18645,14940
53,4,14022,29458,19483,15037
54,4,14065,30498,18587,14850
55,4,13393,28356,20432,15819
56,4,12260,30510,18644,16586
57,4,11947,31384,17772,16897
58,4,12129,30659,18478,16734
59,4,12209,30366,18502,16923
60,4,12167,33233,16289,16311
61,4,11951,33015,16620,16414
62,4,12038,32662,16792,16508
63,4,12203,32723,16402,16672
64,4,11613,31411,17784,17192
65,4,11609,31373,17804,17214
66,4,11486,31644,17922,16948
67,4,11250,32598,16492,17660
68,4,12079,30476,17958,17487
69,4,12677,32392,16487,16444
70,4,12611,32546,16357,16486
71,4,12479,33293,15576,16652
72,4,13483,31214,17317,15986
73,4,13802,28931,19216,16051
74,4,14323,29816,18208,15653
75,4,14440,29474,18424,15662
76,4,13352,31983,16388,16277
77,4,13990,30063,17689,16258
78,4,14738,27904,19628,15730
79,4,14788,27971,19635,15606
80,4,14737,27646,19951,15666
81,4,14674,27501,20061,15764
82,4,14897,27344,20141,15618
83,4,14980,26348,20861,15811
84,4,14514,25917,21662,15907
85,4,14058,26516,20618,16808
86,4,14284,26226,20438,17052
87,4,13929,26055,21082,16934
88,4,13882,26177,21166,16775
89,4,14039,25922,21719,16320
90,4,13691,27400,20562,16347
91,4,13678,27404,20679,16239
92,4,13721,27222,20724,16333
93,4,13775,27131,20796,16298
94,4,13886,27273,20619,16222
95,4,13819,27473,20345,16363
96,4,13807,27520,20273,16400
97,4,13403,25791,21403,17403
98,4,14254,23828,23560,16358
99,4,14186,23875,23421,16518
100,4,14013,23953,23633,16401
101,4,14277,23087,24800,15836
102,4,14224,23005,24708,16063
103,4,14392,24350,23630,15628
104,4,14209,25959,22373,15459
105,4,14549,24718,23098,15635
106,4,14314,24687,23360,15639
107,4,14287,25325,22362,16026
108,4,14161,25759,22356,15724
109,4,14279,25559,22166,15996
110,4,14411,25170,22830,15589
111,4,14828,27304,20570,15298
112,4,14576,27382,20522,15520
113,4,15310,26148,21444,15098
114,4,14827,25259,22738,15176
115,4,15686,25913,21635,14766
116,4,15487,24155,23271,15087
117,4,15590,23920,23408,15082
118,4,15548,23945,23476,15031
119,4,15572,24001,23473,14954
120,4,15392,26008,21628,14972
121,4,15659,26619,20462,15260
122,4,15497,25749,21663,15091
123,4,15419,24556,22472,15553
124,4,14766,24120,23270,15844
125,4,14882,23443,24244,15431
126,4,14849,23633,24217,15301
127,4,15025,24268,23000,15707
128,4,14112,26222,21091,16575
129,4,14243,24638,22004,17115
130,4,14073,25228,21274,17425
131,4,14010,25235,21486,17269
132,4,14446,25723,20573,17258
133,4,13834,27520,18915,17731
134,4,14134,28769,18250,16847
135,4,13959,28896,18450,16695
136,4,15497,26437,20231,15835
137,4,16243,28730,18333,14694
138,4,15674,28099,19197,15030
139,4,15910,26003,21095,14992
140,4,15649,26212,21249,14890
141,4,15659,26176,21231,14934
142,4,14930,27573,20517,14980
143,4,14706,27256,21088,14950
144,4,15112,27475,20228,15185
145,4,15148,27304,20707,14841
146,4,15215,27211,20707,14867
147,4,14714,26692,21557,15037
148,4,14969,26704,21239,15088
149,4,14819,26710,21356,15115
150,4,15776,27285,20068,14871
151,4,15930,27690,19696,14684
152,4,16150,28292,19042,14516
153,4,15634,27469,20146,14751
154,4,15531,27967,19604,14898
155,4,15533,27866,19574,15027
156,4,15229,25995,21354,15422
157,4,15093,27748,20123,15036
158,4,15266,27445,20214,15075
159,4,14664,26159,21343,15834
160,4,14923,26256,20773,16048
161,4,14757,26271,20840,16132
162,4,14957,24274,22827,15942
163,4,14510,23411,23891,16188
164,4,13608,25051,22984,16357
165,4,13740,24800,23082,16378
166,4,13811,24687,22885,16617
167,4,13754,26971,20885,16390
168,4,12824,26278,22035,16863
169,4,13515,24164,24098,16223
170,4,13713,23939,24029,16319
171,4,14140,22172,26024,15664
172,4,13799,23042,24893,16266
173,4,13347,24288,23905,16460
174,4,13390,24176,24073,16361
175,4,13147,23359,25371,16123
176,4,12636,24914,23652,16798
177,4,12458,23066,25926,16550
178,4,13091,23424,24842,16643
179,4,12988,23411,24820,16781
180,4,12620,25915,22651,16814
181,4,12852,25745,22638,16765
182,4,12588,24295,23699,17418
183,4,12271,24984,22961,17784
184,4,11942,23597,23991,18470
185,4,12360,22983,24838,17819
186,4,12332,23056,24982,17630
187,4,12486,21318,26310,17886
188,4,12460,21367,26471,17702
189,4,12686,22562,25356,17396
190,4,11960,20677,27574,17789
191,4,11917,20751,27652,17680
192,4,11847,21480,26163,18510
193,4,11315,19188,28466,19031
194,4,11181,19047,29157,18615
195,4,11251,19077,29150,18522
196,4,11584,18377,30480,17559
197,4,11872,19378,29559,17191
198,4,11837,19164,29670,17329
199,4,11907,19283,29399,17411
200,4,11666,18078,30798,17458
201,4,11812,19204,29626,17358
202,4,11531,20797,28057,17615
203,4,11543,20812,28175,17470
204,4,11511,20944,28042,17503
205,4,11551,20994,27850,17605
206,4,12024,19915,28809,17252
207,4,11738,19403,29631,17228
208,4,11899,19087,29683,17331
209,4,12099,20094,28842,16965
210,4,11814,20880,27988,17318
211,4,11800,21703,27037,17460
212,4,12081,20606,28082,17231
213,4,11955,20819,28050,17176
214,4,12194,22057,27165,16584
215,4,12132,21878,27306,16684
216,4,12350,21954,26991,16705
217,4,12076,20812,28066,17046
218,4,10927,18873,30488,17712
219,4,11387,17168,32702,16743
220,4,11638,17028,32575,16759
221,4,11359,17890,31945,16806
222,4,11466,17930,31688,16916
223,4,11315,17916,31906,16863
224,4,11606,16971,32772,16651
225,4,12134,16001,34177,15688
226,4,12418,16412,33457,15713
227,4,12312,16427,33572,15689
228,4,12454,16456,33459,15631
229,4,12358,16803,33330,15509
230,4,12262,17005,32955,15778
231,4,12438,15239,35663,14660
232,4,12829,15856,34617,14698
233,4,12931,14710,35778,14581
234,4,12745,13595,37853,13807
235,4,12824,12603,38938,13635
236,4,11921,11693,40805,13581
237,4,11817,13133,38376,14674
238,4,11764,12460,38972,14804
239,4,11652,12835,39026,14487
240,4,11612,12690,39088,14610
241,4,12564,13570,37278,14588
242,4,13157,14084,36698,14061
243,4,13485,13788,36164,14563
244,4,13372,13539,37261,13828
245,4,13617,12575,38257,13551
246,4,13560,13359,36961,14120
247,4,12340,11829,39251,14580
248,4,12189,10797,40718,14296
249,4,11899,10758,41040,14303
250,4,12103,10817,40681,14399
251,4,12127,11211,39955,14707
252,4,12024,10177,41594,14205
253,4,12134,10901,40837,14128
254,4,12256,10626,40827,14291
255,4,10932,9808,42539,14721
256,4,11087,10594,41699,14620
257,4,10953,9953,42464,14630
258,4,11279,11326,40946,14449
259,4,11308,12202,39181,15309
260,4,11202,12370,39115,15313
261,4,11279,11117,41095,14509
262,4,11700,10266,41877,14157
263,4,11482,10472,41810,14236
264,4,12223,11869,39205,14703
265,4,12047,12242,39132,14579
266,4,12380,13417,36801,15402
267,4,11897,12585,37878,15640
268,4,11719,12856,37812,15613
269,4,12292,11709,39072,14927
270,4,12244,11398,39392,14966
271,4,12372,11633,38995,15000
272,4,12581,12069,38363,14987
273,4,12725,13025,37508,14742
274,4,13213,13888,36379,14520
275,4,13519,14895,35554,14032
276,4,13617,15699,34375,14309
277,4,14000,16539,33460,14001
278,4,14189,17547,32040,14224
279,4,14474,16260,33292,13974
280,4,14485,16593,33133,13789
281,4,14458,16786,32801,13955
282,4,14115,17750,31502,14633
283,4,13887,15509,34193,14411
284,4,13613,16635,33086,14666
285,4,13493,16402,33787,14318
286,4,13584,14435,36061,13920
287,4,13161,12764,38586,13489
288,4,13087,13459,37741,13713
289,4,12929,14480,35914,14677
290,4,12852,15307,34980,14861
291,4,12939,16413,33820,14828
292,4,12619,14505,36102,14774
293,4,12732,14362,36184,14722
294,4,13040,15300,35046,14614
295,4,12362,14184,36669,14785
296,4,12364,14535,35979,15122
297,4,11924,13718,37069,15289
298,4,12068,13851,36753,15328
299,4,12137,12956,37715,15192
300,4,12005,12742,38187,15066
301,4,12046,12746,37965,15243
302,4,11754,12082,39095,15069
303,4,11389,11337,39808,15466
304,4,11055,12098,38956,15891
305,4,10615,11508,39970,15907
306,4,10447,10431,40605,16517
307,4,10225,9789,41370,16616
308,4,9853,9079,42251,16817
309,4,9854,8982,42196,16968
310,4,9817,8934,42196,17053
311,4,9878,9106,42080,16936
312,4,9811,8159,43387,16643
313,4,11061,8878,41919,16142
314,4,11707,7540,44048,14705
315,4,11521,7601,44328,14550
316,4,11362,6980,44846,14812
317,4,11580,6881,44917,14622
318,4,11067,6712,46004,14217
319,4,11028,6641,46066,14265
320,4,10914,7208,45388,14490
321,4,10934,7210,45297,14559
322,4,10583,8483,42695,16239
323,4,10488,8472,42863,16177
324,4,10391,8409,42806,16394
325,4,10835,9459,41510,16196
326,4,10803,9450,41512,16235
327,4,11165,10455,40083,16297
328,4,11288,9623,40927,16162
329,4,11156,9777,40885,16182
330,4,11355,9522,40909,16214
331,4,11357,9599,40629,16415
332,4,12490,11017,38494,15999
333,4,13876,12292,36014,15818
334,4,13962,11935,37292,14811
335,4,12703,10646,39558,15093
336,4,14111,12200,37136,14553
337,4,14447,12976,35945,14632
338,4,14408,14189,34676,14727
339,4,15091,15864,32461,14584
340,4,15060,15795,32303,14842
341,4,14981,15887,32487,14645
342,4,15204,15862,32231,14703
343,4,15189,16433,31159,15219
344,4,16044,18202,28681,15073
345,4,15890,18252,28962,14896
346,4,16212,18510,28531,14747
347,4,16517,18332,28179,14972
348,4,16288,18906,27337,15469
349,4,15763,19424,26280,16533
350,4,15130,20629,25530,16711
351,4,15019,21855,24577,16549
352,4,15784,23920,22397,15899
353,4,14966,21802,24492,16740
354,4,15236,23128,23615,16021
355,4,15293,23418,23402,15887
356,4,14920,23059,24144,15877
357,4,14892,22956,24259,15893
358,4,14026,22268,25375,16331
359,4,14634,21551,26031,15784
360,4,14355,22112,25574,15959
361,4,14197,22103,25758,15942
