round,seed,exploit,coop,defect,exploit_
1,4,11670,29610,19414,17306
2,4,12095,30838,18266,16801
3,4,11667,28464,20600,17269
4,4,11837,27999,20921,17243
5,4,12276,27302,21778,16644
6,4,12981,29353,19822,15844
7,4,13145,31127,18484,15244
8,4,13853,29543,19203,15401
9,4,13411,30456,18768,15365
10,4,13489,30387,18785,15339
11,4,13588,29624,19173,15615
12,4,13410,31396,17899,15295
13,4,13356,29768,19223,15653
14,4,13082,29387,19903,15628
15,4,12739,26645,22054,16562
16,4,12553,27744,21376,16327
17,4,12789,25407,23537,16267
18,4,12411,23799,25177,16613
19,4,12392,23940,25013,16655
20,4,12444,24860,24039,16657
21,4,12691,23013,25500,16796
22,4,12503,23361,25417,16719
23,4,13146,23783,24652,16419
24,4,12918,24518,23341,17223
25,4,12916,24575,23299,17210
26,4,12745,24812,23482,16961
27,4,12883,25858,22631,16628
28,4,13042,25549,22616,16793
29,4,12799,25847,22517,16837
30,4,12465,26724,21647,17164
31,4,13230,26515,21061,17194
32,4,13146,26658,21130,17066
33,4,12996,26736,21264,17004
34,4,13063,26637,21250,17050
35,4,12488,28850,19300,17362
36,4,12846,28046,20398,16710
37,4,12907,27584,21185,16324
38,4,13018,27725,20760,16497
39,4,13135,30004,18746,16115
40,4,13731,28244,20112,15913
41,4,13853,28500,19706,15941
42,4,13836,28457,19616,16091
43,4,14035,28414,19536,16015
44,4,14278,27238,20598,15886
45,4,14263,27571,20066,16100
46,4,14330,27423,20194,16053
47,4,14059,26771,21156,16014
48,4,14006,26055,21886,16053
49,4,14531,24878,23167,15424
50,4,14966,26385,21568,15081
51,4,14873,25816,22251,15060
52,4,15344,27467,21024,14165
53,4,15355,26296,22263,14086
54,4,15654,27183,21202,13961
55,4,14752,25139,23183,14926
56,4,14785,25195,23153,14867
57,4,15115,24089,24244,14552
58,4,15312,23334,24987,14367
59,4,15352,23679,24539,14430
60,4,15219,24997,23531,14253
61,4,15206,24999,23726,14069
62,4,15409,26600,21878,14113
63,4,14196,29334,19504,14966
64,4,14505,29883,18983,14629
65,4,14064,31316,17797,14823
66,4,14001,32318,17139,14542
67,4,13754,33102,16041,15103
68,4,13789,32922,16003,15286
69,4,14689,34912,14373,14026
70,4,14558,35041,14504,13897
71,4,14633,35774,13513,14080
72,4,14507,35927,13584,13982
73,4,13900,38005,12414,13681
74,4,14171,38292,11893,13644
75,4,14121,38528,11942,13409
76,4,14307,38135,12272,13286
77,4,14459,38225,11982,13334
78,4,14484,38135,11994,13387
79,4,14464,36081,13693,13762
80,4,14610,35586,13929,13875
81,4,14822,35192,14443,13543
82,4,14660,32545,16054,14741
83,4,14532,32746,16128,14594
84,4,14145,32459,16758,14638
85,4,13702,33148,15976,15174
86,4,13671,33168,15930,15231
87,4,13505,32903,16298,15294
88,4,13534,33293,16011,15162
89,4,13856,32461,16748,14935
90,4,14268,31808,17219,14705
91,4,14246,31795,17404,14555
92,4,14073,31668,17702,14557
93,4,13817,33960,15649,14574
94,4,14064,33750,15615,14571
95,4,13685,34635,15117,14563
96,4,13416,35366,14172,15046
97,4,13702,35390,14165,14743
98,4,13668,35693,13862,14777
99,4,13687,35656,13852,14805
100,4,14067,36130,13408,14395
101,4,13375,37850,12354,14421
102,4,13325,37958,12236,14481
103,4,13191,37140,13072,14597
104,4,13257,37225,12733,14785
105,4,13701,35510,13760,15029
106,4,12653,33541,15611,16195
107,4,13464,31742,16452,16342
108,4,13132,32270,16474,16124
109,4,13174,32461,15644,16721
110,4,12947,32866,15394,16793
111,4,12940,35014,13699,16347
112,4,12963,34892,13783,16362
113,4,13944,33341,14701,16014
114,4,13685,32616,15697,16002
115,4,13455,32175,16214,16156
116,4,13550,32119,16052,16279
117,4,13906,34030,14779,15285
118,4,13919,34293,14614,15174
119,4,13992,34205,14619,15184
120,4,14334,32167,16268,15231
121,4,14348,32817,15472,15363
122,4,14181,32072,16426,15321
123,4,14283,30575,17087,16055
124,4,14763,32349,16066,14822
125,4,14124,34654,14136,15086
126,4,13942,32790,15461,15807
127,4,13866,33478,14585,16071
128,4,13988,33199,14689,16124
129,4,14202,33851,13870,16077
130,4,14453,31904,15462,16181
131,4,14524,31706,15663,16107
132,4,14376,30359,16311,16954
133,4,14659,29899,16672,16770
134,4,14051,29431,17529,16989
135,4,13883,27929,18525,17663
136,4,13885,27854,18521,17740
137,4,13998,27695,18475,17832
138,4,14131,29459,17468,16942
139,4,13740,31219,16329,16712
140,4,13746,31108,16619,16527
141,4,13790,31165,16462,16583
142,4,13777,31155,16455,16613
143,4,13451,31059,16903,16587
144,4,13763,30962,16484,16791
145,4,14807,29503,17703,15987
146,4,15867,27285,19296,15552
147,4,15285,26867,20189,15659
148,4,14298,28596,18845,16261
149,4,14272,28865,18655,16208
150,4,14027,27366,19442,17165
151,4,14160,27047,19595,17198
152,4,14081,27300,19632,16987
153,4,13758,26419,20849,16974
154,4,14436,24977,21865,16722
155,4,13637,26733,20757,16873
156,4,13431,24764,22338,17467
157,4,13481,24534,22625,17360
158,4,13574,24243,23446,16737
159,4,13201,23965,24017,16817
160,4,13190,23760,23957,17093
161,4,12540,25478,22520,17462
162,4,12739,25440,22469,17352
163,4,12691,25283,22572,17454
164,4,12637,24974,23292,17097
165,4,12833,24885,23461,16821
166,4,11993,27037,21442,17528
167,4,11806,29065,19411,17718
168,4,11657,29246,19337,17760
169,4,11629,29424,18884,18063
170,4,11586,29493,18776,18145
171,4,11213,31013,17638,18136
172,4,11032,31429,17362,18177
173,4,11502,30431,18322,17745
174,4,11555,30352,18235,17858
175,4,11490,30492,18418,17600
176,4,11687,30151,18364,17798
177,4,11570,30065,18745,17620
178,4,11647,30827,18059,17467
179,4,11804,30737,17967,17492
180,4,11431,31345,17557,17667
181,4,11676,30843,17874,17607
182,4,11735,30601,18044,17620
183,4,11456,31031,17559,17954
184,4,11059,29775,18395,18771
185,4,11178,29632,18888,18302
186,4,11289,28977,19569,18165
187,4,11382,28710,19601,18307
188,4,11247,29071,19551,18131
189,4,11297,28944,19588,18171
190,4,11574,30755,18053,17618
191,4,11576,30783,18292,17349
192,4,12124,29306,19120,17450
193,4,12129,29138,19244,17489
194,4,12253,28910,19629,17208
195,4,12285,28456,20259,17000
196,4,11685,29845,19293,17177
197,4,11369,28168,20689,17774
198,4,10990,26525,22109,18376
199,4,11742,24814,23179,18265
200,4,11634,24941,23270,18155
201,4,11751,26589,21645,18015
202,4,11755,26726,21622,17897
203,4,12011,28869,19657,17463
204,4,12077,28929,19811,17183
205,4,12459,30470,18546,16525
206,4,13421,28821,19605,16153
207,4,13333,28590,19974,16103
208,4,13338,28557,19949,16156
209,4,13051,27770,20964,16215
210,4,12716,28571,20561,16152
211,4,13432,26275,22228,16065
212,4,13151,27041,21148,16660
213,4,13186,27138,20933,16743
214,4,12548,25543,22621,17288
215,4,11710,27333,21266,17691
216,4,12048,26767,21665,17520
217,4,12271,28376,20331,17022
218,4,12115,28334,20574,16977
219,4,12391,28028,20742,16839
220,4,12396,27993,20887,16724
221,4,12569,27346,21535,16550
222,4,11989,25782,22958,17271
223,4,12055,25692,22906,17347
224,4,11871,26067,22614,17448
225,4,12001,26123,22417,17459
226,4,12305,27348,21487,16860
227,4,11896,26223,22657,17224
228,4,11856,26164,22671,17309
229,4,11988,27745,21238,17029
230,4,12029,25852,22702,17417
231,4,12064,26381,22414,17141
232,4,11595,24215,24580,17610
233,4,11551,24106,24667,17676
234,4,11607,24173,24636,17584
235,4,11810,22314,26776,17100
236,4,11270,20997,27900,17833
237,4,11069,22782,25751,18398
238,4,10865,21325,26979,18831
239,4,10824,21662,26881,18633
240,4,11225,23290,25229,18256
241,4,11944,25287,23377,17392
242,4,12621,25560,22729,17090
243,4,12625,25422,22674,17279
244,4,12844,25009,23717,16430
245,4,12701,24683,23861,16755
246,4,12714,25401,22858,17027
247,4,12348,24904,23679,17069
248,4,12447,23211,25028,17314
249,4,11952,21796,26413,17839
250,4,11938,21664,26550,17848
251,4,11759,23071,25451,17719
252,4,11821,21739,26964,17476
253,4,12075,19952,28302,17671
254,4,11328,18854,29747,18071
255,4,9878,16996,32057,19069
256,4,10171,15553,33495,18781
257,4,10303,15614,33248,18835
258,4,10088,15382,33904,18626
259,4,10205,15139,34329,18327
260,4,10221,15266,34242,18271
261,4,10348,14049,35292,18311
262,4,11125,12453,37729,16693
263,4,11266,11347,39257,16130
264,4,11713,12887,36877,16523
265,4,11434,13695,35666,17205
266,4,11351,14858,34948,16843
267,4,11319,14558,35146,16977
268,4,11422,14711,34805,17062
269,4,11295,14639,35048,17018
270,4,10926,13964,35924,17186
271,4,11165,12724,37227,16884
272,4,11127,12791,37346,16736
273,4,10979,12321,37817,16883
274,4,10741,12627,37824,16808
275,4,10861,12722,37755,16662
276,4,10979,12239,37801,16981
277,4,10759,12443,37886,16912
278,4,11110,13858,35320,17712
279,4,10598,15164,33999,18239
280,4,11329,13830,35459,17382
281,4,10604,12835,36645,17916
282,4,9845,14325,34541,19289
283,4,9825,14452,34006,19717
284,4,9846,14533,34024,19597
285,4,9635,13366,35399,19600
286,4,9897,11988,37629,18486
287,4,9666,10576,39936,17822
288,4,9696,10258,40615,17431
289,4,9475,10822,39007,18696
290,4,9416,10576,39643,18365
291,4,9780,11981,37278,18961
292,4,9631,11723,38148,18498
293,4,9622,11713,38084,18581
294,4,9712,11535,38296,18457
295,4,9399,11774,38376,18451
296,4,9402,12606,37331,18661
297,4,9452,12416,37307,18825
298,4,9241,12696,37373,18690
299,4,9559,11644,38103,18694
300,4,9451,11665,38212,18672
301,4,9491,11686,38382,18441
302,4,9178,10866,38936,19020
303,4,9150,10893,39003,18954
304,4,9627,9847,40440,18086
305,4,9653,9937,40337,18073
306,4,9627,9932,40333,18108
307,4,10175,10808,39104,17913
308,4,10986,11892,37649,17473
309,4,10685,12757,36989,17569
310,4,10701,12742,36873,17684
311,4,10571,12988,36970,17471
312,4,10801,11786,37738,17675
313,4,10691,11999,37739,17571
314,4,11321,10522,39987,16170
315,4,11107,9354,41475,16064
316,4,11279,10481,40149,16091
317,4,11106,9635,41191,16068
318,4,10676,8994,42968,15362
319,4,10773,9292,41958,15977
320,4,10728,9294,42237,15741
321,4,10861,9227,41970,15942
322,4,10604,9790,40910,16696
323,4,10807,9501,40905,16787
324,4,10634,9508,41045,16813
325,4,11033,10389,40077,16501
326,4,10431,9315,41622,16632
327,4,10651,9939,40907,16503
328,4,10720,9340,41545,16395
329,4,11456,10306,40089,16149
330,4,11437,10280,40151,16132
331,4,10958,9335,42364,15343
332,4,11002,8908,42791,15299
333,4,11678,9329,41472,15521
334,4,11961,8324,44043,13672
335,4,12737,9138,42458,13667
336,4,12808,9026,42521,13645
337,4,12830,9751,41977,13442
338,4,12799,9709,41929,13563
339,4,12986,9645,41908,13461
340,4,12695,9875,41251,14179
341,4,12173,9081,42545,14201
342,4,12121,9771,41767,14341
343,4,12055,9768,41900,14277
344,4,12057,9656,41936,14351
345,4,12990,10750,40382,13878
346,4,13297,11425,39672,13606
347,4,13129,12303,38553,14015
348,4,12906,12851,37272,14971
349,4,12041,14581,34843,16535
350,4,12098,14296,34966,16640
351,4,12043,14556,34737,16664
352,4,13192,16127,32413,16268
353,4,12094,14298,34865,16743
354,4,11703,14327,35131,16839
355,4,11130,13254,36917,16699
356,4,11529,14014,35880,16577
357,4,11414,14276,35753,16557
358,4,11384,14111,35791,16714
359,4,11715,13604,36715,15966
360,4,11697,13711,36674,15918
361,4,11655,15231,34493,16621
