round,seed,exploit,coop,defect,exploit_
1,4,11670,29610,19414,17306
2,4,12095,30838,18266,16801
3,4,11667,28464,20600,17269
4,4,11837,27999,20921,17243
5,4,12276,27302,21778,16644
6,4,12981,29353,19822,15844
7,4,13145,31127,18484,15244
8,4,13853,29543,19203,15401
9,4,13411,30456,18768,15365
10,4,13489,30387,18785,15339
11,4,13588,29624,19173,15615
12,4,13410,31396,17899,15295
13,4,13356,29768,19223,15653
14,4,13082,29387,19903,15628
15,4,12739,26645,22054,16562
16,4,12041,25533,23568,16858
17,4,12269,23369,25662,16700
18,4,11823,21782,27409,16986
19,4,11815,21900,27232,17053
20,4,11903,22851,26171,17075
21,4,12010,21022,27709,17259
22,4,11859,21348,27648,17145
23,4,12569,21787,26801,16843
24,4,12397,22497,25360,17746
25,4,12314,22567,25374,17745
26,4,12174,22805,25549,17472
27,4,12669,24669,23579,17083
28,4,12857,24364,23529,17250
29,4,12614,24623,23505,17258
30,4,12293,25397,22632,17678
31,4,13084,25295,21928,17693
32,4,12992,25292,22116,17600
33,4,12690,26769,21156,17385
34,4,12435,25869,22294,17402
35,4,11939,28169,20213,17679
36,4,12299,27235,21462,17004
37,4,12435,26526,22259,16780
38,4,12454,26895,21756,16895
39,4,12622,29120,19677,16581
40,4,12624,29146,19715,16515
41,4,12699,29487,19224,16590
42,4,13130,27801,20543,16526
43,4,13379,27558,20550,16513
44,4,13499,26452,21678,16371
45,4,13532,26828,21103,16537
46,4,13634,26598,21243,16525
47,4,13363,26000,22222,16415
48,4,13395,25225,22948,16432
49,4,12800,26072,22258,16870
50,4,13379,28071,20053,16497
51,4,13334,28469,19668,16529
52,4,13899,29900,18607,15594
53,4,13865,29009,19705,15421
54,4,14028,29886,18579,15507
55,4,13233,27770,20574,16423
56,4,14384,25588,22539,15489
57,4,14768,24417,23637,15178
58,4,14840,23761,24401,14998
59,4,14746,23536,24628,15090
60,4,14616,24938,23518,14928
61,4,14491,24070,24763,14676
62,4,14551,23668,25077,14704
63,4,13501,26150,22590,15759
64,4,13145,24740,23996,16119
65,4,12934,26000,22799,16267
66,4,12835,27095,21967,16103
67,4,13699,26054,22530,15717
68,4,14396,24200,23579,15825
69,4,14784,25548,22632,15036
70,4,14606,25460,23010,14924
71,4,14779,26256,21769,15196
72,4,15539,24248,23895,14318
73,4,15321,25800,22504,14375
74,4,15793,26389,21613,14205
75,4,16012,24792,23219,13977
76,4,15084,27014,21113,14789
77,4,15666,25219,22396,14719
78,4,16251,23219,24528,14002
79,4,16154,21226,26719,13901
80,4,15988,20926,27161,13925
81,4,15787,20927,27379,13907
82,4,16147,20851,27034,13968
83,4,16303,19644,27988,14065
84,4,15568,19442,28926,14064
85,4,15172,20128,27792,14908
86,4,14341,18273,29731,15655
87,4,14227,18195,29976,15602
88,4,14207,18265,30044,15484
89,4,13751,19292,28802,16155
90,4,13411,20529,28043,16017
91,4,13500,19630,28915,15955
92,4,13777,17489,31006,15728
93,4,13667,17565,31101,15667
94,4,13723,17564,31178,15535
95,4,13630,17655,31147,15568
96,4,13602,17933,30987,15478
97,4,13030,16111,32673,16186
98,4,13580,14757,34626,15037
99,4,13640,14723,34470,15167
100,4,13894,14955,34279,14872
101,4,14061,14693,34454,14792
102,4,12514,13334,36443,15709
103,4,12719,14150,35659,15472
104,4,12845,15260,34344,15551
105,4,12747,14485,35419,15349
106,4,12562,14261,35752,15425
107,4,12881,13399,36497,15223
108,4,12691,13450,36631,15228
109,4,12743,13385,36552,15320
110,4,12542,13831,36031,15596
111,4,12653,13695,35825,15827
112,4,12750,13537,36011,15702
113,4,12881,12722,37280,15117
114,4,12023,11801,39169,15007
115,4,13013,12082,38052,14853
116,4,12725,12596,37744,14935
117,4,12907,12141,38032,14920
118,4,13083,12593,37338,14986
119,4,13296,13243,36576,14885
120,4,13605,14974,34244,15177
121,4,14051,15664,32839,15446
122,4,13451,14900,34442,15207
123,4,13393,14053,35049,15505
124,4,13464,14109,35047,15380
125,4,13351,14040,35079,15530
126,4,12995,12925,36402,15678
127,4,13064,12216,37135,15585
128,4,12573,13489,34778,17160
129,4,12419,12557,35871,17153
130,4,12752,13061,34467,17720
131,4,13877,14454,32502,17167
132,4,14673,14791,31285,17251
133,4,14376,15880,30008,17736
134,4,14626,17189,29021,17164
135,4,14059,15844,30541,17556
136,4,14437,15444,31270,16849
137,4,14246,15559,31263,16932
138,4,14571,16487,30517,16425
139,4,14489,15061,32655,15795
140,4,14410,16135,31392,16063
141,4,13965,17492,30276,16267
142,4,13543,18566,29287,16604
143,4,13494,17694,30244,16568
144,4,13962,17814,29169,17055
145,4,14688,16431,30661,16220
146,4,14672,16759,30409,16160
147,4,13809,16376,31585,16230
148,4,13492,17280,30519,16709
149,4,13978,16185,31569,16268
150,4,15250,16800,29889,16061
151,4,15892,18135,27971,16002
152,4,16116,19088,27042,15754
153,4,15500,17180,29058,16262
154,4,15490,17492,28171,16847
155,4,15440,17236,28404,16920
156,4,15003,15749,30382,16866
157,4,14974,15803,30544,16679
158,4,14881,15862,30577,16680
159,4,14871,14913,30904,17312
160,4,14962,16430,29047,17561
161,4,15272,15213,30111,17404
162,4,15207,13714,32273,16806
163,4,14128,13282,33837,16753
164,4,14123,13377,33706,16794
165,4,14972,12198,34289,16541
166,4,15283,11132,36418,15167
167,4,15454,10880,36426,15240
168,4,13861,10673,38100,15366
169,4,14127,9216,40487,14170
170,4,14154,9132,40490,14224
171,4,14178,9206,40475,14141
172,4,14092,9222,40476,14210
173,4,14050,9138,40549,14263
174,4,13965,9254,40567,14214
175,4,13378,7994,42984,13644
176,4,13740,7185,44178,12897
177,4,13693,7749,43645,12913
178,4,14950,8956,41227,12867
179,4,14842,9070,41214,12874
180,4,15285,9470,40030,13215
181,4,15431,9222,40117,13230
182,4,15336,8593,40588,13483
183,4,15264,8804,40478,13454
184,4,14968,7806,41270,13956
185,4,15110,7358,42988,12544
186,4,14972,7539,42949,12540
187,4,15358,6913,43387,12342
188,4,15733,7828,41173,13266
189,4,15833,8716,40475,12976
190,4,15927,8557,40732,12784
191,4,15348,8248,41731,12673
192,4,15163,9556,39316,13965
193,4,14647,8542,40622,14189
194,4,14745,9577,39208,14470
195,4,14188,8285,41701,13826
196,4,14411,7221,44124,12244
197,4,14545,7262,44236,11957
198,4,14361,6442,44663,12534
199,4,14128,6626,44696,12550
200,4,13909,5875,45862,12354
201,4,13956,6673,44886,12485
202,4,13906,7290,43563,13241
203,4,14099,7323,43407,13171
204,4,14015,7389,43495,13101
205,4,13886,7408,43606,13100
206,4,14324,6831,44134,12711
207,4,13376,6408,45981,12235
208,4,13378,6260,45939,12423
209,4,13224,6370,46001,12405
210,4,13382,6397,45901,12320
211,4,13386,6336,45886,12392
212,4,13316,6364,46012,12308
213,4,13160,5473,47236,12131
214,4,13360,6071,46701,11868
215,4,12903,6858,45420,12819
216,4,12816,7606,44584,12994
217,4,12946,8092,44086,12876
218,4,11128,6997,46644,13231
219,4,11122,7529,45768,13581
220,4,11112,6737,46947,13204
221,4,11160,7003,46661,13176
222,4,11073,7042,46593,13292
223,4,10902,7199,46716,13183
224,4,10815,7921,45505,13759
225,4,10847,7894,45576,13683
226,4,11385,8312,44789,13514
227,4,11304,8311,44833,13552
228,4,11255,8554,44716,13475
229,4,11652,8831,44050,13467
230,4,11558,8859,44025,13558
231,4,11524,7431,46796,12249
232,4,11468,7724,46412,12396
233,4,11305,7085,47611,11999
234,4,11419,7184,47305,12092
235,4,11405,7370,47063,12162
236,4,10871,6696,48362,12071
237,4,10913,6652,48286,12149
238,4,10864,6264,48804,12068
239,4,10952,6840,48261,11947
240,4,11453,7178,47459,11910
241,4,11130,6784,48152,11934
242,4,12891,8097,45403,11609
243,4,12866,7949,45687,11498
244,4,12754,8916,44373,11957
245,4,12918,9021,44039,12022
246,4,12788,8450,45067,11695
247,4,12680,8637,44845,11838
248,4,12799,8260,45065,11876
249,4,12923,8211,44917,11949
250,4,13002,9007,43953,12038
251,4,13234,9689,42739,12338
252,4,12941,9757,43279,12023
253,4,12973,9138,43807,12082
254,4,13969,9804,42273,11954
255,4,12527,9131,44006,12336
256,4,12555,8150,45496,11799
257,4,12575,8064,45453,11908
258,4,12355,7313,46719,11613
259,4,12513,7621,46106,11760
260,4,13388,8455,44716,11441
261,4,13444,7801,45401,11354
262,4,13335,7762,45813,11090
263,4,13578,7355,46230,10837
264,4,14222,8272,44110,11396
265,4,13662,9214,43305,11819
266,4,13787,10273,41585,12355
267,4,13582,9292,42593,12533
268,4,13611,8859,43311,12219
269,4,13383,9468,42359,12790
270,4,13660,10302,41143,12895
271,4,13826,9928,41779,12467
272,4,13840,9669,42048,12443
273,4,13085,9116,43230,12569
274,4,12976,9004,43438,12582
275,4,12785,9118,43650,12447
276,4,12952,8892,43441,12715
277,4,13598,9833,42124,12445
278,4,13988,11274,39526,13212
279,4,13625,12517,38622,13236
280,4,14082,11098,40264,12556
281,4,13834,10431,40999,12736
282,4,13803,10440,40954,12803
283,4,13825,9493,42590,12092
284,4,13526,10522,40980,12972
285,4,13320,9836,41963,12881
286,4,13447,9744,41836,12973
287,4,13194,8544,44146,12116
288,4,13247,8322,44168,12263
289,4,13103,8468,44200,12229
290,4,13176,7591,45339,11894
291,4,13673,9040,42782,12505
292,4,13252,8592,44291,11865
293,4,13712,7399,45737,11152
294,4,13677,7507,45615,11201
295,4,13369,7588,46058,10985
296,4,13494,7988,45067,11451
297,4,13381,8014,45172,11433
298,4,14300,8628,43832,11240
299,4,14050,9913,41324,12713
300,4,14032,9892,41288,12788
301,4,13810,10550,40544,13096
302,4,13894,10490,40498,13118
303,4,13737,10766,40434,13063
304,4,14245,9705,41410,12640
305,4,14344,10507,40798,12351
306,4,14333,10419,40638,12610
307,4,15012,12173,38288,12527
308,4,14422,10939,39797,12842
309,4,14167,11670,39000,13163
310,4,14044,11023,39524,13409
311,4,14385,11623,38823,13169
312,4,14454,11431,38859,13256
313,4,14368,11680,38861,13091
314,4,14451,11673,38748,13128
315,4,14396,10792,39698,13114
316,4,14270,10889,39779,13062
317,4,14420,10897,39706,12977
318,4,14016,10572,40806,12606
319,4,14342,11415,38916,13327
320,4,14371,11070,39103,13456
321,4,13220,10447,40850,13483
322,4,13071,11367,38903,14659
323,4,13443,11795,38085,14677
324,4,13561,10481,40765,13193
325,4,13898,11371,39530,13201
326,4,13715,11185,39895,13205
327,4,14033,12239,38449,13279
328,4,14040,12305,38341,13314
329,4,14488,13081,37262,13169
330,4,14275,13214,37381,13130
331,4,13942,11589,39821,12648
332,4,13991,11516,39987,12506
333,4,14803,12727,38079,12391
334,4,15277,10968,40666,11089
335,4,15497,11526,40039,10938
336,4,15417,10946,40376,11261
337,4,15425,11236,40303,11036
338,4,15608,11032,40204,11156
339,4,14594,9503,42944,10959
340,4,14192,10591,40962,12255
341,4,15528,11042,39278,12152
342,4,15279,11289,39373,12059
343,4,15340,10947,39549,12164
344,4,15552,10944,39366,12138
345,4,14143,10339,41235,12283
346,4,14190,10661,40735,12414
347,4,13872,11530,39554,13044
348,4,14164,10695,40467,12674
349,4,14135,10768,40517,12580
350,4,14323,9798,41429,12450
351,4,14421,10956,39915,12708
352,4,13065,9568,42525,12842
353,4,11607,8205,45031,13157
354,4,11750,8237,44608,13405
355,4,11457,7660,45668,13215
356,4,11798,8283,44758,13161
357,4,11969,8653,44212,13166
358,4,12449,9165,43223,13163
359,4,12150,10153,41963,13734
360,4,11932,11185,40296,14587
361,4,11695,11349,40515,14441
