round,seed,coop,exploit_,exploit,defect
1,512,29226,17558,11823,19393
2,512,27176,17917,11259,21648
3,512,25219,17320,12061,23400
4,512,26556,16929,12284,22231
5,512,25837,16931,12346,22886
6,512,28130,17293,11707,20870
7,512,28212,17339,11786,20663
8,512,28138,17097,11854,20911
9,512,25809,17581,11749,22861
10,512,27516,16839,11914,21731
11,512,26583,16761,12379,22277
12,512,25435,16415,12614,23536
13,512,25782,16432,12368,23418
14,512,26749,16181,12709,22361
15,512,26121,15841,13014,23024
16,512,26071,15781,13064,23084
17,512,25612,15965,12939,23484
18,512,26100,16357,12907,22636
19,512,25277,16232,12397,24094
20,512,24857,16290,12437,24416
21,512,23550,16505,12399,25546
22,512,23769,16622,12289,25320
23,512,23768,16638,12423,25171
24,512,23311,16619,12444,25626
25,512,23734,16546,12261,25459
26,512,24618,16217,12776,24389
27,512,25487,16272,13112,23129
28,512,25923,15995,12862,23220
29,512,25962,16003,12899,23136
30,512,25411,16412,12633,23544
31,512,26227,16014,12587,23172
32,512,23640,16682,12415,25263
33,512,23687,16564,12398,25351
34,512,23648,16622,12320,25410
35,512,24869,17022,11864,24245
36,512,25018,16928,11671,24383
37,512,27067,16097,12782,22054
38,512,26686,16168,12772,22374
39,512,26652,16148,12927,22273
40,512,28438,15511,13046,21005
41,512,27668,15840,13303,21189
42,512,28694,15758,13586,19962
43,512,29317,15354,13615,19714
44,512,28258,14860,14133,20749
45,512,30952,14487,14162,18399
46,512,30743,14549,14143,18565
47,512,30737,14545,14130,18588
48,512,30713,14376,14053,18858
49,512,28042,14159,15010,20789
50,512,27116,14735,14678,21471
51,512,27014,14631,14588,21767
52,512,27049,14554,14591,21806
53,512,25064,15269,13658,24009
54,512,24526,15270,13826,24378
55,512,24042,15643,13957,24358
56,512,22906,14879,14192,26023
57,512,23652,15134,14036,25178
58,512,22277,14806,14063,26854
59,512,22537,15153,14185,26125
60,512,23489,14625,14285,25601
61,512,21362,14933,13716,27989
62,512,22326,14635,14182,26857
63,512,22578,14731,14166,26525
64,512,22147,14783,14209,26861
65,512,22038,14601,14162,27199
66,512,22454,14742,14342,26462
67,512,22459,14753,14366,26422
68,512,23856,14704,14306,25134
69,512,24010,14686,14082,25222
70,512,25031,14562,13991,24416
71,512,24806,14760,14227,24207
72,512,23610,15197,13896,25297
73,512,23567,15132,13907,25394
74,512,23599,15210,13918,25273
75,512,22766,14810,13821,26603
76,512,23027,14724,13838,26411
77,512,22043,15056,13899,27002
78,512,23505,14971,13887,25637
79,512,24562,15693,13462,24283
80,512,25606,15088,13805,23501
81,512,25614,15026,13836,23524
82,512,25369,15085,13912,23634
83,512,24253,15452,13574,24721
84,512,26321,16281,12759,22639
85,512,26563,16305,12815,22317
86,512,25422,16629,12403,23546
87,512,23939,17238,12086,24737
88,512,25424,16631,12345,23600
89,512,26086,17094,12371,22449
90,512,24782,17585,11823,23810
91,512,26914,16964,12051,22071
92,512,25411,16846,12430,23313
93,512,26623,17326,11986,22065
94,512,28572,16955,12346,20127
95,512,30332,16542,12314,18812
96,512,29160,17076,12026,19738
97,512,31276,16254,12607,17863
98,512,30460,16166,12749,18625
99,512,31771,16005,12842,17382
100,512,31301,15995,12919,17785
101,512,32149,15764,12469,17618
102,512,31133,15832,12771,18264
103,512,30856,15757,12741,18646
104,512,31978,15821,12707,17494
105,512,32118,15857,12590,17435
106,512,34430,14876,13074,15620
107,512,34881,15008,13223,14888
108,512,36210,14867,12879,14044
109,512,35061,14911,13113,14915
110,512,34168,15027,13382,15423
111,512,32878,14624,13446,17052
112,512,30914,15625,13297,18164
113,512,30709,15661,13215,18415
114,512,28444,15873,12901,20782
115,512,26303,16032,12882,22783
116,512,27417,16365,12555,21663
117,512,27677,16443,12530,21350
118,512,27940,16764,12458,20838
119,512,25933,15881,13196,22990
120,512,26742,16185,13184,21889
121,512,28278,15759,13126,20837
122,512,28705,16004,13018,20273
123,512,29585,16041,12478,19896
124,512,29067,16335,12765,19833
125,512,28255,16340,12268,21137
126,512,26146,15937,12707,23210
127,512,26410,16083,12782,22725
128,512,26264,16160,12906,22670
129,512,25299,16023,13089,23589
130,512,24718,16181,13027,24074
131,512,25434,15854,13238,23474
132,512,26483,15592,13743,22182
133,512,26010,15376,13438,23176
134,512,26083,15426,13631,22860
135,512,28532,15126,13552,20790
136,512,28308,15441,13588,20663
137,512,27444,15506,13254,21796
138,512,28358,15731,13140,20771
139,512,28709,15486,12863,20942
140,512,29270,15933,12668,20129
141,512,28159,15719,13029,21093
142,512,29127,16019,12984,19870
143,512,26801,15620,13563,22016
144,512,26023,14883,13765,23329
145,512,26867,15093,14389,21651
146,512,28227,15190,13738,20845
147,512,27063,14832,14293,21812
148,512,27363,14688,14260,21689
149,512,26214,14861,14038,22887
150,512,26963,15050,14363,21624
151,512,26925,14782,14044,22249
152,512,27370,14750,14037,21843
153,512,28231,14668,14453,20648
154,512,29666,14870,13827,19637
155,512,28500,14714,14233,20553
156,512,26984,14587,14602,21827
157,512,26810,14405,14580,22205
158,512,28314,14509,14049,21128
159,512,27105,14897,14041,21957
160,512,26869,14879,14132,22120
161,512,28024,15066,14126,20784
162,512,28206,14896,14089,20809
163,512,28002,15078,14254,20666
164,512,26494,14673,14885,21948
165,512,26660,14467,14856,22017
166,512,26760,14688,14838,21714
167,512,28785,15333,13983,19899
168,512,28682,15315,13984,20019
169,512,30026,15521,13657,18796
170,512,28281,15233,14587,19899
171,512,28230,15258,14473,20039
172,512,28142,15325,14659,19874
173,512,28524,15220,14445,19811
174,512,27362,15180,14641,20817
175,512,25364,15285,14054,23297
176,512,24270,15111,15063,23556
177,512,25099,15697,14846,22358
178,512,22895,15823,14659,24623
179,512,25061,15958,14589,22392
180,512,25088,15837,14420,22655
181,512,26707,15342,14495,21456
182,512,28396,14889,14943,19772
183,512,28391,14916,14862,19831
184,512,27889,15059,14655,20397
185,512,29078,15367,14137,19418
186,512,30714,14636,14631,18019
187,512,31845,14061,14843,17251
188,512,31740,14288,14708,17264
189,512,31145,13986,14844,18025
190,512,30524,13977,15066,18433
191,512,30447,13939,15091,18523
192,512,29360,14318,14670,19652
193,512,30403,14025,14749,18823
194,512,30997,14126,14791,18086
195,512,31714,13909,14556,17821
196,512,30054,14602,14651,18693
197,512,28065,14334,15587,20014
198,512,28182,14036,15644,20138
199,512,29786,14190,14826,19198
200,512,29082,14410,14999,19509
201,512,29278,14292,14992,19438
202,512,29640,14314,14838,19208
203,512,31145,13448,15124,18283
204,512,31173,13487,15040,18300
205,512,30623,13741,15350,18286
206,512,33226,13930,14452,16392
207,512,33312,13868,14669,16151
208,512,32463,13881,14862,16794
209,512,32421,13759,14726,17094
210,512,31268,13822,14962,17948
211,512,31270,13675,14858,18197
212,512,28610,13019,16102,20269
213,512,29635,13165,15828,19372
214,512,29591,13061,15610,19738
215,512,31157,12802,15793,18248
216,512,32103,12944,15644,17309
217,512,29804,14044,14935,19217
218,512,30665,14093,15049,18193
219,512,30316,14041,14745,18898
220,512,32541,14847,14082,16530
221,512,32372,14887,13998,16743
222,512,33507,14597,13979,15917
223,512,32488,14755,13919,16838
224,512,32316,14410,13775,17499
225,512,31126,14676,14065,18133
226,512,31750,14567,14088,17595
227,512,31991,14530,14039,17440
228,512,31751,14545,14077,17627
229,512,31773,14444,14122,17661
230,512,32788,14410,13829,16973
231,512,34188,15039,13195,15578
232,512,34714,15025,13000,15261
233,512,34028,15124,13168,15680
234,512,34456,15222,13262,15060
235,512,34720,15016,13187,15077
236,512,34544,15121,12941,15394
237,512,34524,14910,13252,15314
238,512,34197,15043,12909,15851
239,512,36754,14594,12897,13755
240,512,36651,14642,12769,13938
241,512,35802,14760,13061,14377
242,512,37090,14761,12895,13254
243,512,36509,14812,12689,13990
244,512,35793,14936,12790,14481
245,512,33318,15112,13187,16383
246,512,33260,15055,13162,16523
247,512,31499,14846,13531,18124
248,512,33799,15782,12489,15930
249,512,32328,16243,12412,17017
250,512,31792,16157,12831,17220
251,512,32045,16252,12511,17192
252,512,32469,16183,12400,16948
253,512,32346,15968,12424,17262
254,512,32377,16059,12410,17154
255,512,34369,15479,12820,15332
256,512,34243,15434,12910,15413
257,512,35695,14593,13016,14696
258,512,38230,14098,13084,12588
259,512,36825,14085,13701,13389
260,512,36048,14170,13856,13926
261,512,35143,14509,13474,14874
262,512,35668,14528,13221,14583
263,512,35724,14654,13266,14356
264,512,36449,14778,12748,14025
265,512,37128,14905,12778,13189
266,512,37733,14835,12399,13033
267,512,37865,14621,12341,13173
268,512,37879,14691,12351,13079
269,512,38462,14653,12553,12332
270,512,41438,13969,12072,10521
271,512,41307,13927,11966,10800
272,512,41389,14031,11944,10636
273,512,42481,13564,11981,9974
274,512,42186,13695,12145,9974
275,512,42276,13579,11979,10166
276,512,40544,14137,12302,11017
277,512,39562,14170,12642,11626
278,512,38689,14214,12639,12458
279,512,40927,14833,11682,10558
280,512,43565,14340,11048,9047
281,512,44512,14259,10521,8708
282,512,45706,14098,10254,7942
283,512,46064,14100,10285,7551
284,512,45937,14199,10319,7545
285,512,46021,14141,10182,7656
286,512,46284,14063,10134,7519
287,512,46780,13988,10083,7149
288,512,47152,13891,10014,6943
289,512,48895,12672,10588,5845
290,512,48634,12769,10600,5997
291,512,48896,12602,10542,5960
292,512,51970,12188,9506,4336
293,512,51266,12314,9866,4554
294,512,51311,12285,9682,4722
295,512,51415,12402,9788,4395
296,512,51017,12371,9784,4828
297,512,50752,12318,9846,5084
298,512,51469,12298,9758,4475
299,512,54125,10812,9803,3260
300,512,54496,10809,9473,3222
301,512,54519,10797,9506,3178
302,512,54466,10767,9364,3403
303,512,54062,10930,9680,3328
304,512,53001,11106,10173,3720
305,512,53165,10995,10060,3780
306,512,53140,11070,10218,3572
307,512,52396,11376,10451,3777
308,512,53045,11215,9938,3802
309,512,53327,11255,10062,3356
310,512,53301,11156,10083,3460
311,512,53696,11056,9879,3369
312,512,53853,10952,9683,3512
313,512,54482,10842,9626,3050
314,512,54447,10851,9417,3285
315,512,54440,10977,9453,3130
316,512,54021,11033,9549,3397
317,512,53570,11102,9728,3600
318,512,52713,11312,10054,3921
319,512,52830,11304,10093,3773
320,512,52669,11245,10162,3924
321,512,52543,11417,10286,3754
322,512,52900,11301,10143,3656
323,512,52453,11268,10249,4030
324,512,52591,11429,10168,3812
325,512,52690,11407,10294,3609
326,512,52367,11378,10398,3857
327,512,52941,11360,10096,3603
328,512,52302,11393,10317,3988
329,512,52171,11465,10348,4016
330,512,53187,11279,10102,3432
331,512,53290,11208,10130,3372
332,512,52547,11376,10404,3673
333,512,52621,11301,10481,3597
334,512,52779,11070,10467,3684
335,512,52343,11377,10632,3648
336,512,51803,11540,10912,3745
337,512,51747,11583,10949,3721
338,512,51473,11585,11033,3909
339,512,51154,11767,11216,3863
340,512,50191,12268,11470,4071
341,512,49425,12438,11573,4564
342,512,48308,12697,11984,5011
343,512,48438,12639,12034,4889
344,512,49206,12250,11790,4754
345,512,48982,12340,11893,4785
346,512,47498,12757,12573,5172
347,512,46052,13067,12995,5886
348,512,46744,12881,12943,5432
349,512,46951,12785,12667,5597
350,512,45206,13216,13300,6278
351,512,45518,13071,13190,6221
352,512,45438,13104,13277,6181
353,512,46394,12698,13224,5684
354,512,45905,12863,13378,5854
355,512,45250,13104,13560,6086
356,512,44048,13612,13814,6526
357,512,45074,13358,13634,5934
358,512,44331,13541,13744,6384
359,512,44392,13400,13610,6598
360,512,44251,13605,13654,6490
361,512,43625,13886,13925,6564
362,512,42272,14222,14214,7292
363,512,43350,13909,13830,6911
364,512,43373,14130,14070,6427
365,512,43503,13936,13818,6743
366,512,43652,13955,13963,6430
367,512,44480,13750,13710,6060
368,512,45542,13555,13235,5668
369,512,46012,13545,13117,5326
370,512,46985,13245,12455,5315
371,512,46005,13344,12835,5816
372,512,45546,13575,12973,5906
373,512,44738,13693,13157,6412
374,512,44389,13871,13469,6271
375,512,45118,13372,13219,6291
376,512,46151,13054,13083,5712
377,512,43280,13123,13624,7973
378,512,43716,13000,13763,7521
379,512,42361,13336,14228,8075
380,512,44474,13415,13619,6492
381,512,45259,13451,13528,5762
382,512,44565,13408,13481,6546
383,512,44701,13487,13453,6359
384,512,44889,13340,13416,6355
385,512,44556,13435,13571,6438
386,512,43987,13626,13813,6574
387,512,44183,13664,13767,6386
388,512,44908,13362,13315,6415
389,512,44609,13434,13339,6618
390,512,44460,13430,13441,6669
391,512,43606,13669,13773,6952
392,512,44865,13315,13379,6441
393,512,43987,13696,13633,6684
394,512,43659,13559,13631,7151
395,512,42697,13936,13953,7414
396,512,42310,14069,13976,7645
397,512,41818,14264,14091,7827
398,512,40966,14580,14323,8131
399,512,40072,14909,14812,8207
400,512,41856,14534,14196,7414
401,512,42160,14344,14194,7302
402,512,42666,14314,13975,7045
403,512,41651,14461,14181,7707
404,512,40992,14574,14396,8038
405,512,41117,14495,14150,8238
406,512,40192,14798,14550,8460
407,512,40418,14791,14432,8359
408,512,40090,14879,14593,8438
409,512,42338,14062,13967,7633
410,512,41865,14329,14202,7604
411,512,41016,14338,14234,8412
412,512,40701,14517,14238,8544
413,512,39473,14860,14828,8839
414,512,40467,14432,14372,8729
415,512,39592,14858,14904,8646
416,512,40541,14724,14591,8144
417,512,41502,14343,14079,8076
418,512,40829,14464,14090,8617
419,512,41167,14441,14243,8149
420,512,40827,14704,14355,8114
421,512,41104,14341,14110,8445
422,512,41407,14534,14011,8048
423,512,41828,14442,13994,7736
424,512,43354,13885,13554,7207
425,512,42976,14077,13580,7367
426,512,43638,13832,13450,7080
