round,seed,coop,exploit_,exploit,defect
1,512,29226,17558,11823,19393
2,512,27176,17917,11259,21648
3,512,25219,17320,12061,23400
4,512,27434,16888,12430,21248
5,512,26745,16864,12497,21894
6,512,29012,17234,11812,19942
7,512,29158,17253,11886,19703
8,512,28991,17092,11986,19931
9,512,26707,17496,11944,21853
10,512,29254,16352,12564,19830
11,512,28558,16215,12942,20285
12,512,27949,15858,13047,21146
13,512,29706,15839,12980,19475
14,512,31420,15313,13075,18192
15,512,30763,15090,13448,18699
16,512,30733,15078,13679,18510
17,512,31353,14836,13805,18006
18,512,31160,14941,14026,17873
19,512,30072,14861,13699,19368
20,512,29387,15048,13589,19976
21,512,28272,15260,13643,20825
22,512,28700,15397,13624,20279
23,512,28733,15224,13557,20486
24,512,28582,15210,13662,20546
25,512,30521,14750,13866,18863
26,512,30013,14971,13664,19352
27,512,31211,15052,13927,17810
28,512,31208,14964,13941,17887
29,512,31491,14846,13845,17818
30,512,31321,15067,13840,17772
31,512,31288,14844,13754,18114
32,512,29742,15254,13507,19497
33,512,29768,15204,13589,19439
34,512,29607,15231,13584,19578
35,512,30503,15620,13123,18754
36,512,30846,15450,12873,18831
37,512,32634,14793,13714,16859
38,512,32268,14907,13735,17090
39,512,32336,14979,13730,16955
40,512,32327,14978,13687,17008
41,512,31982,14920,13562,17536
42,512,33485,14789,13776,15950
43,512,33341,14850,13719,16090
44,512,32024,14419,14183,17374
45,512,32625,14325,14216,16834
46,512,32885,14197,14141,16777
47,512,32936,14454,14311,16299
48,512,33270,14133,14063,16534
49,512,30105,14016,15110,18769
50,512,30100,14135,14852,18913
51,512,30550,14059,14727,18664
52,512,31169,13746,14803,18282
53,512,29709,14239,14463,19589
54,512,29548,14301,14349,19802
55,512,28620,14641,14476,20263
56,512,28909,14488,14433,20170
57,512,30318,14639,14072,18971
58,512,27450,14431,14541,21578
59,512,26178,14111,15153,22558
60,512,26794,13810,15063,22333
61,512,26854,13700,15107,22339
62,512,27837,13487,15718,20958
63,512,28952,12915,15821,20312
64,512,31171,12543,15881,18405
65,512,31980,12702,15704,17614
66,512,32112,12854,15767,17267
67,512,31981,12958,15719,17342
68,512,32458,12872,15724,16946
69,512,33396,12842,15822,15940
70,512,34314,12466,15773,15447
71,512,34224,12624,15596,15556
72,512,34070,12730,15920,15280
73,512,33691,12604,15751,15954
74,512,33720,12729,15842,15709
75,512,34100,12635,15800,15465
76,512,34471,12556,15699,15274
77,512,34160,12723,15648,15469
78,512,34582,12751,15763,14904
79,512,36178,13182,14842,13798
80,512,37788,12409,15116,12687
81,512,38674,12462,14722,12142
82,512,39008,12629,14510,11853
83,512,38427,12989,14381,12203
84,512,40903,13260,13212,10625
85,512,41242,13263,13191,10304
86,512,39199,14243,12976,11582
87,512,38907,14344,12798,11951
88,512,40094,13757,13016,11133
89,512,37923,14180,13671,12226
90,512,35780,15621,12832,13767
91,512,37857,14570,12942,12631
92,512,36928,14456,13274,13342
93,512,37453,14642,13079,12826
94,512,37390,14665,13135,12810
95,512,39301,14294,12862,11543
96,512,38775,14470,12814,11941
97,512,38175,14722,12912,12191
98,512,38159,14509,12768,12564
99,512,37490,14766,12783,12961
100,512,39913,13855,13011,11221
101,512,37539,14947,12432,13082
102,512,38038,14902,12414,12646
103,512,38469,14835,12646,12050
104,512,40348,14510,12228,10914
105,512,40853,14581,11983,10583
106,512,43276,13168,12642,8914
107,512,42942,13329,12704,9025
108,512,43171,13138,12726,8965
109,512,43251,13296,12676,8777
110,512,42560,13449,12787,9204
111,512,41475,13298,13101,10126
112,512,42165,13191,13236,9408
113,512,41414,13445,13111,10030
114,512,42320,13033,12945,9702
115,512,39685,13719,13199,11397
116,512,40223,13840,12937,11000
117,512,40422,13694,12794,11090
118,512,39680,13791,13201,11328
119,512,39939,13575,13241,11245
120,512,41351,13801,12704,10144
121,512,41636,13532,12623,10209
122,512,41794,13720,12566,9920
123,512,40005,13345,13474,11176
124,512,40108,13254,13540,11098
125,512,39949,13279,13339,11433
126,512,39933,13252,13354,11461
127,512,38319,13354,13963,12364
128,512,38484,13306,14052,12158
129,512,38906,13180,14026,11888
130,512,37976,13327,14124,12573
131,512,35930,14793,13297,13980
132,512,35527,14846,13135,14492
133,512,34946,14952,13171,14931
134,512,33911,15014,13465,15610
135,512,36776,14154,13320,13750
136,512,37579,14175,13195,13051
137,512,37821,14143,13228,12808
138,512,35178,14238,13608,14976
139,512,35962,14088,13541,14409
140,512,37175,14027,13192,13606
141,512,37538,14208,12968,13286
142,512,34854,14719,13597,14830
143,512,34946,14678,13445,14931
144,512,36575,14891,12681,13853
145,512,37524,14843,12800,12833
146,512,36413,14600,13166,13821
147,512,35332,14346,13653,14669
148,512,35613,14346,13415,14626
149,512,35493,14235,13597,14675
150,512,36582,14168,13699,13551
151,512,36362,13746,13477,14415
152,512,39027,13814,12780,12379
153,512,38408,14394,13093,12105
154,512,38566,14200,12931,12303
155,512,39566,14070,12866,11498
156,512,39428,13943,12783,11846
157,512,39462,13856,12768,11914
158,512,40066,14067,12487,11380
159,512,39873,14021,12280,11826
160,512,39794,14142,12439,11625
161,512,37830,14346,12867,12957
162,512,37826,14443,12664,13067
163,512,37660,14483,12793,13064
164,512,35823,14056,13709,14412
165,512,36037,13948,13793,14222
166,512,36212,14187,13786,13815
167,512,36246,14248,13827,13679
168,512,35152,13902,14115,14831
169,512,35293,13843,13974,14890
170,512,35272,13749,14064,14915
171,512,36407,14018,13731,13844
172,512,38435,13918,13412,12235
173,512,38391,13804,13373,12432
174,512,37792,13844,13412,12952
175,512,36947,13956,13317,13780
176,512,36631,14105,13388,13876
177,512,35381,13566,14421,14632
178,512,32650,14140,14443,16767
179,512,30675,14156,14517,18652
180,512,30718,14321,14685,18276
181,512,29383,14576,14753,19288
182,512,27119,15523,14080,21278
183,512,29151,14078,14950,19821
184,512,27025,14759,14672,21544
185,512,26071,14424,15039,22466
186,512,26489,14252,15276,21983
187,512,25425,14730,14971,22874
188,512,24601,14222,15190,23987
189,512,24355,14230,15155,24260
190,512,23972,13945,15494,24589
191,512,22780,14330,15147,25743
192,512,22162,14453,14460,26925
193,512,23494,14419,14532,25555
194,512,22173,14310,14648,26869
195,512,21948,14396,14114,27542
196,512,21755,14370,14303,27572
197,512,20164,14044,14848,28944
198,512,19956,13764,14761,29519
199,512,20053,13853,14743,29351
200,512,19006,13897,14733,30364
201,512,19060,13841,14725,30374
202,512,18928,14189,14705,30178
203,512,18067,14361,14273,31299
204,512,16559,14746,13219,33476
205,512,16596,14984,13264,33156
206,512,15824,14613,13483,34080
207,512,15647,14787,13368,34198
208,512,14886,14465,13712,34937
209,512,14966,14316,13771,34947
210,512,14751,14418,13689,35142
211,512,15814,14580,13366,34240
212,512,15623,14840,13519,34018
213,512,15606,14807,13607,33980
214,512,15777,14459,13051,34713
215,512,14285,14809,13263,35643
216,512,13581,14716,13389,36314
217,512,12118,15175,11940,38767
218,512,12870,15685,12073,37372
219,512,12741,15693,11945,37621
220,512,14486,17195,11425,34894
221,512,12572,16382,11567,37479
222,512,12111,16645,11154,38090
223,512,11915,16779,11266,38040
224,512,11327,16000,10678,39995
225,512,12174,16206,10885,38735
226,512,12013,16192,11007,38788
227,512,12101,16118,10841,38940
228,512,11412,16407,10767,39414
229,512,10941,16324,10160,40575
230,512,10967,16283,10057,40693
231,512,11666,16757,9874,39703
232,512,10802,16722,9410,41066
233,512,10458,16724,9551,41267
234,512,10422,16719,9825,41034
235,512,10009,16300,9617,42074
236,512,9943,16514,9678,41865
237,512,9966,16407,9622,42005
238,512,9899,16383,9595,42123
239,512,10273,16286,9551,41890
240,512,9788,16437,9738,42037
241,512,10702,16762,9540,40996
242,512,10501,16858,9677,40964
243,512,10487,16775,9652,41086
244,512,10731,16883,9547,40839
245,512,11287,16855,9789,40069
246,512,10463,16963,9487,41087
247,512,10565,16994,9284,41157
248,512,10028,16575,9599,41798
249,512,11005,16586,10074,40335
250,512,10683,15850,10159,41308
251,512,10262,15954,10181,41603
252,512,9915,16164,9952,41969
253,512,10616,16355,10485,40544
254,512,11390,15956,10956,39698
255,512,10171,15937,10594,41298
256,512,10712,16197,10666,40425
257,512,10845,16101,10635,40419
258,512,11459,16372,10680,39489
259,512,12581,18173,10132,37114
260,512,12550,18104,10245,37101
261,512,12806,18025,10095,37074
262,512,13169,18709,9956,36166
263,512,12590,18206,10267,36937
264,512,13189,18740,9976,36095
265,512,12552,18532,10279,36637
266,512,11680,18392,10409,37519
267,512,11755,18270,10331,37644
268,512,11598,18537,10542,37323
269,512,13100,18171,11445,35284
270,512,12266,18405,11486,35843
271,512,11333,18530,11429,36708
272,512,10964,18354,10435,38247
273,512,10175,18639,10234,38952
274,512,11403,18143,11771,36683
275,512,11417,18229,11613,36741
276,512,11640,18136,11614,36610
277,512,12905,18948,11758,34389
278,512,12925,18833,11714,34528
279,512,14300,20516,11082,32102
280,512,13337,20510,11282,32871
281,512,12072,18729,12136,35063
282,512,10626,18189,11859,37326
283,512,9415,17389,11730,39466
284,512,9547,17311,11761,39381
285,512,10181,17186,11644,38989
286,512,8945,15639,12110,41306
287,512,8717,15631,12189,41463
288,512,8223,14188,12422,43167
289,512,7547,14343,11033,45077
290,512,7617,14409,10958,45016
291,512,7745,14383,11079,44793
292,512,7510,14407,11150,44933
293,512,8189,14562,11069,44180
294,512,6945,13539,10826,46690
295,512,7557,13197,11090,46156
296,512,7267,13447,11170,46116
297,512,7505,13346,10944,46205
298,512,6828,13229,10999,46944
299,512,6285,13288,10102,48325
300,512,6147,13227,9992,48634
301,512,7411,15032,9531,46026
302,512,7514,14917,9364,46205
303,512,6987,14759,9536,46718
304,512,6347,14645,9619,47389
305,512,6537,14450,9380,47633
306,512,5864,14283,9592,48261
307,512,6396,14426,9888,47290
308,512,7074,14163,10321,46442
309,512,7003,14098,10161,46738
310,512,6621,14157,9950,47272
311,512,6326,14210,9917,47547
312,512,5919,14000,10077,48004
313,512,6000,14082,9992,47926
314,512,4824,12732,9657,50787
315,512,4552,12970,9571,50907
316,512,4210,12968,8970,51852
317,512,3960,12902,9260,51878
318,512,4342,13165,9202,51291
319,512,4476,13069,9353,51102
320,512,4318,13184,9092,51406
321,512,4102,13013,8896,51989
322,512,3870,13047,9022,52061
323,512,4079,12998,8930,51993
324,512,3548,13232,8765,52455
325,512,3697,13256,8629,52418
326,512,3528,13314,8703,52455
327,512,4205,13587,9143,51065
328,512,4093,13465,8955,51487
329,512,3820,13384,9071,51725
330,512,3853,13362,9148,51637
331,512,3441,12982,9158,52419
332,512,2671,10702,9651,54976
333,512,2650,10622,9734,54994
334,512,3010,10756,9793,54441
335,512,2890,10875,9706,54529
336,512,2926,10802,9770,54502
337,512,3098,10657,9726,54519
338,512,3510,10831,10311,53348
339,512,3565,10926,10416,53093
340,512,3664,10976,10369,52991
341,512,2723,10351,9166,55760
342,512,2661,10380,9119,55840
343,512,2747,10240,9102,55911
344,512,2667,10392,9206,55735
345,512,2723,10473,9114,55690
346,512,2797,10364,9209,55630
347,512,2506,10185,9150,56159
348,512,2791,10150,9445,55614
349,512,2730,10007,9524,55739
350,512,2773,9951,9282,55994
351,512,2766,9957,9305,55972
352,512,2800,10089,9212,55899
353,512,2773,10195,9289,55743
354,512,2837,9957,9413,55793
355,512,2654,10171,9556,55619
356,512,2594,10043,9488,55875
357,512,2703,9891,9346,56060
358,512,3068,10042,9782,55108
359,512,3063,10030,9750,55157
360,512,2709,10062,9431,55798
361,512,2709,10024,9333,55934
362,512,2738,10002,9376,55884
363,512,2790,10033,9393,55784
364,512,3492,9931,11466,53111
365,512,3871,9685,11905,52539
366,512,3880,9702,11961,52457
367,512,4667,10745,11577,51011
368,512,4616,10782,11622,50980
369,512,5325,10846,11853,49976
370,512,5221,10953,11883,49943
371,512,5392,10980,11970,49658
372,512,5256,10845,12045,49854
373,512,4676,10576,11556,51192
374,512,4290,10147,11658,51905
375,512,4304,10000,11705,51991
376,512,4809,10107,11737,51347
377,512,5395,10554,12213,49838
378,512,5593,10674,12007,49726
379,512,5577,10810,11989,49624
380,512,4788,10014,11848,51350
381,512,4809,10146,11875,51170
382,512,5189,10134,12175,50502
383,512,5128,10105,12229,50538
384,512,4791,10071,11901,51237
385,512,4759,10125,11942,51174
386,512,4695,10178,12009,51118
387,512,4841,10039,11754,51366
388,512,4722,10095,11925,51258
389,512,4124,9847,11532,52497
390,512,4385,10095,11651,51869
391,512,4431,10186,11498,51885
392,512,4623,9966,11428,51983
393,512,4380,10003,11475,52142
394,512,5183,10134,12917,49766
395,512,5149,9962,12884,50005
396,512,4656,10050,12643,50651
397,512,4303,10162,12382,51153
398,512,4110,10161,12481,51248
399,512,3885,10058,12371,51686
400,512,4715,10821,13330,49134
401,512,5545,11577,14241,46637
402,512,5608,11579,14168,46645
403,512,5704,11449,14230,46617
404,512,6175,11642,14080,46103
405,512,6176,11604,13924,46296
406,512,5700,10951,13280,48069
407,512,5584,11110,13189,48117
408,512,5675,11113,13267,47945
409,512,5731,11064,13206,47999
410,512,5769,11067,13447,47717
411,512,5718,10948,13187,48147
412,512,5000,10940,12861,49199
413,512,4964,10916,12869,49251
414,512,4396,10689,12989,49926
415,512,3575,9839,12038,52548
416,512,3586,9925,12123,52366
417,512,3465,9830,12110,52595
418,512,4009,10188,12151,51652
419,512,3768,9899,11966,52367
420,512,3646,9765,12054,52535
421,512,3326,9912,11757,53005
422,512,3164,9935,11845,53056
423,512,4073,11301,12328,50298
424,512,4117,11183,12359,50341
425,512,4215,11169,12248,50368
426,512,4168,11188,12276,50368
