round,seed,coop,exploit_,exploit,defect
1,512,29226,17558,11823,19393
2,512,27176,17917,11259,21648
3,512,25219,17320,12061,23400
4,512,26556,16929,12284,22231
5,512,25837,16931,12346,22886
6,512,28130,17293,11707,20870
7,512,28212,17339,11786,20663
8,512,28138,17097,11854,20911
9,512,27075,17271,11825,21829
10,512,29775,16251,12400,19574
11,512,28865,16102,12871,20162
12,512,28349,15744,12912,20995
13,512,30070,15850,12908,19172
14,512,31394,15466,13078,18062
15,512,30903,15439,13407,18251
16,512,31112,15301,13372,18215
17,512,30683,15619,13219,18479
18,512,31154,15725,13172,17949
19,512,31400,15608,13009,17983
20,512,31745,15402,12977,17876
21,512,30867,15688,13141,18304
22,512,31303,15717,13114,17866
23,512,31370,15621,13113,17896
24,512,32227,15128,13446,17199
25,512,34402,14555,13713,15330
26,512,34325,14480,13635,15560
27,512,35358,14677,13892,14073
28,512,35872,14345,13832,13951
29,512,35654,14538,13832,13976
30,512,35231,14767,13706,14296
31,512,35026,14694,13701,14579
32,512,33507,15106,13466,15921
33,512,33503,15082,13476,15939
34,512,34162,15019,13241,15578
35,512,31946,14805,13872,17377
36,512,32345,14549,13517,17589
37,512,33789,14198,14355,15658
38,512,33822,14142,14285,15751
39,512,33917,14177,14284,15622
40,512,33631,14311,14426,15632
41,512,33544,14185,14211,16060
42,512,33793,14209,14251,15747
43,512,33521,14242,14096,16141
44,512,33828,14346,13930,15896
45,512,31948,14835,14092,17125
46,512,32449,14498,13928,17125
47,512,34082,14223,14426,15269
48,512,34453,13879,14336,15332
49,512,34328,13944,14522,15206
50,512,33780,14229,14251,15740
51,512,34296,14213,14013,15478
52,512,34837,13953,14220,14990
53,512,33370,14384,13825,16421
54,512,33511,14474,13788,16227
55,512,32735,14839,13874,16552
56,512,31319,14110,14483,18088
57,512,32611,14432,14108,16849
58,512,29983,14166,14526,19325
59,512,30433,14293,14544,18730
60,512,31098,13885,14830,18187
61,512,31355,13718,14584,18343
62,512,32212,13445,15317,17026
63,512,32529,13288,15161,17022
64,512,31131,13407,15082,18380
65,512,31811,13663,14940,17586
66,512,32005,13753,14927,17315
67,512,31754,13688,14836,17722
68,512,32906,13630,14805,16659
69,512,33919,13430,14934,15717
70,512,34632,13454,14919,14995
71,512,34512,13607,14840,15041
72,512,34502,13464,14953,15081
73,512,34154,13455,14932,15459
74,512,34424,13760,14795,15021
75,512,34563,13695,14659,15083
76,512,34947,13577,14546,14930
77,512,35167,13598,14886,14349
78,512,35540,13550,14831,14079
79,512,35792,13966,14621,13621
80,512,35695,14024,14311,13970
81,512,35597,13923,14494,13986
82,512,35821,14139,14329,13711
83,512,36065,14132,14437,13366
84,512,38644,14383,13157,11816
85,512,38547,14407,13291,11755
86,512,36391,15643,12956,13010
87,512,37078,15237,12957,12728
88,512,35263,16364,13066,13307
89,512,33670,16611,13446,14273
90,512,31598,18190,12528,15684
91,512,33402,17203,12622,14773
92,512,31112,17185,13431,16272
93,512,31676,17460,13315,15549
94,512,31760,17461,13489,15290
95,512,33682,16935,13282,14101
96,512,31595,17639,13021,15745
97,512,31391,17681,13138,15790
98,512,31063,17322,12982,16633
99,512,32480,16938,12799,15783
100,512,34446,16082,13390,14082
101,512,34867,15908,13051,14174
102,512,34903,15885,13201,14011
103,512,35341,15778,13527,13354
104,512,36955,15632,13002,12411
105,512,37597,15679,12837,11887
106,512,39718,14071,13337,10874
107,512,39342,14264,13555,10839
108,512,39759,14168,13496,10577
109,512,40054,14142,13473,10331
110,512,37469,14641,13973,11917
111,512,37426,14593,13867,12114
112,512,37547,14682,14002,11769
113,512,37566,14647,14045,11742
114,512,37811,14485,13830,11874
115,512,35573,15293,14148,12986
116,512,36112,15533,13836,12519
117,512,35979,15464,14081,12476
118,512,35919,15576,14026,12479
119,512,35890,15524,14050,12536
120,512,35653,15674,13944,12729
121,512,35889,15550,13970,12591
122,512,36482,15857,13592,12069
123,512,34606,15665,14836,12893
124,512,35280,15648,14948,12124
125,512,35553,15618,15210,11619
126,512,35117,15194,15440,12249
127,512,33475,15202,16126,13197
128,512,31180,16688,15505,14627
129,512,33359,16577,15128,12936
130,512,31378,17801,14766,14055
131,512,29645,19379,14181,14795
132,512,29885,19233,14711,14171
133,512,29913,19455,14946,13686
134,512,30125,19373,14914,13588
135,512,32296,18693,14812,12199
136,512,32198,18735,14812,12255
137,512,32557,18552,15538,11353
138,512,30724,18310,16248,12718
139,512,28741,18763,16392,14104
140,512,28636,18764,16589,14011
141,512,28592,18742,16541,14125
142,512,26702,18934,16830,15534
143,512,25046,18411,17541,17002
144,512,26659,19478,16352,15511
145,512,26742,19534,16324,15400
146,512,28577,19861,15375,14187
147,512,28648,19876,15431,14045
148,512,28379,19966,14931,14724
149,512,28300,19994,15133,14573
150,512,26415,20680,14774,16131
151,512,26735,21135,14596,15534
152,512,26772,21253,14479,15496
153,512,26730,21077,14619,15574
154,512,24932,20452,15615,17001
155,512,26833,20431,15207,15529
156,512,26674,20667,15282,15377
157,512,26616,20586,15340,15458
158,512,28809,20750,14257,14184
159,512,28914,20980,14959,13147
160,512,29145,20906,14854,13095
161,512,27354,21564,15270,13812
162,512,27233,21689,15250,13828
163,512,27299,21650,15180,13871
164,512,25324,20419,16989,15268
165,512,25493,20518,16914,15075
166,512,25041,20340,16699,15920
167,512,23342,19401,17881,17376
168,512,22067,19593,18635,17705
169,512,20521,18932,19195,19352
170,512,20413,18870,19445,19272
171,512,20460,18852,19429,19259
172,512,20354,19014,19421,19211
173,512,20497,18928,19347,19228
174,512,22235,18815,19192,17758
175,512,20366,19386,18880,19368
176,512,20179,19388,18986,19447
177,512,18817,18131,20109,20943
178,512,18795,18167,20100,20938
179,512,17211,18024,20248,22517
180,512,17213,17923,20207,22657
181,512,18721,17380,20064,21835
182,512,18568,17511,20198,21723
183,512,18687,17486,20184,21643
184,512,19946,16883,20160,21011
185,512,18418,15755,21173,22654
186,512,17950,16020,20025,24005
187,512,19652,14898,21345,22105
188,512,19594,14869,21260,22277
189,512,19572,14865,21290,22273
190,512,19018,13905,21579,23498
191,512,17639,14476,20511,25374
192,512,17782,14486,20379,25353
193,512,16397,14823,20531,26249
194,512,14783,14742,20186,28289
195,512,14892,14763,19453,28892
196,512,14829,14850,19701,28620
197,512,13778,14589,20389,29244
198,512,15192,15523,20148,27137
199,512,15123,15467,20181,27229
200,512,16372,15163,20343,26122
201,512,17811,16158,19691,24340
202,512,17452,15650,19111,25787
203,512,15938,16921,17515,27626
204,512,14422,17755,16106,29717
205,512,14686,17822,16229,29263
206,512,13157,17029,16558,31256
207,512,14618,17717,16484,29181
208,512,13208,16643,16776,31373
209,512,13168,16618,16949,31265
210,512,13363,16531,16945,31161
211,512,14538,17427,16746,29289
212,512,14797,17339,16621,29243
213,512,14591,17358,16702,29349
214,512,14629,17542,16800,29029
215,512,13269,17543,16076,31112
216,512,14673,18573,15562,29192
217,512,14595,18447,15749,29209
218,512,16107,19036,15673,27184
219,512,14768,19414,15569,28249
220,512,16439,20840,14471,26250
221,512,16410,20819,14542,26229
222,512,15325,21467,14557,26651
223,512,15184,21695,14510,26611
224,512,16647,21617,14891,24845
225,512,16728,21574,14786,24912
226,512,15425,22189,14639,25747
227,512,16667,21290,15188,24855
228,512,15479,22290,15013,25218
229,512,14121,23025,13657,27197
230,512,14242,23132,13467,27159
231,512,15629,24599,12451,25321
232,512,14387,24989,12467,26157
233,512,14351,24955,12466,26228
234,512,14433,24982,12524,26061
235,512,15474,25102,12035,25389
236,512,15473,25177,11997,25353
237,512,15594,25110,11913,25383
238,512,14283,25909,10810,26998
239,512,15431,25513,10734,26322
240,512,13986,24496,11518,28000
241,512,14078,24432,11384,28106
242,512,15448,25570,10763,26219
243,512,16804,24649,12233,24314
244,512,15626,25128,12066,25180
245,512,15657,25037,12085,25221
246,512,15725,24946,12049,25280
247,512,14165,24157,12399,27279
248,512,12873,22437,13590,29100
249,512,12904,22441,13606,29049
250,512,13971,22978,12926,28125
251,512,12517,22457,13047,29979
252,512,11525,22672,11783,32020
253,512,12603,22415,12894,30088
254,512,13727,21670,13587,29016
255,512,13711,21569,13577,29143
256,512,14827,21239,13221,28713
257,512,14854,21165,13341,28640
258,512,16259,21192,13838,26711
259,512,17209,21635,13032,26124
260,512,17353,21348,12868,26431
261,512,17308,21445,12952,26295
262,512,17207,21106,12922,26765
263,512,15673,19449,14168,28710
264,512,15571,19612,14289,28528
265,512,14357,17932,15112,30599
266,512,14158,17908,15115,30819
267,512,14231,17913,15166,30690
268,512,14202,17871,15040,30887
269,512,15169,17573,15317,29941
270,512,15296,17459,15288,29957
271,512,14622,17005,14822,31551
272,512,13660,17357,14899,32084
273,512,14050,17228,15628,31094
274,512,14332,17187,16144,30337
275,512,14314,17296,16112,30278
276,512,13265,17527,16500,30708
277,512,14663,18126,16634,28577
278,512,14536,17952,16518,28994
279,512,15721,18401,15732,28146
280,512,15725,18307,15739,28229
281,512,14706,18077,16674,28543
282,512,14860,18530,16828,27782
283,512,14976,18528,16981,27515
284,512,14974,18376,16830,27820
285,512,14983,18396,16651,27970
286,512,13813,18402,17736,28049
287,512,14003,18185,17612,28200
288,512,12587,16658,18679,30076
289,512,12281,16755,17331,31633
290,512,10901,16404,16996,33699
291,512,11104,16116,16962,33818
292,512,11041,16181,16891,33887
293,512,10478,15478,16453,35591
294,512,10274,14976,16347,36403
295,512,11507,14877,17152,34464
296,512,11699,14925,16851,34525
297,512,11525,14922,17017,34536
298,512,10719,15071,17297,34913
299,512,9544,15307,16130,37019
300,512,10413,16161,15233,36193
301,512,10510,16143,15496,35851
302,512,10422,16096,15486,35996
303,512,10494,16097,15269,36140
304,512,10488,16287,15470,35755
305,512,10360,16108,14472,37060
306,512,11018,16204,14126,36652
307,512,10835,16445,13744,36976
308,512,10911,16200,13637,37252
309,512,11782,16232,14153,35833
310,512,11896,16151,13962,35991
311,512,11868,16247,14117,35768
312,512,11921,16298,14004,35777
313,512,11829,16235,14105,35831
314,512,10436,15387,14186,37991
315,512,9268,14933,13348,40451
316,512,8604,15294,13046,41056
317,512,8498,15159,13246,41097
318,512,9685,16854,12735,38726
319,512,10453,16602,12938,38007
320,512,10665,16539,12656,38140
321,512,10518,16565,12797,38120
322,512,10590,16761,12953,37696
323,512,11650,17062,12765,36523
324,512,10351,17575,11278,38796
325,512,10477,17571,11208,38744
326,512,10916,18365,11798,36921
327,512,9826,17788,11260,39126
328,512,9455,17805,11194,39546
329,512,8638,16217,11534,41611
330,512,7567,16287,11306,42840
331,512,7669,16225,11185,42921
332,512,7647,16256,11297,42800
333,512,7593,16111,11376,42920
334,512,8176,16252,11268,42304
335,512,8199,16251,11166,42384
336,512,7452,15323,11723,43502
337,512,7304,15362,11722,43612
338,512,7481,15262,11595,43662
339,512,7386,15372,11851,43391
340,512,7389,15331,11763,43517
341,512,6272,14928,10819,45981
342,512,6374,14745,10833,46048
343,512,6370,14802,10792,46036
344,512,7095,14503,11744,44658
345,512,6071,14592,10131,47206
346,512,6108,14557,10246,47089
347,512,4999,12961,10242,49798
348,512,5166,13017,10379,49438
349,512,5168,12968,10274,49590
350,512,4416,12419,10137,51028
351,512,4350,12334,10173,51143
352,512,3853,12426,9877,51844
353,512,3972,12471,9854,51703
354,512,3972,12364,9959,51705
355,512,3080,10993,9708,54219
356,512,2603,11056,8786,55555
357,512,2575,10969,8787,55669
358,512,2465,11095,8708,55732
359,512,2634,10980,8683,55703
360,512,2637,10993,8731,55639
361,512,2584,11083,8686,55647
362,512,2681,11067,8580,55672
363,512,3120,11669,8932,54279
364,512,3396,11633,9275,53696
365,512,3822,11415,9548,53215
366,512,3839,11433,9616,53112
367,512,4125,11997,9523,52355
368,512,5055,12855,9331,50759
369,512,5543,12673,9284,50500
370,512,6274,13660,9044,49022
371,512,5003,12185,9297,51515
372,512,5077,12278,9273,51372
373,512,5674,12213,9298,50815
374,512,5240,11860,9443,51457
375,512,5154,11833,9452,51561
376,512,5168,11971,9422,51439
377,512,5648,12387,9815,50150
378,512,5697,12491,9578,50234
379,512,5891,12609,9513,49987
380,512,5094,11883,9583,51440
381,512,5741,12420,9725,50114
382,512,6342,12304,10016,49338
383,512,6390,12457,10101,49052
384,512,6426,12314,10041,49219
385,512,6309,12361,10038,49292
386,512,6239,12354,10039,49368
387,512,5836,11992,10004,50168
388,512,5856,12050,10046,50048
389,512,5203,12038,9863,50896
390,512,5116,11925,9789,51170
391,512,4609,11603,9536,52252
392,512,4639,11361,9642,52358
393,512,4665,11382,9633,52320
394,512,4988,11672,9842,51498
395,512,5184,11594,9942,51280
396,512,5005,11545,9914,51536
397,512,5165,11384,9817,51634
398,512,5039,11576,9918,51467
399,512,5485,11737,10144,50634
400,512,6120,11777,10307,49796
401,512,6144,11623,10392,49841
402,512,6107,11801,10272,49820
403,512,5955,11814,10362,49869
404,512,5879,11687,10245,50189
405,512,6103,11840,10310,49747
406,512,6088,11640,10232,50040
407,512,5952,11775,10289,49984
408,512,6735,12524,10264,48477
409,512,7851,12567,10948,46634
410,512,7845,12538,11016,46601
411,512,7759,12321,10996,46924
412,512,7692,12525,10716,47067
413,512,7487,12433,10797,47283
414,512,7551,12471,10799,47179
415,512,7915,12590,11029,46466
416,512,7660,12637,10987,46716
417,512,8477,13098,11219,45206
418,512,9299,13483,11365,43853
419,512,8845,13026,11089,45040
420,512,8890,13032,11017,45061
421,512,8042,13220,10726,46012
422,512,8170,13090,10664,46076
423,512,8516,13718,10747,45019
424,512,9536,13895,11067,43502
425,512,8518,13762,10635,45085
426,512,9266,14076,10584,44074
