round,seed,exploit,defect,coop,exploit_
1,5,49855,58908,88617,47620
2,5,48986,57382,90546,48086
3,5,49029,57337,90454,48180
4,5,49037,55983,91583,48397
5,5,49381,56647,90816,48156
6,5,49194,59058,87375,49373
7,5,49270,57975,88068,49687
8,5,49373,58112,88004,49511
9,5,51068,54701,92194,47037
10,5,51110,54856,92377,46657
11,5,51101,54548,92482,46869
12,5,50313,54977,92853,46857
13,5,50815,54097,93530,46558
14,5,50184,53581,94512,46723
15,5,51016,54101,93433,46450
16,5,49351,56770,91203,47676
17,5,49111,54103,94746,47040
18,5,49046,55478,93233,47243
19,5,48807,57357,91026,47810
20,5,48944,61290,86731,48035
21,5,48563,58162,89447,48828
22,5,49083,60074,87162,48681
23,5,49399,58945,88298,48358
24,5,49561,58230,88771,48438
25,5,49197,57962,89939,47902
26,5,49312,58117,89628,47943
27,5,49197,57608,90017,48178
28,5,49407,59137,87428,49028
29,5,48965,58301,89920,47814
30,5,49868,59592,88381,47159
31,5,50515,59234,88100,47151
32,5,50287,60029,86913,47771
33,5,50341,61040,86653,46966
34,5,50350,63295,84057,47298
35,5,50066,63922,83227,47785
36,5,49651,63663,83883,47803
37,5,48741,66900,80776,48583
38,5,48043,69992,78188,48777
39,5,46863,66728,81224,50185
40,5,46030,69295,77728,51947
41,5,45796,69726,77694,51784
42,5,46348,69567,77047,52038
43,5,46217,68892,78498,51393
44,5,47477,74318,74037,49168
45,5,49310,77904,69432,48354
46,5,49185,77893,69957,47965
47,5,50060,77435,69503,48002
48,5,49496,73801,72946,48757
49,5,49054,74832,72615,48499
50,5,48996,75233,72837,47934
