round,seed,exploit,defect,exploit_,coop
1,612,16746,19674,12136,29444
2,612,16724,20175,12593,28508
3,612,16766,20021,12510,28703
4,612,17146,22066,12081,26707
5,612,17432,20189,11307,29072
6,612,16905,18085,12060,30950
7,612,17133,17311,11856,31700
8,612,17082,17408,11830,31680
9,612,17114,16785,11476,32625
10,612,16761,17550,11962,31727
11,612,15943,15651,12351,34055
12,612,15803,16176,12545,33476
13,612,16181,15706,12461,33652
14,612,15978,16354,12793,32875
15,612,15888,14236,12118,35758
16,612,16030,14333,12054,35583
17,612,15595,14957,12562,34886
18,612,15462,14680,12355,35503
19,612,15355,16720,12958,32967
20,612,15792,16988,12861,32359
21,612,15264,17584,13038,32114
22,612,15314,18528,13048,31110
23,612,15663,16481,12630,33226
24,612,16007,17503,12456,32034
25,612,15770,18864,12860,30506
26,612,15946,18759,12873,30422
27,612,16667,20735,12485,28113
28,612,16616,20869,12398,28117
29,612,16396,19518,12128,29958
30,612,17223,20617,11970,28190
31,612,17169,20790,11798,28243
32,612,16951,19996,12163,28890
33,612,17372,18933,11542,30153
34,612,17404,18503,11596,30497
35,612,17354,19936,12240,28470
36,612,17073,21662,12593,26672
37,612,16384,23584,13619,24413
38,612,16153,23668,13377,24802
39,612,16559,25744,12862,22835
40,612,16815,25014,12735,23436
41,612,16870,24831,12996,23303
42,612,17430,24274,12706,23590
43,612,17235,24624,12554,23587
44,612,17274,24288,12651,23787
45,612,17736,25043,12636,22585
46,612,17265,25977,12928,21830
47,612,17614,23821,12591,23974
48,612,17472,23792,12615,24121
49,612,17608,23704,12726,23962
50,612,17552,24313,12609,23526
51,612,16371,22281,13813,25535
52,612,15971,23648,14557,23824
53,612,15610,22216,14499,25675
54,612,15307,22949,14521,25223
55,612,16165,24926,13760,23149
56,612,16367,24269,13636,23728
57,612,17148,23278,13418,24156
58,612,17412,22646,13421,24521
59,612,17350,22537,13429,24684
60,612,18571,24166,12482,22781
61,612,18385,24409,12485,22721
62,612,18313,24478,12365,22844
63,612,18183,24459,12447,22911
64,612,17516,23253,12830,24401
65,612,18137,24337,12566,22960
66,612,17869,24934,12663,22534
67,612,18368,26231,12371,21030
68,612,18277,26275,12370,21078
69,612,17478,27418,12879,20225
70,612,17441,28790,13050,18719
71,612,17250,28882,12795,19073
72,612,17901,27385,13043,19671
73,612,16948,29575,13613,17864
74,612,16920,29583,13572,17925
75,612,16370,28277,14143,19210
76,612,16316,28377,14057,19250
77,612,16260,28437,14140,19163
78,612,16237,30444,13996,17323
79,612,16611,29128,13415,18846
80,612,16554,29290,13306,18850
81,612,16888,30256,13179,17677
82,612,16880,30731,13160,17229
83,612,16865,30562,13176,17397
84,612,16501,28420,14119,18960
85,612,15824,30578,14137,17461
86,612,15750,30553,14187,17510
87,612,15838,29518,14846,17798
88,612,15361,28663,14983,18993
89,612,14902,26896,15494,20708
90,612,15192,25406,15907,21495
91,612,15185,25517,15912,21386
92,612,14928,26369,16563,20140
