round,seed,coop,exploit,exploit_,defect
1,64,29773,11596,17246,19385
2,64,29829,11494,17536,19141
3,64,27622,11783,17609,20986
4,64,27014,12076,17123,21787
5,64,26767,12211,17062,21960
6,64,24525,12139,17153,24183
7,64,23299,12565,16892,25244
8,64,23517,12383,16979,25121
9,64,21408,12443,16733,27416
10,64,21441,12344,16840,27375
11,64,21745,12143,17091,27021
12,64,22208,12880,16876,26036
13,64,22446,12624,16615,26315
14,64,22548,12550,17304,25598
15,64,22389,12670,17500,25441
16,64,20843,13279,16133,27745
17,64,20734,13017,16135,28114
18,64,21125,13148,16274,27453
19,64,23028,12905,16207,25860
20,64,23222,12946,16302,25530
21,64,22308,13436,15645,26611
22,64,21271,12761,15719,28249
23,64,21182,13012,15895,27911
24,64,19786,12533,16043,29638
25,64,19338,12401,15937,30324
26,64,19489,12327,15765,30419
27,64,20980,12530,15914,28576
28,64,20771,12692,15863,28674
29,64,20185,12845,15477,29493
30,64,19927,12830,15532,29711
31,64,20234,12724,15509,29533
32,64,19946,12876,15652,29526
33,64,18352,13290,14966,31392
34,64,19518,13100,15533,29849
35,64,19457,12846,15335,30362
36,64,18099,13014,15146,31741
37,64,18123,13105,15028,31744
38,64,16527,13227,14590,33656
39,64,16000,13424,14280,34296
40,64,15430,13049,14002,35519
41,64,16239,13561,13939,34261
42,64,14732,13080,13977,36211
43,64,13253,13141,13764,37842
44,64,14975,14322,13349,35354
45,64,15292,14209,13242,35257
46,64,14314,13988,13166,36532
47,64,14333,14192,13207,36268
48,64,14418,14071,13185,36326
49,64,15076,13916,13543,35465
50,64,14326,14077,13132,36465
51,64,13512,14485,12827,37176
52,64,12417,14455,12808,38320
53,64,12065,13451,12844,39640
54,64,11182,12318,13016,41484
55,64,11563,12794,13301,40342
56,64,12042,12885,13132,39941
57,64,10818,11664,13550,41968
58,64,9848,11504,13873,42775
59,64,10087,11299,13705,42909
60,64,10252,11408,13710,42630
61,64,10121,11326,13676,42877
62,64,10023,11340,13744,42893
63,64,9536,11075,13752,43637
64,64,9225,10617,13638,44520
65,64,8271,10582,13459,45688
66,64,8321,10541,13283,45855
67,64,9322,10816,13865,43997
68,64,9457,10802,13681,44060
69,64,8890,10603,13484,45023
70,64,7943,10611,13018,46428
71,64,8258,10830,13207,45705
72,64,8507,10862,13129,45502
73,64,7607,10803,12942,46648
74,64,7905,10736,12794,46565
75,64,7466,10517,12944,47073
76,64,8015,10673,12950,46362
77,64,7329,10501,12742,47428
78,64,7881,11055,12911,46153
79,64,8732,11128,12868,45272
80,64,9576,11480,13298,43646
81,64,9258,11646,13322,43774
82,64,10663,12239,13262,41836
83,64,11297,12539,13053,41111
84,64,12494,12422,13790,39294
85,64,12586,12526,13673,39215
86,64,12893,12654,13868,38585
87,64,13174,12436,13533,38857
88,64,12765,12849,14091,38295
89,64,11239,12936,12646,41179
90,64,11252,13037,12733,40978
91,64,11806,13200,12354,40640
92,64,11511,13408,12679,40402
93,64,11969,13157,12441,40433
94,64,11221,13056,12490,41233
95,64,11353,12968,12457,41222
96,64,11279,12967,12660,41094
97,64,11260,12974,12702,41064
98,64,11362,12958,12537,41143
99,64,11461,12831,12804,40904
100,64,11777,12877,13085,40261
101,64,11767,12785,12936,40512
102,64,11807,12820,12879,40494
103,64,11419,12605,12758,41218
104,64,10407,12426,12619,42548
105,64,9313,12097,12202,44388
106,64,10266,12205,12450,43079
107,64,8905,12159,11943,44993
108,64,8865,12276,11925,44934
109,64,9301,12000,11664,45035
110,64,8104,11534,11574,46788
111,64,6995,11466,11283,48256
112,64,6277,10993,11128,49602
113,64,6594,11129,11164,49113
114,64,6263,11257,11254,49226
115,64,7925,11745,11657,46673
116,64,7757,11731,11986,46526
117,64,8349,11904,11884,45863
118,64,9056,12072,12076,44796
119,64,8724,11962,11731,45583
120,64,7541,11687,11542,47230
121,64,7416,11843,11293,47448
122,64,7296,11805,11531,47368
123,64,7652,12086,11906,46356
124,64,8061,11878,11650,46411
125,64,9028,12056,12298,44618
126,64,9918,12484,12644,42954
127,64,8287,12060,11977,45676
128,64,8878,12035,12199,44888
129,64,8516,12117,12305,45062
130,64,9646,12114,12665,43575
131,64,9710,12104,12664,43522
132,64,9074,11592,12527,44807
133,64,8737,11402,12328,45533
134,64,7003,10826,11799,48372
135,64,7355,11069,11828,47748
136,64,6574,10435,11822,49169
137,64,5720,10587,11572,50121
138,64,6499,10944,11683,48874
139,64,6557,10910,11885,48648
140,64,6539,11054,11829,48578
141,64,6141,10570,11557,49732
142,64,6753,10969,11705,48573
143,64,6695,10878,11666,48761
144,64,6193,10479,11427,49901
145,64,6185,10527,11536,49752
146,64,5543,10147,11452,50858
147,64,5008,9594,11559,51839
148,64,5208,9490,11374,51928
149,64,4962,9568,11464,52006
150,64,5725,10053,11576,50646
151,64,5124,9916,11386,51574
152,64,5169,9637,11171,52023
153,64,5600,10155,11403,50842
154,64,5465,10231,11427,50877
155,64,5403,10225,11423,50949
156,64,5148,9918,11207,51727
157,64,5729,10142,11314,50815
158,64,5604,10292,11405,50699
159,64,5336,10378,11580,50706
160,64,5396,10241,11322,51041
161,64,6148,10494,11768,49590
162,64,6726,10513,11514,49247
163,64,6638,10694,11798,48870
164,64,7179,10901,12107,47813
165,64,6435,10665,11859,49041
166,64,7336,11119,12042,47503
167,64,7866,11374,11882,46878
168,64,7859,11379,11919,46843
169,64,7200,11012,11907,47881
170,64,8372,11118,12401,46109
171,64,7575,11190,12412,46823
172,64,8584,11502,12323,45591
173,64,8518,11595,12286,45601
174,64,8562,11422,12350,45666
175,64,8697,11420,12232,45651
176,64,8333,11571,12299,45797
177,64,8601,11582,12341,45476
178,64,8630,11499,12263,45608
179,64,9224,11779,12509,44488
180,64,10003,12080,12653,43264
181,64,10100,12122,12726,43052
182,64,10222,12170,12831,42777
183,64,9406,11834,12693,44067
184,64,10520,12664,12661,42155
185,64,10889,12447,12584,42080
186,64,12373,12644,13611,39372
187,64,10470,12738,12803,41989
188,64,10750,12700,12643,41907
189,64,11307,12673,12646,41374
190,64,11153,12632,12496,41719
191,64,12854,12754,13661,38731
192,64,14084,13421,13277,37218
193,64,14354,13516,13236,36894
194,64,14172,13425,13402,37001
195,64,13453,13572,13116,37859
196,64,13255,13393,12928,38424
197,64,12251,13128,12608,40013
198,64,12963,13987,13010,38040
199,64,12831,13546,12243,39380
200,64,12609,13703,12152,39536
201,64,11488,13408,12363,40741
202,64,11816,13359,12256,40569
203,64,11528,13624,12510,40338
204,64,11361,13335,11958,41346
205,64,10606,13225,11632,42537
206,64,12459,14104,11952,39485
207,64,13947,15329,11452,37272
208,64,13180,14491,11912,38417
209,64,13393,14501,11945,38161
210,64,13271,14500,12079,38150
211,64,14671,14986,11773,36570
212,64,14535,14759,11728,36978
213,64,14520,15031,12068,36381
214,64,16049,14969,12325,34657
215,64,15560,15253,11821,35366
216,64,14258,15215,11411,37116
217,64,14475,14964,11370,37191
218,64,14060,15313,11585,37042
219,64,16015,15204,12274,34507
220,64,16007,14912,12385,34696
221,64,15976,15071,12614,34339
222,64,16057,15038,12340,34565
223,64,15593,14785,12547,35075
224,64,15633,14801,12456,35110
225,64,15556,14844,12533,35067
226,64,16678,14758,12754,33810
227,64,16410,15044,12722,33824
228,64,16819,15027,12433,33721
229,64,17154,14998,12617,33231
230,64,16960,14953,12437,33650
231,64,17889,15093,12551,32467
232,64,17778,15328,12887,32007
233,64,18256,15100,12896,31748
234,64,19645,14985,12790,30580
235,64,17687,15708,12626,31979
236,64,17625,15592,12498,32285
237,64,16790,15070,12326,33814
238,64,14777,14605,12950,35668
239,64,15261,14506,12834,35399
240,64,15104,14685,12952,35259
241,64,14407,14555,12690,36348
242,64,15115,14657,12797,35431
243,64,15767,14923,12762,34548
244,64,16674,15167,13039,33120
245,64,17573,14792,13447,32188
246,64,17163,14408,13111,33318
247,64,16861,14628,13166,33345
248,64,17195,14609,13500,32696
249,64,16091,13904,13658,34347
250,64,14779,13694,13988,35539
251,64,13674,13931,13284,37111
252,64,14988,13756,13805,35451
253,64,16324,13875,13478,34323
254,64,15807,14118,13599,34476
255,64,16222,14236,13606,33936
256,64,16417,14236,13449,33898
257,64,15268,13724,13671,35337
258,64,15149,13777,13698,35376
259,64,16616,13389,14152,33843
260,64,16448,13434,14288,33830
261,64,16940,13987,14132,32941
262,64,17703,13621,15079,31597
263,64,18662,13248,15616,30474
264,64,18863,13230,15537,30370
265,64,18450,13237,15498,30815
266,64,19700,13760,15220,29320
267,64,20325,13676,15065,28934
268,64,20098,13664,15054,29184
269,64,20508,13633,15023,28836
270,64,20063,13671,15183,29083
271,64,21804,14285,14694,27217
272,64,20704,14621,14276,28399
273,64,20656,14620,14309,28415
274,64,20969,14619,14497,27915
275,64,23107,14074,15165,25654
276,64,21121,13407,15553,27919
277,64,21221,13921,15601,27257
278,64,21615,13654,15524,27207
279,64,23102,13926,15031,25941
280,64,21329,14564,14641,27466
281,64,21123,14561,14424,27892
282,64,21953,14191,15198,26658
283,64,23124,14340,14637,25899
284,64,22866,14517,14690,25927
285,64,21443,14071,15203,27283
286,64,21105,13957,15049,27889
287,64,20979,13954,15230,27837
288,64,19316,13467,14809,30408
289,64,20583,13711,14881,28825
290,64,21209,13978,14859,27954
291,64,19954,13780,15353,28913
292,64,20015,13863,15388,28734
293,64,20789,14085,15371,27755
294,64,19365,13724,15913,28998
295,64,18879,13752,15711,29658
296,64,19376,14009,15531,29084
297,64,18956,13591,15372,30081
298,64,17293,14182,14285,32240
299,64,17368,14054,14278,32300
300,64,15841,13993,14314,33852
301,64,15074,13919,14497,34510
302,64,14948,13920,14442,34690
303,64,14636,14204,13859,35301
304,64,13680,14235,13825,36260
305,64,13749,14140,13681,36430
306,64,14411,14460,13627,35502
307,64,14422,14425,13694,35459
308,64,13543,14655,13368,36434
309,64,13362,14912,13398,36328
310,64,14224,14616,13593,35567
311,64,13137,14457,13449,36957
312,64,13329,14274,13419,36978
313,64,13366,14245,13478,36911
314,64,13933,14559,13300,36208
315,64,13261,14806,13123,36810
316,64,13312,14676,13101,36911
317,64,14687,15175,12565,35573
318,64,13902,15691,11588,36819
319,64,13840,15795,11556,36809
320,64,13779,15702,11631,36888
321,64,13655,15551,11721,37073
322,64,14866,16218,11506,35410
323,64,14660,16296,11629,35415
324,64,15198,16065,11781,34956
325,64,15130,15932,11817,35121
326,64,16774,16079,11479,33668
327,64,16741,16170,11678,33411
328,64,16503,16385,11841,33271
329,64,16535,16154,11595,33716
330,64,17049,15925,12291,32735
331,64,17201,15816,12261,32722
332,64,16875,15679,12276,33170
333,64,16773,15560,12335,33332
334,64,16598,15663,12286,33453
335,64,16292,15583,12214,33911
336,64,14924,14266,12618,36192
337,64,15471,14409,13072,35048
338,64,15531,14260,12979,35230
339,64,15611,14416,12899,35074
340,64,16814,14398,13245,33543
341,64,15299,13832,13416,35453
342,64,14109,13282,13609,37000
343,64,14744,13549,13450,36257
344,64,14941,13594,13514,35951
345,64,14957,13498,13553,35992
346,64,15084,13770,13445,35701
347,64,15084,13927,13347,35642
348,64,14742,13984,13473,35801
349,64,16359,14076,13608,33957
350,64,17665,14700,13321,32314
351,64,16822,14530,13068,33580
352,64,17957,14771,12993,32279
353,64,17199,15060,12641,33100
354,64,16772,15225,12781,33222
355,64,16082,15326,12511,34081
356,64,16652,15308,12657,33383
357,64,17567,15219,12996,32218
358,64,16098,15643,12170,34089
359,64,15102,15023,12501,35374
360,64,14913,15033,12579,35475
361,64,15831,15303,12669,34197
362,64,15794,15140,12571,34495
363,64,16826,15176,12739,33259
364,64,17600,15316,12836,32248
365,64,17058,15252,12817,32873
366,64,18585,14983,13223,31209
367,64,19527,14895,13272,30306
368,64,19880,14976,13130,30014
369,64,20922,14925,13608,28545
370,64,19795,15002,13579,29624
371,64,20728,14966,13625,28681
372,64,19392,14506,13904,30198
373,64,18813,14329,13725,31133
374,64,18194,14238,13912,31656
375,64,19303,13950,14186,30561
376,64,19333,13987,14308,30372
377,64,19266,13682,14293,30759
378,64,21431,13245,15117,28207
379,64,20718,13422,15349,28511
380,64,21215,13247,15482,28056
381,64,20073,13250,15501,29176
382,64,20490,12967,15334,29209
383,64,20878,12812,15144,29166
384,64,20030,13221,15535,29214
385,64,20063,13121,15339,29477
386,64,20441,12980,15283,29296
387,64,22521,13943,15039,26497
388,64,22741,13708,14896,26655
389,64,22643,13721,15016,26620
390,64,23129,13780,14853,26238
391,64,23865,14030,15138,24967
392,64,23806,14092,14719,25383
393,64,23583,14099,14767,25551
394,64,22407,14333,14631,26629
395,64,21240,14359,14335,28066
396,64,20440,14003,14304,29253
397,64,19550,14285,14498,29667
398,64,20106,14167,14355,29372
399,64,20044,14201,14134,29621
400,64,20232,14145,14295,29328
401,64,21626,14149,14567,27658
402,64,21539,14242,14609,27610
403,64,19950,14083,14598,29369
404,64,19965,13975,14530,29530
405,64,19391,13794,14569,30246
406,64,19230,13915,14675,30180
407,64,20137,13952,14288,29623
408,64,21205,14368,14073,28354
409,64,21204,14699,14184,27913
410,64,21174,14556,14101,28169
411,64,22075,14308,14149,27468
412,64,24263,15239,13775,24723
413,64,25182,15349,13475,23994
414,64,23874,15257,14038,24831
415,64,22400,15231,13469,26900
416,64,23783,15579,13255,25383
417,64,23227,15698,13379,25696
418,64,22091,15475,13433,27001
419,64,22209,15422,13558,26811
420,64,22784,15463,13908,25845
421,64,24607,14933,13813,24647
422,64,24339,15199,14115,24347
423,64,25210,14883,14619,23288
424,64,24185,15336,14092,24387
425,64,24364,14974,14125,24537
426,64,24401,15172,14072,24355
427,64,25517,15691,13832,22960
428,64,28247,15002,14363,20388
429,64,27191,15291,14235,21283
430,64,26675,15070,14350,21905
431,64,26161,15022,14641,22176
432,64,26400,14832,14485,22283
433,64,25798,15025,14794,22383
434,64,26667,15141,14444,21748
435,64,24365,14681,15122,23832
436,64,24912,14470,14967,23651
437,64,24149,14401,15093,24357
438,64,25031,14249,15053,23667
439,64,24978,14293,14931,23798
440,64,23814,14531,15025,24630
441,64,23882,14482,14844,24792
442,64,24274,14770,14835,24121
443,64,24628,14871,14722,23779
444,64,24820,14795,14854,23531
445,64,22557,14340,15037,26066
446,64,23364,14158,14895,25583
447,64,22120,14475,14761,26644
448,64,22151,14382,14481,26986
449,64,24005,15025,14333,24637
450,64,23369,15152,13681,25798
451,64,23255,15264,13764,25717
452,64,22215,15363,13959,26463
453,64,22572,15185,13714,26529
454,64,23582,15523,13713,25182
455,64,25507,15995,13156,23342
456,64,24532,15960,12975,24533
457,64,23359,15601,13498,25542
458,64,23486,15895,13457,25162
459,64,23909,15536,13087,25468
460,64,22259,15778,13257,26706
461,64,22617,15702,13204,26477
462,64,22283,15873,13300,26544
463,64,21280,15978,12430,28312
464,64,20748,16141,12400,28711
465,64,21231,16027,12415,28327
466,64,20762,16212,12368,28658
467,64,21416,16251,12578,27755
468,64,21248,16500,12694,27558
469,64,23323,16144,12519,26014
470,64,22635,16076,12833,26456
471,64,20919,16625,12547,27909
472,64,22731,15830,12662,26777
473,64,21983,16055,12879,27083
474,64,22507,16177,12775,26541
475,64,22696,16086,12765,26453
476,64,21755,16120,12400,27725
477,64,20455,16490,12137,28918
478,64,19211,16819,11718,30252
479,64,18265,16683,11639,31413
480,64,18208,16740,11548,31504
481,64,17432,16563,11612,32393
482,64,16646,16488,11107,33759
483,64,16661,16498,11326,33515
484,64,17542,16354,11580,32524
485,64,18427,16745,11474,31354
486,64,17912,16571,11502,32015
487,64,17356,16246,11740,32658
488,64,17655,16096,11819,32430
489,64,15878,15703,11858,34561
490,64,15320,15634,12059,34987
491,64,14646,15638,11390,36326
492,64,13227,15047,11585,38141
493,64,13980,15364,11502,37154
494,64,13589,15270,11482,37659
495,64,12727,15648,11185,38440
496,64,14013,15080,11441,37466
497,64,12675,14463,11343,39519
498,64,12610,14702,11662,39026
499,64,10866,14474,11760,40900
500,64,11477,13989,11509,41025
501,64,11962,14078,12001,39959
502,64,12214,14010,11842,39934
503,64,11365,14083,11778,40774
504,64,12366,13778,12654,39202
505,64,11876,13595,12741,39788
506,64,11687,13532,12536,40245
507,64,13942,13895,12699,37464
508,64,13479,14068,12965,37488
509,64,14740,14110,13045,36105
510,64,13771,14043,12687,37499
511,64,14921,13949,13372,35758
512,64,13951,14092,13041,36916
513,64,15305,14593,12868,35234
514,64,15174,14577,12836,35413
515,64,16112,14483,13284,34121
516,64,17657,14968,13104,32271
517,64,18460,15442,12996,31102
518,64,18522,15274,13061,31143
519,64,19819,15656,12963,29562
520,64,18425,15164,13041,31370
521,64,19832,15131,13375,29662
522,64,19623,15061,13253,30063
523,64,18538,14812,13442,31208
524,64,18162,14902,13303,31633
525,64,18960,15209,13325,30506
526,64,19031,15175,13264,30530
527,64,20306,15092,13316,29286
528,64,21306,15840,13231,27623
529,64,20956,15878,13119,28047
530,64,20227,15974,12963,28836
531,64,19421,15387,13069,30123
532,64,18690,15003,13172,31135
533,64,19151,15481,12880,30488
534,64,19138,15233,12982,30647
535,64,18317,15357,12660,31666
536,64,17924,15520,12908,31648
537,64,16975,15636,12460,32929
538,64,17058,15451,12395,33096
539,64,16218,15310,12162,34310
540,64,15153,15408,12140,35299
541,64,16217,15128,12164,34491
542,64,15155,15226,12420,35199
543,64,16145,14968,12695,34192
544,64,15393,14768,12978,34861
545,64,15352,14447,12740,35461
546,64,16622,14278,13453,33647
547,64,15718,14114,13396,34772
548,64,16697,14111,13539,33653
549,64,15833,13579,13954,34634
550,64,14602,13901,13290,36207
551,64,14153,13899,13187,36761
552,64,15199,13908,13496,35397
553,64,14772,14043,13585,35600
554,64,15695,14043,13595,34667
555,64,14897,13597,13793,35713
556,64,14208,13812,13401,36579
557,64,14221,13632,13270,36877
558,64,13993,13699,13452,36856
559,64,14891,13649,13662,35798
560,64,14945,13555,13504,35996
561,64,15404,13903,13931,34762
562,64,14830,13719,13878,35573
563,64,14192,13589,13381,36838
564,64,14542,14186,13107,36165
565,64,14505,14119,13018,36358
566,64,14557,14093,13224,36126
567,64,13458,14469,13099,36974
568,64,13113,14246,13103,37538
569,64,13275,13995,13056,37674
570,64,13420,14231,13257,37092
571,64,13945,14409,12941,36705
572,64,12909,13541,13163,38387
573,64,12995,13480,13137,38388
574,64,12871,13810,13370,37949
575,64,11994,13662,12953,39391
576,64,12143,13697,13007,39153
577,64,12669,13894,13550,37887
578,64,13736,13464,13728,37072
579,64,13498,13451,13487,37564
580,64,13717,13589,13725,36969
581,64,12888,13433,13457,38222
582,64,12874,13402,13372,38352
583,64,13334,13606,13525,37535
584,64,13137,13636,13583,37644
585,64,14199,13725,13585,36491
586,64,13143,13717,13572,37568
587,64,12468,13560,13533,38439
588,64,12275,13574,13650,38501
589,64,13336,13641,13401,37622
590,64,13977,13603,14306,36114
591,64,13449,13835,13856,36860
592,64,14508,14219,13794,35479
593,64,13637,14316,13693,36354
594,64,14637,14054,13749,35560
595,64,13639,13823,13967,36571
596,64,12752,13943,13945,37360
597,64,12814,13906,13818,37462
598,64,12107,13901,14108,37884
599,64,12417,13888,14358,37337
600,64,10967,13415,14036,39582
601,64,11806,13493,13943,38758
602,64,11572,13497,14025,38906
603,64,10588,13213,13899,40300
604,64,10624,13020,14064,40292
605,64,10628,13147,13823,40402
606,64,9820,12557,13568,42055
607,64,8503,11300,13651,44546
608,64,9866,11351,14820,41963
609,64,10068,11384,14629,41919
610,64,10506,11258,15041,41195
611,64,9750,11079,15096,42075
612,64,9411,10854,15240,42495
613,64,9033,10999,15336,42632
614,64,9043,10893,15275,42789
615,64,10663,12268,14743,40326
616,64,10610,12327,14849,40214
617,64,11728,13053,14418,38801
618,64,11745,13033,14395,38827
619,64,10876,12721,14812,39591
620,64,11225,12583,15206,38986
621,64,10826,12583,14786,39805
622,64,10138,12475,15134,40253
623,64,11151,12704,15060,39085
624,64,11157,12769,15079,38995
625,64,11306,12718,14979,38997
626,64,12020,12822,14954,38204
627,64,11977,12654,14949,38420
628,64,12519,12588,15983,36910
629,64,11818,12300,16290,37592
630,64,11949,12372,16405,37274
631,64,11710,12415,16292,37583
632,64,11942,12533,16373,37152
633,64,11749,12344,16298,37609
634,64,11404,11184,16498,38914
635,64,12752,12628,15902,36718
636,64,14173,13146,16210,34471
637,64,15300,13201,16186,33313
638,64,15445,13256,16181,33118
639,64,15330,13383,16225,33062
640,64,16390,12919,16470,32221
641,64,16967,13879,16333,30821
642,64,15830,13884,16395,31891
643,64,16995,13828,16076,31101
644,64,15376,13496,15684,33444
645,64,16747,13621,16126,31506
646,64,18379,14571,15859,29191
647,64,19762,14351,15763,28124
648,64,21396,14510,16016,26078
649,64,21349,14323,16047,26281
650,64,20360,14607,15415,27618
651,64,19341,14683,15339,28637
652,64,20511,15076,14671,27742
653,64,21127,15158,15531,26184
654,64,21841,15201,15363,25595
655,64,21755,15163,15329,25753
656,64,22488,15103,16176,24233
657,64,20640,15777,15285,26298
658,64,19956,14860,15481,27703
659,64,19996,14965,15609,27430
660,64,20059,14909,15388,27644
661,64,19827,15044,15795,27334
662,64,19221,15064,14741,28974
663,64,20754,15293,14610,27343
664,64,21486,15449,14962,26103
665,64,21767,15429,14919,25885
666,64,22947,15080,15047,24926
667,64,22779,15128,15120,24973
668,64,24152,15146,14750,23952
669,64,22494,15220,14927,25359
670,64,22346,15292,14974,25388
671,64,23444,15350,14553,24653
672,64,25513,14547,14826,23114
673,64,25147,14762,15037,23054
674,64,26219,14255,15382,22144
675,64,24723,14415,15963,22899
676,64,24536,13754,15789,23921
677,64,23359,13676,16423,24542
678,64,23245,13864,16532,24359
679,64,22965,13571,16619,24845
680,64,22916,13447,16641,24996
681,64,22834,13612,16663,24891
682,64,22749,13443,16648,25160
683,64,20715,12877,17514,26894
684,64,21043,12575,17357,27025
685,64,20902,12621,17363,27114
686,64,20992,12619,17098,27291
687,64,22137,12467,17150,26246
688,64,20025,11894,17767,28314
689,64,18827,12133,17879,29161
690,64,18990,11984,17875,29151
691,64,19328,11840,18206,28626
692,64,19611,11980,18295,28114
693,64,17832,11552,18212,30404
694,64,18194,11680,18518,29608
695,64,18149,11673,18485,29693
696,64,16564,12178,17390,31868
697,64,17898,12733,17563,29806
698,64,18077,12625,17608,29690
699,64,17530,12754,16672,31044
700,64,18510,12361,17278,29851
701,64,19878,12543,16867,28712
702,64,20858,12870,16312,27960
703,64,21890,13010,16053,27047
704,64,21212,12936,15947,27905
705,64,19214,12002,16615,30169
706,64,20055,12562,16590,28793
707,64,19176,12693,15626,30505
708,64,19416,12683,15497,30404
709,64,18974,12813,15820,30393
710,64,19372,12672,15572,30384
711,64,20049,13308,15620,29023
712,64,19460,13214,15526,29800
713,64,19426,13046,15368,30160
714,64,20755,13050,15765,28430
715,64,20452,12997,15776,28775
716,64,23052,13293,15485,26170
717,64,23812,13830,15287,25071
718,64,22888,14089,15112,25911
719,64,22222,14174,15359,26245
720,64,21930,13962,15274,26834
721,64,19588,13979,15330,29103
722,64,19708,14003,15172,29117
723,64,20512,14008,15686,27794
724,64,20802,14020,15529,27649
725,64,20782,14022,14981,28215
726,64,20706,14028,15029,28237
727,64,21401,13730,15480,27389
728,64,22506,14137,16015,25342
729,64,22952,13671,15946,25431
730,64,22285,13677,15359,26679
731,64,21733,13990,15529,26748
732,64,22627,14196,15497,25680
733,64,22520,14017,15273,26190
734,64,23420,13988,15151,25441
735,64,24866,14592,14776,23766
736,64,24233,14937,14796,24034
737,64,24219,14914,14754,24113
738,64,25216,14886,14899,22999
739,64,27112,15517,14836,20535
740,64,26874,15389,14858,20879
741,64,26794,15355,14814,21037
742,64,26821,15416,14999,20764
743,64,26244,15793,14959,21004
744,64,26761,15365,14548,21326
745,64,26645,15577,14763,21015
746,64,27457,15791,14570,20182
747,64,28489,15887,14826,18798
748,64,30334,16048,14463,17155
749,64,30950,16033,14586,16431
750,64,30062,16107,14941,16890
751,64,30215,15792,14649,17344
752,64,31078,15536,14483,16903
753,64,30950,15812,14696,16542
754,64,30911,15576,14358,17155
755,64,31744,15729,14584,15943
756,64,29050,15608,14818,18524
757,64,27755,15449,15182,19614
758,64,27124,15798,15670,19408
759,64,27750,15491,15126,19633
760,64,28438,15551,15231,18780
761,64,28621,15363,15070,18946
762,64,28435,15525,15112,18928
763,64,28298,15562,15157,18983
764,64,28164,15508,15068,19260
765,64,29216,15296,15130,18358
766,64,28765,15348,15122,18765
767,64,28415,15377,15410,18798
768,64,28575,15248,15287,18890
769,64,27964,15362,15214,19460
770,64,28473,15251,15310,18966
771,64,27226,15133,15075,20566
772,64,27227,14884,15119,20770
773,64,28136,14822,15301,19741
774,64,27843,14913,15246,19998
775,64,28407,14667,15252,19674
776,64,28267,14673,15317,19743
777,64,28621,14968,15363,19048
778,64,28150,14753,15347,19750
779,64,28623,14551,15177,19649
780,64,28360,14719,15382,19539
781,64,29641,14896,15394,18069
782,64,28238,14452,15701,19609
783,64,27886,14550,15739,19825
784,64,28858,14558,15380,19204
785,64,29109,14259,15345,19287
786,64,30018,14190,15101,18691
787,64,27691,13899,15663,20747
788,64,29036,14484,15456,19024
789,64,28853,14554,15378,19215
790,64,30009,14880,15522,17589
791,64,31741,14989,15377,15893
792,64,31171,14998,15328,16503
793,64,31926,15739,15563,14772
794,64,30014,15712,15488,16786
795,64,31101,15352,15203,16344
796,64,30760,15492,15310,16438
797,64,29386,15938,15367,17309
798,64,29495,15777,15455,17273
799,64,31569,15134,15843,15454
800,64,31408,15316,15933,15343
801,64,31262,15654,16138,14946
802,64,30415,15662,16292,15631
803,64,31350,15287,16108,15255
804,64,29224,15132,16343,17301
805,64,30548,14855,16039,16558
806,64,30921,14813,15885,16381
807,64,31291,14632,15560,16517
808,64,31431,14874,15887,15808
809,64,31377,14937,15894,15792
810,64,32152,15117,16381,14350
811,64,31683,15245,16328,14744
812,64,30353,15163,15858,16626
813,64,30792,14999,15732,16477
814,64,31545,14911,15722,15822
815,64,32879,14893,15308,14920
816,64,31410,14761,15051,16778
817,64,30717,14733,15315,17235
818,64,30730,14758,15113,17399
819,64,30594,14843,15386,17177
820,64,30614,14647,15250,17489
821,64,32849,14383,15577,15191
822,64,32105,14605,15703,15587
823,64,32770,14413,15637,15180
824,64,32732,14454,15639,15175
825,64,32707,14484,15635,15174
826,64,32615,14497,15618,15270
827,64,34460,14649,15521,13370
828,64,34578,14592,15569,13261
829,64,35368,14438,15254,12940
830,64,35073,14577,15386,12964
831,64,36952,15102,14936,11010
832,64,37307,15053,14898,10742
833,64,35909,14660,14994,12437
834,64,36203,14500,14876,12421
835,64,36336,14456,14956,12252
836,64,36323,14612,15013,12052
