round,seed,coop,exploit,exploit_,defect
1,64,29773,11596,17246,19385
2,64,29829,11494,17536,19141
3,64,29723,11481,17803,18993
4,64,28800,11936,17187,20077
5,64,29519,11644,17556,19281
6,64,27059,11712,17784,21445
7,64,25769,12131,17434,22666
8,64,24455,12273,17509,23763
9,64,22411,12291,17266,26032
10,64,24058,12646,17320,23976
11,64,24551,12391,17287,23771
12,64,25072,12981,17249,22698
13,64,25116,12944,16777,23163
14,64,23040,13817,16533,24610
15,64,22907,13867,16633,24593
16,64,22669,14007,15884,25440
17,64,23509,13988,15817,24686
18,64,24219,13908,15951,23922
19,64,25870,13668,15944,22518
20,64,24461,14068,15887,23584
21,64,22480,15156,14773,25591
22,64,22337,14935,14816,25912
23,64,22293,15090,14654,25963
24,64,20975,14806,15102,27117
25,64,19904,14309,15244,28543
26,64,20973,14773,14892,27362
27,64,22093,14943,14679,26285
28,64,21741,15061,14715,26483
29,64,20491,15683,13882,27944
30,64,19195,15740,13867,29198
31,64,19340,15718,13868,29074
32,64,17173,14407,15009,31411
33,64,16370,14993,14536,32101
34,64,16158,15096,14190,32556
35,64,17723,15992,13499,30786
36,64,18233,16060,14244,29463
37,64,17276,16168,14047,30509
38,64,15828,16539,13750,31883
39,64,15227,16762,12769,33242
40,64,13769,15922,12845,35464
41,64,14940,17243,12350,33467
42,64,15206,17280,12285,33229
43,64,16696,17167,13006,31131
44,64,16028,16536,13268,32168
45,64,17375,16168,12817,31640
46,64,17143,16295,12729,31833
47,64,17109,16259,12827,31805
48,64,17005,16528,13034,31433
49,64,17187,16416,12919,31478
50,64,17767,16183,13650,30400
51,64,16575,16887,13564,30974
52,64,15812,16670,13656,31862
53,64,16798,17670,13346,30186
54,64,15605,16810,13703,31882
55,64,15761,16621,13507,32111
56,64,15999,16700,13623,31678
57,64,16863,17017,12915,31205
58,64,15918,16449,13392,32241
59,64,16277,16192,13004,32527
60,64,16948,16361,13757,30934
61,64,18778,15703,14853,28666
62,64,19120,16427,14665,27788
63,64,19225,16490,14574,27711
64,64,17475,15405,15390,29730
65,64,19305,14557,16350,27788
66,64,19314,14557,16433,27696
67,64,21057,14907,16669,25367
68,64,20024,14661,16994,26321
69,64,19281,14684,16523,27512
70,64,19277,14428,16544,27751
71,64,17466,14695,16278,29561
72,64,17684,14624,16077,29615
73,64,18547,14393,16158,28902
74,64,18518,14550,16168,28764
75,64,18681,14269,16078,28972
76,64,18496,14491,16263,28750
77,64,16976,14638,16098,30288
78,64,17286,14560,16051,30103
79,64,19047,15147,15849,27957
80,64,18811,15173,15906,28110
81,64,17219,14023,16712,30046
82,64,16279,13651,17210,30860
83,64,16202,13640,17275,30883
84,64,14806,14308,16104,32782
85,64,16210,13558,17381,30851
86,64,16201,13536,17121,31142
87,64,17860,14291,17146,28703
88,64,16942,13762,17660,29636
89,64,16250,13873,16793,31084
90,64,17568,14463,16178,29791
91,64,19534,15307,15812,27347
92,64,19269,15398,15892,27441
93,64,18455,15320,15118,29107
94,64,19443,15721,14588,28248
95,64,18749,15785,13977,29489
96,64,18754,15806,14056,29384
97,64,20708,14832,15304,27156
98,64,20731,14672,15103,27494
99,64,19913,15092,14481,28514
100,64,19880,15091,14488,28541
101,64,18695,14744,14625,29936
102,64,18446,14555,14354,30645
103,64,19604,14354,14458,29584
104,64,21981,14495,14246,27278
105,64,19600,14717,14134,29549
106,64,19544,14619,14025,29812
107,64,20381,14368,14700,28551
108,64,20481,14335,14758,28426
109,64,20258,14603,14792,28347
110,64,19571,14165,14734,29530
111,64,20487,14085,14843,28585
112,64,20796,14034,14846,28324
113,64,21713,13855,14940,27492
114,64,21548,13881,14946,27625
115,64,21941,13854,14745,27460
116,64,21968,13776,14804,27452
117,64,21634,13816,14740,27810
118,64,22403,13828,14962,26807
119,64,23137,13610,15220,26033
120,64,23236,13825,15239,25700
121,64,24088,13684,15547,24681
122,64,25758,14018,15127,23097
123,64,24372,14194,14863,24571
124,64,23425,13879,15294,25402
125,64,24492,13692,15374,24442
126,64,25444,13851,15394,23311
127,64,27804,13682,15496,21018
128,64,25384,13593,15272,23751
129,64,27700,13640,15160,21500
130,64,27534,13898,15203,21365
131,64,28104,13730,15281,20885
132,64,27349,13958,15367,21326
133,64,30602,13597,15245,18556
134,64,30465,13340,15125,19070
135,64,30762,13401,14985,18852
136,64,28053,13248,15652,21047
137,64,29057,12973,15647,20323
138,64,28578,13041,15765,20616
139,64,28042,12984,15957,21017
140,64,27453,13362,15541,21644
141,64,27807,13353,15528,21312
142,64,28922,13700,15357,20021
143,64,30109,14110,14864,18917
144,64,31237,14728,14576,17459
145,64,30370,14915,14705,18010
146,64,30293,14928,14571,18208
147,64,31383,15512,14325,16780
148,64,31566,15264,14043,17127
149,64,30548,14731,14393,18328
150,64,31714,15455,14316,16515
151,64,31804,15225,14371,16600
152,64,33011,14805,14424,15760
153,64,34423,14903,14215,14459
154,64,34181,15147,14306,14366
155,64,34413,14681,14034,14872
156,64,34663,14901,14335,14101
157,64,33449,14857,14268,15426
158,64,33274,15087,14651,14988
159,64,33648,15061,14441,14850
160,64,35222,14741,13985,14052
161,64,34895,14799,14087,14219
162,64,33923,14307,13988,15782
163,64,33447,14829,14409,15315
164,64,34676,14419,14089,14816
165,64,33462,14280,14132,16126
166,64,33481,14293,14111,16115
167,64,34565,14277,13796,15362
168,64,34619,14369,13724,15288
169,64,33051,14039,14253,16657
170,64,33060,14012,14122,16806
171,64,32058,14213,14206,17523
172,64,30455,14525,14605,18415
173,64,30921,14351,14583,18145
174,64,29540,14432,14711,19317
175,64,27127,14336,15043,21494
176,64,25845,14574,15040,22541
177,64,26018,14606,14998,22378
178,64,25914,14401,14955,22730
179,64,24331,14917,15235,23517
180,64,25949,15249,15294,21508
181,64,25816,14981,14850,22353
182,64,24569,15748,15068,22615
183,64,24327,15530,14843,23300
184,64,24450,15688,15079,22783
185,64,24779,15298,14810,23113
186,64,25932,15137,14906,22025
187,64,24647,15478,14906,22969
188,64,23717,15350,14733,24200
189,64,23269,15638,14669,24424
190,64,22429,15830,14340,25401
191,64,23821,15531,14438,24210
192,64,23462,15762,14522,24254
193,64,23752,15542,14387,24319
194,64,23379,15678,14489,24454
195,64,24790,15569,14930,22711
196,64,24823,15426,14878,22873
197,64,23692,15301,14669,24338
198,64,24932,15488,14387,23193
199,64,24728,15502,14308,23462
200,64,23794,15586,14422,24198
201,64,23179,15652,14565,24604
202,64,23437,15485,14381,24697
203,64,24176,15699,14444,23681
204,64,22944,15957,14294,24805
205,64,22849,15780,14084,25287
206,64,25218,15987,14114,22681
207,64,26928,16060,13655,21357
208,64,25273,15986,14170,22571
209,64,26346,16109,14555,20990
210,64,27160,16090,14251,20499
211,64,25646,16041,14492,21821
212,64,25205,16308,14709,21778
213,64,27246,15480,14511,20763
214,64,28470,15290,14347,19893
215,64,27283,15592,14324,20801
216,64,27405,15547,14297,20751
217,64,27075,15652,14410,20863
218,64,29830,15108,15064,17998
219,64,31007,14286,14669,18038
220,64,31099,14687,15116,17098
221,64,31423,14665,14899,17013
222,64,30923,14730,15131,17216
223,64,31548,14488,14887,17077
224,64,31245,14602,14948,17205
225,64,31150,14551,15011,17288
226,64,30936,14611,14976,17477
227,64,29555,14715,15462,18268
228,64,29459,14639,15324,18578
229,64,27016,14583,15995,20406
230,64,28523,14332,15212,19933
231,64,27522,14312,15114,21052
232,64,27211,14489,15404,20896
233,64,27226,14631,15300,20843
234,64,27532,14323,15013,21132
235,64,26948,14555,15259,21238
236,64,25568,14437,15711,22284
237,64,27277,14287,15360,21076
238,64,25506,14598,16287,21609
239,64,26019,14537,16191,21253
240,64,26634,14167,16296,20903
241,64,28564,13626,15953,19857
242,64,28321,13895,16223,19561
243,64,28586,13712,15891,19811
244,64,29211,13998,16104,18687
245,64,29538,14044,16153,18265
246,64,29719,14026,16103,18152
247,64,29566,14117,16061,18256
248,64,31080,13665,16083,17172
249,64,32227,13516,15636,16621
250,64,32217,13430,15526,16827
251,64,31166,13694,15417,17723
252,64,31140,13990,15583,17287
253,64,31092,13839,15617,17452
254,64,31151,13931,15792,17126
255,64,31961,13810,15396,16833
256,64,31744,13920,15574,16762
257,64,31762,14096,15735,16407
258,64,31900,13927,15583,16590
259,64,30651,14064,15022,18263
260,64,30596,14157,15173,18074
261,64,27882,13702,15773,20643
262,64,27467,13849,15880,20804
263,64,29248,13182,15963,19607
264,64,30109,13517,15962,18412
265,64,30340,13603,15936,18121
266,64,30426,13457,16086,18031
267,64,32148,13019,15615,17218
268,64,30266,13672,15861,18201
269,64,27864,13633,15773,20730
270,64,30275,13489,15794,18442
271,64,30512,13570,15919,17999
272,64,30526,13444,15951,18079
273,64,30489,13499,16026,17986
274,64,32262,13185,15727,16826
275,64,33364,12645,15885,16106
276,64,32489,12663,15763,17085
277,64,30769,12730,16654,17847
278,64,30113,12724,16430,18733
279,64,30882,12633,16366,18119
280,64,30775,12473,16208,18544
281,64,31719,12392,16227,17662
282,64,31245,12499,16399,17857
283,64,31411,12394,16477,17718
284,64,31408,12441,16523,17628
285,64,33247,12661,15726,16366
286,64,31026,12862,16037,18075
287,64,29984,13075,15936,19005
288,64,28984,13367,16070,19579
289,64,29016,13360,16126,19498
290,64,29074,13237,15903,19786
291,64,27772,13421,16532,20275
292,64,28285,13220,16259,20236
293,64,28974,13157,16199,19670
294,64,29180,13094,16168,19558
295,64,30367,12833,16118,18682
296,64,30859,12866,16061,18214
297,64,29840,12905,16015,19240
298,64,29610,12944,16107,19339
299,64,30881,12910,16176,18033
300,64,31960,12820,15979,17241
301,64,32093,12673,15821,17413
302,64,31199,13039,15852,17910
303,64,28888,13903,15270,19939
304,64,29197,13608,15136,20059
305,64,28355,13793,15292,20560
306,64,28314,13844,15484,20358
307,64,31301,14381,14374,17944
308,64,31013,14327,14364,18296
309,64,30328,14646,14569,18457
310,64,30048,14644,14669,18639
311,64,29137,14789,14737,19337
312,64,29146,14694,14748,19412
313,64,31872,14988,13886,17254
314,64,32020,14877,13819,17284
315,64,30900,15505,14106,17489
316,64,32215,15029,14064,16692
317,64,30781,14477,14332,18410
318,64,29585,15001,14059,19355
319,64,31091,14994,13980,17935
320,64,29326,14328,14532,19814
321,64,27926,14617,14483,20974
322,64,28586,14736,14433,20245
323,64,29746,14579,14185,19490
324,64,28227,15224,13739,20810
325,64,26896,15317,13536,22251
326,64,25855,15362,13516,23267
327,64,28447,15411,13268,20874
328,64,29215,15377,13444,19964
329,64,29372,15346,13452,19830
330,64,29904,15159,13995,18942
331,64,30096,15261,13927,18716
332,64,29814,15076,13865,19245
333,64,30133,14957,14109,18801
334,64,31289,14755,14057,17899
335,64,30384,14937,13841,18838
336,64,30588,14851,13676,18885
337,64,31458,14442,14196,17904
338,64,30781,14624,14055,18540
339,64,30720,14254,14085,18941
340,64,33082,14031,14146,16741
341,64,33682,14214,14061,16043
342,64,35238,14411,13506,14845
343,64,33756,14095,14004,16145
344,64,34941,14507,13428,15124
345,64,34230,14893,13249,15628
346,64,32844,14404,13952,16800
347,64,32887,14166,13802,17145
348,64,31665,14596,13900,17839
349,64,32279,14603,13620,17498
350,64,29087,14315,14924,19674
351,64,28546,14274,14733,20447
352,64,27620,14354,14928,21098
353,64,27833,14279,14850,21038
354,64,28303,14355,14995,20347
355,64,28269,14209,14933,20589
356,64,28359,14203,14933,20505
357,64,28529,14016,14839,20616
358,64,30160,13735,15314,18791
359,64,31188,14220,14853,17739
360,64,30530,14357,14938,18175
361,64,31144,14206,14778,17872
362,64,31703,14034,14832,17431
363,64,31718,14263,14876,17143
364,64,32557,14031,14804,16608
365,64,32654,13983,14812,16551
366,64,32847,13873,14682,16598
367,64,32398,14065,14881,16656
368,64,31762,14158,14340,17740
369,64,32582,13867,14414,17137
370,64,32840,13863,14498,16799
371,64,33524,13722,14494,16260
372,64,34900,14105,14091,14904
373,64,34166,14133,14056,15645
374,64,33537,14350,14362,15751
375,64,35345,13455,14348,14852
376,64,34531,13933,14398,15138
377,64,34704,13849,14339,15108
378,64,36194,13200,14056,14550
379,64,36875,12954,14369,13802
380,64,34517,13836,13893,15754
381,64,32861,14057,14169,16913
382,64,30603,14034,14593,18770
383,64,30636,14068,14640,18656
384,64,31650,14197,14363,17790
385,64,31728,14106,14385,17781
386,64,32556,14513,14028,16903
387,64,32540,14599,14042,16819
388,64,32810,14449,13854,16887
389,64,32805,14415,13802,16978
390,64,31230,14432,14542,17796
391,64,31072,14014,14466,18448
392,64,31008,14234,14209,18549
393,64,31702,14029,14648,17621
394,64,30735,14398,14392,18475
395,64,31322,14164,14383,18131
396,64,31421,14101,14534,17944
397,64,33741,13299,15168,15792
398,64,31339,14163,14278,18220
399,64,30623,14361,14402,18614
400,64,31874,14079,14521,17526
401,64,32858,13779,14788,16575
402,64,32115,13671,14634,17580
403,64,32791,13917,14759,16533
404,64,33143,13738,14545,16574
405,64,34698,14023,14167,15112
406,64,33759,14145,14010,16086
407,64,35201,14604,13446,14749
408,64,35126,14495,13551,14828
409,64,35163,14401,13392,15044
410,64,35108,14419,13478,14995
411,64,34422,14826,13719,15033
412,64,34720,14624,13420,15236
413,64,34813,14642,13438,15107
414,64,33209,14437,14042,16312
415,64,32822,14391,13818,16969
416,64,31036,14510,14177,18277
417,64,32488,14272,13941,17299
418,64,32159,14487,14287,17067
419,64,31467,14431,14050,18052
420,64,30729,14578,14123,18570
421,64,31532,14389,14283,17796
422,64,32011,14393,14255,17341
423,64,32042,14219,14149,17590
424,64,32164,14448,14310,17078
425,64,31569,14273,14277,17881
426,64,31137,14259,14332,18272
427,64,32106,14668,13884,17342
428,64,32183,14611,13818,17388
429,64,32406,14579,13776,17239
430,64,32409,14521,13736,17334
431,64,32111,14568,13767,17554
432,64,31567,14713,13691,18029
433,64,31663,14722,13801,17814
434,64,34286,14962,12781,15971
435,64,32800,14906,13554,16740
436,64,33100,14783,13316,16801
437,64,34204,15133,13103,15560
438,64,32848,15368,12995,16789
439,64,31855,15099,13312,17734
440,64,31776,15205,13341,17678
441,64,32142,15073,13068,17717
442,64,31889,15159,13272,17680
443,64,32108,15304,13315,17273
444,64,32136,15278,13140,17446
445,64,31282,14918,13434,18366
446,64,33264,15046,13352,16338
447,64,32164,15243,13097,17496
448,64,31735,15252,13474,17539
449,64,31133,15440,13775,17652
450,64,31242,15425,13788,17545
451,64,33788,14375,13848,15989
452,64,35453,14171,13961,14415
453,64,36314,14043,14124,13519
454,64,36804,13883,14055,13258
455,64,36079,14132,14254,13535
456,64,37364,13704,13735,13197
457,64,37591,13758,13819,12832
458,64,38086,13847,13566,12501
459,64,38108,13869,13616,12407
460,64,36669,14392,13974,12965
461,64,36300,14279,13733,13688
462,64,37922,13966,13718,12394
463,64,39069,13502,13997,11432
464,64,37370,14109,14186,12335
465,64,37625,14310,14086,11979
466,64,36700,14252,14239,12809
467,64,37822,14529,14227,11422
468,64,38834,14404,13976,10786
469,64,38394,14822,14281,10503
470,64,38005,14667,14309,11019
471,64,37137,14852,14518,11493
472,64,38254,14459,14291,10996
473,64,39655,14536,14323,9486
474,64,40269,14398,14298,9035
475,64,39625,14535,14607,9233
476,64,39791,14476,14396,9337
477,64,39337,14558,14542,9563
478,64,39381,14807,14723,9089
479,64,39297,14672,14441,9590
480,64,39946,14406,14250,9398
481,64,40168,14486,14376,8970
482,64,39759,14671,14359,9211
483,64,39654,14534,14439,9373
484,64,41146,14046,14259,8549
485,64,41705,13827,13907,8561
486,64,42470,13744,13603,8183
487,64,43257,13600,13365,7778
488,64,42637,13601,13689,8073
489,64,43423,13468,13543,7566
490,64,42509,13658,13685,8148
491,64,41751,14052,13829,8368
492,64,41838,13902,13937,8323
493,64,41182,14102,14114,8602
494,64,41898,14018,13918,8166
495,64,40782,14404,14268,8546
496,64,41858,14064,13896,8182
497,64,42607,13814,13675,7904
498,64,42326,13816,13819,8039
499,64,43023,13763,13611,7603
500,64,43184,13711,13613,7492
501,64,42822,13841,13725,7612
502,64,42979,13769,13665,7587
503,64,43593,13514,13424,7469
504,64,44719,13135,13340,6806
505,64,44797,13059,13420,6724
506,64,45659,12850,13200,6291
507,64,46642,12491,12729,6138
508,64,47808,11942,12663,5587
509,64,47409,12061,12649,5881
510,64,46715,12523,12858,5904
511,64,44225,13434,12785,7556
512,64,44798,13202,12454,7546
513,64,42061,13319,13091,9529
514,64,42950,13096,12918,9036
515,64,44158,12634,12940,8268
516,64,43954,12776,12883,8387
517,64,43949,12720,12882,8449
518,64,43462,12957,12920,8661
519,64,43309,13028,12972,8691
520,64,45560,12918,12446,7076
521,64,44776,13283,12606,7335
522,64,44550,13153,12589,7708
523,64,42613,13280,12928,9179
524,64,41681,13560,13364,9395
525,64,41922,13537,13209,9332
526,64,41518,13416,13433,9633
527,64,42264,13026,13286,9424
528,64,44527,13385,12573,7515
529,64,44125,13492,12541,7842
530,64,45821,12839,12884,6456
531,64,46294,12943,12647,6116
532,64,46655,12781,12599,5965
533,64,47045,12607,12325,6023
534,64,46887,12721,12451,5941
535,64,46798,12741,12494,5967
536,64,47445,12588,12156,5811
537,64,47821,12324,12211,5644
538,64,48046,12308,12060,5586
539,64,47848,12315,12143,5694
540,64,47688,12663,12417,5232
541,64,47988,12436,12132,5444
542,64,47563,12558,12242,5637
543,64,47608,12564,12286,5542
544,64,47054,12638,12582,5726
545,64,48419,12223,11923,5435
546,64,48285,12390,12096,5229
547,64,47931,12334,12252,5483
548,64,47662,12644,12260,5434
549,64,48291,12417,12005,5287
550,64,48796,12267,11870,5067
551,64,49217,12026,11705,5052
552,64,48408,12175,11896,5521
553,64,48061,12255,12236,5448
554,64,47553,12579,12421,5447
555,64,47333,12458,12512,5697
556,64,48116,12229,12313,5342
557,64,48236,12247,12202,5315
558,64,47911,12369,12311,5409
559,64,47050,12638,12639,5673
560,64,47214,12695,12618,5473
561,64,45746,13144,12948,6162
562,64,47058,12667,12502,5773
563,64,46670,12786,12724,5820
564,64,45376,13015,13171,6438
565,64,45823,12833,13135,6209
566,64,46264,12665,13152,5919
567,64,46422,12546,13112,5920
568,64,45792,12943,13384,5881
569,64,45625,12839,13222,6314
570,64,44615,13242,13642,6501
571,64,45260,13015,13254,6471
572,64,45459,13141,13294,6106
573,64,46490,12676,12868,5966
574,64,45662,12859,13313,6166
575,64,45951,12870,13276,5903
576,64,46186,12767,13177,5870
577,64,46212,12606,13246,5936
578,64,46123,12720,13308,5849
579,64,45984,12752,13259,6005
580,64,46665,12476,13007,5852
581,64,46934,12428,13069,5569
582,64,45990,12881,13329,5800
583,64,44362,12963,13331,7344
584,64,44752,12891,13098,7259
585,64,47159,12673,12423,5745
586,64,47002,12689,12542,5767
587,64,46200,13154,12939,5707
588,64,45940,13235,12816,6009
589,64,46519,12932,12647,5902
590,64,46691,12902,12650,5757
591,64,46401,12884,12800,5915
592,64,44618,12841,13234,7307
593,64,45849,12451,12855,6845
594,64,45223,12831,13066,6880
595,64,44946,12740,13097,7217
596,64,44705,12772,13195,7328
597,64,45972,12300,12882,6846
598,64,45659,12415,13019,6907
599,64,46312,12372,12905,6411
600,64,45237,12651,13203,6909
601,64,45811,12599,12840,6750
602,64,46152,12407,12662,6779
603,64,47778,12438,12546,5238
604,64,48669,11920,12425,4986
605,64,48529,11946,12380,5145
606,64,46007,12275,12979,6739
607,64,42849,12384,14192,8575
608,64,41001,12713,14018,10268
609,64,40588,12844,14115,10453
610,64,40347,12880,14155,10618
611,64,40194,12941,14202,10663
612,64,40574,12895,14090,10441
613,64,40378,12926,14115,10581
614,64,41032,12802,13918,10248
615,64,41834,12978,13540,9648
616,64,43540,13124,13080,8256
617,64,41413,12601,14066,9920
618,64,41427,12751,14069,9753
619,64,41915,12414,13908,9763
620,64,39409,13561,13726,11304
621,64,41426,12649,14131,9794
622,64,40813,12545,14273,10369
623,64,40495,12679,14640,10186
624,64,38755,12277,15095,11873
625,64,38828,12258,14993,11921
626,64,38572,12462,15237,11729
627,64,38904,12359,14973,11764
628,64,39335,11908,15172,11585
629,64,37060,12052,15587,13301
630,64,37754,12044,15377,12825
631,64,37801,11995,15400,12804
632,64,37025,12466,15277,13232
633,64,38761,12157,15383,11699
634,64,39438,11936,15150,11476
635,64,39485,11915,15056,11544
636,64,38439,12329,15400,11832
637,64,38762,12176,15170,11892
638,64,39248,12292,14841,11619
639,64,39496,12251,14694,11559
640,64,39567,12141,14961,11331
641,64,40191,12082,14664,11063
642,64,42496,11793,14388,9323
643,64,41858,11871,14422,9849
644,64,42085,11787,14597,9531
645,64,42897,11444,14589,9070
646,64,42869,11485,14465,9181
647,64,42712,11515,14471,9302
648,64,42827,11577,14388,9208
649,64,42694,11622,14644,9040
650,64,43005,11460,14451,9084
651,64,43144,11422,14336,9098
652,64,42652,11504,14642,9202
653,64,41971,11883,14669,9477
654,64,42617,11881,14346,9156
655,64,43022,11782,14260,8936
656,64,43328,11468,14339,8865
657,64,42927,11805,14234,9034
658,64,42974,11794,14250,8982
659,64,42294,11983,14421,9302
660,64,43274,11450,14406,8870
661,64,43723,11427,14279,8571
662,64,43583,11374,14295,8748
663,64,42614,11680,14453,9253
664,64,45419,11253,13762,7566
665,64,45447,11305,13861,7387
666,64,42624,11939,14112,9325
667,64,42767,11947,14046,9240
668,64,42771,12071,14064,9094
669,64,41014,12085,14440,10461
670,64,38969,11811,15466,11754
671,64,38620,11768,15518,12094
672,64,39320,11573,15436,11671
673,64,39311,11545,15556,11588
674,64,39307,11563,15327,11803
675,64,39071,11647,15510,11772
676,64,36829,11265,16609,13297
677,64,36832,11260,16554,13354
678,64,36117,11216,16932,13735
679,64,37655,11705,16203,12437
680,64,36050,11624,16188,14138
681,64,37812,11504,15915,12769
682,64,37830,11550,15914,12706
683,64,37450,11731,16232,12587
684,64,37775,11351,15848,13026
685,64,37134,11696,16050,13120
686,64,34701,12134,15854,15311
687,64,33054,12317,15946,16683
688,64,33069,12386,16013,16532
689,64,34917,12105,15948,15030
690,64,35021,12117,15829,15033
691,64,34764,12286,15923,15027
692,64,34278,12547,15811,15364
693,64,34827,12326,15625,15222
694,64,33942,12579,15842,15637
695,64,34058,12387,15667,15888
696,64,34783,12228,15761,15228
697,64,34712,12305,15801,15182
698,64,32704,12645,15756,16895
699,64,32146,12914,15595,17345
700,64,31524,13252,15108,18116
701,64,30597,13333,15452,18618
702,64,31006,13200,15296,18498
703,64,32457,13369,15184,16990
704,64,33496,13473,15156,15875
705,64,31791,12932,15523,17754
706,64,32206,12993,15470,17331
707,64,31255,13291,15360,18094
708,64,31499,13261,15444,17796
709,64,30046,13463,15381,19110
710,64,30578,13454,15187,18781
711,64,28372,13546,15566,20516
712,64,29001,13425,15406,20168
713,64,29489,13423,15215,19873
714,64,29558,13372,15438,19632
715,64,29648,13340,15264,19748
716,64,30148,13371,15283,19198
717,64,29997,13601,15254,19148
718,64,30599,13431,14978,18992
719,64,28151,13714,15073,21062
720,64,25748,12836,16170,23246
721,64,25588,12904,16005,23503
722,64,24953,12885,16113,24049
723,64,25426,12627,16127,23820
724,64,24223,12273,16253,25251
725,64,22574,13101,15540,26785
726,64,20944,12820,16178,28058
727,64,21542,12604,15858,27996
728,64,19127,13340,15125,30408
729,64,19206,13421,14994,30379
730,64,17970,13558,14738,31734
731,64,18248,13648,14706,31398
732,64,19142,14222,14376,30260
733,64,20768,14658,13867,28707
734,64,19129,14079,14318,30474
735,64,17612,13376,14964,32048
736,64,17755,13287,14765,32193
737,64,19052,13430,14972,30546
738,64,19554,13334,14987,30125
739,64,20498,13693,14912,28897
740,64,19290,13335,14922,30453
741,64,19439,13381,15028,30152
742,64,17732,12877,15509,31882
743,64,17808,12816,15423,31953
744,64,17955,12770,15351,31924
745,64,16470,12745,15239,33546
746,64,15120,12347,15395,35138
747,64,15789,12336,15748,34127
748,64,16618,12603,15462,33317
749,64,16894,12711,15930,32465
750,64,16877,12655,15978,32490
751,64,17909,12976,15627,31488
752,64,17573,13104,15579,31744
753,64,16610,13434,14993,32963
754,64,15376,13482,14535,34607
755,64,15574,13978,14755,33693
756,64,15403,13492,14639,34466
757,64,17188,14553,14173,32086
758,64,15866,14169,14550,33415
759,64,15646,14030,14416,33908
760,64,16652,14363,14326,32659
761,64,16561,14814,14213,32412
762,64,16450,14974,14443,32133
763,64,16477,14906,14288,32329
764,64,16461,14901,14322,32316
765,64,16308,14855,14226,32611
766,64,16347,14668,14042,32943
767,64,18076,15959,13321,30644
768,64,18007,16203,13318,30472
769,64,17678,16283,13422,30617
770,64,16830,16170,13493,31507
771,64,17477,16342,13436,30745
772,64,15494,14892,14329,33285
773,64,17215,14488,15525,30772
774,64,17159,14422,15540,30879
775,64,16141,15173,15070,31616
776,64,16093,14888,15060,31959
777,64,15410,14790,15530,32270
778,64,15183,14712,15497,32608
779,64,16813,15005,15666,30516
780,64,16722,15140,15691,30447
781,64,16762,15179,15786,30273
782,64,16780,15076,15549,30595
783,64,16750,15042,15673,30535
784,64,15656,14821,16303,31220
785,64,15718,14810,16230,31242
786,64,14345,14572,15613,33470
787,64,14447,14957,15719,32877
788,64,14037,14779,15996,33188
789,64,12645,15093,14722,35540
790,64,12983,15406,14999,34612
791,64,11953,15398,14989,35660
792,64,11012,15687,14620,36681
793,64,10175,14936,15463,37426
794,64,10026,14940,15361,37673
795,64,11351,14723,16601,35325
796,64,12713,14572,17387,33328
797,64,12577,14394,16760,34269
798,64,11092,13912,16595,36401
799,64,11197,13820,16620,36363
800,64,12202,13664,16867,35267
801,64,11925,13735,17023,35317
802,64,12117,13702,16984,35197
803,64,11157,13745,16689,36409
804,64,11991,14253,16072,35684
805,64,12062,14096,16022,35820
806,64,10477,13084,16398,38041
807,64,10705,12888,16323,38084
808,64,9431,11813,16219,40537
809,64,9274,11938,16337,40451
810,64,8389,11922,15973,41716
811,64,8454,11867,16113,41566
812,64,9125,11585,16253,41037
813,64,8244,11143,16191,42422
814,64,8366,11139,16085,42410
815,64,9346,13000,15853,39801
816,64,8293,12392,14981,42334
817,64,8172,12500,15102,42226
818,64,9504,13139,15405,39952
819,64,10717,14691,14983,37609
820,64,10772,14524,15047,37657
821,64,10014,15074,14805,38107
822,64,10824,14895,14701,37580
823,64,10534,14562,14795,38109
824,64,10911,14528,15498,37063
825,64,10806,14437,15500,37257
826,64,10868,14702,15511,36919
827,64,10203,14623,15545,37629
828,64,9285,14167,16153,38395
829,64,9242,14226,16218,38314
830,64,9245,14440,16227,38088
831,64,8558,13900,16702,38840
832,64,7519,12761,16848,40872
833,64,7340,11809,16694,42157
834,64,7435,11628,16637,42300
835,64,8360,13258,16540,39842
836,64,8340,13414,16392,39854
