round,seed,coop,exploit,exploit_,defect
1,64,29773,11596,17246,19385
2,64,29829,11494,17536,19141
3,64,27622,11783,17609,20986
4,64,27014,12076,17123,21787
5,64,27649,11837,17552,20962
6,64,25320,11837,17758,23085
7,64,24092,12240,17468,24200
8,64,22832,12276,17424,25468
9,64,20780,12234,17195,27791
10,64,22424,12736,17253,25587
11,64,22942,12402,17405,25251
12,64,23474,13071,17202,24253
13,64,23298,13034,16782,24886
14,64,23234,13081,17547,24138
15,64,23258,13106,17599,24037
16,64,23063,13177,16899,24861
17,64,23788,13225,16804,24183
18,64,24534,13117,16833,23516
19,64,26264,12883,16878,21975
20,64,24703,13264,16876,23157
21,64,22780,14277,15643,25300
22,64,22100,13546,15771,26583
23,64,21739,13818,15866,26577
24,64,20487,13386,16235,27892
25,64,19536,12957,16250,29257
26,64,19902,12741,15960,29397
27,64,20695,13044,16067,28194
28,64,20652,13128,15924,28296
29,64,19105,13800,15155,29940
30,64,17885,13643,15235,31237
31,64,18257,13597,15117,31029
32,64,17784,13618,15365,31233
33,64,16987,14078,14848,32087
34,64,16819,14264,14590,32327
35,64,17566,14421,14164,31849
36,64,16241,14611,13873,33275
37,64,15187,14723,13835,34255
38,64,13886,14872,13509,35733
39,64,13199,15118,12545,37138
40,64,11964,14020,12537,39479
41,64,12729,15552,12252,37467
42,64,12417,15253,12227,38103
43,64,12997,15289,12552,37162
44,64,13169,15310,12535,36986
45,64,13458,14942,12287,37313
46,64,14459,15161,12554,35826
47,64,15064,15371,12595,34970
48,64,14816,15407,12814,34963
49,64,16440,15001,13917,32642
50,64,16432,14881,13818,32869
51,64,15576,15427,13500,33497
52,64,14611,15273,13559,34557
53,64,15224,15506,13467,33803
54,64,13483,14312,13741,36464
55,64,13328,14328,13842,36502
56,64,15058,14591,14388,33963
57,64,13616,13046,15056,36282
58,64,12581,12854,15464,37101
59,64,14006,13244,15734,35016
60,64,14448,13279,15938,34335
61,64,15970,12506,17408,32116
62,64,17407,13616,17065,29912
63,64,16794,13492,17137,30577
64,64,15464,12807,17943,31786
65,64,14889,12975,16875,33261
66,64,14902,12993,16699,33406
67,64,14891,13067,16953,33089
68,64,15698,13312,16521,32469
69,64,15617,13347,16568,32468
70,64,15363,13226,16271,33140
71,64,14509,13389,16230,33872
72,64,15762,12979,17047,32212
73,64,16675,12633,17041,31651
74,64,16648,12717,17022,31613
75,64,16785,12494,16922,31799
76,64,18577,13179,16975,29269
77,64,17022,13446,16462,31070
78,64,17217,13491,16556,30736
79,64,18842,13836,16680,28642
80,64,18788,13978,16645,28589
81,64,19491,14730,16565,27214
82,64,20886,15068,15983,26063
83,64,22537,16377,14911,24175
84,64,21401,16895,14761,24943
85,64,20689,17157,13743,26411
86,64,20183,16806,13761,27250
87,64,21459,16490,13391,26660
88,64,21433,16553,13428,26586
89,64,21454,16616,13533,26397
90,64,22840,17055,12933,25172
91,64,23627,17542,12770,24061
92,64,24931,17481,12575,23013
93,64,25998,17015,12765,22222
94,64,25666,16925,12806,22603
95,64,24753,16933,12528,23786
96,64,24642,17134,12575,23649
97,64,24558,17066,12264,24112
98,64,25611,16778,12469,23142
99,64,25301,16835,11982,23882
100,64,26244,16600,12436,22720
101,64,27058,16825,12277,21840
102,64,26282,17005,11995,22718
103,64,27157,16712,12351,21780
104,64,29767,16679,12246,19308
105,64,27101,17118,12171,21610
106,64,26608,17167,12005,22220
107,64,27790,16785,12330,21095
108,64,27836,16679,12315,21170
109,64,29299,16014,12584,20103
110,64,29238,16095,12761,19906
111,64,30316,15698,12834,19152
112,64,28213,15835,13236,20716
113,64,28362,15682,13262,20694
114,64,29701,15787,12903,19609
115,64,32091,15223,13151,17535
116,64,33416,15884,12452,16248
117,64,34775,15302,12492,15431
118,64,35380,15228,12478,14914
119,64,36265,15038,12445,14252
120,64,36046,15294,12570,14090
121,64,34658,15718,12222,15402
122,64,34051,15640,12669,15640
123,64,35928,14873,13018,14181
124,64,36037,14900,13046,14017
125,64,38272,13883,12995,12850
126,64,36255,14388,13205,14152
127,64,36606,14275,13178,13941
128,64,34060,14979,12990,15971
129,64,33446,15096,13173,16285
130,64,33640,15115,13158,16087
131,64,32716,14850,13622,16812
132,64,33930,14892,13174,16004
133,64,35169,14617,13280,14934
134,64,37717,14152,13160,12971
135,64,37590,14080,13187,13143
136,64,35252,13963,13978,14807
137,64,35142,14106,13960,14792
138,64,35620,14017,13732,14631
139,64,35555,14142,13714,14589
140,64,35761,14151,13708,14380
141,64,34203,14024,14176,15597
142,64,36542,14187,13440,13831
143,64,39451,14786,12010,11753
144,64,39298,14580,12125,11997
145,64,38942,14796,12160,12102
146,64,40149,14805,11732,11314
147,64,40841,15181,11361,10617
148,64,41185,15073,11124,10618
149,64,40962,15012,11214,10812
150,64,42745,14875,10648,9732
151,64,41427,15400,10942,10231
152,64,44747,13788,10759,8706
153,64,44338,13954,10893,8815
154,64,44048,14070,11088,8794
155,64,44427,13976,10923,8674
156,64,44970,13728,10839,8463
157,64,42367,14525,11176,9932
158,64,41021,14669,11658,10652
159,64,42040,14326,11578,10056
160,64,42202,14132,11345,10321
161,64,42228,14285,11720,9767
162,64,43209,13897,11308,9586
163,64,43763,13976,11390,8871
164,64,43587,13893,11702,8818
165,64,45873,13325,11247,7555
166,64,45695,13508,11070,7727
167,64,46974,13413,10812,6801
168,64,46731,13490,10676,7103
169,64,44378,13490,11711,8421
170,64,43498,13872,11719,8911
171,64,43434,13727,11669,9170
172,64,46152,13136,11057,7655
173,64,45225,13508,11352,7915
174,64,44219,13672,11592,8517
175,64,43962,13743,11556,8739
176,64,43990,13645,11610,8755
177,64,44113,13606,11552,8729
178,64,43928,13810,11601,8661
179,64,44352,13620,11557,8471
180,64,46020,13475,11056,7449
181,64,46465,13402,10848,7285
182,64,46458,13499,10940,7103
183,64,45826,13479,11163,7532
184,64,45307,13619,11567,7507
185,64,45560,13401,11722,7317
186,64,45755,13200,11577,7468
187,64,46112,13226,11430,7232
188,64,45678,13532,11596,7194
189,64,44883,13449,11817,7851
190,64,45129,13456,11689,7726
191,64,45010,13520,11751,7719
192,64,44115,13680,12083,8122
193,64,44857,13331,12114,7698
194,64,45631,13069,12013,7287
195,64,47569,12263,12250,5918
196,64,47486,12351,12380,5783
197,64,48022,12249,12066,5663
198,64,47991,12339,12277,5393
199,64,48632,11786,12033,5549
200,64,50794,11795,11360,4051
201,64,50871,11557,11384,4188
202,64,50055,11923,11590,4432
203,64,49713,11989,11826,4472
204,64,48580,12533,12010,4877
205,64,48083,12536,12129,5252
206,64,48585,12390,11894,5131
207,64,49414,12174,11799,4613
208,64,48053,12521,12173,5253
209,64,48719,12156,11948,5177
210,64,49968,12157,11547,4328
211,64,49210,12423,11884,4483
212,64,49867,12243,11704,4186
213,64,50376,11848,11634,4142
214,64,50778,11790,11491,3941
215,64,50359,12019,11655,3967
216,64,51614,11443,11254,3689
217,64,50368,11771,11827,4034
218,64,50571,11532,11708,4189
219,64,50829,11451,11632,4088
220,64,50404,11598,11720,4278
221,64,51286,11250,11717,3747
222,64,51892,11124,11291,3693
223,64,51462,10977,11498,4063
224,64,51360,11046,11494,4100
225,64,50939,11202,11865,3994
226,64,50885,11196,11853,4066
227,64,50298,11342,12182,4178
228,64,50413,11448,12110,4029
229,64,50308,11446,12130,4116
230,64,50645,11225,11924,4206
231,64,51957,10829,11639,3575
232,64,51999,10865,11491,3645
233,64,52322,10797,11281,3600
234,64,53316,10426,11177,3081
235,64,53260,10470,11165,3105
236,64,52698,10464,11557,3281
237,64,53553,10348,10992,3107
238,64,52619,10540,11504,3337
239,64,54179,9982,11079,2760
240,64,53236,10395,11345,3024
241,64,53319,10217,11170,3294
242,64,53012,10440,11428,3120
243,64,52942,10413,11297,3348
244,64,53073,10480,11266,3181
245,64,52430,10744,11454,3372
246,64,53401,10375,11037,3187
247,64,52725,10672,11401,3202
248,64,53428,10371,11204,2997
249,64,54082,10010,10870,3038
250,64,53939,10064,10772,3225
251,64,53660,10315,10997,3028
252,64,53388,10522,11057,3033
253,64,53900,10317,10734,3049
254,64,52914,10730,11042,3314
255,64,50214,10798,12053,4935
256,64,47492,12220,11963,6325
257,64,47803,12079,11805,6313
258,64,47855,12148,11867,6130
259,64,44742,13484,12005,7769
260,64,44426,13685,11919,7970
261,64,43873,13637,11996,8494
262,64,44394,13361,12130,8115
263,64,44333,13273,12098,8296
264,64,44430,13352,12261,7957
265,64,44211,13399,12221,8169
266,64,44047,13308,12358,8287
267,64,44430,13207,12228,8135
268,64,43811,13208,12306,8675
269,64,41882,13721,12514,9883
270,64,41875,13867,12387,9871
271,64,41574,13830,12652,9944
272,64,39114,14610,12505,11771
273,64,38436,14858,12558,12148
274,64,38805,14784,12442,11969
275,64,39082,14572,12552,11794
276,64,38583,14508,12535,12374
277,64,38961,14809,12499,11731
278,64,39153,14496,12328,12023
279,64,38792,14607,12486,12115
280,64,38724,14658,12458,12160
281,64,38216,14917,12421,12446
282,64,38834,14557,12562,12047
283,64,39072,14427,12487,12014
284,64,36540,14464,13423,13573
285,64,38930,14416,12403,12251
286,64,38212,14615,12652,12521
287,64,39433,14050,12823,11694
288,64,38720,14375,13134,11771
289,64,37761,14461,12881,12897
290,64,37329,14425,12972,13274
291,64,36963,14464,13182,13391
292,64,36873,14538,13449,13140
293,64,38137,14331,12917,12615
294,64,37938,14330,12967,12765
295,64,37532,14597,13037,12834
296,64,35825,14231,13891,14053
297,64,33696,14028,14190,16086
298,64,33036,14415,14119,16430
299,64,32833,14216,14134,16817
300,64,34173,14576,14110,15141
301,64,35600,14266,13589,14545
302,64,35107,14296,13685,14912
303,64,32697,15345,13040,16918
304,64,32477,15217,13097,17209
305,64,32298,15352,13089,17261
306,64,32532,15416,13158,16894
307,64,32719,15248,13065,16968
308,64,32684,15373,13292,16651
309,64,32991,15321,13162,16526
310,64,33425,15161,13105,16309
311,64,30656,15522,13453,18369
312,64,30767,15393,13436,18404
313,64,31265,15507,13108,18120
314,64,31711,15371,12977,17941
315,64,31879,15386,13295,17440
316,64,31774,15521,13287,17418
317,64,29959,15058,13798,19185
318,64,29634,15164,13330,19872
319,64,30218,15194,13621,18967
320,64,32073,15952,12730,17245
321,64,32434,15885,12963,16718
322,64,31009,15402,13221,18368
323,64,29611,15225,13538,19626
324,64,27524,16291,13095,21090
325,64,27753,16144,12896,21207
326,64,25885,16234,13041,22840
327,64,28137,16335,12901,20627
328,64,28359,16501,13056,20084
329,64,28752,16254,12835,20159
330,64,28827,16309,13474,19390
331,64,29010,16238,13291,19461
332,64,30265,16303,12891,18541
333,64,32209,15162,13424,17205
334,64,33504,15186,13350,15960
335,64,33313,15107,13484,16096
336,64,33283,14731,13513,16473
337,64,35357,14083,14129,14431
338,64,34897,14049,14103,14951
339,64,34962,14013,14052,14973
340,64,37130,13644,13976,13250
341,64,39598,13894,13163,11345
342,64,41129,14403,12214,10254
343,64,41637,14255,12131,9977
344,64,41564,13976,12196,10264
345,64,41223,14328,12162,10287
346,64,38868,13992,13274,11866
347,64,38639,13897,13090,12374
348,64,38272,14160,13215,12353
349,64,40206,13936,13033,10825
350,64,38166,13610,13986,12238
351,64,38186,13343,13854,12617
352,64,37388,13450,14007,13155
353,64,36953,13781,14164,13102
354,64,37812,13559,14060,12569
355,64,37675,13676,14084,12565
356,64,37960,13554,13981,12505
357,64,37615,13479,14164,12742
358,64,39853,12539,14574,11034
359,64,42731,12862,13201,9206
360,64,42711,12775,13274,9240
361,64,42104,13041,13331,9524
362,64,41802,12936,13535,9727
363,64,42190,13079,13495,9236
364,64,41854,13118,13612,9416
365,64,41106,13325,13683,9886
366,64,40318,13572,13940,10170
367,64,39907,13473,13874,10746
368,64,38700,13709,13493,12098
369,64,39180,13599,13537,11684
370,64,39450,13548,13662,11340
371,64,39739,13449,13441,11371
372,64,41431,13905,13050,9614
373,64,38726,14145,13300,11829
374,64,38470,14153,13391,11986
375,64,39343,13841,13212,11604
376,64,38872,14084,13331,11713
377,64,39437,13909,13279,11375
378,64,39793,13774,13058,11375
379,64,39447,13635,13341,11577
380,64,40380,13411,13408,10801
381,64,40047,13600,13484,10869
382,64,38111,13487,13862,12540
383,64,37879,13669,13714,12738
384,64,38000,13715,13650,12635
385,64,38076,13626,13531,12767
386,64,37952,13742,13710,12596
387,64,38711,13967,13358,11964
388,64,38489,13765,13519,12227
389,64,37946,13822,13442,12790
390,64,39119,13910,13153,11818
391,64,38838,13713,13177,12272
392,64,38508,14028,13366,12098
393,64,38560,13936,13181,12323
394,64,37967,13995,13227,12811
395,64,37920,14150,13239,12691
396,64,37851,14170,13357,12622
397,64,37495,14396,13196,12913
398,64,37645,14292,13079,12984
399,64,37807,14325,13254,12614
400,64,38053,14204,13425,12318
401,64,36503,14507,13092,13898
402,64,36703,14471,13138,13688
403,64,38849,14396,12877,11878
404,64,39163,14224,12719,11894
405,64,38473,14221,12934,12372
406,64,40057,13786,13130,11027
407,64,39570,13808,13462,11160
408,64,38939,13869,13686,11506
409,64,39226,13910,13441,11423
410,64,38794,13830,13782,11594
411,64,38685,13884,13752,11679
412,64,40073,13725,13121,11081
413,64,41324,13730,12549,10397
414,64,38593,13456,13658,12293
415,64,37815,13601,13710,12874
416,64,38814,13673,13564,11949
417,64,38684,13774,13609,11933
418,64,38509,13606,13561,12324
419,64,38513,13667,13728,12092
420,64,37576,14007,13865,12552
421,64,37372,14126,13765,12737
422,64,35345,14186,13721,14748
423,64,34672,14565,13601,15162
424,64,35485,14257,13725,14533
425,64,33318,14022,14346,16314
426,64,35548,13557,14241,14654
427,64,33522,13229,15007,16242
428,64,33492,13201,15002,16305
429,64,34488,13012,15178,15322
430,64,36354,13336,14443,13867
431,64,36456,13295,14495,13754
432,64,36816,13157,14706,13321
433,64,35883,13274,14528,14315
434,64,38233,13603,13574,12590
435,64,37213,13808,14083,12896
436,64,36253,13964,13861,13922
437,64,37433,13941,13567,13059
438,64,35155,14365,13627,14853
439,64,35311,14410,13583,14696
440,64,35238,14427,13702,14633
441,64,32644,14533,14304,16519
442,64,32763,14018,14273,16946
443,64,31911,14090,14535,17464
444,64,29745,14632,14196,19427
445,64,28431,14496,14492,20581
446,64,29842,14568,14514,19076
447,64,29521,14693,14615,19171
448,64,30097,14466,14476,18961
449,64,30192,14576,14517,18715
450,64,30553,14424,14421,18602
451,64,28669,15051,13801,20479
452,64,30814,14818,14124,18244
453,64,30435,14915,13907,18743
454,64,30663,14962,13911,18464
455,64,28803,14218,14481,20498
456,64,27590,14601,14593,21216
457,64,27583,14679,14483,21255
458,64,26927,14597,14825,21651
459,64,27882,14285,14844,20989
460,64,26008,14517,14782,22693
461,64,25031,14722,14215,24032
462,64,23321,14958,14262,25459
463,64,25336,14346,14542,23776
464,64,25207,14499,14797,23497
465,64,26846,14176,14834,22144
466,64,26928,14006,14870,22196
467,64,26786,14328,15256,21630
468,64,26427,14018,14961,22594
469,64,27589,14241,15432,20738
470,64,27450,14384,15441,20725
471,64,26219,14571,14947,22263
472,64,24636,14701,14556,24107
473,64,24728,14599,14401,24272
474,64,26473,14968,14262,22297
475,64,26119,14980,14312,22589
476,64,24805,15244,13748,24203
477,64,25276,15176,14005,23543
478,64,25138,15286,13899,23677
479,64,25244,15249,13732,23775
480,64,25586,15157,13795,23462
481,64,22856,14899,13971,26274
482,64,22558,14949,13822,26671
483,64,22709,14980,13927,26384
484,64,22531,15060,13926,26483
485,64,22651,14967,13965,26417
486,64,22398,14936,13948,26718
487,64,20826,14718,14143,28313
488,64,21305,14532,14012,28151
489,64,19467,14408,14028,30097
490,64,19165,14134,13976,30725
491,64,18987,14277,14079,30657
492,64,18643,14319,14177,30861
493,64,18823,14408,14291,30478
494,64,18715,14297,14208,30780
495,64,18063,14354,13744,31839
496,64,18526,14269,13919,31286
497,64,16928,13686,14064,33322
498,64,16824,13793,14180,33203
499,64,15900,13499,14044,34557
500,64,16711,13507,14439,33343
501,64,16396,13499,14035,34070
502,64,17807,14236,14031,31926
503,64,18043,14227,14081,31649
504,64,18463,14068,14648,30821
505,64,20067,13968,14717,29248
506,64,20724,14167,14788,28321
507,64,21633,14135,14692,27540
508,64,21828,14117,14900,27155
509,64,21122,13868,14557,28453
510,64,20690,13818,14381,29111
511,64,20509,14067,14600,28824
512,64,20992,14086,14847,28075
513,64,19928,13762,14681,29629
514,64,19779,13827,14785,29609
515,64,20377,13551,15055,29017
516,64,21976,13829,14808,27387
517,64,23093,14302,14747,25858
518,64,21672,14418,14225,27685
519,64,22900,14594,14156,26350
520,64,22829,14710,14450,26011
521,64,23382,14516,14267,25835
522,64,23608,14712,14069,25611
523,64,23745,14624,14085,25546
524,64,22536,14817,14001,26646
525,64,23693,15187,13610,25510
526,64,22847,15180,14034,25939
527,64,23056,15021,13924,25999
528,64,22589,15333,14111,25967
529,64,22925,15241,13968,25866
530,64,24138,15050,14292,24520
531,64,24678,15036,14122,24164
532,64,23549,14581,14230,25640
533,64,24332,14792,14036,24840
534,64,24349,14614,14187,24850
535,64,24440,14708,14088,24764
536,64,25609,15406,13629,23356
537,64,25824,15415,13652,23109
538,64,25710,15433,13564,23293
539,64,23645,15289,13542,25524
540,64,24000,15232,13584,25184
541,64,23833,15096,13258,25813
542,64,23464,15368,13663,25505
543,64,22301,15480,13313,26906
544,64,22619,15870,13099,26412
545,64,22696,15660,13083,26561
546,64,23251,15526,13298,25925
547,64,21735,15222,13358,27685
548,64,20528,15324,13132,29016
549,64,21024,15606,12905,28465
550,64,21011,15507,13050,28432
551,64,21130,15624,12944,28302
552,64,23095,15551,13142,26212
553,64,22164,15366,13264,27206
554,64,22566,15450,13229,26755
555,64,20654,14650,13617,29079
556,64,19197,15071,13649,30083
557,64,19631,14723,13238,30408
558,64,17997,14805,13101,32097
559,64,18247,14802,13193,31758
560,64,19228,14974,13094,30704
561,64,19072,14994,13172,30762
562,64,19229,15210,13101,30460
563,64,20706,14653,13611,29030
564,64,20116,14536,13830,29518
565,64,20552,14466,13834,29148
566,64,18680,14874,12997,31449
567,64,20087,15128,13230,29555
568,64,20439,15341,13232,28988
569,64,20410,15001,13211,29378
570,64,20166,15180,13336,29318
571,64,20476,15429,13343,28752
572,64,20504,15518,13161,28817
573,64,21965,15552,13376,27107
574,64,21914,15523,13525,27038
575,64,23577,15326,13516,25581
576,64,24011,15158,13529,25302
577,64,25152,14968,13733,24147
578,64,24440,15355,13805,24400
579,64,24588,15076,13612,24724
580,64,24688,15060,13690,24562
581,64,24744,15315,13983,23958
582,64,24208,15289,13800,24703
583,64,22801,15186,13662,26351
584,64,24292,15357,13577,24774
585,64,22856,15305,13600,26239
586,64,21749,14644,13319,28288
587,64,20030,14842,13376,29752
588,64,19455,14923,13699,29923
589,64,20985,14911,13446,28658
590,64,21251,14642,13755,28352
591,64,21325,14798,13915,27962
592,64,21381,14738,13793,28088
593,64,23013,14485,14192,26310
594,64,22822,14555,14230,26393
595,64,24377,14817,13976,24830
596,64,25102,15031,14293,23574
597,64,25962,14750,14241,23047
598,64,25284,15182,14531,23003
599,64,25596,14819,14306,23279
600,64,24627,14917,14276,24180
601,64,26201,14804,14112,22883
602,64,26567,14832,14147,22454
603,64,28250,15169,14248,20333
604,64,28544,15141,14325,19990
605,64,27211,14599,14280,21910
606,64,26925,14908,14478,21689
607,64,26758,14662,14522,22058
608,64,27451,14365,14703,21481
609,64,27253,14512,14796,21439
610,64,27507,14563,14670,21260
611,64,26808,14633,14820,21739
612,64,26435,14379,14770,22416
613,64,25164,14694,14486,23656
614,64,25534,14833,14402,23231
615,64,28237,15485,13662,20616
616,64,27486,15497,13812,21205
617,64,25818,14848,14195,23139
618,64,25682,14859,14264,23195
619,64,26039,14547,14128,23286
620,64,25834,14750,14183,23233
621,64,27161,14586,14863,21390
622,64,28158,14490,14482,20870
623,64,29241,14772,14514,19473
624,64,27804,14472,14717,21007
625,64,28637,14466,14498,20399
626,64,27188,14462,14659,21691
627,64,27011,14071,14825,22093
628,64,27749,13768,14849,21634
629,64,28931,14101,14650,20318
630,64,29244,14071,14744,19941
631,64,29017,14156,14938,19889
632,64,29393,14048,14580,19979
633,64,29128,14136,14884,19852
634,64,29260,14088,14761,19891
635,64,27616,13548,15267,21569
636,64,27575,13655,15487,21283
637,64,26989,13507,15317,22187
638,64,29077,14362,14462,20099
639,64,29784,14277,14349,19590
640,64,28101,14622,14298,20979
641,64,28878,14705,14054,20363
642,64,30614,14753,13947,18686
643,64,30117,14713,14050,19120
644,64,30018,14683,14152,19147
645,64,30268,14963,14194,18575
646,64,30790,14781,13932,18497
647,64,31054,14804,13834,18308
648,64,32041,14679,13687,17593
649,64,31975,14828,13806,17391
650,64,31052,15008,13744,18196
651,64,29161,15049,13756,20034
652,64,29089,14784,13792,20335
653,64,30445,14539,14293,18723
654,64,31304,14458,14146,18092
655,64,31036,14471,14098,18395
656,64,33486,13667,14543,16304
657,64,32814,13991,14553,16642
658,64,32851,14093,14434,16622
659,64,33870,13817,14702,15611
660,64,34368,13702,14488,15442
661,64,35162,13494,14516,14828
662,64,33754,13954,14505,15787
663,64,34082,13784,14490,15644
664,64,34415,13843,14437,15305
665,64,34410,13732,14540,15318
666,64,34083,13874,14346,15697
667,64,33959,13887,14563,15591
668,64,33779,14053,14572,15596
669,64,31810,13930,14516,17744
670,64,32093,14011,14694,17202
671,64,31223,14033,14825,17919
672,64,31242,14043,14554,18161
673,64,32132,13756,14827,17285
674,64,32579,13517,14778,17126
675,64,30456,13640,15381,18523
676,64,28609,12756,15885,20750
677,64,28248,12908,15949,20895
678,64,28247,12938,16135,20680
679,64,29847,13310,15473,19370
680,64,29476,13307,15719,19498
681,64,29523,13338,15720,19419
682,64,27947,13733,15043,21277
683,64,26068,13428,15763,22741
684,64,24694,13051,16025,24230
685,64,24632,12991,15728,24649
686,64,23149,13039,15510,26302
687,64,24019,13367,15753,24861
688,64,23554,13248,15783,25415
689,64,22397,13249,15793,26561
690,64,21166,13192,15592,28050
691,64,20526,13343,15183,28948
692,64,18479,14220,14226,31075
693,64,19052,14000,13904,31044
694,64,19150,14334,14371,30145
695,64,19921,14349,14227,29503
696,64,20571,14081,14631,28717
697,64,22305,14633,14657,26405
698,64,20901,14880,14273,27946
699,64,20627,14807,13814,28752
700,64,21403,14645,14342,27610
701,64,20565,14454,14535,28446
702,64,20186,14540,14599,28675
703,64,20116,14221,14579,29084
704,64,19505,14193,14465,29837
705,64,17921,13626,14833,31620
706,64,18002,13674,14727,31597
707,64,18873,13415,15253,30459
708,64,19379,13234,15158,30229
709,64,19462,13161,15604,29773
710,64,19546,13000,15265,30189
711,64,19171,13231,15416,30182
712,64,18853,13201,15333,30613
713,64,19629,13180,14974,30217
714,64,18168,13564,14933,31335
715,64,17984,13487,14820,31709
716,64,18466,13812,14787,30935
717,64,17275,13520,15131,32074
718,64,18868,13273,15262,30597
719,64,18516,13195,15252,31037
720,64,17724,12673,15414,32189
721,64,16930,12804,15173,33093
722,64,16407,12494,15321,33778
723,64,16887,12341,15397,33375
724,64,16208,11993,15392,34407
725,64,16954,11831,15824,33391
726,64,17616,12104,15719,32561
727,64,17437,12094,15834,32635
728,64,15577,12704,14726,34993
729,64,15629,12499,14726,35146
730,64,15358,12589,14764,35289
731,64,16046,12437,14906,34611
732,64,15908,12405,15033,34654
733,64,14709,11807,15172,36312
734,64,14836,11742,15246,36176
735,64,14606,11778,15327,36289
736,64,13822,12272,14329,37577
737,64,13743,12322,14370,37565
738,64,14983,12161,14871,35985
739,64,15925,12510,14714,34851
740,64,17386,12931,14553,33130
741,64,16091,13138,14186,34585
742,64,15700,13433,14348,34519
743,64,15004,13239,13698,36059
744,64,14213,12791,13850,37146
745,64,12831,12732,13666,38771
746,64,14858,13754,13424,35964
747,64,15835,13522,13470,35173
748,64,16518,14117,13594,33771
749,64,17587,13954,13819,32640
750,64,16279,13804,14031,33886
751,64,16481,13722,13875,33922
752,64,15700,13787,13414,35099
753,64,15167,13986,13394,35453
754,64,14794,13967,13402,35837
755,64,16002,14061,13376,34561
756,64,14053,13580,13264,37103
757,64,13286,13205,13364,38145
758,64,14434,13705,13660,36201
759,64,13017,12938,13411,38634
760,64,13675,13335,13509,37481
761,64,13070,12814,13608,38508
762,64,12538,12911,13110,39441
763,64,13339,13088,13056,38517
764,64,13451,13079,12977,38493
765,64,14695,13099,13594,36612
766,64,14757,13170,13652,36421
767,64,14676,13104,13472,36748
768,64,14081,12867,13740,37312
769,64,14267,13193,13789,36751
770,64,14170,12864,13693,37273
771,64,12747,12692,13605,38956
772,64,13827,13020,13319,37834
773,64,15094,13121,14673,35112
774,64,15371,12955,14512,35162
775,64,14915,13014,14178,35893
776,64,14442,12824,14320,36414
777,64,13467,12466,14415,37652
778,64,14541,12739,14188,36532
779,64,16230,13261,14551,33958
780,64,16073,13297,14214,34416
781,64,15832,13347,14443,34378
782,64,15764,13237,14521,34478
783,64,16559,13791,14572,33078
784,64,16654,13801,14526,33019
785,64,16676,13776,14604,32944
786,64,17025,13539,14370,33066
787,64,15715,13216,14419,34650
788,64,16770,13785,14640,32805
789,64,16071,13710,14245,33974
790,64,15960,13900,14436,33704
791,64,16160,14045,14330,33465
792,64,15632,14072,14134,34162
793,64,17840,15189,13744,31227
794,64,15971,14975,13369,33685
795,64,15387,14685,12890,35038
796,64,17284,14761,13581,32374
797,64,15846,15046,13421,33687
798,64,14496,14447,13176,35881
799,64,13215,14323,12642,37820
800,64,13169,14261,12637,37933
801,64,13613,14258,12669,37460
802,64,12462,14129,12644,38765
803,64,12039,14103,12684,39174
804,64,11958,13947,12470,39625
805,64,12987,14404,12614,37995
806,64,12701,14324,12644,38331
807,64,12940,14272,12453,38335
808,64,12725,14291,12524,38460
809,64,12752,14361,12488,38399
810,64,12722,14393,12637,38248
811,64,12801,14407,12533,38259
812,64,11609,14452,12042,39897
813,64,11225,14373,11998,40404
814,64,11938,14228,12125,39709
815,64,13193,15106,11659,38042
816,64,12537,14980,11292,39191
817,64,11679,14594,11425,40302
818,64,12373,14760,11524,39343
819,64,14185,15719,11210,36886
820,64,16088,16588,11211,34113
821,64,17017,16400,11512,33071
822,64,18143,16581,11917,31359
823,64,18337,16566,11985,31112
824,64,20851,15926,12644,28579
825,64,20739,15979,12569,28713
826,64,21677,16466,12254,27603
827,64,21454,16627,12293,27626
828,64,23061,16815,11953,26171
829,64,23793,17141,11460,25606
830,64,23280,17337,11361,26022
831,64,22363,17084,11917,26636
832,64,22218,17067,11946,26769
833,64,21953,16657,12037,27353
834,64,22628,16654,12268,26450
835,64,21584,16233,12569,27614
836,64,21942,16172,12562,27324
