round,seed,coop,exploit,exploit_,defect
1,64,29773,11596,17246,19385
2,64,29829,11494,17536,19141
3,64,27622,11783,17609,20986
4,64,27014,12076,17123,21787
5,64,27649,11837,17552,20962
6,64,25320,11837,17758,23085
7,64,24092,12240,17468,24200
8,64,22832,12276,17424,25468
9,64,20780,12234,17195,27791
10,64,22424,12736,17253,25587
11,64,22942,12402,17405,25251
12,64,23474,13071,17202,24253
13,64,23298,13034,16782,24886
14,64,21353,13897,16556,26194
15,64,19421,13215,17087,28277
16,64,19250,13266,16347,29137
17,64,19912,13418,16309,28361
18,64,20593,13344,16451,27612
19,64,22230,13093,16466,26211
20,64,20873,13459,16396,27272
21,64,19040,14396,15091,29473
22,64,18269,13545,15186,31000
23,64,18107,13719,15203,30971
24,64,16904,13225,15574,32297
25,64,16432,12851,15470,33247
26,64,16546,12678,15274,33502
27,64,17337,13064,15390,32209
28,64,17241,13209,15299,32251
29,64,15830,13698,14512,33960
30,64,14850,13410,14337,35403
31,64,14891,13462,14387,35260
32,64,12949,12042,15337,37672
33,64,12297,12313,14684,38706
34,64,12192,12492,14358,38958
35,64,11992,12427,14331,39250
36,64,10767,12445,13936,40852
37,64,10069,12427,13794,41710
38,64,8991,12390,13259,43360
39,64,8341,12637,12138,44884
40,64,7229,11386,11846,47539
41,64,8112,13043,11835,45010
42,64,7793,12739,11819,45649
43,64,8213,12862,11984,44941
44,64,8187,13050,12133,44630
45,64,8482,12583,11854,45081
46,64,9364,12992,12131,43513
47,64,9845,13073,12208,42874
48,64,9554,13264,12471,42711
49,64,9576,13211,12431,42782
50,64,9661,13276,12399,42664
51,64,9076,13419,12147,43358
52,64,8340,13154,12053,44453
53,64,9509,13838,11903,42750
54,64,10326,14284,11693,41697
55,64,10249,14406,11660,41685
56,64,10344,14459,11726,41471
57,64,10527,14450,11598,41425
58,64,10678,14869,11673,40780
59,64,10676,14734,11485,41105
60,64,9980,14929,11325,41766
61,64,11272,14504,12972,39252
62,64,11595,15113,12941,38351
63,64,10784,14696,12854,39666
64,64,9661,13895,13495,40949
65,64,10468,13690,13757,40085
66,64,10439,13609,13596,40356
67,64,11563,13714,14073,38650
68,64,12462,14321,13846,37371
69,64,13345,14234,14296,36125
70,64,13431,14038,13804,36727
71,64,12360,14148,13771,37721
72,64,13649,13866,14549,35936
73,64,14775,13645,15175,34405
74,64,14868,13707,14895,34530
75,64,14991,13442,14774,34793
76,64,14821,13585,15155,34439
77,64,13710,13590,14558,36142
78,64,13659,13659,14703,35979
79,64,15200,14091,14802,33907
80,64,15227,14244,14809,33720
81,64,14235,13972,15228,34565
82,64,14427,13939,15328,34306
83,64,14120,14026,15258,34596
84,64,14433,13914,15630,34023
85,64,14398,13839,15580,34183
86,64,14224,13482,15488,34806
87,64,15063,13599,15177,34161
88,64,15028,13446,15235,34291
89,64,15367,13467,15201,33965
90,64,16291,14110,14765,32834
91,64,16911,14459,14688,31942
92,64,16944,14542,14945,31569
93,64,17748,14294,15000,30958
94,64,17308,14167,15116,31409
95,64,16790,14181,14346,32683
96,64,16534,14344,14360,32762
97,64,16688,14098,14452,32762
98,64,17753,13985,14411,31851
99,64,17501,14170,13773,32556
100,64,17371,14276,13988,32365
101,64,18018,14642,14066,31274
102,64,17213,14626,13878,32283
103,64,18233,14508,14429,30830
104,64,19696,14574,14280,29450
105,64,18257,14665,14073,31005
106,64,17880,14693,14073,31354
107,64,18817,14448,14865,29870
108,64,18947,14298,14813,29942
109,64,19911,13894,15280,28915
110,64,20444,14086,15183,28287
111,64,21340,13914,15358,27388
112,64,19766,13577,15441,29216
113,64,20552,13538,15452,28458
114,64,20610,13463,15488,28439
115,64,22630,13326,16025,26019
116,64,24045,13602,15374,24979
117,64,24938,13524,15456,24082
118,64,23560,13502,15262,25676
119,64,23157,13435,15140,26268
120,64,22592,13786,15200,26422
121,64,21558,13859,14833,27750
122,64,22809,14326,14667,26198
123,64,22170,14303,14587,26940
124,64,21973,13766,14814,27447
125,64,23068,13753,15272,25907
126,64,21516,13787,15137,27560
127,64,19631,13888,14757,29724
128,64,21766,13496,15120,27618
129,64,22256,13763,15303,26678
130,64,23974,13366,15425,25235
131,64,23790,13449,15508,25253
132,64,24450,13333,15521,24696
133,64,23250,13699,15205,25846
134,64,24546,13599,15414,24441
135,64,23292,13899,15421,25388
136,64,21718,13882,15837,26563
137,64,21934,13895,15627,26544
138,64,20432,13237,15730,28601
139,64,21343,13059,16044,27554
140,64,21694,13104,15892,27310
141,64,21422,13090,15938,27550
142,64,20437,12781,15994,28788
143,64,21484,13441,16055,27020
144,64,21444,13193,15618,27745
145,64,21569,13226,15768,27437
146,64,20688,12728,15974,28610
147,64,21563,13355,15482,27600
148,64,21860,13151,15313,27676
149,64,21729,13214,15369,27688
150,64,22770,13584,15446,26200
151,64,23497,13500,15838,25165
152,64,24958,13267,15975,23800
153,64,27258,13487,15535,21720
154,64,27523,13565,15652,21260
155,64,27354,13552,15797,21297
156,64,26800,13697,15939,21564
157,64,26731,13589,15743,21937
158,64,27787,13975,15748,20490
159,64,27147,14226,15947,20680
160,64,27294,13918,15604,21184
161,64,27069,14156,15729,21046
162,64,26108,13711,15540,22641
163,64,24753,14154,15394,23699
164,64,23668,14333,15367,24632
165,64,22453,14293,14698,26556
166,64,23369,14089,14925,25617
167,64,24793,14250,14480,24477
168,64,24515,14483,14489,24513
169,64,24402,14432,14664,24502
170,64,24785,14257,14620,24338
171,64,24097,14418,14813,24672
172,64,24062,14450,14387,25101
173,64,25294,14633,14742,23331
174,64,24504,14363,14679,24454
175,64,23699,14463,14699,25139
176,64,23774,14426,14859,24941
177,64,23700,14548,14954,24798
178,64,23693,14225,14721,25361
179,64,23582,14518,14739,25161
180,64,24847,14734,14902,23517
181,64,25421,14413,14451,23715
182,64,24919,14741,14712,23628
183,64,25111,14575,14425,23889
184,64,26374,15338,14380,21908
185,64,25600,15477,13622,23301
186,64,26426,15302,14030,22242
187,64,25859,15637,14050,22454
188,64,25890,15523,13944,22643
189,64,26477,15443,13837,22243
190,64,26741,15162,13488,22609
191,64,27690,15291,13943,21076
192,64,28182,15316,13526,20976
193,64,28274,15257,13653,20816
194,64,28655,15288,13923,20134
195,64,26932,15841,13067,22160
196,64,27114,15698,13276,21912
197,64,25714,15752,13220,23314
198,64,25171,15781,13521,23527
199,64,24009,15941,12938,25112
200,64,24349,15888,12945,24818
201,64,23211,15404,13320,26065
202,64,23133,15451,13266,26150
203,64,22434,15410,13632,26524
204,64,21607,15256,13312,27825
205,64,22300,15595,13672,26433
206,64,23295,15553,13291,25861
207,64,25520,16194,12724,23562
208,64,24057,15975,13432,24536
209,64,24009,16055,13337,24599
210,64,24249,16023,13407,24321
211,64,24613,16131,13232,24024
212,64,24090,15940,13152,24818
213,64,24000,16118,13162,24720
214,64,24121,16155,13090,24634
215,64,24513,16030,13028,24429
216,64,25856,15774,12928,23442
217,64,26512,16287,12850,22351
218,64,27648,16138,13404,20810
219,64,25975,16323,13013,22689
220,64,27338,16165,12590,21907
221,64,27497,16339,12764,21400
222,64,27370,16391,12805,21434
223,64,26606,16137,13054,22203
224,64,26759,16037,12886,22318
225,64,25328,15860,13486,23326
226,64,26773,15942,13250,22035
227,64,26729,15814,13266,22191
228,64,27099,15983,13115,21803
229,64,26726,15910,13558,21806
230,64,25733,15829,13547,22891
231,64,27243,15600,13280,21877
232,64,24868,14972,14072,24088
233,64,24528,15082,14141,24249
234,64,25091,14877,14103,23929
235,64,24937,14940,13947,24176
236,64,26167,15236,13654,22943
237,64,28175,15566,13274,20985
238,64,28657,15867,13269,20207
239,64,28880,15667,13177,20276
240,64,27292,15877,13423,21408
241,64,27746,15955,13350,20949
242,64,25414,15713,13474,23399
243,64,24501,15412,13531,24556
244,64,24524,15548,13469,24459
245,64,24686,15441,14037,23836
246,64,25772,15299,13745,23184
247,64,26612,15426,13803,22159
248,64,25021,15919,13499,23561
249,64,24366,15194,13700,24740
250,64,26354,15990,13196,22460
251,64,26542,16051,13371,22036
252,64,28584,15416,13457,20543
253,64,27062,15343,13747,21848
254,64,25807,15591,13486,23116
255,64,26000,15406,13501,23093
256,64,24637,15738,13266,24359
257,64,24352,15572,13131,24945
258,64,23111,15501,13387,26001
259,64,21258,15941,13058,27743
260,64,23176,15519,13533,25772
261,64,21778,14998,13980,27244
262,64,21438,15249,13603,27710
263,64,21658,15113,13823,27406
264,64,23074,15078,13650,26198
265,64,23971,15410,13781,24838
266,64,24159,15327,13725,24789
267,64,23701,15299,13712,25288
268,64,25024,14950,13945,24081
269,64,23682,15221,13906,25191
270,64,22646,14963,13615,26776
271,64,22764,15173,14019,26044
272,64,24636,14975,14431,23958
273,64,23566,15251,14177,25006
274,64,21381,14816,13888,27915
275,64,21562,15035,14093,27310
276,64,20359,14748,14309,28584
277,64,20312,14823,14064,28801
278,64,21423,15092,14466,27019
279,64,19297,14403,14647,29653
280,64,18579,14640,14759,30022
281,64,18509,14698,14628,30165
282,64,19156,14350,14862,29632
283,64,20049,14144,14484,29323
284,64,18184,13988,14817,31011
285,64,19234,14251,14698,29817
286,64,20064,14101,14654,29181
287,64,17781,14429,14305,31485
288,64,17653,14403,14159,31785
289,64,17670,14401,14157,31772
290,64,19698,15124,14133,29045
291,64,19435,14653,14009,29903
292,64,18123,14489,14357,31031
293,64,19539,14659,14058,29744
294,64,17843,14141,14263,31753
295,64,19084,14024,14582,30310
296,64,20507,14380,13983,29130
297,64,19165,14150,13949,30736
298,64,20025,14151,14581,29243
299,64,20931,14206,14559,28304
300,64,20507,14171,14559,28763
301,64,20193,14229,14597,28981
302,64,20789,14142,14490,28579
303,64,18298,14873,13623,31206
304,64,18338,14915,13586,31161
305,64,17540,14563,13571,32326
306,64,16767,14147,13619,33467
307,64,16757,14159,13617,33467
308,64,16410,14358,13518,33714
309,64,16285,14599,13689,33427
310,64,17560,14157,13912,32371
311,64,16585,14146,13897,33372
312,64,15618,14293,13769,34320
313,64,17265,15086,13415,32234
314,64,19134,15264,13048,30554
315,64,20242,15088,13875,28795
316,64,19943,14992,13907,29158
317,64,21407,15428,13534,27631
318,64,21876,15237,13735,27152
319,64,22639,15417,13787,26157
320,64,22215,15186,14034,26565
321,64,21684,15169,14025,27122
322,64,24304,15620,13115,24961
323,64,24607,16005,13210,24178
324,64,23079,16924,12589,25408
325,64,23084,16858,12634,25424
326,64,22063,16704,12397,26836
327,64,23251,16819,12491,25439
328,64,21586,17062,12349,27003
329,64,21558,17012,12195,27235
330,64,21305,17351,12542,26802
331,64,23419,17669,11754,25158
332,64,22993,17169,12025,25813
333,64,24310,16562,12648,24480
334,64,25821,16203,12610,23366
335,64,23958,17023,12425,24594
336,64,23605,16205,12799,25391
337,64,23312,16508,12811,25369
338,64,22215,15991,12855,26939
339,64,22027,15745,13144,27084
340,64,23298,15640,12993,26069
341,64,22161,15177,13486,27176
342,64,21798,15144,13384,27674
343,64,23113,15814,13206,25867
344,64,22318,15709,13352,26621
345,64,24352,15335,13916,24397
346,64,22882,14816,14265,26037
347,64,24449,14564,14653,24334
348,64,24350,14461,14544,24645
349,64,25930,14712,14539,22819
350,64,24415,14455,15008,24122
351,64,23832,14090,14846,25232
352,64,24216,14002,14623,25159
353,64,23363,14345,14807,25485
354,64,23242,14395,14866,25497
355,64,23386,14212,14533,25869
356,64,24244,14390,14816,24550
357,64,24305,14274,14635,24786
358,64,24276,14398,14657,24669
359,64,25322,14798,14210,23670
360,64,23592,15133,13860,25415
361,64,24829,15515,13639,24017
362,64,24343,15510,13817,24330
363,64,25060,15417,13829,23694
364,64,24588,15433,13775,24204
365,64,24897,15540,13876,23687
366,64,26081,15123,14133,22663
367,64,26014,15166,14219,22601
368,64,25037,15148,13857,23958
369,64,22599,15651,13399,26351
370,64,23766,15504,13497,25233
371,64,25974,15470,13440,23116
372,64,27157,16147,13257,21439
373,64,25917,15962,13299,22822
374,64,26446,16333,13269,21952
375,64,29371,15433,13579,19617
376,64,28733,15529,13679,20059
377,64,29165,15500,13633,19702
378,64,31932,14631,13789,17648
379,64,29900,15112,13782,19206
380,64,31328,14771,14161,17740
381,64,31289,14822,14044,17845
382,64,29787,14764,14214,19235
383,64,29659,14746,14007,19588
384,64,30619,14982,13908,18491
385,64,29445,15135,13814,19606
386,64,29394,15302,13806,19498
387,64,30622,15388,13450,18540
388,64,31223,15364,13297,18116
389,64,30643,15458,13244,18655
390,64,30680,15677,13280,18363
391,64,30494,15164,13312,19030
392,64,30238,15296,13430,19036
393,64,29977,15561,13456,19006
394,64,32250,14669,13910,17171
395,64,33005,14694,13922,16379
396,64,31685,14680,14344,17291
397,64,32251,14428,14538,16783
398,64,32653,14333,14220,16794
399,64,32958,14093,14402,16547
400,64,33653,13997,14285,16065
401,64,31954,14206,14396,17444
402,64,32935,14096,14164,16805
403,64,33262,14123,14195,16420
404,64,34258,14137,13689,15916
405,64,34325,14209,13669,15797
406,64,35610,13962,13961,14467
407,64,33733,13479,14660,16128
408,64,35306,14053,13870,14771
409,64,34967,14064,14128,14841
410,64,35118,13943,14052,14887
411,64,36048,13899,14019,14034
412,64,34826,13341,14508,15325
413,64,35189,13635,14413,14763
414,64,35278,13619,14451,14652
415,64,34499,13696,14154,15651
416,64,35184,13929,14111,14776
417,64,33258,14145,14182,16415
418,64,32566,14333,14509,16592
419,64,32873,14040,14196,16891
420,64,33926,13820,14500,15754
421,64,33203,14171,14291,16335
422,64,35539,13906,14179,14376
423,64,34608,14128,13809,15455
424,64,34922,14131,14196,14751
425,64,33231,13632,14625,16512
426,64,31844,13782,14745,17629
427,64,33026,13858,14321,16795
428,64,32498,14135,14571,16796
429,64,32754,13987,14500,16759
430,64,34320,14152,13794,15734
431,64,35768,14489,13192,14551
432,64,36693,14172,13222,13913
433,64,35531,14410,13315,14744
434,64,37675,14856,12614,12855
435,64,37627,14819,12645,12909
436,64,36900,15037,12700,13363
437,64,37982,15354,12459,12205
438,64,36481,15592,12156,13771
439,64,34055,15397,12682,15866
440,64,36345,14811,13093,13751
441,64,34110,14698,13697,15495
442,64,34660,14231,13497,15612
443,64,34512,14671,13609,15208
444,64,33286,15036,13403,16275
445,64,33363,14689,13223,16725
446,64,35743,14985,12977,14295
447,64,36563,14547,13002,13888
448,64,35870,14584,13283,14263
449,64,34936,14478,13688,14898
450,64,35696,14180,13865,14259
451,64,34420,14646,13293,15641
452,64,35497,14491,13252,14760
453,64,36269,14188,13282,14261
454,64,36215,14382,13332,14071
455,64,35872,14240,13477,14411
456,64,36075,14190,13298,14437
457,64,36580,14259,13169,13992
458,64,36222,14379,13335,14064
459,64,39110,13564,13310,12016
460,64,36270,14072,13700,13958
461,64,34445,14859,13081,15615
462,64,35114,15100,13052,14734
463,64,37726,13708,13481,13085
464,64,36742,13888,13617,13753
465,64,39274,12929,14050,11747
466,64,39568,13068,13815,11549
467,64,39009,13090,13977,11924
468,64,38129,13117,14151,12603
469,64,36866,13450,14300,13384
470,64,37444,13382,14080,13094
471,64,35270,14054,13749,14927
472,64,32794,14947,13368,16891
473,64,32920,15060,13494,16526
474,64,34209,15059,13119,15613
475,64,34211,15020,12876,15893
476,64,32687,15489,12807,17017
477,64,32646,15361,12875,17118
478,64,33093,15483,12695,16729
479,64,31203,15660,12927,18210
480,64,29230,16179,12449,20142
481,64,27753,16284,12990,20973
482,64,26788,16344,12653,22215
483,64,26505,16472,12815,22208
484,64,25627,16799,12307,23267
485,64,25625,16918,12384,23073
486,64,26445,17302,12014,22239
487,64,27402,17911,11557,21130
488,64,27873,18075,11607,20445
489,64,26564,18068,11881,21487
490,64,25153,17874,12392,22581
491,64,25613,17717,12575,22095
492,64,25514,17945,12602,21939
493,64,24417,17900,12879,22804
494,64,26383,17762,12945,20910
495,64,26086,17917,13206,20791
496,64,26102,17875,13059,20964
497,64,24928,17631,13734,21707
498,64,25110,17523,13635,21732
499,64,24887,17698,13698,21717
500,64,26230,16834,13971,20965
501,64,24010,17443,13549,22998
502,64,24232,17466,13393,22909
503,64,24404,17628,13745,22223
504,64,25049,17184,14449,21318
505,64,26947,16717,14309,20027
506,64,28493,16729,13896,18882
507,64,28722,16740,13784,18754
508,64,30510,16162,14091,17237
509,64,28882,16492,14304,18322
510,64,28199,16366,13918,19517
511,64,29817,15631,14324,18228
512,64,30227,15639,14497,17637
513,64,30151,15706,14593,17550
514,64,30283,15664,14530,17523
515,64,32255,14708,14937,16100
516,64,31440,14428,15296,16836
517,64,33546,14784,14421,15249
518,64,31889,15601,14065,16445
519,64,34083,15500,13518,14899
520,64,34142,15471,13585,14802
521,64,34117,15582,13455,14846
522,64,34250,15497,13425,14828
523,64,31793,15294,14377,16536
524,64,31219,15511,14165,17105
525,64,31258,15328,14126,17288
526,64,31257,15409,14117,17217
527,64,31034,15392,14072,17502
528,64,30994,15223,14099,17684
529,64,31012,15476,14127,17385
530,64,30901,15490,13862,17747
531,64,31713,15801,13617,16869
532,64,31460,15899,13598,17043
533,64,32527,16128,13413,15932
534,64,31998,16134,13465,16403
535,64,32302,16225,13498,15975
536,64,33083,16569,13250,15098
537,64,33282,16449,13482,14787
538,64,33320,16552,13218,14910
539,64,31134,16802,13441,16623
540,64,33094,16086,13610,15210
541,64,32599,16179,13533,15689
542,64,32625,16199,13468,15708
543,64,30766,17092,13248,16894
544,64,30016,16613,13655,17716
545,64,31134,17035,13061,16770
546,64,31498,16782,13743,15977
547,64,31369,16406,13674,16551
548,64,31215,16600,13669,16516
549,64,31447,17059,13518,15976
550,64,31412,17048,13482,16058
551,64,29363,17172,13861,17604
552,64,31343,16555,14086,16016
553,64,29259,15957,15076,17708
554,64,29458,16154,15211,17177
555,64,29087,15491,15260,18162
556,64,29305,15411,15184,18100
557,64,30587,15126,14923,17364
558,64,30724,15000,14826,17450
559,64,30408,15124,15132,17336
560,64,32308,15009,14527,16156
561,64,32150,15118,14591,16141
562,64,34526,15030,14099,14345
563,64,36470,13929,14448,13153
564,64,36311,14064,14328,13297
565,64,34311,13813,15230,14646
566,64,32241,15158,14248,16353
567,64,32981,15328,14433,15258
568,64,34131,15531,13989,14349
569,64,34262,15231,13722,14785
570,64,34231,15242,13941,14586
571,64,36150,15435,12825,13590
572,64,36173,15324,12931,13572
573,64,37676,15055,12803,12466
574,64,37653,15017,12823,12507
575,64,37522,15183,12634,12661
576,64,37428,14819,12685,13068
577,64,39525,13664,13527,11284
578,64,39526,13819,13582,11073
579,64,39324,13740,13187,11749
580,64,38324,13963,13393,12320
581,64,38831,14024,13468,11677
582,64,36399,14607,13346,13648
583,64,36487,14599,13422,13492
584,64,36714,14671,13373,13242
585,64,37141,14607,13150,13102
586,64,37687,14511,13019,12783
587,64,37620,14423,13031,12926
588,64,37888,14475,13360,12277
589,64,38545,14364,13179,11912
590,64,39024,14385,13185,11406
591,64,38692,14323,13383,11602
592,64,36633,14609,14088,12670
593,64,39107,13517,14240,11136
594,64,37134,14337,14166,12363
595,64,37230,14530,14084,12156
596,64,35413,15060,14251,13276
597,64,35534,15098,14127,13241
598,64,33205,15208,14942,14645
599,64,33469,15073,14871,14587
600,64,33202,14872,14856,15070
601,64,33061,15147,14983,14809
602,64,33628,14863,14906,14603
603,64,35177,14904,14264,13655
604,64,37311,14309,14305,12075
605,64,35149,13969,15145,13737
606,64,34470,14138,15295,14097
607,64,34897,14034,15039,14030
608,64,34894,13859,15151,14096
609,64,34179,14069,15344,14408
610,64,34223,13978,15060,14739
611,64,34192,13753,14878,15177
612,64,34474,14124,14905,14497
613,64,34175,14080,14912,14833
614,64,34504,14194,14853,14449
615,64,36981,14738,13550,12731
616,64,36518,14664,13831,12987
617,64,36236,14268,14033,13463
618,64,36521,14331,13893,13255
619,64,37076,14597,13648,12679
620,64,37189,14556,13586,12669
621,64,37076,14731,13521,12672
622,64,37571,14991,13249,12189
623,64,39384,14898,12642,11076
624,64,39657,14702,12569,11072
625,64,40062,14818,12564,10556
626,64,40081,15062,12579,10278
627,64,39924,14674,12702,10700
628,64,37573,16040,12594,11793
629,64,38000,15971,12306,11723
630,64,38164,15872,12264,11700
631,64,37250,15926,12453,12371
632,64,36757,16150,11971,13122
633,64,36512,16400,12134,12954
634,64,36219,15861,12390,13530
635,64,34241,15174,13520,15065
636,64,33313,15243,13721,15723
637,64,33104,15308,13726,15862
638,64,35202,15924,12481,14393
639,64,35317,16038,12485,14160
640,64,33783,16744,12015,15458
641,64,35881,17349,11044,13726
642,64,35399,17156,11256,14189
643,64,33731,17254,11552,15463
644,64,33768,17497,11799,14936
645,64,34519,17480,11638,14363
646,64,34320,17263,11673,14744
647,64,35061,17379,11725,13835
648,64,33151,17818,12115,14916
649,64,34990,17689,11543,13778
650,64,35060,17625,11393,13922
651,64,33129,17917,11512,15442
652,64,30797,17165,12873,17165
653,64,32951,16025,13492,15532
654,64,33155,16432,13359,15054
655,64,33172,16340,13464,15024
656,64,33132,16355,13497,15016
657,64,35043,15424,13779,13754
658,64,34954,15392,13653,14001
659,64,35002,15629,13638,13731
660,64,35383,15277,13900,13440
661,64,35615,15197,13704,13484
662,64,33157,16532,13354,14957
663,64,32871,16404,13391,15334
664,64,33731,16565,13139,14565
665,64,35545,15916,13319,13220
666,64,35368,15914,13314,13404
667,64,35552,15915,13242,13291
668,64,34964,16014,13503,13519
669,64,33718,16293,13825,14164
670,64,33861,16724,13650,13765
671,64,33596,16139,13903,14362
672,64,31451,17263,13105,16181
673,64,29728,18109,12907,17256
674,64,31327,17134,13497,16042
675,64,31422,17024,13425,16129
676,64,30997,16757,13465,16781
677,64,29677,16801,14085,17437
678,64,29101,16346,14529,18024
679,64,28797,16190,14575,18438
680,64,27174,16260,14891,19675
681,64,29028,16077,14585,18310
682,64,28969,16250,14465,18316
683,64,28816,16484,14624,18076
684,64,27124,16171,14733,19972
685,64,26997,16232,14687,20084
686,64,25110,16652,14412,21826
687,64,25252,16583,14418,21747
688,64,24937,16677,14430,21956
689,64,25175,16600,14451,21774
690,64,23515,17068,14356,23061
691,64,25436,16426,14386,21752
692,64,24711,16673,14143,22473
693,64,26787,16454,13589,21170
694,64,24761,16956,13878,22405
695,64,25037,16719,13936,22308
696,64,25334,16608,14258,21800
697,64,25352,16688,14206,21754
698,64,23647,17352,14065,22936
699,64,23339,17298,13699,23664
700,64,22674,17370,13101,24855
701,64,22328,16958,13088,25626
702,64,22194,17027,13120,25659
703,64,20285,16549,13394,27772
704,64,21979,16539,13252,26230
705,64,22169,17057,13150,25624
706,64,21003,16746,13477,26774
707,64,20700,16836,13068,27396
708,64,20848,16730,13386,27036
709,64,21121,16627,13923,26329
710,64,22907,16743,13892,24458
711,64,22991,17057,14017,23935
712,64,24626,16630,13579,23165
713,64,24652,16715,13703,22930
714,64,24340,16878,13393,23389
715,64,26386,15975,14363,21276
716,64,26492,16204,14331,20973
717,64,26570,16012,14545,20873
718,64,26393,16036,14227,21344
719,64,24244,16244,14197,23315
720,64,23839,15730,14509,23922
721,64,23485,15753,14314,24448
722,64,23164,15464,14432,24940
723,64,23253,15344,14274,25129
724,64,23187,15348,14366,25099
725,64,25189,14332,15580,22899
726,64,25491,14608,15551,22350
727,64,23464,15548,14288,24700
728,64,22994,15858,13826,25322
729,64,21390,16446,13457,26707
730,64,22357,15891,14215,25537
731,64,21956,15889,13997,26158
732,64,21282,15403,14384,26931
733,64,21577,15184,14103,27136
734,64,21372,15292,14334,27002
735,64,21296,15428,14397,26879
736,64,19158,16108,13328,29406
737,64,20553,16017,13221,28209
738,64,20466,16026,13310,28198
739,64,19177,15438,13596,29789
740,64,19157,15508,13556,29779
741,64,18942,15602,13765,29691
742,64,19229,15834,13565,29372
743,64,20707,15400,14074,27819
744,64,19231,14546,14678,29545
745,64,19606,14734,14866,28794
746,64,21995,15483,14039,26483
747,64,23168,15293,14358,25181
748,64,22487,14677,14559,26277
749,64,20933,15124,14090,27853
750,64,22162,15583,13919,26336
751,64,21911,15342,14145,26602
752,64,21856,15360,13703,27081
753,64,23974,14790,14822,24414
754,64,23987,14636,14610,24767
755,64,25641,14929,14424,23006
756,64,23674,14464,14853,25009
757,64,23280,14036,14901,25783
758,64,25281,14781,14373,23565
759,64,24977,14518,14376,24129
760,64,23507,14234,14698,25561
761,64,24790,14988,14148,24074
762,64,24695,14976,14250,24079
763,64,24633,15190,14238,23939
764,64,23539,14528,14430,25503
765,64,23249,14523,14534,25694
766,64,23104,14771,14618,25507
767,64,23354,14673,14478,25495
768,64,21928,14362,15057,26653
769,64,23105,14347,14765,25783
770,64,24226,14474,14723,24577
771,64,24133,14592,14771,24504
772,64,24104,14522,14839,24535
773,64,24397,14523,15088,23992
774,64,24698,14466,14986,23850
775,64,24759,14363,15347,23531
776,64,25013,14219,15294,23474
777,64,23367,14177,15993,24463
778,64,25261,14561,14979,23199
779,64,25663,14677,15133,22527
780,64,27689,14367,15389,20555
781,64,27468,14442,15617,20473
782,64,27136,14260,15598,21006
783,64,26807,14032,15559,21602
784,64,28547,14601,14808,20044
785,64,29055,15122,14392,19431
786,64,29031,15112,14313,19544
787,64,28895,15205,14423,19477
788,64,28894,15055,14577,19474
789,64,26928,15713,13893,21466
790,64,24988,15931,14042,23039
791,64,23376,16153,14088,24383
792,64,22147,16569,13837,25447
793,64,22849,17426,13369,24356
794,64,22760,17417,13320,24503
795,64,23932,16886,13548,23634
796,64,25860,16299,14029,21812
797,64,24145,16841,13390,23624
798,64,23594,16632,13380,24394
799,64,21551,17742,12364,26343
800,64,19729,17889,11765,28617
801,64,20056,17746,11842,28356
802,64,18412,17374,12423,29791
803,64,17379,17786,12218,30617
804,64,15788,16308,12926,32978
805,64,17428,17608,12316,30648
806,64,17449,17571,12222,30758
807,64,15599,16921,12185,33295
808,64,15679,16949,12219,33153
809,64,13994,16079,12584,35343
810,64,14326,15938,12561,35175
811,64,15177,16605,12351,33867
812,64,14033,16918,11719,35330
813,64,12787,16625,11708,36880
814,64,14112,16563,12208,35117
815,64,14400,17196,12036,34368
816,64,14271,17299,11854,34576
817,64,13887,16128,12164,35821
818,64,12928,15877,12020,37175
819,64,13094,16525,11757,36624
820,64,13815,17644,11739,34802
821,64,13509,17650,11906,34935
822,64,14588,17422,11822,34168
823,64,14647,17689,11956,33708
824,64,14964,17587,12424,33025
825,64,14920,17564,12430,33086
826,64,15313,18113,12232,32342
827,64,15190,18313,12331,32166
828,64,15570,19431,12139,30860
829,64,17390,20324,11567,28719
830,64,18698,19748,12081,27473
831,64,19217,19497,11881,27405
832,64,18864,19596,12121,27419
833,64,18561,18960,12012,28467
834,64,19902,18583,12495,27020
835,64,17983,17768,13125,29124
836,64,17788,17838,12572,29802
