round,seed,coop,exploit,exploit_,defect
1,64,29773,11596,17246,19385
2,64,29829,11494,17536,19141
3,64,27622,11783,17609,20986
4,64,27014,12076,17123,21787
5,64,26767,12211,17062,21960
6,64,24525,12139,17153,24183
7,64,23299,12565,16892,25244
8,64,23517,12383,16979,25121
9,64,21408,12443,16733,27416
10,64,23403,12723,16686,25188
11,64,23702,12499,16885,24914
12,64,24199,13152,16709,23940
13,64,24054,13046,16266,24634
14,64,23998,13092,17014,23896
15,64,24054,13136,17064,23746
16,64,22394,13825,15715,26066
17,64,22266,13496,15785,26453
18,64,22869,13546,15865,25720
19,64,24571,13302,15908,24219
20,64,23262,13560,15930,25248
21,64,21219,14505,14738,27538
22,64,20312,13798,14816,29074
23,64,20196,13976,14898,28930
24,64,18824,13514,15163,30499
25,64,18221,13351,15116,31312
26,64,18687,13177,14838,31298
27,64,19973,13477,15052,29498
28,64,19759,13682,14931,29628
29,64,19215,13832,14612,30341
30,64,17939,13660,14631,31770
31,64,18335,13461,14444,31760
32,64,17880,13648,14723,31749
33,64,17003,14049,14175,32773
34,64,18020,13734,14709,31537
35,64,17885,13654,14579,31882
36,64,16639,13762,14309,33290
37,64,15755,13976,14148,34121
38,64,14434,14059,13599,35908
39,64,13629,14234,12842,37295
40,64,14519,14875,12792,35814
41,64,15072,15298,12471,35159
42,64,14170,14660,12568,36602
43,64,13728,14930,12714,36628
44,64,13777,14852,12696,36675
45,64,12440,13922,12573,39065
46,64,13488,14082,12860,37570
47,64,12665,14045,12628,38662
48,64,12689,14087,12910,38314
49,64,13419,13906,13189,37486
50,64,12792,14147,12739,38322
51,64,11844,14510,12468,39178
52,64,12159,14706,12507,38628
53,64,13736,15277,11933,37054
54,64,11957,13824,12274,39945
55,64,11949,14084,12245,39722
56,64,13617,14385,13090,36908
57,64,11977,12775,13584,39664
58,64,11013,12576,13997,40414
59,64,12693,12946,14168,38193
60,64,12631,13114,14032,38223
61,64,13408,12602,14574,37416
62,64,14274,13089,14509,36128
63,64,13889,12811,14424,36876
64,64,12662,12180,14703,38455
65,64,11967,12329,14409,39295
66,64,13538,13812,13745,36905
67,64,13286,13581,13564,37569
68,64,13076,13579,13550,37795
69,64,13891,13720,14081,36308
70,64,12777,14098,13614,37511
71,64,12742,13854,13536,37868
72,64,12783,14092,13668,37457
73,64,12647,14088,13614,37651
74,64,12929,13996,13444,37631
75,64,14109,13198,15027,35666
76,64,16093,13959,14850,33098
77,64,14791,13978,14759,34472
78,64,13926,13647,14531,35896
79,64,14866,13487,14439,35208
80,64,16598,13764,15062,32576
81,64,17357,14479,14734,31430
82,64,18569,15091,14464,29876
83,64,17864,14153,14621,31362
84,64,19161,13779,15345,29715
85,64,19352,13703,15074,29871
86,64,19556,14021,15377,29046
87,64,18414,13564,15257,30765
88,64,19864,15027,14700,28409
89,64,18346,15507,13473,30674
90,64,18342,15615,13502,30541
91,64,18729,15742,13351,30178
92,64,18550,15825,13547,30078
93,64,18923,15615,13372,30090
94,64,18112,15652,13434,30802
95,64,18422,15645,13377,30556
96,64,20111,15292,14196,28401
97,64,20139,15244,14102,28515
98,64,20064,15366,14169,28401
99,64,20814,14852,14776,27558
100,64,22637,14860,14976,25527
101,64,22721,14651,14758,25870
102,64,24008,14679,14768,24545
103,64,23574,14716,14784,24926
104,64,24659,14767,14708,23866
105,64,23016,14906,14565,25513
106,64,22998,14736,14283,25983
107,64,21736,15003,14096,27165
108,64,21425,15221,14166,27188
109,64,19937,15956,12921,29186
110,64,18161,15705,12928,31206
111,64,16872,15946,12831,32351
112,64,15967,15686,12959,33388
113,64,14645,15930,12702,34723
114,64,16369,16758,12386,32487
115,64,18022,17020,12705,30253
116,64,15987,15705,13733,32575
117,64,14891,15607,13519,33983
118,64,14484,15594,13493,34429
119,64,14576,15367,13204,34853
120,64,13436,15288,12937,36339
121,64,13314,15191,12771,36724
122,64,12295,14444,13368,37893
123,64,13799,14425,14302,35474
124,64,14213,14219,14200,35368
125,64,14021,14184,14218,35577
126,64,15587,14809,14305,33299
127,64,13942,14544,13933,35581
128,64,14802,14441,14018,34739
129,64,13005,13746,13790,37459
130,64,13384,13752,13857,37007
131,64,12381,13550,14264,37805
132,64,12682,13202,13863,38253
133,64,11671,13305,14146,38878
134,64,10978,12791,13734,40497
135,64,11439,13029,13683,39849
136,64,10465,12239,13917,41379
137,64,9627,12250,13254,42869
138,64,10234,12740,13270,41756
139,64,9632,12428,13054,42886
140,64,11113,12402,14257,40228
141,64,10755,11977,14435,40833
142,64,11252,12439,14315,39994
143,64,11275,12303,14161,40261
144,64,10480,11765,14466,41289
145,64,9948,11835,14274,41943
146,64,9030,11576,14540,42854
147,64,9240,11353,14645,42762
148,64,7917,10265,14690,45128
149,64,8350,10618,14505,44527
150,64,9251,11100,14348,43301
151,64,7563,10898,13273,46266
152,64,8404,10814,13352,45430
153,64,8895,11234,13373,44498
154,64,8814,11346,13519,44321
155,64,8990,11333,13376,44301
156,64,8420,11045,13279,45256
157,64,8745,11463,13457,44335
158,64,7606,10189,13296,46909
159,64,7474,10369,13412,46745
160,64,8004,10558,13315,46123
161,64,8823,10746,13566,44865
162,64,9183,10898,13531,44388
163,64,9084,11042,13792,44082
164,64,9811,11214,13947,43028
165,64,8900,11028,13842,44230
166,64,10138,11308,13685,42869
167,64,10585,11677,13575,42163
168,64,11192,12191,13573,41044
169,64,11695,12322,13650,40333
170,64,12972,12375,13842,38811
171,64,11608,12291,13673,40428
172,64,12569,12661,13546,39224
173,64,11642,12451,13528,40379
174,64,12436,12644,13783,39137
175,64,11754,12420,13560,40266
176,64,11645,12413,13562,40380
177,64,11233,12172,13305,41290
178,64,11207,12047,13455,41291
179,64,11268,12043,13328,41361
180,64,9899,11689,13687,42725
181,64,11284,12056,14082,40578
182,64,10712,12049,13556,41683
183,64,9879,11956,13704,42461
184,64,11500,13385,13046,40069
185,64,11542,13294,13135,40029
186,64,12340,13280,13824,38556
187,64,10751,13479,12971,40799
188,64,11599,13489,13137,39775
189,64,11845,13647,13154,39354
190,64,11970,13454,13048,39528
191,64,13270,13682,14262,36786
192,64,15034,14862,13289,34815
193,64,15065,15190,13386,34359
194,64,15212,15003,13302,34483
195,64,13975,15317,12663,36045
196,64,13221,15457,12951,36371
197,64,13110,15257,12617,37016
198,64,12076,15178,13151,37595
199,64,11504,15362,12764,38370
200,64,12640,15629,12468,37263
201,64,11699,15562,12913,37826
202,64,11858,15488,12721,37933
203,64,11155,14873,13249,38723
204,64,11210,14422,12619,39749
205,64,10232,14494,12538,40736
206,64,11740,15478,12750,38032
207,64,13217,16965,12050,35768
208,64,11727,15574,12672,38027
209,64,11841,15585,12773,37801
210,64,10767,14860,13358,39015
211,64,12186,16087,12992,36735
212,64,11198,15977,12915,37910
213,64,12417,15441,13596,36546
214,64,13457,15506,13794,35243
215,64,12276,16099,12886,36739
216,64,12200,16062,12527,37211
217,64,12000,16050,12709,37241
218,64,12106,16121,12703,37070
219,64,13380,16078,13605,34937
220,64,13436,15865,13625,35074
221,64,14320,15635,13999,34046
222,64,14580,15585,13820,34015
223,64,12623,13985,14875,36517
224,64,13079,13903,14679,36339
225,64,12200,13576,15109,37115
226,64,12037,13676,15170,37117
227,64,11847,13584,15175,37394
228,64,13423,14793,14723,35061
229,64,13298,15005,14744,34953
230,64,13345,14919,14804,34932
231,64,14976,14947,15245,32832
232,64,14863,15132,15294,32711
233,64,16642,14118,16722,30518
234,64,17704,13927,16503,29866
235,64,15863,14751,15332,32054
236,64,17241,15339,14751,30669
237,64,17806,15635,14799,29760
238,64,17465,15724,14948,29863
239,64,17571,15828,14844,29757
240,64,16510,16026,14964,30500
241,64,15573,16338,14985,31104
242,64,15012,15634,14792,32562
243,64,14837,15647,14745,32771
244,64,14982,15548,14736,32734
245,64,15047,15432,14651,32870
246,64,15083,15479,14723,32715
247,64,14889,15672,14711,32728
248,64,16201,15052,15347,31400
249,64,14965,14495,15795,32745
250,64,15386,15370,16065,31179
251,64,14274,15867,15258,32601
252,64,15959,15447,16316,30278
253,64,15936,15044,16164,30856
254,64,17224,15202,16753,28821
255,64,17537,15342,16806,28315
256,64,19255,14419,18032,26294
257,64,19527,14915,18134,25424
258,64,17813,14301,18563,27323
259,64,19231,13472,18964,26333
260,64,17976,14219,18859,26946
261,64,18210,14323,18601,26866
262,64,19855,13092,20141,24912
263,64,19786,13090,20229,24895
264,64,19707,13033,20203,25057
265,64,19618,13101,20157,25124
266,64,19550,13127,20227,25096
267,64,19538,13115,20257,25090
268,64,19559,13092,20203,25146
269,64,21183,12800,20111,23906
270,64,21120,12761,20016,24103
271,64,22526,13486,19157,22831
272,64,21324,14058,19065,23553
273,64,19662,14710,18091,25537
274,64,21124,14673,18092,24111
275,64,22898,13938,18775,22389
276,64,22906,13804,18828,22462
277,64,24318,14213,18224,21245
278,64,24367,14234,18263,21136
279,64,24298,14174,18184,21344
280,64,22765,14971,17955,22309
281,64,22306,15166,16820,23708
282,64,24258,14003,18121,21618
283,64,24192,13958,18052,21798
284,64,24324,14437,18117,21122
285,64,24325,14497,18096,21082
286,64,22582,14656,17993,22769
287,64,22618,14505,18015,22862
288,64,20748,14614,17886,24752
289,64,20809,14435,17840,24916
290,64,19309,13878,18397,26416
291,64,19013,13869,18490,26628
292,64,19230,13742,18394,26634
293,64,20956,14014,18173,24857
294,64,18937,13370,19090,26603
295,64,17623,13600,18959,27818
296,64,19207,14226,17935,26632
297,64,19115,14080,18082,26723
298,64,17504,14902,16931,28663
299,64,17464,14908,16875,28753
300,64,15798,14451,16910,30841
301,64,17032,14435,16643,29890
302,64,18668,14239,17181,27912
303,64,16981,15293,15786,29940
304,64,17158,15556,15905,29381
305,64,15612,14297,16398,31693
306,64,15514,14357,16411,31718
307,64,15482,14463,16456,31599
308,64,16904,13718,16990,30388
309,64,15104,13956,16477,32463
310,64,15006,13947,16240,32807
311,64,14064,13922,16095,33919
312,64,13913,13888,16357,33842
313,64,13756,13880,16412,33952
314,64,14086,13863,16246,33805
315,64,13090,14277,16061,34572
316,64,12750,14424,15783,35043
317,64,14318,15656,15055,32971
318,64,12863,16683,13546,34908
319,64,12917,16511,13494,35078
320,64,12856,16542,13592,35010
321,64,12965,16466,13470,35099
322,64,13997,17002,13103,33898
323,64,12556,16053,13260,36131
324,64,12442,16080,13250,36228
325,64,12477,16093,13252,36178
326,64,12910,16531,13382,35177
327,64,12680,15915,13386,36019
328,64,13417,15907,13397,35279
329,64,13573,15841,13260,35326
330,64,14073,15546,13780,34601
331,64,14509,15312,13669,34510
332,64,14038,15170,13710,35082
333,64,13798,15221,12948,36033
334,64,13012,15123,12417,37448
335,64,11960,15409,12182,38449
336,64,10810,13838,12455,40897
337,64,11098,13861,12946,40095
338,64,11427,13730,12805,40038
339,64,12196,14088,12749,38967
340,64,12301,13811,12858,39030
341,64,11691,13631,12905,39773
342,64,10370,12514,12927,42189
343,64,11452,13088,12869,40591
344,64,11501,13164,12861,40474
345,64,10820,13105,12641,41434
346,64,10654,13249,12595,41502
347,64,9910,13516,12159,42415
348,64,9879,13441,12219,42461
349,64,10906,13820,12303,40971
350,64,11131,13711,12308,40850
351,64,9905,13230,12301,42564
352,64,10189,13431,12246,42134
353,64,10284,13699,12203,41814
354,64,9260,13355,12232,43153
355,64,8721,13263,11832,44184
356,64,9817,14053,12331,41799
357,64,10707,13857,12467,40969
358,64,10428,13960,12694,40918
359,64,10801,13956,12537,40706
360,64,9573,14249,11827,42351
361,64,10205,14508,11906,41381
362,64,11018,14231,12163,40588
363,64,11833,14303,12339,39525
364,64,12532,14390,12286,38792
365,64,12236,14244,12247,39273
366,64,13067,14143,12671,38119
367,64,13976,14256,12605,37163
368,64,13199,14133,12303,38365
369,64,13773,14190,12861,37176
370,64,13077,14125,12717,38081
371,64,13845,14083,12811,37261
372,64,14014,14164,12751,37071
373,64,12318,13595,12492,39595
374,64,11652,13386,12596,40366
375,64,11828,13122,12475,40575
376,64,12588,13192,13274,38946
377,64,12508,12665,13329,39498
378,64,14214,12326,14456,37004
379,64,13695,12677,14526,37102
380,64,13106,12715,14095,38084
381,64,12029,12526,14013,39432
382,64,11150,12194,13960,40696
383,64,10461,12157,13080,42302
384,64,11096,12853,13247,40804
385,64,10806,12516,13168,41510
386,64,11007,12549,13160,41284
387,64,12706,13671,13001,38622
388,64,12757,13803,13061,38379
389,64,12325,13806,12583,39286
390,64,11477,13532,12518,40473
391,64,11570,13321,12354,40755
392,64,11011,13571,12218,41200
393,64,11083,13556,12222,41139
394,64,10301,13615,11808,42276
395,64,9629,13661,11657,43053
396,64,8915,12753,11776,44556
397,64,8521,12792,12040,44647
398,64,9507,12560,12412,43521
399,64,9640,12551,12025,43784
400,64,10469,12581,12490,42460
401,64,10313,12559,12505,42623
402,64,9995,12612,12512,42881
403,64,10201,12655,12636,42508
404,64,10199,12604,12519,42678
405,64,10767,12720,12506,42007
406,64,10637,13099,12807,41457
407,64,11603,13280,12361,40756
408,64,12069,13733,12449,39749
409,64,12188,13922,12356,39534
410,64,12248,13782,12375,39595
411,64,11182,13706,12120,40992
412,64,13018,14990,11818,38174
413,64,13740,15316,11634,37310
414,64,12678,14656,12105,38561
415,64,11653,14304,11027,41016
416,64,12570,15311,11160,38959
417,64,13405,15504,11405,37686
418,64,12311,14854,11441,39394
419,64,12491,14730,11386,39393
420,64,13080,15108,12021,37791
421,64,14171,14877,12233,36719
422,64,14265,14847,12272,36616
423,64,14898,14767,12679,35656
424,64,14095,15176,12226,36503
425,64,12944,14185,12255,38616
426,64,12868,14354,12339,38439
427,64,13839,14895,12200,37066
428,64,16192,14453,12954,34401
429,64,16459,14808,13325,33408
430,64,17255,14999,13296,32450
431,64,16826,14566,13503,33105
432,64,16862,14613,13438,33087
433,64,16477,14650,13667,33206
434,64,15774,14283,13546,34397
435,64,14227,13616,13908,36249
436,64,14413,13529,13907,36151
437,64,13937,13452,14005,36606
438,64,13212,13001,13865,37922
439,64,13260,12963,13691,38086
440,64,11792,13319,13562,39327
441,64,12159,13146,13277,39418
442,64,11448,12761,13304,40487
443,64,11613,13045,13391,39951
444,64,11647,13118,13449,39786
445,64,11859,12852,13169,40120
446,64,11917,12804,13094,40185
447,64,11106,12900,12986,41008
448,64,12555,13542,12585,39318
449,64,13769,14568,12820,36843
450,64,13353,14630,12181,37836
451,64,13260,14632,12166,37942
452,64,13870,14907,12604,36619
453,64,13982,14579,12427,37012
454,64,14053,14678,12380,36889
455,64,14144,14652,12367,36837
456,64,13400,14428,12101,38071
457,64,12652,14278,12307,38763
458,64,13049,14442,12344,38165
459,64,12359,14262,11858,39521
460,64,11115,14500,11878,40507
461,64,11626,14307,11719,40348
462,64,11175,14459,11845,40521
463,64,11492,14196,11771,40541
464,64,11998,14172,12106,39724
465,64,12419,13997,12169,39415
466,64,12186,14023,12051,39740
467,64,12558,14384,12291,38767
468,64,12405,14545,12424,38626
469,64,14082,14373,12454,37091
470,64,13423,14320,12693,37564
471,64,12388,14395,12294,38923
472,64,13555,14076,12467,37902
473,64,14282,14303,12798,36617
474,64,14779,14531,12670,36020
475,64,13962,14688,12533,36817
476,64,13007,14548,11801,38644
477,64,12994,14622,11847,38537
478,64,12074,14770,11409,39747
479,64,11095,14662,11416,40827
480,64,11242,14660,11163,40935
481,64,10726,14499,11065,41710
482,64,9752,14432,10559,43257
483,64,10021,14158,10524,43297
484,64,10618,14291,10846,42245
485,64,11300,14705,10824,41171
486,64,10800,14437,10808,41955
487,64,9027,13421,10971,44581
488,64,9216,13367,10989,44428
489,64,8014,12842,10778,46366
490,64,7468,12568,10878,47086
491,64,7067,12509,10474,47950
492,64,6879,12386,10415,48320
493,64,7091,12571,10575,47763
494,64,6847,12334,10528,48291
495,64,6977,12640,10592,47791
496,64,7638,12469,10886,47007
497,64,6686,11629,10574,49111
498,64,6610,11831,10868,48691
499,64,5703,11747,10734,49816
500,64,6328,11304,10529,49839
501,64,6474,11616,10853,49057
502,64,6718,11606,10868,48808
503,64,5934,11537,10652,49877
504,64,6983,11259,11784,47974
505,64,6659,11078,11792,48471
506,64,6425,10990,11692,48893
507,64,8228,11530,12118,46124
508,64,8023,11561,12333,46083
509,64,8811,11877,12485,44827
510,64,8203,11638,12010,46149
511,64,9027,11759,12895,44319
512,64,8276,11734,12626,45364
513,64,8390,11706,12490,45414
514,64,8400,11661,12384,45555
515,64,9069,11675,12924,44332
516,64,10225,12371,12950,42454
517,64,10915,12768,12956,41361
518,64,10846,12652,12889,41613
519,64,11977,13189,13053,39781
520,64,11916,13091,13084,39909
521,64,13045,13156,13418,38381
522,64,12928,13098,13273,38701
523,64,12060,12836,13279,39825
524,64,12264,12960,13347,39429
525,64,12941,13285,13296,38478
526,64,12781,13273,13409,38537
527,64,13831,13247,13424,37498
528,64,14864,14168,13476,35492
529,64,14469,14162,13325,36044
530,64,14046,14220,13075,36659
531,64,13426,13519,13083,37972
532,64,12614,13183,13132,39071
533,64,13100,13763,13045,38092
534,64,13203,13597,13189,38011
535,64,12538,13560,12743,39159
536,64,13450,14511,12640,37399
537,64,12670,14460,12265,38605
538,64,12645,14340,12164,38851
539,64,11871,14066,11832,40231
540,64,10997,14133,11699,41171
541,64,11061,14023,11540,41376
542,64,10211,14090,11671,42028
543,64,10483,13858,11592,42067
544,64,9814,13685,11690,42811
545,64,9599,13545,11603,43253
546,64,10786,13230,12267,41717
547,64,10133,13142,12251,42474
548,64,10777,13251,12388,41584
549,64,10185,12893,12684,42238
550,64,9226,12977,11937,43860
551,64,8736,12893,11839,44532
552,64,8123,12674,11667,45536
553,64,7861,12858,11738,45543
554,64,8714,12822,11716,44748
555,64,7330,11719,11875,47076
556,64,6952,11847,11429,47772
557,64,6269,11676,11293,48762
558,64,5611,11408,11011,49970
559,64,6529,11462,11335,48674
560,64,6805,11681,11295,48219
561,64,7119,12044,11758,47079
562,64,7018,11724,11415,47843
563,64,6869,11610,11471,48050
564,64,6726,11515,11419,48340
565,64,6090,10889,11357,49664
566,64,5977,10830,11453,49740
567,64,5811,11107,11409,49673
568,64,6419,11471,11469,48641
569,64,7073,11520,11662,47745
570,64,7592,11705,12134,46569
571,64,8036,11962,12030,45972
572,64,6998,11212,12089,47701
573,64,7727,11150,12134,46989
574,64,7454,11541,12543,46462
575,64,7409,11234,12331,47026
576,64,8007,11621,12497,45875
577,64,8738,11941,12966,44355
578,64,9446,11955,13230,43369
579,64,9032,11877,13135,43956
580,64,9636,11917,13243,43204
581,64,9079,11579,12884,44458
582,64,8821,11597,12924,44658
583,64,9351,11736,13004,43909
584,64,9809,12161,13139,42891
585,64,10801,12306,13181,41712
586,64,9687,12148,13165,43000
587,64,9282,11955,13099,43664
588,64,9063,12089,13185,43663
589,64,9998,12145,13123,42734
590,64,10565,11966,14038,41431
591,64,10433,12047,13357,42163
592,64,10030,11945,13569,42456
593,64,9467,11830,13451,43252
594,64,10078,11820,13433,42669
595,64,10256,11859,13384,42501
596,64,10247,11926,13512,42315
597,64,11976,12303,13939,39782
598,64,11245,12234,13904,40617
599,64,11201,12085,13761,40953
600,64,10254,11757,13503,42486
601,64,11059,11936,13580,41425
602,64,10890,12115,13644,41351
603,64,11595,12311,13542,40552
604,64,11699,12230,13663,40408
605,64,11024,12127,13610,41239
606,64,11569,12399,13703,40329
607,64,10073,11279,13723,42925
608,64,10857,11238,14382,41523
609,64,11840,11722,14492,39946
610,64,13240,11188,15734,37838
611,64,13374,11195,15780,37651
612,64,12935,10700,15748,38617
613,64,12454,10934,15792,38820
614,64,12545,10927,15907,38621
615,64,14331,11836,15526,36307
616,64,15205,12280,15373,35142
617,64,16818,12842,14966,33374
618,64,16716,12842,15112,33330
619,64,15763,12396,15298,34543
620,64,16309,12271,15508,33912
621,64,15767,12227,15153,34853
622,64,14894,12053,15504,35549
623,64,15905,12411,15631,34053
624,64,15053,12074,15585,35288
625,64,14434,11880,15451,36235
626,64,14211,11958,15637,36194
627,64,15439,12181,15273,35107
628,64,16436,11984,16042,33538
629,64,15193,11744,16322,34741
630,64,16140,11958,16105,33797
631,64,16237,11938,15899,33926
632,64,16253,12129,16093,33525
633,64,16103,12093,16126,33678
634,64,17459,12324,15812,32405
635,64,18335,12772,15504,31389
636,64,18862,13295,15762,30081
637,64,20412,13158,15538,28892
638,64,21467,13880,14998,27655
639,64,21379,13993,15098,27530
640,64,23584,13325,15854,25237
641,64,22314,13085,16207,26394
642,64,20781,13066,16334,27819
643,64,22055,13336,16304,26305
644,64,21028,13142,16120,27710
645,64,22597,13284,16299,25820
646,64,23715,13825,16067,24393
647,64,23992,13726,15897,24385
648,64,24567,13916,16331,23186
649,64,24678,13748,16207,23367
650,64,23741,14024,15824,24411
651,64,22349,14231,15866,25554
652,64,24435,15313,14697,23555
653,64,22273,16236,14022,25469
654,64,22779,16353,13953,24915
655,64,22808,16297,13977,24918
656,64,21772,16958,13939,25331
657,64,22700,16482,14003,24815
658,64,22774,16606,13887,24733
659,64,22736,16448,14072,24744
660,64,21843,16927,13767,25463
661,64,23620,16344,14841,23195
662,64,23105,16324,13825,24746
663,64,24453,16413,13765,23369
664,64,23294,16451,13959,24296
665,64,23740,16379,14062,23819
666,64,25711,16120,14482,21687
667,64,26097,16776,14411,20716
668,64,26344,16560,14312,20784
669,64,24659,16865,14459,22017
670,64,25168,17638,14363,20831
671,64,26411,17700,13789,20100
672,64,28458,16605,13976,18961
673,64,28281,16759,13969,18991
674,64,28342,16686,13852,19120
675,64,26932,16968,14296,19804
676,64,26653,16492,14507,20348
677,64,27191,17144,14295,19370
678,64,28497,17371,13539,18593
679,64,28390,16908,13717,18985
680,64,28467,16967,13600,18966
681,64,28953,17354,13812,17881
682,64,28964,17169,13901,17966
683,64,26790,16593,14877,19740
684,64,29194,16511,14456,17839
685,64,29021,16551,14606,17822
686,64,29020,16555,14432,17993
687,64,31383,15888,14346,16383
688,64,30544,15549,14745,17162
689,64,29610,15637,14643,18110
690,64,28324,16142,14556,18978
691,64,28242,16057,14217,19484
692,64,27335,16591,13738,20336
693,64,25274,16489,13884,22353
694,64,25730,16530,14019,21721
695,64,26975,16592,13761,20672
696,64,27839,16263,14168,19730
697,64,29720,16252,14119,17909
698,64,29865,16070,13984,18081
699,64,29078,16269,13582,19071
700,64,31305,15310,14131,17254
701,64,31966,15818,13984,16232
702,64,32550,16330,13604,15516
703,64,34906,16030,13007,14057
704,64,34215,16247,13040,14498
705,64,34333,16149,12987,14531
706,64,34380,16047,13050,14523
707,64,34804,15731,13535,13930
708,64,35528,15395,13983,13094
709,64,33385,16470,13691,14454
710,64,33424,16498,13675,14403
711,64,34917,16082,13194,13807
712,64,34270,15940,13190,14600
713,64,34405,15890,13186,14519
714,64,34234,15945,13213,14608
715,64,34182,16007,13132,14679
716,64,34648,15951,13083,14318
717,64,34463,16103,13232,14202
718,64,36300,15301,13013,13386
719,64,35811,15304,13074,13811
720,64,35008,14867,13354,14771
721,64,33743,15119,13663,15475
722,64,33912,15007,13617,15464
723,64,35280,14440,13775,14505
724,64,35113,14305,13761,14821
725,64,34385,14670,13311,15634
726,64,33242,14515,13979,16264
727,64,34159,14028,14126,15687
728,64,33204,14510,13884,16402
729,64,33704,14247,13868,16181
730,64,32795,14810,13773,16622
731,64,32082,15113,13527,17278
732,64,30940,14815,14031,18214
733,64,32134,14972,13428,17466
734,64,31689,14834,13697,17780
735,64,31263,15055,13921,17761
736,64,30963,15249,13676,18112
737,64,30295,15208,13788,18709
738,64,32587,14765,13905,16743
739,64,35159,14776,13316,14749
740,64,33882,14624,13593,15901
741,64,33721,15056,13901,15322
742,64,34033,14934,13795,15238
743,64,33039,15098,13755,16108
744,64,33447,14845,13636,16072
745,64,33820,15139,13632,15409
746,64,36403,15258,12820,13519
747,64,36609,15294,12807,13290
748,64,37053,15345,12764,12838
749,64,37514,15046,12515,12925
750,64,36843,15251,12947,12959
751,64,37558,15069,12640,12733
752,64,38562,14862,12522,12054
753,64,38399,14979,12404,12218
754,64,37124,15373,12557,12946
755,64,36325,15359,12991,13325
756,64,34546,15293,13184,14977
757,64,33225,15362,13600,15813
758,64,31585,15528,14397,16490
759,64,32102,15396,14100,16402
760,64,33075,15425,13887,15613
761,64,32075,15108,14384,16433
762,64,32296,14973,14046,16685
763,64,31886,14924,14257,16933
764,64,31179,15085,14438,17298
765,64,33438,14835,14875,14852
766,64,33242,14868,14780,15110
767,64,32461,14785,14996,15758
768,64,33219,14848,14609,15324
769,64,32588,14868,14899,15645
770,64,32116,14994,15100,15790
771,64,30861,14806,14892,17441
772,64,31137,14694,14937,17232
773,64,32269,14260,14875,16596
774,64,32571,14226,14992,16211
775,64,31984,14195,14805,17016
776,64,32117,14161,14790,16932
777,64,31851,14503,14986,16660
778,64,32224,14196,14677,16903
779,64,30368,14136,14893,18603
780,64,29284,14409,14856,19451
781,64,30449,14676,15025,17850
782,64,29346,14192,15148,19314
783,64,28589,14452,15513,19446
784,64,28211,14292,15634,19863
785,64,28492,14128,15622,19758
786,64,28711,14084,15556,19649
787,64,27910,14424,15931,19735
788,64,28863,14290,15386,19461
789,64,28215,14550,15340,19895
790,64,28847,14493,15381,19279
791,64,30559,14463,15293,17685
792,64,29596,14760,15263,18381
793,64,31247,15140,15020,16593
794,64,29446,15220,15089,18245
795,64,30337,14858,14876,17929
796,64,31207,14765,15103,16925
797,64,31404,14680,14887,17029
798,64,33236,14724,14980,15060
799,64,33881,14316,14909,14894
800,64,35367,13937,14719,13977
801,64,35312,14022,14670,13996
802,64,34984,14198,14827,13991
803,64,35359,14069,14862,13710
804,64,33474,13829,15263,15434
805,64,33232,13598,15413,15757
806,64,31886,13175,15628,17311
807,64,32306,13173,15544,16977
808,64,32520,13061,15575,16844
809,64,33317,13138,15356,16189
810,64,35071,12988,15462,14479
811,64,35355,13068,15345,14232
812,64,35374,12853,15305,14468
813,64,35773,12890,15429,13908
814,64,34436,13050,15277,15237
815,64,35499,13055,14748,14698
816,64,33409,13265,14981,16345
817,64,33717,13411,14814,16058
818,64,33892,13461,14835,15812
819,64,34361,13589,14594,15456
820,64,33806,13537,14811,15846
821,64,35645,13038,15266,14051
822,64,35694,12814,15192,14300
823,64,35905,12866,15098,14131
824,64,35961,12872,15130,14037
825,64,34000,13458,14752,15790
826,64,34134,13684,14634,15548
827,64,36135,13720,14215,13930
828,64,37015,13649,13926,13410
829,64,37072,13637,13912,13379
830,64,36675,13776,14024,13525
831,64,38503,14139,13114,12244
832,64,38506,14126,13177,12191
833,64,37723,14149,13494,12634
834,64,37539,14203,13636,12622
835,64,37708,14156,13482,12654
836,64,38735,13781,13586,11898
