round,seed,coop,exploit,exploit_,defect
1,64,29773,11596,17246,19385
2,64,29829,11494,17536,19141
3,64,27622,11783,17609,20986
4,64,27014,12076,17123,21787
5,64,27649,11837,17552,20962
6,64,25320,11837,17758,23085
7,64,24092,12240,17468,24200
8,64,22832,12276,17424,25468
9,64,20780,12234,17195,27791
10,64,22424,12736,17253,25587
11,64,22942,12402,17405,25251
12,64,23474,13071,17202,24253
13,64,22084,13510,16583,25823
14,64,22064,13539,17367,25030
15,64,22003,13585,17462,24950
16,64,20494,14367,16132,27007
17,64,20995,14523,16105,26377
18,64,21707,14483,16150,25660
19,64,23521,14104,16093,24282
20,64,21975,14528,16109,25388
21,64,20125,15504,14763,27608
22,64,19465,14635,14885,29015
23,64,19229,14818,14921,29032
24,64,18046,14424,15298,30232
25,64,17153,13845,15286,31716
26,64,17408,13654,15035,31903
27,64,18186,13941,15133,30740
28,64,18099,14067,15056,30778
29,64,16729,14605,14272,32394
30,64,15587,14483,14273,33657
31,64,15980,14436,14174,33410
32,64,15460,14464,14413,33663
33,64,15683,14632,14174,33511
34,64,16819,14264,14590,32327
35,64,17566,14421,14164,31849
36,64,16241,14611,13873,33275
37,64,15187,14723,13835,34255
38,64,13886,14872,13509,35733
39,64,13199,15118,12545,37138
40,64,11964,14020,12537,39479
41,64,12729,15552,12252,37467
42,64,13179,15402,12180,37239
43,64,13735,15447,12499,36319
44,64,13200,15218,12650,36932
45,64,13466,14812,12425,37297
46,64,14304,15080,12662,35954
47,64,13687,15127,12506,36680
48,64,15184,15393,13335,34088
49,64,16947,14797,14385,31871
50,64,16877,14881,14366,31876
51,64,16081,15353,13938,32628
52,64,15023,15212,14123,33642
53,64,16637,15647,13589,32127
54,64,14782,14516,14013,34689
55,64,14555,14610,14166,34669
56,64,13124,14257,13642,36977
57,64,11765,12854,14249,39132
58,64,10781,12573,14559,40087
59,64,10609,12546,14559,40286
60,64,11140,12571,14833,39456
61,64,12625,11991,16327,37057
62,64,13959,13117,16061,34863
63,64,13407,13002,16024,35567
64,64,12227,12278,16697,36798
65,64,11535,12540,15592,38333
66,64,11520,12413,15426,38641
67,64,12716,12588,15926,36770
68,64,13557,12808,15486,36149
69,64,12229,12968,15239,37564
70,64,12008,12785,14819,38388
71,64,11126,12934,14829,39111
72,64,12186,12623,15242,37949
73,64,12789,12552,15272,37387
74,64,12905,12580,15296,37219
75,64,12807,12357,15202,37634
76,64,12813,12450,15426,37311
77,64,11721,12322,14811,39146
78,64,10916,11939,14896,40249
79,64,12280,12652,15077,37991
80,64,12433,12613,15013,37941
81,64,11727,12370,15199,38704
82,64,12587,12886,15158,37369
83,64,12529,12935,15060,37476
84,64,12016,13056,14862,38066
85,64,11260,13258,13564,39918
86,64,10365,12703,13389,41543
87,64,11216,12736,13443,40605
88,64,11145,12786,13409,40660
89,64,10653,13075,13069,41203
90,64,11484,13596,12817,40103
91,64,12538,14450,12781,38231
92,64,11753,14377,12937,38933
93,64,12319,14149,13178,38354
94,64,12069,13725,13078,39128
95,64,11277,13950,12358,40415
96,64,11154,13986,12358,40502
97,64,10586,14013,11947,41454
98,64,12037,14430,12371,39162
99,64,10586,14877,11060,41477
100,64,10407,14991,11198,41404
101,64,11244,15627,11314,39815
102,64,9821,15273,10550,42356
103,64,9626,15217,10600,42557
104,64,11296,15972,10884,39848
105,64,11631,16355,11373,38641
106,64,11513,16315,11232,38940
107,64,11499,16409,11287,38805
108,64,11571,16175,11282,38972
109,64,12456,15985,11641,37918
110,64,13279,16492,11765,36464
111,64,14174,16155,12044,35627
112,64,14902,16815,12304,33979
113,64,15682,16506,12536,33276
114,64,15617,16371,12422,33590
115,64,13904,16554,11879,35663
116,64,14952,16820,11447,34781
117,64,15716,16606,11593,34085
118,64,14634,16773,11310,35283
119,64,16180,16444,12059,33317
120,64,17093,16359,12496,32052
121,64,17968,16269,12884,30879
122,64,19258,16709,12549,29484
123,64,16935,17069,11780,32216
124,64,16327,16205,12033,33435
125,64,16418,16230,12040,33312
126,64,16327,16220,11959,33494
127,64,17272,16187,12251,32290
128,64,18246,16174,12491,31089
129,64,19840,16555,12648,28957
130,64,21013,16199,13036,27752
131,64,21066,16040,13068,27826
132,64,22184,16450,12782,26584
133,64,21164,16382,12476,27978
134,64,23267,16463,12780,25490
135,64,22038,16153,12847,26962
136,64,20944,15901,13118,28037
137,64,22706,15651,13449,26194
138,64,21325,14957,13686,28032
139,64,19825,14773,13868,29534
140,64,19172,15308,13516,30004
141,64,19199,15149,13291,30361
142,64,17992,14858,13634,31516
143,64,20253,16087,12926,28734
144,64,20149,15861,12790,29200
145,64,20164,16101,12797,28938
146,64,19344,15502,13131,30023
147,64,18193,15144,13658,31005
148,64,18203,15094,13603,31100
149,64,18323,14939,13532,31206
150,64,19168,15243,13357,30232
151,64,19921,15048,13938,29093
152,64,22396,14305,14364,26935
153,64,24131,14730,14154,24985
154,64,24215,14797,14275,24713
155,64,24480,14721,14302,24497
156,64,24648,14734,14423,24195
157,64,24753,14767,14468,24012
158,64,25942,14833,14301,22924
159,64,26881,14808,14314,21997
160,64,27020,14730,14201,22049
161,64,26847,14866,14296,21991
162,64,27614,14696,14254,21436
163,64,26221,15323,14162,22294
164,64,23866,15952,13678,24504
165,64,22869,15712,13545,25874
166,64,23156,15563,13636,25645
167,64,24329,15958,13480,24233
168,64,23894,16033,13484,24589
169,64,24274,16034,13420,24272
170,64,23151,16076,13244,25529
171,64,23094,15785,13321,25800
172,64,20912,15722,13233,28133
173,64,22171,15808,13278,26743
174,64,22294,15596,13284,26826
175,64,21902,15607,13282,27209
176,64,21719,15547,13209,27525
177,64,21530,15605,13362,27503
178,64,21303,15715,13464,27518
179,64,21605,15686,13415,27294
180,64,22686,15718,13289,26307
181,64,21567,15715,12876,27842
182,64,22703,15538,13595,26164
183,64,24651,16118,12919,24312
184,64,24932,15974,13017,24077
185,64,24610,16142,12987,24261
186,64,24515,16214,13069,24202
187,64,25258,15902,12919,23921
188,64,24774,16202,13024,24000
189,64,23662,15932,13175,25231
190,64,23895,15856,12923,25326
191,64,23757,16044,13309,24890
192,64,21446,15135,13715,27704
193,64,22239,14929,13858,26974
194,64,23355,14654,14187,25804
195,64,24954,14255,14493,24298
196,64,24826,14362,14651,24161
197,64,24623,14504,14784,24089
198,64,24176,14248,14818,24758
199,64,22325,14397,14384,26894
200,64,22931,14287,14569,26213
201,64,21684,14029,14600,27687
202,64,21555,14085,14680,27680
203,64,22423,14659,14595,26323
204,64,21314,14778,14369,27539
205,64,23228,14930,14578,25264
206,64,23717,14740,14291,25252
207,64,23635,14958,14398,25009
208,64,22364,14778,14724,26134
209,64,22436,14590,14539,26435
210,64,24103,14859,14292,24746
211,64,23625,15006,14235,25134
212,64,24564,14842,14125,24469
213,64,24480,14924,14159,24437
214,64,24411,14939,14176,24474
215,64,24895,14753,14319,24033
216,64,23785,14732,14177,25306
217,64,25289,15182,13816,23713
218,64,24860,15161,13879,24100
219,64,24798,15090,13796,24316
220,64,24908,14997,13923,24172
221,64,23342,15689,13353,25616
222,64,23470,15485,13286,25759
223,64,24542,15906,12867,24685
224,64,24465,15975,12853,24707
225,64,24115,16140,13143,24602
226,64,24997,16350,12995,23658
227,64,25023,16222,12959,23796
228,64,25291,16358,12649,23702
229,64,25305,16095,12906,23694
230,64,24456,16051,12991,24502
231,64,23341,16092,12937,25630
232,64,20965,15448,13334,28253
233,64,19226,15761,12805,30208
234,64,18809,15765,12404,31022
235,64,20020,15410,13034,29536
236,64,19936,15291,13158,29615
237,64,18577,14982,13251,31190
238,64,18645,14990,13283,31082
239,64,18789,14955,13197,31059
240,64,19633,15222,13668,29477
241,64,21384,15185,13528,27903
242,64,21103,15333,13702,27862
243,64,21231,15219,13640,27910
244,64,21207,15065,13596,28132
245,64,20007,15378,13303,29312
246,64,21039,15508,12987,28466
247,64,20659,15576,13051,28714
248,64,19453,15803,12665,30079
249,64,20290,16442,12334,28934
250,64,20443,16470,12441,28646
251,64,20508,16458,12387,28647
252,64,20793,16205,12140,28862
253,64,19553,16155,12317,29975
254,64,18508,16276,12404,30812
255,64,18647,16260,12370,30723
256,64,17065,16856,11799,32280
257,64,16977,16776,11834,32413
258,64,16317,16494,12008,33181
259,64,15785,16575,11595,34045
260,64,17235,16244,12681,31840
261,64,17293,16246,12571,31890
262,64,19176,15464,13956,29404
263,64,17856,15895,13265,30984
264,64,18557,15990,13202,30251
265,64,19384,16071,13081,29464
266,64,17643,15154,13794,31409
267,64,19404,15230,13856,29510
268,64,21038,14992,14037,27933
269,64,19752,15073,14005,29170
270,64,21456,15372,14269,26903
271,64,21885,15587,14304,26224
272,64,21944,15597,14241,26218
273,64,23600,15029,14454,24917
274,64,21750,14591,14641,27018
275,64,22375,14592,14920,26113
276,64,21458,14287,14860,27395
277,64,21689,15060,15043,26208
278,64,23231,14811,14559,25399
279,64,25412,15320,14000,23268
280,64,23665,15906,13585,24844
281,64,24730,15529,13960,23781
282,64,26630,14594,15118,21658
283,64,26937,14389,15078,21596
284,64,25396,13993,15288,23323
285,64,26784,14147,14894,22175
286,64,24616,14232,15108,24044
287,64,24240,14111,15235,24414
288,64,22313,14224,15164,26299
289,64,22450,14234,15051,26265
290,64,22398,14123,15060,26419
291,64,20572,13071,15598,28759
292,64,20508,13198,15755,28539
293,64,21610,13526,15753,27111
294,64,20256,13297,16327,28120
295,64,21097,13317,16595,26991
296,64,21759,14086,16506,25649
297,64,19996,13533,16659,27812
298,64,19530,13954,16072,28444
299,64,19152,13573,15973,29302
300,64,20419,13468,15768,28345
301,64,20267,13524,15625,28584
302,64,19671,13721,15552,29056
303,64,18034,14323,14459,31184
304,64,16920,14471,14483,32126
305,64,15939,13877,14668,33516
306,64,15823,14294,14987,32896
307,64,16525,14356,14629,32490
308,64,15536,14684,14059,33721
309,64,15606,14805,14047,33542
310,64,16913,14408,14348,32331
311,64,15745,14558,14369,33328
312,64,16063,14419,14259,33259
313,64,16432,15274,14228,32066
314,64,18190,15177,13886,30747
315,64,17935,15537,14256,30272
316,64,17960,15539,14159,30342
317,64,17810,15391,14013,30786
318,64,17471,15671,13336,31522
319,64,18192,16014,13804,29990
320,64,17994,15403,13870,30733
321,64,15973,15737,13344,32946
322,64,17974,16434,12696,30896
323,64,16916,16525,12830,31729
324,64,15563,17240,12223,32974
325,64,15380,17158,12140,33322
326,64,15484,17118,11980,33418
327,64,17216,17551,12148,31085
328,64,18933,17374,13024,28669
329,64,18871,17491,12793,28845
330,64,20589,16737,14113,26561
331,64,22614,17128,13693,24565
332,64,21669,16740,13788,25803
333,64,23334,15785,14392,24489
334,64,25085,15728,14773,22414
335,64,23759,16277,14550,23414
336,64,24015,16051,14404,23530
337,64,25971,15402,15273,21354
338,64,25680,15319,15179,21822
339,64,26123,15545,15144,21188
340,64,28189,15327,15160,19324
341,64,27295,14816,15387,20502
342,64,27832,14962,15150,20056
343,64,29620,15650,14088,18642
344,64,28086,14936,15339,19639
345,64,25809,15976,14528,21687
346,64,25949,15979,14489,21583
347,64,24144,16796,13669,23391
348,64,22063,17655,13352,24930
349,64,23545,17334,13063,24058
350,64,21594,16559,13952,25895
351,64,19848,16004,14006,28142
352,64,19886,16109,13767,28238
353,64,19299,16229,13921,28551
354,64,20279,16404,14087,27230
355,64,19297,16312,13575,28816
356,64,19438,16377,13666,28519
357,64,19826,16266,13848,28060
358,64,19754,16528,13853,27865
359,64,20730,16788,13253,27229
360,64,19306,17409,12734,28551
361,64,20592,17304,12545,27559
362,64,21758,16602,12750,26890
363,64,22082,16642,12738,26538
364,64,22313,16874,12964,25849
365,64,21919,16900,12922,26259
366,64,23518,16041,13361,25080
367,64,23928,16106,13368,24598
368,64,24473,16240,13412,23875
369,64,26430,15318,14253,21999
370,64,24858,15976,14050,23116
371,64,26781,15683,14188,21348
372,64,28595,16206,13416,19783
373,64,28390,16440,13413,19757
374,64,28481,16149,13388,19982
375,64,28398,16116,13250,20236
376,64,27054,17002,13008,20936
377,64,28508,17200,12250,20042
378,64,30523,16441,12798,18238
379,64,30793,16378,12813,18016
380,64,31291,16100,13075,17534
381,64,30356,16130,13123,18391
382,64,28597,15998,13470,19935
383,64,30053,15300,13994,18653
384,64,28075,15399,14383,20143
385,64,27893,15359,14274,20474
386,64,28340,15546,14320,19794
387,64,29637,15886,13617,18860
388,64,28372,15441,14388,19799
389,64,30004,14801,14511,18684
390,64,29955,14779,14450,18816
391,64,31465,14664,13881,17990
392,64,31088,14858,14181,17873
393,64,31331,14752,13990,17927
394,64,30131,15109,13966,18794
395,64,30573,14974,13749,18704
396,64,29144,14815,14335,19706
397,64,26816,15742,13681,21761
398,64,28009,14958,14054,20979
399,64,27946,15039,14118,20897
400,64,29600,14659,14434,19307
401,64,29948,14491,14532,19029
402,64,29715,14366,14163,19756
403,64,27049,14649,14493,21809
404,64,26192,14422,14850,22536
405,64,25009,14167,14862,23962
406,64,26244,13903,15150,22703
407,64,26547,13874,14969,22610
408,64,27543,14390,14470,21597
409,64,29249,14507,14272,19972
410,64,29223,14657,14203,19917
411,64,29388,14423,14273,19916
412,64,29734,14681,13942,19643
413,64,30434,14939,13712,18915
414,64,30377,15096,13826,18701
415,64,29416,15029,13498,20057
416,64,27668,15592,13901,20839
417,64,30187,15154,13680,18979
418,64,31701,15048,13609,17642
419,64,31465,14785,13589,18161
420,64,28826,15759,13406,20009
421,64,28918,15606,13071,20405
422,64,26589,15897,13166,22348
423,64,26415,15894,13162,22529
424,64,25496,16258,12684,23562
425,64,25195,16196,12595,24014
426,64,25784,16071,12544,23601
427,64,25038,16395,12812,23755
428,64,24514,16644,12400,24442
429,64,24082,16822,12463,24633
430,64,23237,16459,12562,25742
431,64,22444,16277,12654,26625
432,64,23031,16169,12945,25855
433,64,22637,16057,12515,26791
434,64,20857,15361,13152,28630
435,64,18280,14331,14043,31346
436,64,18070,14325,13862,31743
437,64,18523,14616,13597,31264
438,64,18758,14945,13766,30531
439,64,18388,14753,13661,31198
440,64,17708,14841,13356,32095
441,64,16386,14563,13335,33716
442,64,15386,13943,13532,35139
443,64,15995,14359,13523,34123
444,64,15169,14363,13138,35330
445,64,13947,13961,13231,36861
446,64,15268,14161,13295,35276
447,64,15167,14102,13386,35345
448,64,17134,14778,13179,32909
449,64,15905,14483,13147,34465
450,64,15931,14574,13175,34320
451,64,15140,14738,12660,35462
452,64,13926,14548,12550,36976
453,64,14028,14406,12493,37073
454,64,14120,14470,12444,36966
455,64,14088,14496,12577,36839
456,64,14208,14661,12497,36634
457,64,14009,14603,12378,37010
458,64,15356,15201,12494,34949
459,64,16724,14955,12664,33657
460,64,14826,14923,12572,35679
461,64,15183,14843,12319,35655
462,64,13984,14934,12163,36919
463,64,13824,14918,12276,36982
464,64,15961,14295,13246,34498
465,64,17361,14060,13503,33076
466,64,16830,14341,13673,33156
467,64,16593,14429,13831,33147
468,64,16263,13792,13415,34530
469,64,17521,14257,13978,32244
470,64,16673,13965,14042,33320
471,64,15718,13956,13649,34677
472,64,16045,13754,13625,34576
473,64,16907,14194,13963,32936
474,64,18089,14282,13994,31635
475,64,18217,14343,14108,31332
476,64,18164,14316,13882,31638
477,64,16808,14275,13741,33176
478,64,16916,14261,13678,33145
479,64,16618,14538,13746,33098
480,64,17206,14158,13395,33241
481,64,15737,14218,13521,34524
482,64,16507,14251,13932,33310
483,64,16786,14220,14028,32966
484,64,16707,14351,13853,33089
485,64,16767,14140,13855,33238
486,64,16791,14332,13783,33094
487,64,18447,14517,13835,31201
488,64,18047,14439,13860,31654
489,64,16861,14263,13910,32966
490,64,16289,14091,13894,33726
491,64,15721,14094,13495,34690
492,64,15409,13922,13341,35328
493,64,16213,14159,13474,34154
494,64,16375,14121,13464,34040
495,64,16355,14230,13445,33970
496,64,15884,14102,13269,34745
497,64,15607,13956,13558,34879
498,64,14712,13752,13260,36276
499,64,13570,13411,13287,37732
500,64,14087,13341,13713,36859
501,64,14838,13481,13931,35750
502,64,16484,14107,13624,33785
503,64,15445,14083,13471,35001
504,64,15698,14235,13584,34483
505,64,15645,14330,13699,34326
506,64,16494,14373,13764,33369
507,64,19013,14581,13886,30520
508,64,19433,14541,14168,29858
509,64,18243,14528,13923,31306
510,64,18492,14458,13868,31182
511,64,17509,14456,13558,32477
512,64,17260,14602,13718,32420
513,64,16076,14296,13603,34025
514,64,16496,14388,13515,33601
515,64,16742,14180,13583,33495
516,64,16039,14072,13693,34196
517,64,17439,14671,13637,32253
518,64,16418,14693,13210,33679
519,64,18605,15174,13276,30945
520,64,19869,15150,13067,29914
521,64,20312,15277,13161,29250
522,64,19291,14990,13358,30361
523,64,18344,14776,13327,31553
524,64,17125,14944,13154,32777
525,64,16269,14536,13060,34135
526,64,14814,13798,13615,35773
527,64,14840,13877,13534,35749
528,64,14756,13776,13631,35837
529,64,14650,13966,13646,35738
530,64,15460,13925,13934,34681
531,64,16811,14315,13716,33158
532,64,17104,14406,13581,32909
533,64,18075,15025,13307,31593
534,64,16648,15145,13248,32959
535,64,15682,15129,12928,34261
536,64,17191,15906,12357,32546
537,64,16185,16385,12128,33302
538,64,16051,16259,12144,33546
539,64,14483,15763,11808,35946
540,64,13421,15976,11664,36939
541,64,12814,16202,11305,37679
542,64,12799,16229,11246,37726
543,64,12764,16247,11302,37687
544,64,12771,16253,11273,37703
545,64,12889,16133,11251,37727
546,64,12821,16114,11680,37385
547,64,12943,16277,11691,37089
548,64,12961,16088,11508,37443
549,64,13695,17347,11324,35634
550,64,14017,17187,12090,34706
551,64,12838,16269,11873,37020
552,64,13371,16179,12017,36433
553,64,13459,16391,11852,36298
554,64,14755,16481,12011,34753
555,64,13067,15469,12360,37104
556,64,12816,15416,11991,37777
557,64,12774,15688,12026,37512
558,64,13139,15432,12312,37117
559,64,14822,15764,13080,34334
560,64,14727,15844,12948,34481
561,64,14612,15895,13163,34330
562,64,14531,16005,13107,34357
563,64,16025,15302,13501,33172
564,64,16203,15159,13337,33301
565,64,15151,15242,13771,33836
566,64,14979,15195,13796,34030
567,64,16589,15697,13977,31737
568,64,18226,16689,13749,29336
569,64,16590,16219,13349,31842
570,64,16626,16281,13429,31664
571,64,18384,17601,12529,29486
572,64,18081,17323,12719,29877
573,64,19716,17313,12898,28073
574,64,20145,17677,12815,27363
575,64,19982,17855,12880,27283
576,64,19940,17129,13058,27873
577,64,19957,17163,12875,28005
578,64,19827,17154,12926,28093
579,64,17673,17997,11947,30383
580,64,18820,18374,11870,28936
581,64,18813,18476,11959,28752
582,64,18374,18166,11602,29858
583,64,19746,18124,11568,28562
584,64,20192,19098,11551,27159
585,64,20466,18797,11409,27328
586,64,19135,18846,11503,28516
587,64,17097,18654,11809,30440
588,64,16979,18673,11379,30969
589,64,17389,18815,11139,30657
590,64,19000,18403,12093,28504
591,64,18850,18279,12098,28773
592,64,20395,18531,12034,27040
593,64,21856,17967,12380,25797
594,64,20758,18289,12131,26822
595,64,21768,18496,11960,25776
596,64,23044,18161,12245,24550
597,64,24236,18246,12003,23515
598,64,23948,18467,12354,23231
599,64,24040,18340,12241,23379
600,64,21954,18222,12227,25597
601,64,22167,18371,12175,25287
602,64,22434,18162,11948,25456
603,64,22521,18739,12124,24616
604,64,22702,18677,11964,24657
605,64,20837,17974,12481,26708
606,64,20683,18076,12622,26619
607,64,20105,17609,12611,27675
608,64,18894,17814,12410,28882
609,64,20672,18357,12309,26662
610,64,20926,18221,12242,26611
611,64,20657,18313,12189,26841
612,64,19877,17605,12476,28042
613,64,21490,16697,13082,26731
614,64,21768,17120,12964,26148
615,64,22400,17590,12722,25288
616,64,20428,17561,13388,26623
617,64,20481,16646,13390,27483
618,64,19870,16292,13513,28325
619,64,19598,15641,13870,28891
620,64,18993,16123,13547,29337
621,64,19334,15735,13843,29088
622,64,19550,15660,13635,29155
623,64,19692,15678,13657,28973
624,64,20853,16221,13456,27470
625,64,22396,16137,13307,26160
626,64,24127,16447,13077,24349
627,64,23751,16006,13177,25066
628,64,24264,16057,13561,24118
629,64,24279,15910,13393,24418
630,64,24151,15994,13563,24292
631,64,24107,15896,13623,24374
632,64,25511,15474,13838,23177
633,64,25599,15453,13780,23168
634,64,23903,15142,14608,24347
635,64,22793,14336,15012,25859
636,64,23908,14241,15011,24840
637,64,22320,14306,15086,26288
638,64,24134,15579,14157,24130
639,64,23257,15383,13944,25416
640,64,23346,15354,14059,25241
641,64,24945,15846,13376,23833
642,64,25619,15926,13413,23042
643,64,24045,15661,13708,24586
644,64,24031,15625,13767,24577
645,64,25811,15538,13871,22780
646,64,26873,16155,13468,21504
647,64,24853,16415,13155,23577
648,64,23243,16770,13523,24464
649,64,21878,16647,13930,25545
650,64,21923,16397,13577,26103
651,64,22024,16559,13722,25695
652,64,21856,16566,13726,25852
653,64,23332,16035,14252,24381
654,64,24960,15996,13747,23297
655,64,24908,16166,13712,23214
656,64,27027,15239,14625,21109
657,64,26189,15700,14101,22010
658,64,26085,15764,14065,22086
659,64,26007,15756,14011,22226
660,64,25051,16072,13736,23141
661,64,25493,16037,13947,22523
662,64,23183,16798,13457,24562
663,64,22303,16478,13454,25765
664,64,22225,16571,13448,25756
665,64,22845,16346,13248,25561
666,64,23070,16430,13365,25135
667,64,22963,16338,13390,25309
668,64,22217,16115,13433,26235
669,64,20949,16102,13417,27532
670,64,22414,16839,12943,25804
671,64,21282,16321,13113,27284
672,64,20062,16916,12966,28056
673,64,19799,16936,13099,28166
674,64,21581,16248,13421,26750
675,64,20161,16424,13680,27735
676,64,19926,15843,13846,28385
677,64,19783,15838,13807,28572
678,64,19857,15845,13836,28462
679,64,19441,15622,13985,28952
680,64,19654,15520,13941,28885
681,64,20977,15586,13856,27581
682,64,22496,15254,14221,26029
683,64,20299,14341,15012,28348
684,64,19252,13942,15061,29745
685,64,20858,14198,15316,27628
686,64,19590,14312,15080,29018
687,64,20909,14313,15289,27489
688,64,20952,14861,15132,27055
689,64,21798,14884,15294,26024
690,64,20418,15174,15302,27106
691,64,22210,14743,15365,25682
692,64,21838,14930,14902,26330
693,64,21913,14962,14804,26321
694,64,22834,14937,14787,25442
695,64,24627,15071,14421,23881
696,64,25160,14869,14772,23199
697,64,26906,15296,14668,21130
698,64,27453,14794,14886,20867
699,64,27075,15072,14575,21278
700,64,26716,15129,14325,21830
701,64,24321,14721,15061,23897
702,64,22894,14245,15619,25242
703,64,22549,14171,15723,25557
704,64,22148,14056,15572,26224
705,64,22817,14421,15103,25659
706,64,22473,14554,15326,25647
707,64,22515,14580,14964,25941
708,64,22435,14749,15258,25558
709,64,23028,14531,15419,25022
710,64,23039,14441,15318,25202
711,64,24546,14831,15355,23268
712,64,25207,14829,15185,22779
713,64,25704,14802,15072,22422
714,64,24112,15515,14901,23472
715,64,23735,15667,14957,23641
716,64,24406,15773,14727,23094
717,64,24270,15922,14897,22911
718,64,26059,15326,14881,21734
719,64,25612,15337,14897,22154
720,64,24948,14907,15191,22954
721,64,24206,14960,15130,23704
722,64,25438,15046,14523,22993
723,64,26018,14908,14522,22552
724,64,26198,14505,14515,22782
725,64,28531,13601,15366,20502
726,64,28380,14068,15517,20035
727,64,28312,14034,15561,20093
728,64,28805,13884,15236,20075
729,64,28172,13973,15610,20245
730,64,29256,13441,15971,19332
731,64,29157,13499,15694,19650
732,64,28233,13519,16170,20078
733,64,28609,13526,16033,19832
734,64,28720,13508,15968,19804
735,64,28667,13399,16011,19923
736,64,26431,14428,15171,21970
737,64,26418,14398,15285,21899
738,64,28510,14122,15410,19958
739,64,27119,13636,15921,21324
740,64,28585,14148,15322,19945
741,64,27131,14398,15152,21319
742,64,25034,14234,16171,22561
743,64,25327,13881,15967,22825
744,64,25615,14330,15848,22207
745,64,25484,14375,15888,22253
746,64,27475,15151,14919,20455
747,64,25446,15009,15107,22438
748,64,24755,14544,15319,23382
749,64,24787,14594,15300,23319
750,64,24688,14672,15493,23147
751,64,25291,14939,15047,22723
752,64,24964,15158,15045,22833
753,64,24085,15748,14503,23664
754,64,25600,15262,14974,22164
755,64,27425,15361,14524,20690
756,64,25251,15047,15066,22636
757,64,23648,13998,15643,24711
758,64,23285,14295,15934,24486
759,64,23116,14398,15794,24692
760,64,24729,14337,15272,23662
761,64,23251,13908,16091,24750
762,64,23129,14012,16184,24675
763,64,22851,13706,16011,25432
764,64,21668,13308,16425,26599
765,64,23125,12971,16856,25048
766,64,23016,12978,16818,25188
767,64,21417,12457,17485,26641
768,64,20648,11850,17818,27684
769,64,20812,11672,17586,27930
770,64,19470,11426,18312,28792
771,64,19694,11526,18133,28647
772,64,19532,11615,18165,28688
773,64,19690,11555,18288,28467
774,64,19094,11524,17590,29792
775,64,19091,11401,18004,29504
776,64,19026,11496,17991,29487
777,64,19264,11479,17851,29406
778,64,17811,10714,18578,30897
779,64,18512,10675,18787,30026
780,64,18341,10764,18741,30154
781,64,20128,11113,18900,27859
782,64,21483,11904,18175,26438
783,64,19307,11595,18432,28666
784,64,19675,11368,18186,28771
785,64,21079,12148,17481,27292
786,64,21256,12042,17433,27269
787,64,19870,11905,18076,28149
788,64,20963,12221,17571,27245
789,64,19117,12554,16622,29707
790,64,18212,12705,16927,30156
791,64,18314,12906,16936,29844
792,64,19041,12770,17387,28802
793,64,19161,13600,17391,27848
794,64,17998,13399,17232,29371
795,64,17222,13623,16613,30542
796,64,17433,13531,16523,30513
797,64,16841,13390,15988,31781
798,64,16644,13299,15895,32162
799,64,16156,13480,15235,33129
800,64,15748,13500,14876,33876
801,64,16749,13390,14991,32870
802,64,16600,13403,14980,33017
803,64,16301,13382,14777,33540
804,64,15149,12726,15067,35058
805,64,15171,12713,15151,34965
806,64,16279,13211,14978,33532
807,64,17732,13527,14836,31905
808,64,17501,13520,14819,32160
809,64,19096,13893,14520,30491
810,64,20181,14027,14508,29284
811,64,20493,14333,14705,28469
812,64,19256,14385,13900,30459
813,64,18020,14135,13971,31874
814,64,18882,14076,14043,30999
815,64,20734,14977,13482,28807
816,64,20437,15017,13517,29029
817,64,20464,15285,13548,28703
818,64,18857,15173,13493,30477
819,64,19655,15369,13179,29797
820,64,20100,15857,13185,28858
821,64,19648,16236,13339,28777
822,64,18811,15735,13068,30386
823,64,19287,15616,13005,30092
824,64,21281,14885,13905,27929
825,64,22703,14695,14290,26312
826,64,23591,15220,14015,25174
827,64,25081,15373,13775,23771
828,64,25906,15924,13391,22779
829,64,26196,16268,13547,21989
830,64,26214,16372,13604,21810
831,64,28094,16773,12492,20641
832,64,27959,16732,12653,20656
833,64,27455,16515,12883,21147
834,64,26150,16702,12803,22345
835,64,24094,16166,13400,24340
836,64,25607,15673,13891,22829
