round,seed,coop,exploit,exploit_,defect
1,64,29773,11596,17246,19385
2,64,29829,11494,17536,19141
3,64,27622,11783,17609,20986
4,64,27014,12076,17123,21787
5,64,27649,11837,17552,20962
6,64,25320,11837,17758,23085
7,64,24092,12240,17468,24200
8,64,22832,12276,17424,25468
9,64,20780,12234,17195,27791
10,64,22424,12736,17253,25587
11,64,22942,12402,17405,25251
12,64,23474,13071,17202,24253
13,64,23298,13034,16782,24886
14,64,23234,13081,17547,24138
15,64,23258,13106,17599,24037
16,64,21617,13859,16312,26212
17,64,21484,13539,16311,26666
18,64,22139,13551,16344,25966
19,64,23861,13269,16307,24563
20,64,22436,13632,16355,25577
21,64,20527,14580,15044,27849
22,64,19762,13770,15126,29342
23,64,19474,13982,15208,29336
24,64,18240,13546,15535,30679
25,64,17794,13194,15508,31504
26,64,18082,13096,15177,31645
27,64,18896,13333,15438,30333
28,64,18642,13488,15346,30524
29,64,17144,14088,14587,32181
30,64,16218,13751,14560,33471
31,64,16389,13647,14383,33581
32,64,15954,13779,14743,33524
33,64,15252,14224,14145,34379
34,64,16398,13861,14571,33170
35,64,16159,13800,14479,33562
36,64,14961,13792,14143,35104
37,64,13959,13986,14074,35981
38,64,12610,14107,13761,37522
39,64,11931,14278,12792,38999
40,64,11487,13988,12679,39846
41,64,12470,15512,12362,37656
42,64,12806,15416,12306,37472
43,64,13354,15451,12577,36618
44,64,13525,15430,12595,36450
45,64,13777,15133,12447,36643
46,64,14736,15313,12620,35331
47,64,15340,15446,12601,34613
48,64,15031,15611,12887,34471
49,64,16811,15073,13944,32172
50,64,16866,15083,13914,32137
51,64,16024,15517,13584,32875
52,64,14912,15428,13616,34044
53,64,16523,15813,13145,32519
54,64,14667,14685,13517,35131
55,64,14571,14737,13628,35064
56,64,16324,14981,14101,32594
57,64,14803,13580,14825,34792
58,64,13787,13312,15252,35649
59,64,15208,13706,15456,33630
60,64,15722,13723,15610,32945
61,64,17297,12966,17016,30721
62,64,18866,13960,16643,28531
63,64,19569,14357,16294,27780
64,64,18061,13781,17150,29008
65,64,17473,13958,16261,30308
66,64,17531,13958,16041,30470
67,64,17208,13847,15949,30996
68,64,16298,13351,15901,32450
69,64,16209,13422,15971,32398
70,64,15088,13447,15401,34064
71,64,14105,13646,15473,34776
72,64,15301,13198,16352,33149
73,64,16244,12967,16250,32539
74,64,16457,12995,16175,32373
75,64,16259,12809,16279,32653
76,64,18252,13516,16187,30045
77,64,16766,13639,15760,31835
78,64,16824,13816,15804,31556
79,64,18300,14211,15944,29545
80,64,18484,14293,15826,29397
81,64,19099,15073,15761,28067
82,64,20398,15491,15298,26813
83,64,20274,15463,15204,27059
84,64,19198,16029,15019,27754
85,64,19364,15820,14974,27842
86,64,17645,15511,15006,29838
87,64,18794,15431,14795,28980
88,64,18795,15540,14874,28791
89,64,17199,16222,13669,30910
90,64,18274,16845,13104,29777
91,64,19131,17463,13007,28399
92,64,18014,17359,13488,29139
93,64,18020,17495,13301,29184
94,64,16626,17031,13841,30502
95,64,14972,17322,12854,32852
96,64,14815,17582,13067,32536
97,64,13847,17940,12209,34004
98,64,14668,17837,12295,33200
99,64,13213,18336,10781,35670
100,64,13101,18343,10949,35607
101,64,13859,19041,10924,34176
102,64,12828,19605,10849,34718
103,64,12831,19582,10869,34718
104,64,12780,19807,10844,34569
105,64,11988,19683,10482,35847
106,64,10778,19999,9990,37233
107,64,9991,20648,9651,37710
108,64,9951,20607,9766,37676
109,64,9948,20649,9833,37570
110,64,10144,20595,9626,37635
111,64,10107,20659,9674,37560
112,64,8921,19663,9515,39901
113,64,9759,19445,9992,38804
114,64,10715,20003,9761,37521
115,64,12063,20258,10334,35345
116,64,12128,20356,10341,35175
117,64,12157,20233,10351,35259
118,64,12408,20767,10493,34332
119,64,13814,20570,11381,32235
120,64,13637,20822,11488,32053
121,64,13709,20677,11427,32187
122,64,12330,19367,12097,34206
123,64,13816,19066,13094,32024
124,64,12218,17739,13899,34144
125,64,12487,17345,13646,34522
126,64,12707,18085,14008,33200
127,64,11250,17745,13398,35607
128,64,12613,18074,14075,33238
129,64,11341,17396,13737,35526
130,64,11205,17474,13867,35454
131,64,11174,17507,13912,35407
132,64,11440,17258,13674,35628
133,64,11211,17351,13792,35646
134,64,10069,16845,13378,37708
135,64,10854,16800,13213,37133
136,64,9673,15583,13348,39396
137,64,9428,15678,13495,39399
138,64,9724,16495,13336,38445
139,64,9793,16320,13561,38326
140,64,11024,16040,14887,36049
141,64,11154,15999,14929,35918
142,64,11196,15930,14930,35944
143,64,11089,15959,14893,36059
144,64,12417,17630,14035,33918
145,64,11144,17618,13137,36101
146,64,12606,19139,12379,33876
147,64,13852,20955,11545,31648
148,64,12764,20642,11861,32733
149,64,12658,20702,11856,32784
150,64,12771,20549,11785,32895
151,64,11324,20906,10723,35047
152,64,12156,20328,10968,34548
153,64,13652,21209,10841,32298
154,64,13608,21289,10823,32280
155,64,14595,20650,11718,31037
156,64,14962,20493,11560,30985
157,64,15827,20305,11501,30367
158,64,14304,19584,11598,32514
159,64,14273,19469,11569,32689
160,64,14226,19471,11566,32737
161,64,15012,19071,11801,32116
162,64,15515,19324,11805,31356
163,64,16999,18854,12873,29274
164,64,17613,18753,13705,27929
165,64,17814,18965,13863,27358
166,64,17942,18987,13604,27467
167,64,19391,19806,13190,25613
168,64,19401,19950,13260,25389
169,64,20967,19938,12756,24339
170,64,22757,19461,13257,22525
171,64,22687,19503,13275,22535
172,64,24627,19604,12902,20867
173,64,24462,19224,12893,21421
174,64,25840,19070,12611,20479
175,64,25568,18819,12755,20858
176,64,23564,18977,12550,22909
177,64,23737,19005,12534,22724
178,64,23662,18843,12683,22812
179,64,25053,18567,12473,21907
180,64,23311,18470,12858,23361
181,64,23402,18489,12898,23211
182,64,23323,18537,12923,23217
183,64,22594,17842,13255,24309
184,64,20805,16726,13957,26512
185,64,22083,15982,14844,25091
186,64,22828,15698,15466,24008
187,64,22356,15716,14686,25242
188,64,20385,16354,14343,26918
189,64,19388,16308,14321,27983
190,64,18226,16971,13884,28919
191,64,20025,16676,14601,26698
192,64,19830,16744,14602,26824
193,64,21104,15878,15234,25784
194,64,21257,15986,15408,25349
195,64,23082,15071,15690,24157
196,64,23212,15177,15751,23860
197,64,22868,15519,15814,23799
198,64,22934,15368,15763,23935
199,64,23812,15035,16492,22661
200,64,23907,15374,16486,22233
201,64,22275,14357,17153,24215
202,64,20700,14689,17213,25398
203,64,21949,14877,16547,24627
204,64,21304,15163,16293,25240
205,64,20968,14897,15858,26277
206,64,21330,15209,16100,25361
207,64,22051,15876,15779,24294
208,64,20027,14954,16719,26300
209,64,21782,14378,16812,25028
210,64,20499,14304,17429,25768
211,64,20505,14302,17567,25626
212,64,21842,14295,17347,24516
213,64,23555,13117,18002,23326
214,64,23457,13133,17942,23468
215,64,23530,13261,17912,23297
216,64,23817,13126,18519,22538
217,64,22052,12168,19349,24431
218,64,20445,13246,18551,25758
219,64,22387,12505,19283,23825
220,64,20690,12545,19769,24996
221,64,21026,12501,20249,24224
222,64,21492,12626,20622,23260
223,64,21308,12533,20653,23506
224,64,22888,12332,20530,22250
225,64,21162,10902,21518,24418
226,64,19805,11079,21878,25238
227,64,17814,10441,22239,27506
228,64,17944,10457,22288,27311
229,64,17736,9976,22090,28198
230,64,17854,9975,22140,28031
231,64,18288,9914,22510,27288
232,64,19864,10631,22140,25365
233,64,18404,11530,21681,26385
234,64,18318,11740,21486,26456
235,64,19606,10696,22307,25391
236,64,21091,11215,21294,24400
237,64,21475,11530,21707,23288
238,64,22665,11874,20741,22720
239,64,22778,11665,20675,22882
240,64,22398,11864,20069,23669
241,64,22512,11756,20323,23409
242,64,22251,11986,20279,23484
243,64,22420,11816,20229,23535
244,64,22527,11772,20218,23483
245,64,22318,12009,20242,23431
246,64,22166,11727,19982,24125
247,64,20743,11772,20521,24964
248,64,20574,11764,20438,25224
249,64,20566,11617,20434,25383
250,64,20521,11684,20384,25411
251,64,20397,11668,20314,25621
252,64,18704,12213,19616,27467
253,64,19133,12618,19577,26672
254,64,20912,12356,20025,24707
255,64,19123,11753,20404,26720
256,64,19553,11455,21039,25953
257,64,21104,12129,20730,24037
258,64,20782,11992,20704,24522
259,64,20925,11732,20877,24466
260,64,19296,12679,19736,26289
261,64,20998,13820,18937,24245
262,64,22881,12511,20205,22403
263,64,21444,13599,19624,23333
264,64,21151,13601,19856,23392
265,64,21352,13482,19602,23564
266,64,20068,13263,20511,24158
267,64,21860,13110,20730,22300
268,64,21161,13070,20058,23711
269,64,23013,12782,19764,22441
270,64,22691,12976,19825,22508
271,64,24352,13556,18861,21231
272,64,22248,14198,18248,23306
273,64,22046,14271,17800,23883
274,64,22242,14083,17892,23783
275,64,22512,14126,18235,23127
276,64,20592,13687,18691,25030
277,64,20586,13600,18776,25038
278,64,22153,13492,18546,23809
279,64,22186,13496,18227,24091
280,64,22142,13560,18375,23923
281,64,23439,12601,18718,23242
282,64,23547,12618,18751,23084
283,64,22282,12412,19480,23826
284,64,20676,12076,20244,25004
285,64,21754,12399,19479,24368
286,64,19974,12515,19193,26318
287,64,20319,12388,19104,26189
288,64,18177,12491,18854,28478
289,64,18431,12421,18566,28582
290,64,16927,11646,19011,30416
291,64,16708,11710,19163,30419
292,64,16981,11752,18981,30286
293,64,18431,11950,19080,28539
294,64,18391,12118,19363,28128
295,64,17137,12348,19001,29514
296,64,17239,12288,19010,29463
297,64,17136,12138,19006,29720
298,64,16694,12432,18187,30687
299,64,17004,12543,18590,29863
300,64,16829,12384,18238,30549
301,64,18270,12448,18136,29146
302,64,17684,12455,17778,30083
303,64,17861,12453,17638,30048
304,64,17772,12200,17349,30679
305,64,16262,12040,17948,31750
306,64,16310,11974,18059,31657
307,64,17439,12375,17559,30627
308,64,18700,11969,17934,29397
309,64,19007,11861,18326,28806
310,64,19002,11871,18158,28969
311,64,17168,11787,17926,31119
312,64,18593,11741,18097,29569
313,64,18215,11769,18144,29872
314,64,17455,11133,18211,31201
315,64,17632,11114,18522,30732
316,64,17461,11158,18578,30803
317,64,17558,11250,18580,30612
318,64,15724,12217,17308,32751
319,64,16035,11815,17203,32947
320,64,16021,11943,17125,32911
321,64,15849,12088,17077,32986
322,64,15818,12059,17229,32894
323,64,15835,11932,17337,32896
324,64,15764,12054,17230,32952
325,64,14185,11974,16625,35216
326,64,12856,11899,16555,36690
327,64,13201,11598,16517,36684
328,64,13750,11880,16601,35769
329,64,15370,11829,16474,34327
330,64,14867,12238,16436,34459
331,64,15101,11973,16170,34756
332,64,15870,12216,16125,33789
333,64,15613,12266,15507,34614
334,64,16405,12554,15631,33410
335,64,14991,12765,14984,35260
336,64,14923,12156,14802,36119
337,64,13985,12381,14972,36662
338,64,13063,12003,14634,38300
339,64,13957,12391,14495,37157
340,64,12907,12222,14208,38663
341,64,13938,12613,14218,37231
342,64,15479,13203,14006,35312
343,64,16708,13705,13646,33941
344,64,18210,14604,13268,31918
345,64,16909,14634,13125,33332
346,64,16888,14884,13042,33186
347,64,15915,15025,12756,34304
348,64,14709,15146,11964,36181
349,64,16022,15360,12220,34398
350,64,14909,14696,12474,35921
351,64,13736,14216,12416,37632
352,64,13561,14246,12576,37617
353,64,14754,14383,12963,35900
354,64,13626,14116,12884,37374
355,64,12737,13999,12527,38737
356,64,14428,14509,12895,36168
357,64,13849,14392,12772,36987
358,64,13782,14498,12904,36816
359,64,15235,15198,12359,35208
360,64,14001,15572,11655,36772
361,64,14960,15742,11744,35554
362,64,16007,15304,12330,34359
363,64,17194,15283,12408,33115
364,64,17948,15487,12618,31947
365,64,19183,15420,12781,30616
366,64,20304,15217,13304,29175
367,64,19921,15089,13067,29923
368,64,18931,15074,12745,31250
369,64,20192,14779,13142,29887
370,64,20342,15101,13339,29218
371,64,20610,14920,13422,29048
372,64,21827,15500,13307,27366
373,64,20018,14936,13108,29938
374,64,21901,15729,12779,27591
375,64,21830,15732,12820,27618
376,64,20200,16149,12191,29460
377,64,20261,15647,12267,29825
378,64,22324,15298,13002,27376
379,64,21771,15522,13206,27501
380,64,21969,15435,13123,27473
381,64,22303,15466,13043,27188
382,64,20910,15313,13032,28745
383,64,21967,15061,13575,27397
384,64,21813,15315,13613,27259
385,64,20248,15155,13208,29389
386,64,20461,15215,13207,29117
387,64,20969,15476,13095,28460
388,64,19414,14899,13549,30138
389,64,20290,14753,13887,29070
390,64,20356,14961,14063,28620
391,64,20121,14530,13815,29534
392,64,19954,14574,13894,29578
393,64,19932,14668,13944,29456
394,64,20290,14432,14018,29260
395,64,20497,14578,14096,28829
396,64,19928,14284,14276,29512
397,64,18638,14480,13956,30926
398,64,20214,14106,14658,29022
399,64,20624,14048,14615,28713
400,64,21713,13764,14951,27572
401,64,21993,13648,14791,27568
402,64,22302,13803,14714,27181
403,64,22184,13847,14825,27144
404,64,21044,13657,14999,28300
405,64,21122,13585,14856,28437
406,64,21310,13683,14965,28042
407,64,21613,14066,14895,27426
408,64,22978,14379,14431,26212
409,64,24001,14672,14311,25016
410,64,22435,14119,14662,26784
411,64,22381,14133,14633,26853
412,64,23280,14518,14259,25943
413,64,24506,15196,13783,24515
414,64,22345,14519,14613,26523
415,64,21661,14410,13961,27968
416,64,22740,14805,14168,26287
417,64,24682,14751,14438,24129
418,64,24361,14518,14338,24783
419,64,24362,14646,14312,24680
420,64,22991,14998,14452,25559
421,64,22617,14926,14055,26402
422,64,20607,14904,13915,28574
423,64,20127,15248,13755,28870
424,64,19162,15552,13222,30064
425,64,17736,14997,13390,31877
426,64,18091,14925,13412,31572
427,64,18651,15443,13399,30507
428,64,17755,15533,12604,32108
429,64,18687,15538,13032,30743
430,64,19150,15353,12992,30505
431,64,18502,15013,13193,31292
432,64,18066,15064,12932,31938
433,64,17696,15266,13160,31878
434,64,18065,15061,12979,31895
435,64,16227,13764,13608,34401
436,64,16133,13841,13590,34436
437,64,16489,14332,13369,33810
438,64,16415,14289,13546,33750
439,64,16593,14256,13472,33679
440,64,15523,14385,13028,35064
441,64,14619,14308,12950,36123
442,64,14338,13738,13199,36725
443,64,15218,13965,12943,35874
444,64,13961,14147,12664,37228
445,64,15158,14628,12601,35613
446,64,16125,14862,12653,34360
447,64,16150,14720,12980,34150
448,64,18408,15174,12453,31965
449,64,16546,14795,12723,33936
450,64,15790,15027,12261,34922
451,64,14284,15378,11546,36792
452,64,15422,15447,12101,35030
453,64,15545,15243,11977,35235
454,64,15718,15259,11835,35188
455,64,15613,15157,11887,35343
456,64,14055,15450,11646,36849
457,64,14136,15389,11565,36910
458,64,15566,15813,11489,35132
459,64,16426,15755,11590,34229
460,64,14527,15576,11417,36480
461,64,14636,15652,11226,36486
462,64,14354,15625,11615,36406
463,64,14656,15567,11290,36487
464,64,16376,15038,12778,33808
465,64,17824,14708,12802,32666
466,64,17114,14771,13021,33094
467,64,17303,15007,13101,32589
468,64,16398,14642,12908,34052
469,64,17981,14557,13136,32326
470,64,16386,14104,13596,33914
471,64,15480,14186,13227,35107
472,64,14204,14320,12651,36825
473,64,15207,14225,12876,35692
474,64,16177,14921,12917,33985
475,64,16428,14858,12709,34005
476,64,16700,14692,12654,33954
477,64,16921,14828,12798,33453
478,64,18124,14643,13492,31741
479,64,18738,14834,13424,31004
480,64,18453,14868,13435,31244
481,64,17206,14582,13401,32811
482,64,18775,14297,13630,31298
483,64,17406,14389,13340,32865
484,64,18178,14479,13803,31540
485,64,18290,14181,13654,31875
486,64,18331,14186,13572,31911
487,64,18247,14422,13817,31514
488,64,18314,14340,13827,31519
489,64,17120,13885,13591,33404
490,64,17067,13910,13592,33431
491,64,16189,14228,13179,34404
492,64,15734,14077,13217,34972
493,64,16402,14361,13315,33922
494,64,15514,14491,13343,34652
495,64,15642,14492,13238,34628
496,64,16253,14149,13385,34213
497,64,16115,13912,13413,34560
498,64,16279,13877,13385,34459
499,64,14929,13603,13394,36074
500,64,14660,13440,13593,36307
501,64,15955,13616,13862,34567
502,64,15286,13075,14016,35623
503,64,13903,13011,13663,37423
504,64,13733,13104,13823,37340
505,64,12841,12948,13612,38599
506,64,14135,13247,13571,37047
507,64,14495,13728,13863,35914
508,64,13320,13571,13486,37623
509,64,13568,13470,13336,37626
510,64,13338,13659,13303,37700
511,64,12502,13730,12880,38888
512,64,11203,13996,12765,40036
513,64,10318,13643,12723,41316
514,64,9331,13653,12132,42884
515,64,8374,13707,11695,44224
516,64,9305,14282,11499,42914
517,64,10043,14607,11519,41831
518,64,9934,14355,11433,42278
519,64,11742,15227,11574,39457
520,64,11276,15302,11867,39555
521,64,12510,14973,11878,38639
522,64,12256,15176,11879,38689
523,64,12868,15529,11707,37896
524,64,11998,15572,11672,38758
525,64,11068,15201,11814,39917
526,64,11639,15658,11599,39104
527,64,12702,15475,11775,38048
528,64,12689,15552,11874,37885
529,64,12565,15519,11779,38137
530,64,13292,15511,12104,37093
531,64,15198,16405,11535,34862
532,64,15151,15968,11573,35308
533,64,15127,16822,11479,34572
534,64,15353,16673,11721,34253
535,64,17090,16733,12011,32166
536,64,18123,17049,11481,31347
537,64,16756,17766,11428,32050
538,64,16880,17473,11307,32340
539,64,15311,17044,11073,34572
540,64,14156,17191,10732,35921
541,64,15385,17049,11497,34069
542,64,15630,17184,11653,33533
543,64,17235,16673,12785,31307
544,64,16231,16321,13206,32242
545,64,16281,16221,13172,32326
546,64,17354,15626,13395,31625
547,64,16147,15488,13672,32693
548,64,16847,15172,13910,32071
549,64,15963,14855,14360,32822
550,64,15054,15253,14138,33555
551,64,13454,14714,13963,35869
552,64,14876,14703,14174,34247
553,64,14843,14646,13858,34653
554,64,14668,14756,14073,34503
555,64,14689,14801,14003,34507
556,64,13752,15083,13951,35214
557,64,15349,15307,14191,33153
558,64,17126,14916,14893,31065
559,64,15612,14978,14491,32919
560,64,15527,15185,14339,32949
561,64,15223,15162,14594,33021
562,64,15404,15259,14270,33067
563,64,13779,15645,13244,35332
564,64,13950,15407,13172,35471
565,64,13057,15505,13511,35927
566,64,12938,15419,13524,36119
567,64,11494,15042,13208,38256
568,64,11421,15276,13187,38116
569,64,11439,15053,13093,38415
570,64,10083,15138,11986,40793
571,64,10032,15107,12100,40761
572,64,9290,14847,12437,41426
573,64,9424,14876,12267,41433
574,64,9832,15361,12120,40687
575,64,8889,15080,10955,43076
576,64,7352,13495,11448,45705
577,64,7492,13496,11194,45818
578,64,7607,13465,11306,45622
579,64,7505,13620,11199,45676
580,64,6579,13318,11041,47062
581,64,6071,13307,10898,47724
582,64,6834,13207,11382,46577
583,64,7817,13502,11657,45024
584,64,7793,13613,11686,44908
585,64,6871,13059,11536,46534
586,64,7006,12922,11541,46531
587,64,7545,13208,11798,45449
588,64,7526,13016,11638,45820
589,64,7896,13240,11629,45235
590,64,9349,13225,12901,42525
591,64,8818,13564,12506,43112
592,64,9737,13974,12657,41632
593,64,10473,13604,12853,41070
594,64,10461,13588,12721,41230
595,64,9024,12516,12939,43521
596,64,8351,12461,12714,44474
597,64,8683,12826,12998,43493
598,64,9109,13279,13223,42389
599,64,9834,13049,13115,42002
600,64,8281,12498,12841,44380
601,64,7626,12657,12931,44786
602,64,7130,12356,12500,46014
603,64,6356,11848,12489,47307
604,64,6051,11669,12140,48140
605,64,6104,11838,12114,47944
606,64,5555,11569,12114,48762
607,64,4403,9972,12081,51544
608,64,5582,10353,13491,48574
609,64,5547,10376,13448,48629
610,64,5440,10503,13482,48575
611,64,5521,10285,13402,48792
612,64,5582,10476,13314,48628
613,64,6381,10211,14190,47218
614,64,6352,10254,14229,47165
615,64,6897,11607,13949,45547
616,64,6825,11897,14249,45029
617,64,7951,12467,13626,43956
618,64,7755,12425,13804,44016
619,64,7638,12525,13786,44051
620,64,7628,12689,13732,43951
621,64,6817,12814,12968,45401
622,64,6219,12614,13162,46005
623,64,6463,12362,13184,45991
624,64,7066,13047,13120,44767
625,64,7140,13054,13073,44733
626,64,7908,13534,13161,43397
627,64,7173,13038,13602,44187
628,64,8388,12798,15220,41594
629,64,7619,12301,15069,43011
630,64,7715,12334,15217,42734
631,64,7519,12361,15221,42899
632,64,8181,12006,15594,42219
633,64,7581,11866,14473,44080
634,64,6983,11060,14755,45202
635,64,6897,10992,14542,45569
636,64,8054,11543,15416,42987
637,64,7989,11549,15541,42921
638,64,9134,13332,14990,40544
639,64,9279,13306,14930,40485
640,64,9258,13252,14989,40501
641,64,9914,13457,14757,39872
642,64,8890,13474,14589,41047
643,64,9147,13321,14551,40981
644,64,7847,12929,13881,43343
645,64,9107,13011,14645,41237
646,64,10168,14528,14541,38763
647,64,10350,14549,14472,38629
648,64,10914,14496,14461,38129
649,64,9947,14151,14536,39366
650,64,9961,14113,14494,39432
651,64,10020,13997,14380,39603
652,64,10108,14024,14427,39441
653,64,10089,14139,14528,39244
654,64,10579,14185,14387,38849
655,64,10844,14089,14280,38787
656,64,10697,14166,14518,38619
657,64,10754,14293,14231,38722
658,64,10798,14179,14396,38627
659,64,11572,13974,14357,38097
660,64,11608,13986,14305,38101
661,64,12415,13858,14622,37105
662,64,12471,13751,14557,37221
663,64,13177,13783,14571,36469
664,64,13958,13806,14679,35557
665,64,13248,13819,14328,36605
666,64,13201,13813,14438,36548
667,64,13401,13786,14514,36299
668,64,13221,13897,14539,36343
669,64,12428,13926,14462,37184
670,64,12275,14010,14571,37144
671,64,13040,14001,14344,36615
672,64,13105,13873,14200,36822
673,64,13313,13966,14238,36483
674,64,12305,14328,14099,37268
675,64,12350,14351,14183,37116
676,64,12030,13529,14209,38232
677,64,11018,13456,14280,39246
678,64,10557,13187,14572,39684
679,64,10274,12828,14621,40277
680,64,10294,12708,14609,40389
681,64,10257,12891,14665,40187
682,64,10169,12767,14512,40552
683,64,9539,12285,14692,41484
684,64,9175,12021,14517,42287
685,64,9610,12506,15528,40356
686,64,8906,12514,15493,41087
687,64,8859,12541,15529,41071
688,64,8310,12341,15609,41740
689,64,8267,12431,15636,41666
690,64,8238,12385,15579,41798
691,64,8442,12263,15490,41805
692,64,7032,13090,13681,44197
693,64,7200,13052,13676,44072
694,64,7818,13083,13527,43572
695,64,7826,13184,13534,43456
696,64,9090,12788,15001,41121
697,64,10320,13208,15665,38807
698,64,10322,13409,15558,38711
699,64,9684,13397,14423,40496
700,64,10387,13266,14674,39673
701,64,10241,13139,14715,39905
702,64,10479,13085,14603,39833
703,64,10354,13127,14812,39707
704,64,9214,12636,14125,42025
705,64,9187,12510,13971,42332
706,64,8225,12028,14202,43545
707,64,8831,11813,14531,42825
708,64,8100,12044,14138,43718
709,64,8500,11986,14750,42764
710,64,8588,11890,14575,42947
711,64,8447,12084,14562,42907
712,64,8601,11943,14570,42886
713,64,7920,11652,14835,43593
714,64,7272,11885,14780,44063
715,64,7146,11861,14709,44284
716,64,7343,11940,14611,44106
717,64,7251,11889,14844,44016
718,64,6559,12008,14703,44730
719,64,6471,11780,13936,45813
720,64,5916,9925,14266,47893
721,64,4786,9595,13396,50223
722,64,5217,9788,13176,49819
723,64,5635,9782,13575,49008
724,64,6463,9969,13756,47812
725,64,6731,9949,13604,47716
726,64,6688,9975,13821,47516
727,64,6446,10027,13763,47764
728,64,5454,10280,12020,50246
729,64,5679,9957,12593,49771
730,64,5371,10299,12193,50137
731,64,5807,10163,12566,49464
732,64,6170,10693,12533,48604
733,64,6446,10882,12373,48299
734,64,6693,10852,12226,48229
735,64,6439,10827,12635,48099
736,64,5388,11134,10672,50806
737,64,4929,11084,10377,51610
738,64,5056,10940,10464,51540
739,64,5105,10871,10355,51669
740,64,5550,11094,10500,50856
741,64,4911,11249,10293,51547
742,64,5089,11195,10264,51452
743,64,4984,11242,10231,51543
744,64,5054,11122,10017,51807
745,64,5256,11331,10443,50970
746,64,6499,12988,10466,48047
747,64,6377,12929,10348,48346
748,64,7188,13367,10280,47165
749,64,6973,13264,10389,47374
750,64,6213,12795,10262,48730
751,64,5529,12346,10529,49596
752,64,5082,12348,9995,50575
753,64,4586,12529,9376,51509
754,64,4341,12403,9378,51878
755,64,5246,13025,9466,50263
756,64,5941,13512,9550,48997
757,64,5251,12224,9592,50933
758,64,5319,12177,9847,50657
759,64,5266,12187,9475,51072
760,64,5531,12040,9517,50912
761,64,5383,12090,9577,50950
762,64,5319,12247,9727,50707
763,64,4445,11439,9667,52449
764,64,3940,10698,9573,53789
765,64,4029,10579,9504,53888
766,64,4198,11208,9521,53073
767,64,3633,10272,9539,54556
768,64,3197,9979,9614,55210
769,64,3656,10173,9723,54448
770,64,3254,9853,9607,55286
771,64,4028,10471,10082,53419
772,64,3912,10385,9965,53738
773,64,4911,10395,11693,51001
774,64,5120,10234,11522,51124
775,64,4563,10359,11223,51855
776,64,4795,10630,11195,51380
777,64,4463,10526,11401,51610
778,64,4901,10789,11028,51282
779,64,5157,10631,11065,51147
780,64,4776,10956,11138,51130
781,64,4906,10777,11258,51059
782,64,5851,11617,10730,49802
783,64,6440,11719,10836,49005
784,64,6265,11893,10967,48875
785,64,5698,11630,11077,49595
786,64,6317,11554,11054,49075
787,64,5634,11349,11254,49763
788,64,6251,11680,11336,48733
789,64,4868,11685,9813,51634
790,64,4965,11685,9814,51536
791,64,4383,11289,9389,52939
792,64,4376,11211,9318,53095
793,64,4292,11360,9628,52720
794,64,3812,11015,9266,53907
795,64,4349,11126,9452,53073
796,64,5288,11551,10805,50356
797,64,4286,11129,9523,53062
798,64,4354,11123,9509,53014
799,64,4239,11167,9567,53027
800,64,4322,11163,9440,53075
801,64,4388,11067,9498,53047
802,64,4371,11160,9499,52970
803,64,4279,11105,9606,53010
804,64,4270,11146,9422,53162
805,64,4217,11233,9598,52952
806,64,4540,11701,9470,52289
807,64,4599,11585,9549,52267
808,64,4580,11422,9464,52534
809,64,4502,11555,9566,52377
810,64,4641,11576,9493,52290
811,64,5117,12590,9576,50717
812,64,5261,12580,9405,50754
813,64,5148,12342,9367,51143
814,64,6092,12373,9932,49603
815,64,7328,14168,9822,46682
816,64,8260,14454,10056,45230
817,64,8110,14584,10035,45271
818,64,7260,14142,9671,46927
819,64,7645,14965,9469,45921
820,64,7968,15357,9580,45095
821,64,7094,15627,9114,46165
822,64,7541,15719,9258,45482
823,64,6943,15080,9030,46947
824,64,8008,14848,10520,44624
825,64,7936,14903,10621,44540
826,64,8925,15461,10456,43158
827,64,8732,15715,10510,43043
828,64,9163,15975,10315,42547
829,64,10595,17061,10174,40170
830,64,11271,17043,10525,39161
831,64,11496,16830,10400,39274
832,64,11441,16967,10455,39137
833,64,11135,16126,10527,40212
834,64,11643,16077,10791,39489
835,64,10814,15544,10916,40726
836,64,11476,15326,11366,39832
