round,seed,defect,exploit,exploit_,coop
1,711,19687,16741,11993,29579
2,711,18590,17553,11701,30156
3,711,18357,17399,11725,30519
4,711,18662,17336,11822,30180
5,711,18738,17274,11767,30221
6,711,18451,17371,11791,30387
7,711,19154,17186,12028,29632
8,711,19887,17279,11805,29029
9,711,20829,18020,11497,27654
10,711,20116,18406,11055,28423
11,711,20126,18534,11394,27946
12,711,20018,18331,11175,28476
13,711,20625,18132,11646,27597
14,711,20909,17850,11241,28000
15,711,19679,17523,11734,29064
16,711,20130,17065,11868,28937
17,711,19715,17294,12015,28976
18,711,19780,17020,12019,29181
19,711,19844,17004,12114,29038
20,711,19830,17105,11923,29142
21,711,18511,17027,11767,30695
22,711,20624,17104,11753,28519
23,711,20658,16969,11796,28577
24,711,21703,17402,11737,27158
25,711,21245,17392,11913,27450
26,711,22306,18042,11697,25955
27,711,21312,17947,11844,26897
28,711,21398,17746,11843,27013
29,711,21117,18007,11877,26999
30,711,21346,17975,11745,26934
31,711,20032,17217,12233,28518
32,711,20261,17081,12341,28317
33,711,18355,16606,12402,30637
34,711,18334,16877,12471,30318
35,711,19711,17492,12241,28556
36,711,17853,17210,12335,30602
37,711,16647,16881,11901,32571
38,711,15607,16947,11838,33608
39,711,13975,17019,11547,35459
40,711,12952,16773,10902,37373
41,711,13186,16767,11096,36951
42,711,12965,17040,10747,37248
43,711,13614,17068,11024,36294
44,711,14126,16645,11115,36114
45,711,14317,16586,11558,35539
46,711,14135,16445,11277,36143
47,711,14234,16536,11471,35759
48,711,14682,16818,11281,35219
49,711,14999,16750,11510,34741
50,711,15012,16775,11578,34635
51,711,15103,16869,11672,34356
52,711,13345,16804,10746,37105
53,711,13511,16974,10995,36520
54,711,13449,16792,10597,37162
55,711,14694,17428,10823,35055
56,711,13500,16534,11061,36905
57,711,12627,15841,11470,38062
58,711,12915,15887,11814,37384
59,711,13396,15920,12091,36593
60,711,13858,16095,12218,35829
61,711,14020,15871,12051,36058
62,711,13374,16220,11811,36595
63,711,13187,16276,11862,36675
64,711,14055,16302,12264,35379
65,711,14119,16114,12452,35315
66,711,16546,16685,12257,32512
67,711,16145,16383,12382,33090
68,711,18396,16084,12391,31129
69,711,20055,16694,11995,29256
70,711,19986,16958,12175,28881
71,711,20145,16880,12110,28865
72,711,18702,16681,12429,30188
73,711,18669,16726,12537,30068
74,711,16849,16080,12953,32118
75,711,16845,16264,13046,31845
76,711,17148,15937,12822,32093
77,711,16903,15836,12736,32525
78,711,16754,15808,12800,32638
79,711,16905,15844,12818,32433
80,711,15152,15904,13343,33601
81,711,17208,15427,13833,31532
82,711,16479,15258,13521,32742
83,711,16747,15227,13430,32596
84,711,16444,15059,13386,33111
85,711,16292,15229,13709,32770
86,711,14723,14383,14088,34806
87,711,15305,14498,14353,33844
88,711,14539,14711,14297,34453
89,711,16348,14603,13860,33189
90,711,16470,14903,13966,32661
91,711,16345,14674,14024,32957
92,711,18088,14910,13530,31472
93,711,17656,15270,13618,31456
94,711,19539,14922,14062,29477
95,711,17888,15219,13514,31379
96,711,17558,15502,13385,31555
97,711,18721,15824,13018,30437
98,711,19097,15727,13106,30070
99,711,19221,15626,12959,30194
100,711,19032,15791,13166,30011
101,711,18947,15691,13081,30281
102,711,19020,15298,13243,30439
103,711,18642,15724,13214,30420
104,711,20309,15145,14031,28515
105,711,19537,15307,13555,29601
106,711,17900,15720,13233,31147
107,711,16351,15606,12678,33365
108,711,15841,15377,13016,33766
109,711,13929,14759,13089,36223
110,711,13217,14935,12745,37103
111,711,14472,14913,13122,35493
112,711,14937,14981,12979,35103
113,711,16457,14348,13879,33316
114,711,14965,13637,14519,34879
115,711,14665,13655,14495,35185
116,711,14641,13433,14318,35608
117,711,13990,13462,14565,35983
118,711,14454,13424,14690,35432
119,711,13841,13268,14611,36280
120,711,15232,14112,14354,34302
121,711,16316,14146,14510,33028
122,711,17760,15035,14212,30993
123,711,17478,14860,14426,31236
124,711,16630,14920,14568,31882
125,711,17972,15673,14037,30318
126,711,17773,15768,14254,30205
127,711,17716,15813,14094,30377
128,711,18956,16508,13835,28701
129,711,20329,15940,14695,27036
130,711,19145,15454,14691,28710
131,711,18649,16005,14693,28653
132,711,17443,16548,13692,30317
133,711,17553,16220,13412,30815
134,711,19138,15737,14774,28351
135,711,20010,15440,14420,28130
136,711,20097,15446,14527,27930
137,711,19644,15711,14822,27823
138,711,18097,14774,15254,29875
139,711,17843,14743,15140,30274
140,711,17937,14918,15200,29945
141,711,17965,14826,15225,29984
142,711,19927,15170,14678,28225
143,711,21216,15389,14946,26449
144,711,21164,15409,14980,26447
145,711,20582,15358,15413,26647
146,711,21143,15330,15177,26350
147,711,21152,15544,14866,26438
148,711,20972,15377,15115,26536
149,711,22511,15667,15165,24657
150,711,22488,15460,15280,24772
151,711,22373,15595,15325,24707
152,711,21549,15472,14954,26025
153,711,21928,15127,15256,25689
154,711,23356,15040,15411,24193
155,711,22112,15698,14375,25815
156,711,22243,15475,14434,25848
157,711,21696,15583,14790,25931
158,711,20764,15687,13947,27602
159,711,19348,15354,14102,29196
160,711,20271,15092,14844,27793
161,711,21631,15522,14634,26213
162,711,23173,15143,15040,24644
163,711,23121,15143,15334,24402
164,711,23093,15258,15242,24407
165,711,22407,15458,15338,24797
166,711,23685,15466,15461,23388
167,711,23722,15639,15618,23021
168,711,21647,16525,14743,25085
169,711,21778,16223,14823,25176
170,711,20019,16581,14369,27031
171,711,20002,16519,14319,27160
172,711,20112,16646,14135,27107
173,711,21794,17746,13196,25264
174,711,22365,17835,12958,24842
175,711,21618,17897,12455,26030
176,711,20216,17262,12531,27991
177,711,20279,17297,12546,27878
178,711,21220,17444,12263,27073
179,711,20024,17741,11644,28591
180,711,20930,17651,11379,28040
181,711,19714,16699,11989,29598
182,711,17573,16742,11971,31714
183,711,17598,16962,12000,31440
184,711,19420,16304,12603,29673
185,711,19461,16540,12570,29429
186,711,19575,16474,12585,29366
187,711,19877,16638,12513,28972
188,711,18298,15829,12857,31016
189,711,18824,15762,12927,30487
190,711,18608,15755,13028,30609
191,711,18179,15541,13023,31257
192,711,18272,15696,13233,30799
193,711,17775,15562,13046,31617
194,711,17358,15947,12797,31898
195,711,17686,15925,12787,31602
196,711,18424,16154,12693,30729
197,711,19883,16364,12662,29091
198,711,20053,16417,12559,28971
