round,seed,defect,exploit,exploit_,coop
1,824,19553,16986,12215,29246
2,824,20267,17301,11867,28565
3,824,18295,17681,11476,30548
4,824,16352,17083,11538,33027
5,824,17023,17057,11664,32256
6,824,19126,16273,12295,30306
7,824,18005,16755,11936,31304
8,824,17875,16806,12094,31225
9,824,18419,16614,12042,30925
10,824,17405,16259,12732,31604
11,824,18423,16400,12290,30887
12,824,16592,16480,11848,33080
13,824,17760,16964,12354,30922
14,824,19712,16439,13033,28816
15,824,19299,16491,12633,29577
16,824,20251,16596,12956,28197
17,824,21022,17431,12660,26887
18,824,22233,16853,12746,26168
19,824,20816,17320,12648,27216
20,824,23254,17114,13006,24626
21,824,23865,17825,12870,23440
22,824,25126,18180,12432,22262
23,824,26746,17900,12733,20621
24,824,24995,18771,12229,22005
25,824,25008,18412,12154,22426
26,824,25971,18431,12147,21451
27,824,26170,18165,12075,21590
28,824,26228,18207,12010,21555
29,824,24695,18502,12307,22496
30,824,26195,18815,12016,20974
31,824,24027,19745,11469,22759
32,824,22313,19867,11043,24777
33,824,24035,19184,11877,22904
34,824,24435,19053,11876,22636
35,824,23694,18335,12349,23622
36,824,23426,18602,12323,23649
37,824,24670,19171,11737,22422
38,824,26636,17872,12982,20510
39,824,25369,17056,13482,22093
40,824,24715,16832,13273,23180
41,824,24221,16999,13266,23514
42,824,23120,16557,13521,24802
43,824,23898,16936,13563,23603
44,824,22490,16641,13601,25268
45,824,23466,16677,13982,23875
46,824,22328,16107,14264,25301
47,824,20936,15687,14610,26767
48,824,21813,14960,14868,26359
49,824,19998,15156,14419,28427
50,824,21432,15537,14416,26615
51,824,22125,15772,14085,26018
52,824,23023,15458,14613,24906
53,824,23218,15465,14638,24679
54,824,23921,15420,14702,23957
55,824,23603,15524,14212,24661
56,824,23069,15550,14389,24992
57,824,22838,15635,14522,25005
58,824,22972,15610,14538,24880
59,824,21591,15221,14861,26327
60,824,20584,15630,13735,28051
61,824,18741,14616,14311,30332
62,824,17035,15177,13712,32076
63,824,17139,15265,13846,31750
64,824,18757,15655,13626,29962
65,824,18441,15633,13571,30355
66,824,18817,15478,13574,30131
67,824,18038,15672,13518,30772
68,824,18042,15832,13699,30427
69,824,18092,15825,13537,30546
70,824,16430,15636,13261,32673
71,824,17222,16534,13028,31216
72,824,16404,16457,12620,32519
73,824,16413,16543,12453,32591
74,824,16265,16615,12554,32566
75,824,15834,16404,12436,33326
76,824,16418,16522,12545,32515
77,824,16403,16366,12540,32691
78,824,16471,16514,12480,32535
79,824,15861,16178,12876,33085
80,824,14809,15599,12886,34706
81,824,16484,16650,12594,32272
82,824,16462,16322,12291,32925
83,824,16823,16403,12343,32431
84,824,15357,16633,12032,33978
85,824,14780,15761,12358,35101
86,824,14796,15931,12342,34931
87,824,14661,16120,12717,34502
88,824,14826,15872,12243,35059
89,824,14798,16048,12315,34839
90,824,15836,16645,12134,33385
91,824,15708,16740,12135,33417
92,824,15102,16803,12371,33724
93,824,16034,17473,12043,32450
94,824,14450,16614,12344,34592
95,824,15334,17449,12253,32964
96,824,16299,16949,13278,31474
97,824,17787,16969,13591,29653
98,824,17518,17203,13798,29481
99,824,17635,17060,13794,29511
100,824,18987,18239,13049,27725
101,824,16941,18531,12685,29843
102,824,17564,18137,12612,29687
103,824,17100,18285,12852,29763
104,824,18670,18781,12805,27744
105,824,18545,18927,12725,27803
106,824,18811,18882,12670,27637
107,824,19138,18692,12564,27606
108,824,17283,18396,12724,29597
109,824,18499,18793,12979,27729
110,824,16844,18169,13138,29849
111,824,17432,18568,13251,28749
112,824,18044,18643,13108,28205
113,824,16264,18365,13039,30332
114,824,15834,18617,12978,30571
115,824,15790,18763,13029,30418
116,824,14361,16996,14033,32610
117,824,14133,17299,14058,32510
118,824,14275,17156,13992,32577
119,824,14228,16997,14089,32686
120,824,13751,17181,14229,32839
121,824,14450,17221,15033,31296
122,824,15869,18142,14763,29226
123,824,14526,17074,15296,31104
124,824,14345,17243,15247,31165
125,824,16048,16855,16150,28947
126,824,16731,17189,15298,28782
127,824,15825,16134,15671,30370
128,824,15751,16239,15604,30406
129,824,15175,15653,15136,32036
130,824,15105,15481,15304,32110
131,824,16546,16750,14856,29848
132,824,17742,17780,14299,28179
133,824,19530,16747,15407,26316
134,824,19707,16585,15317,26391
135,824,19612,16777,15462,26149
136,824,19479,16915,15508,26098
137,824,20178,16472,15373,25977
138,824,19293,16137,16133,26437
139,824,19160,16096,16254,26490
140,824,19279,16015,16067,26639
141,824,17498,17153,14895,28454
142,824,17535,17128,15022,28315
143,824,17515,17158,14838,28489
144,824,15979,16024,15796,30201
145,824,15986,15881,15766,30367
146,824,15904,15854,15610,30632
147,824,17582,15316,16611,28491
148,824,18124,15374,16597,27905
149,824,18700,15427,16257,27616
150,824,19265,15280,16196,27259
151,824,18588,15443,16102,27867
152,824,17960,15824,15989,28227
153,824,19921,16887,14989,26203
154,824,18913,16480,15070,27537
155,824,19681,16183,14917,27219
156,824,21489,15921,15333,25257
157,824,22089,15611,15612,24688
158,824,22908,15073,15474,24545
159,824,22120,15605,15455,24820
160,824,23409,16132,15118,23341
161,824,24835,15714,15637,21814
162,824,24844,15797,15571,21788
163,824,23564,15929,15271,23236
164,824,25324,16102,14983,21591
165,824,24624,15547,15089,22740
166,824,25640,16141,14366,21853
167,824,25533,16075,14336,22056
168,824,25641,15990,14302,22067
169,824,26503,16677,14021,20799
170,824,26592,16665,13774,20969
171,824,26347,16723,14022,20908
172,824,27070,15962,14080,20888
173,824,25963,16277,13725,22035
174,824,26370,16245,13689,21696
175,824,25283,16365,13349,23003
176,824,25033,16532,13366,23069
177,824,24853,16627,13435,23085
178,824,23056,16023,13717,25204
179,824,23517,16156,13764,24563
180,824,23504,16109,13667,24720
181,824,25661,15066,14349,22924
182,824,27221,14773,14705,21301
183,824,28613,15224,14479,19684
184,824,28575,15152,14481,19792
185,824,28605,15120,14526,19749
186,824,29463,15424,13958,19155
187,824,27295,15470,14251,20984
188,824,27518,15369,14133,20980
189,824,27654,15286,13879,21181
190,824,29054,14810,14693,19443
191,824,29103,14773,14727,19397
