round,seed,coop,exploit,exploit_,defect
1,8,29383,11742,17462,19413
2,8,30985,12141,16624,18250
3,8,30313,12366,16513,18808
4,8,28568,12701,16337,20394
5,8,26289,12584,16408,22719
6,8,26133,12598,16767,22502
7,8,25167,12086,17093,23654
8,8,25204,12019,17157,23620
9,8,26977,12255,17123,21645
10,8,27075,12044,17254,21627
11,8,25513,11833,17613,23041
12,8,23692,11204,18134,24970
13,8,23248,11382,17991,25379
14,8,22006,12019,17433,26542
15,8,21872,12044,17730,26354
16,8,20899,12534,17066,27501
17,8,21021,12584,17212,27183
18,8,18988,11896,17329,29787
19,8,21170,12434,16874,27522
20,8,20617,12453,16922,28008
21,8,19601,12572,17024,28803
22,8,19304,12712,17034,28950
23,8,21025,12219,17152,27604
24,8,20933,12288,17306,27473
25,8,20950,12458,17342,27250
26,8,20876,12429,17485,27210
27,8,21812,12749,16763,26676
28,8,23507,13082,16309,25102
29,8,23362,12945,16126,25567
30,8,22948,13149,16398,25505
31,8,22049,12678,16542,26731
32,8,23474,12465,16311,25750
33,8,23783,12533,16461,25223
34,8,23706,12573,16440,25281
35,8,24956,13076,16115,23853
36,8,24473,13047,16239,24241
37,8,22856,13573,15171,26400
38,8,24123,14033,14902,24942
39,8,24441,13876,14765,24918
40,8,22531,14392,14343,26734
41,8,22135,14289,14201,27375
42,8,21007,14181,14673,28139
43,8,20836,14139,14523,28502
44,8,20212,13542,14518,29728
45,8,19959,13639,14512,29890
46,8,19834,13750,14738,29678
47,8,21308,14539,14373,27780
48,8,20563,14594,14356,28487
49,8,19935,14287,14633,29145
50,8,21787,13997,15240,26976
51,8,21460,14039,14931,27570
52,8,21799,13605,14786,27810
53,8,21655,13766,14770,27809
54,8,21209,13684,14777,28330
55,8,19805,13650,14574,29971
56,8,20168,13872,14609,29351
57,8,20735,13653,15218,28394
58,8,21216,13547,15075,28162
59,8,21787,13511,15187,27515
60,8,23693,13194,15916,25197
61,8,23903,13021,15731,25345
62,8,23615,13247,15858,25280
63,8,23170,12428,15888,26514
64,8,24110,12456,16644,24790
65,8,21981,12982,15739,27298
66,8,20900,12119,15978,29003
67,8,20851,12391,16077,28681
68,8,20944,12199,15974,28883
69,8,21002,12468,15954,28576
70,8,22713,12819,15602,26866
71,8,23717,12991,15710,25582
72,8,24091,13055,15689,25165
73,8,22820,13255,15637,26288
74,8,21490,12399,15793,28318
75,8,22840,12819,15862,26479
76,8,22596,13008,15628,26768
77,8,22732,12864,15774,26630
78,8,20912,13413,15270,28405
79,8,19142,13751,14559,30548
80,8,20312,13912,14942,28834
81,8,20510,13822,14748,28920
82,8,18997,13144,14808,31051
83,8,18748,13322,14982,30948
84,8,20452,12761,15510,29277
85,8,20029,13071,15762,29138
86,8,19805,13203,15325,29667
87,8,19480,12985,15158,30377
88,8,20423,13466,15020,29091
89,8,18434,13152,15091,31323
90,8,16967,13146,14572,33315
91,8,16162,13358,14521,33959
92,8,15694,13478,14603,34225
93,8,16147,13254,14481,34118
94,8,16394,13203,14383,34020
95,8,16094,13397,14645,33864
96,8,17739,12978,15016,32267
97,8,18540,13520,15062,30878
98,8,19420,14058,15240,29282
99,8,19244,14026,15281,29449
100,8,20429,14009,15194,28368
101,8,21057,14579,15303,27061
102,8,19376,13997,15366,29261
103,8,20075,13809,15172,28944
104,8,18934,13959,14939,30168
105,8,19461,14072,15082,29385
106,8,18162,14079,14741,31018
107,8,20668,14320,14376,28636
108,8,19730,14605,14792,28873
109,8,20968,14704,14100,28228
110,8,19764,14446,14515,29275
111,8,19410,14460,14223,29907
112,8,18762,14513,14181,30544
113,8,20615,14459,14485,28441
114,8,19373,14596,14161,29870
115,8,18354,14495,13888,31263
116,8,17998,14549,14032,31421
117,8,19520,14771,13541,30168
118,8,18990,14991,13769,30250
119,8,20343,15268,13879,28510
120,8,20245,15156,14006,28593
121,8,19962,15127,14062,28849
122,8,21494,15255,14521,26730
123,8,19788,14793,14910,28509
124,8,20701,15027,14781,27491
125,8,20125,15058,14526,28291
126,8,18705,14867,14088,30340
127,8,19627,15055,14298,29020
128,8,20479,15599,14802,27120
129,8,21378,15235,15052,26335
130,8,22060,14906,14716,26318
131,8,20276,15117,15307,27300
132,8,20316,14888,15218,27578
133,8,19593,14740,14928,28739
134,8,20064,14851,14803,28282
135,8,21850,14856,14592,26702
136,8,20542,14841,14843,27774
137,8,22081,15033,14822,26064
138,8,20790,14761,14975,27474
139,8,18294,14637,14766,30303
140,8,18680,14496,14859,29965
141,8,17708,14414,14796,31082
142,8,17869,14477,14807,30847
143,8,16836,14086,14717,32361
144,8,18173,14129,15222,30476
145,8,16970,13919,14906,32205
146,8,17845,14646,15022,30487
147,8,17574,14323,14859,31244
148,8,17124,13766,14848,32262
149,8,17678,14271,15222,30829
150,8,17787,14192,15267,30754
151,8,18150,14172,15062,30616
152,8,18303,14035,15029,30633
153,8,18922,14109,14827,30142
154,8,19181,14360,14935,29524
155,8,19579,14340,14799,29282
156,8,20102,14389,14593,28916
157,8,18568,13976,14925,30531
158,8,18902,13784,14444,30870
159,8,18288,13909,14893,30910
160,8,17885,13956,14939,31220
161,8,19079,13973,15469,29479
162,8,20650,14336,15192,27822
163,8,20770,14504,15176,27550
164,8,20703,14481,15175,27641
165,8,22872,14643,15538,24947
166,8,23860,14630,15068,24442
167,8,24485,14444,14943,24128
168,8,24012,14520,15084,24384
169,8,23735,14503,15000,24762
170,8,25328,14892,15177,22603
171,8,26472,14908,15516,21104
172,8,27582,14623,15453,20342
173,8,28626,14937,15420,19017
174,8,27847,14509,15494,20150
175,8,26975,14648,15424,20953
176,8,24941,14842,15250,22967
177,8,26381,14837,15526,21256
178,8,25325,14952,15171,22552
179,8,25838,14833,14920,22409
180,8,25247,15208,15138,22407
181,8,27134,15046,15383,20437
182,8,26800,15053,15455,20692
183,8,25219,14559,15531,22691
184,8,25499,14675,15497,22329
185,8,23056,14662,15403,24879
186,8,22420,14630,15242,25708
187,8,22216,14784,15373,25627
188,8,23891,14887,15051,24171
189,8,22799,15361,15625,24215
190,8,23892,15285,15207,23616
191,8,23914,15160,15111,23815
192,8,23703,15289,15288,23720
193,8,24871,14911,15069,23149
194,8,25765,15037,15818,21380
195,8,26041,14874,16019,21066
