round,seed,coop,exploit,exploit_,defect
1,8,29383,11742,17462,19413
2,8,30985,12141,16624,18250
3,8,30313,12366,16513,18808
4,8,28568,12701,16337,20394
5,8,27605,12584,16160,21651
6,8,27521,12600,16500,21379
7,8,26302,12132,16938,22628
8,8,26495,12078,16979,22448
9,8,28187,12308,16865,20640
10,8,28306,12134,17032,20528
11,8,26763,11886,17334,22017
12,8,26156,11528,17408,22908
13,8,25607,11747,17332,23314
14,8,25610,11837,17193,23360
15,8,25523,11814,17454,23209
16,8,24504,12367,16833,24296
17,8,24554,12333,16900,24213
18,8,22338,11831,17114,26717
19,8,23722,12017,16715,25546
20,8,23073,12046,16737,26144
21,8,23105,12112,16891,25892
22,8,24487,12464,16200,24849
23,8,25532,12387,16640,23441
24,8,28083,11399,17535,20983
25,8,26767,11149,17819,22265
26,8,26734,11328,18083,21855
27,8,26544,11220,17930,22306
28,8,27901,11438,17484,21177
29,8,28288,11322,17190,21200
30,8,25549,12090,17185,23176
31,8,24852,11656,17159,24333
32,8,25049,11510,16865,24576
33,8,25278,11681,17235,23806
34,8,24567,11863,17000,24570
35,8,24746,12038,17122,24094
36,8,24958,11777,17386,23879
37,8,22804,12446,16362,26388
38,8,24787,12958,15908,24347
39,8,25125,12730,15809,24336
40,8,23050,13192,15457,26301
41,8,24278,12990,15676,25056
42,8,23141,12832,16178,25849
43,8,22936,12793,15963,26308
44,8,23207,12787,15875,26131
45,8,24315,12536,16162,24987
46,8,22797,12889,16172,26142
47,8,24308,13595,15685,24412
48,8,24684,13542,15435,24339
49,8,24482,13411,15604,24503
50,8,23694,14051,15049,25206
51,8,22575,14384,14740,26301
52,8,22653,14305,14856,26186
53,8,21452,14090,14472,27986
54,8,21568,13890,14479,28063
55,8,20628,14246,14269,28857
56,8,21073,14239,14468,28220
57,8,22045,13994,14944,27017
58,8,20669,14185,14933,28213
59,8,21613,13918,14883,27586
60,8,21821,13863,14816,27500
61,8,21289,14085,14558,28068
62,8,21318,14163,14787,27732
63,8,20680,13610,14945,28765
64,8,21496,13554,15287,27663
65,8,19380,13984,14211,30425
66,8,18066,13452,14659,31823
67,8,18026,13400,14543,32031
68,8,17908,13507,14783,31802
69,8,17491,13461,14564,32484
70,8,18760,13551,14312,31377
71,8,19310,14211,14648,29831
72,8,18622,14139,14526,30713
73,8,16759,14172,14048,33021
74,8,15510,13204,13989,35297
75,8,16406,13549,14134,33911
76,8,16400,13850,14278,33472
77,8,16428,13762,14270,33540
78,8,16310,13845,14335,33510
79,8,15461,13870,13837,34832
80,8,15345,14077,13886,34692
81,8,16251,14283,13643,33823
82,8,16173,14383,13707,33737
83,8,17096,14612,13748,32544
84,8,18322,14596,14322,30760
85,8,17171,14473,13815,32541
86,8,17052,14626,13859,32463
87,8,16181,14277,13671,33871
88,8,16298,14443,13899,33360
89,8,14107,13688,13685,36520
90,8,13343,13822,13493,37342
91,8,13482,13668,13303,37547
92,8,12387,13709,13111,38793
93,8,13413,13714,13308,37565
94,8,12624,13478,13240,38658
95,8,13467,13665,13271,37597
96,8,13768,13990,13855,36387
97,8,14792,14285,13901,35022
98,8,15736,14747,13997,33520
99,8,16050,14661,14302,32987
100,8,17471,14746,14467,31316
101,8,18056,15399,14695,29850
102,8,18294,15130,14539,30037
103,8,16898,15249,14901,30952
104,8,17335,15106,14808,30751
105,8,19355,15273,15191,28181
106,8,18908,15476,15452,28164
107,8,21599,15817,14980,25604
108,8,21727,15703,14938,25632
109,8,22827,15829,14404,24940
110,8,21856,15445,14672,26027
111,8,21821,15395,14578,26206
112,8,20394,15364,14697,27545
113,8,20604,15485,14697,27214
114,8,19474,15509,14322,28695
115,8,18389,15226,13781,30604
116,8,17816,15125,13855,31204
117,8,18780,15628,13778,29814
118,8,18775,15924,14001,29300
119,8,18539,16012,14120,29329
120,8,18827,15904,14122,29147
121,8,18398,15762,13972,29868
122,8,19346,15911,14173,28570
123,8,17973,15325,14406,30296
124,8,17423,14904,14406,31267
125,8,17878,14871,14758,30493
126,8,16681,14347,14115,32857
127,8,16396,14470,14233,32901
128,8,17806,14610,14600,30984
129,8,18906,14381,14980,29733
130,8,19442,14090,14805,29663
131,8,17802,14144,15204,30850
132,8,17957,13839,15208,30996
133,8,16416,13784,14996,32804
134,8,15002,13529,15115,34354
135,8,17830,13689,14920,31561
136,8,18604,14256,15006,30134
137,8,18643,14253,15053,30051
138,8,17423,13995,15081,31501
139,8,15331,13535,14725,34409
140,8,14642,13248,14752,35358
141,8,13896,12593,14646,36865
142,8,12967,12728,14241,38064
143,8,12871,12628,14225,38276
144,8,14033,12606,14833,36528
145,8,14620,12696,14780,35904
146,8,13631,12482,14849,37038
147,8,14051,12578,14672,36699
148,8,12802,11798,14957,38443
149,8,13747,12294,15158,36801
150,8,13775,12133,15085,37007
151,8,13792,12190,15227,36791
152,8,13868,11971,15098,37063
153,8,14217,12551,15337,35895
154,8,14419,12705,15309,35567
155,8,13717,11863,15151,37269
156,8,13306,11843,15320,37531
157,8,13301,11902,15442,37355
158,8,13451,11871,15234,37444
159,8,13948,12436,15457,36159
160,8,14428,12705,15315,35552
161,8,16043,12434,15753,33770
162,8,15200,11977,15584,35239
163,8,15079,12106,15695,35120
164,8,15294,12076,15612,35018
165,8,17262,12153,16137,32448
166,8,16731,12076,16067,33126
167,8,17348,12098,16289,32265
168,8,16941,12076,16279,32704
169,8,17353,11942,16095,32610
170,8,18802,12503,16267,30428
171,8,19846,12584,16453,29117
172,8,20455,12324,16677,28544
173,8,21152,12748,16689,27411
174,8,20470,12326,16792,28412
175,8,21336,12083,16555,28026
176,8,19946,12106,16771,29177
177,8,20935,12169,16730,28166
178,8,19476,12516,16258,29750
179,8,20099,13075,16306,28520
180,8,20395,13022,16303,28280
181,8,22797,12877,16328,25998
182,8,22873,12845,16371,25911
183,8,22744,12951,16335,25970
184,8,22919,12871,16236,25974
185,8,22689,12991,16456,25864
186,8,21590,13168,16321,26921
187,8,20397,12645,16401,28557
188,8,21619,13023,16317,27041
189,8,21161,13156,16316,27367
190,8,21774,13269,16195,26762
191,8,20825,12826,16337,28012
192,8,19674,12827,16262,29237
193,8,20022,12812,16207,28959
194,8,21073,12648,16952,27327
195,8,20712,12930,16991,27367
