round,seed,coop,exploit,exploit_,defect
1,8,29383,11742,17462,19413
2,8,30985,12141,16624,18250
3,8,30313,12366,16513,18808
4,8,28568,12701,16337,20394
5,8,26289,12584,16408,22719
6,8,26133,12598,16767,22502
7,8,25167,12086,17093,23654
8,8,25204,12019,17157,23620
9,8,26977,12255,17123,21645
10,8,27075,12044,17254,21627
11,8,25513,11833,17613,23041
12,8,23692,11204,18134,24970
13,8,23248,11382,17991,25379
14,8,23159,11422,17820,25599
15,8,23141,11409,18108,25342
16,8,22003,11977,17529,26491
17,8,22204,11984,17595,26217
18,8,20020,11433,17736,28811
19,8,21440,11564,17280,27716
20,8,20823,11575,17288,28314
21,8,19907,11598,17389,29106
22,8,19786,11678,17303,29233
23,8,21156,11415,17575,27854
24,8,23189,10443,18786,25582
25,8,24825,10751,18530,23894
26,8,26364,10989,18449,22198
27,8,27541,11198,17750,21511
28,8,28825,11502,17309,20364
29,8,29045,11438,17186,20331
30,8,26532,12151,17035,22282
31,8,25632,11805,17093,23470
32,8,27185,11650,16812,22353
33,8,27293,11827,17030,21850
34,8,26731,11961,17000,22308
35,8,28101,12562,16724,20613
36,8,28405,12253,16855,20487
37,8,28011,12489,16487,21013
38,8,29603,12874,16218,19305
39,8,31290,12564,16077,18069
40,8,28795,13307,15941,19957
41,8,30328,13059,15947,18666
42,8,30623,13276,16219,17882
43,8,28915,13372,15798,19915
44,8,29001,13348,15622,20029
45,8,30287,13120,15929,18664
46,8,28722,13442,15910,19926
47,8,28499,13623,15995,19883
48,8,28544,13618,15904,19934
49,8,28105,13322,16094,20479
50,8,27142,14083,15778,20997
51,8,26093,14236,15451,22220
52,8,26050,14365,15788,21797
53,8,25835,14265,15667,22233
54,8,26036,14007,15476,22481
55,8,24830,14236,15442,23492
56,8,25484,14337,15540,22639
57,8,24467,14655,15625,23253
58,8,23607,14684,15345,24364
59,8,24275,14322,15084,24319
60,8,24521,14434,15265,23780
61,8,25435,14455,15405,22705
62,8,24329,14319,15398,23954
63,8,25354,14202,15048,23396
64,8,25696,14377,15739,22188
65,8,23420,14907,14896,24777
66,8,25344,15363,14395,22898
67,8,25417,15468,14614,22501
68,8,25683,15464,14560,22293
69,8,24874,15343,14450,23333
70,8,24406,15231,14660,23703
71,8,25352,15446,14611,22591
72,8,26579,15588,14704,21129
73,8,24969,15974,15074,21983
74,8,24630,15337,14827,23206
75,8,25833,15822,15102,21243
76,8,25706,16049,15119,21126
77,8,26082,16009,15207,20702
78,8,25419,16161,15427,20993
79,8,24314,16142,14588,22956
80,8,24484,16184,14656,22676
81,8,23597,16027,14824,23552
82,8,23742,15929,14721,23608
83,8,22834,16121,14997,24048
84,8,24565,16237,15545,21653
85,8,24902,15792,15433,21873
86,8,25128,15655,15378,21839
87,8,23634,15840,15642,22884
88,8,22697,15629,15764,23910
89,8,22094,15437,15623,24846
90,8,22148,15568,15939,24345
91,8,22475,15453,15854,24218
92,8,21974,15642,15888,24496
93,8,22259,15433,15728,24580
94,8,22386,15685,15865,24064
95,8,23556,16147,15911,22386
96,8,23269,16096,15895,22740
97,8,24637,16464,15849,21050
98,8,24621,16698,16016,20665
99,8,23186,16664,15480,22670
100,8,23729,16580,15286,22405
101,8,22818,16634,15681,22867
102,8,22841,16498,15586,23075
103,8,22811,16523,15596,23070
104,8,22035,16556,15478,23931
105,8,24087,16814,16044,21055
106,8,23879,16892,16054,21175
107,8,24851,16803,15706,20640
108,8,24876,16617,15603,20904
109,8,26331,16557,14963,20149
110,8,26920,16778,14942,19360
111,8,26883,16629,14925,19563
112,8,25214,16731,15211,20844
113,8,25243,16965,15262,20530
114,8,25932,16763,15115,20190
115,8,26256,16777,15200,19767
116,8,23905,16541,15260,22294
117,8,23580,16120,15299,23001
118,8,23392,16584,15515,22509
119,8,25249,16891,15501,20359
120,8,25541,16838,15590,20031
121,8,25356,16525,15397,20722
122,8,25661,16728,15491,20120
123,8,24632,16655,15737,20976
124,8,24922,16660,16034,20384
125,8,25262,16602,16138,19998
126,8,24918,16296,16065,20721
127,8,24686,16505,15986,20823
128,8,24714,16517,16037,20732
129,8,25900,16244,16004,19852
130,8,27053,15933,15553,19461
131,8,25299,16276,16159,20266
132,8,25524,16071,16086,20319
133,8,23791,15875,15929,22405
134,8,23097,16021,16106,22776
135,8,25310,15821,15539,21330
136,8,25258,15880,15538,21324
137,8,23438,15524,15621,23417
138,8,22092,15009,15594,25305
139,8,19567,14967,15469,27997
140,8,18636,14683,15513,29168
141,8,17852,14136,15318,30694
142,8,16875,13997,14900,32228
143,8,16974,14039,14864,32123
144,8,17971,14044,15454,30531
145,8,19014,14117,15545,29324
146,8,17705,13871,15525,30899
147,8,17824,13648,15340,31188
148,8,18282,13808,15313,30597
149,8,19540,14201,15536,28723
150,8,18490,14107,15104,30299
151,8,18492,14146,15425,29937
152,8,19654,14411,15273,28662
153,8,19978,14928,15571,27523
154,8,18714,14753,15242,29291
155,8,19532,14611,14913,28944
156,8,19494,14670,14944,28892
157,8,19400,14769,15198,28633
158,8,19521,14683,15035,28761
159,8,19461,14744,15064,28731
160,8,19967,14950,14971,28112
161,8,21007,14968,15260,26765
162,8,21651,14971,15162,26216
163,8,21212,15266,14964,26558
164,8,19670,15024,14515,28791
165,8,21791,14987,14856,26366
166,8,20737,15181,15118,26964
167,8,21026,15120,15114,26740
168,8,20976,14981,14991,27052
169,8,21483,14961,14862,26694
170,8,22186,15324,15264,25226
171,8,23611,15352,15504,23533
172,8,23557,15506,15461,23476
173,8,24132,15812,15719,22337
174,8,23095,15520,15683,23702
175,8,22366,15207,15151,25276
176,8,20912,15272,15062,26754
177,8,22289,15309,15131,25271
178,8,22194,15300,15256,25250
179,8,21968,15417,15394,25221
180,8,22437,15211,15219,25133
181,8,21224,15090,14878,26808
182,8,21194,15176,14999,26631
183,8,21265,15210,14980,26545
184,8,21076,14951,14857,27116
185,8,17917,15117,15101,29865
186,8,18611,14923,14826,29640
187,8,18882,14988,14894,29236
188,8,19947,15381,14931,27741
189,8,18459,15122,14866,29553
190,8,18892,14949,14676,29483
191,8,18020,14483,14517,30980
192,8,18836,14531,14416,30217
193,8,19544,14717,14858,28881
194,8,19301,14938,14961,28800
195,8,19592,15079,15060,28269
